ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,45/225,200/4384,0.225,4.384,11.392841317917659,2.0701140313745747e-18,9.936547350597959e-17,7.408829164919532e-17,SOCS3/CDKN1A/IL1B/ZFP36/CCL2/GADD45B/TLR2/BCL3/CEBPD/GADD45A/BTG2/NFIL3/SLC2A3/MAFF/NAMPT/DUSP1/BCL6/IRF1/PPP1R15A/FOS/PER1/FOSL2/DUSP5/ACKR3/BMP2/BCL2A1/KLF6/NFKBIA/IER5/PTGS2/PLAUR/IL1A/CCL4/CD69/CEBPB/TAP1/KLF9/CCNL1/ETS2/FOSL1/CSF1/MCL1/JUNB/ICAM1/NINJ1,45
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,30/225,200/4384,0.15,2.9226666666666667,6.473001253127369,5.8519914875341605e-08,1.4044779570081985e-06,1.0471984767166393e-06,CDKN1A/IL1B/CCL2/RGS16/IL4R/TLR2/CD14/SLC1A2/ITGB3/BTG2/FPR1/NAMPT/IRF1/SCN1B/PDPN/KLF6/NFKBIA/PLAUR/OSM/IL1A/CMKLR1/ADM/CD69/MEFV/FZD5/OSMR/CSF1/CALCRL/AHR/ICAM1,30
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,18/225,87/4384,0.20689655172413793,4.031264367816092,6.64176183221889,2.5185239187321935e-07,4.02963826997151e-06,3.0045548504173542e-06,SOCS3/PIM1/IL1B/IL4R/TLR2/CD14/HMOX1/ITGB3/IRF1/CNTFR/CD38/CCR1/CD9/CD36/OSMR/CSF1/CSF2RA/TNFRSF12A,18
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,28/225,200/4384,0.14,2.7278222222222226,5.817022577821997,7.370978722620923e-07,8.845174467145108e-06,6.595086225502933e-06,CDKN1A/PIM1/ZFP36/PYGM/SLC2A5/HMOX1/TGFB3/NFIL3/SLC2A3/MAFF/P4HA2/DUSP1/LDHA/PPP1R15A/FOS/FOSL2/DDIT4/SLC6A6/ACKR3/SELENBP1/KLF6/NCAN/PLAUR/PGK1/ANXA2/ADM/TGFBI/ANGPTL4,28
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,27/225,200/4384,0.135,2.6304000000000003,5.489033240169311,2.447507411190634e-06,2.3496071147430083e-05,1.7519000416943484e-05,SOCS3/CDKN1A/PIM1/CCL2/MTHFD2/IL4R/APOL6/PLSCR1/FCGR1A/SERPING1/IFITM2/FPR1/NAMPT/IRF1/CD38/NLRC5/RSAD2/CASP4/NFKBIA/PTGS2/CMKLR1/CD69/IFI30/TAP1/HELZ2/HLA-DRB1/ICAM1,27
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,26/225,200/4384,0.13,2.532977777777778,5.161043902516625,7.763677208411363e-06,6.21094176672909e-05,4.6309653523857257e-05,IL1B/SERPINA3/RGS16/GUCY1A1/FCER1G/SPON1/MAFB/EMP1/WNT7A/PPP1R15A/SCN1B/BMP2/PTGS2/PLAUR/LCP1/MYCN/CMKLR1/HKDC1/PTPRR/SPARCL1/IL33/ANGPTL4/VWA5A/GNG11/CSF2RA/ABCB1,26
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,21/225,161/4384,0.13043478260869565,2.541449275362319,4.634620405453371,5.8396285376602186e-05,0.0004004316711538435,0.00029856747410593606,CDKN1A/IL1B/GADD45B/CD14/HMOX1/GADD45A/BTG2/PDGFRB/EMP1/LMNA/IRF1/CD38/BMP2/CASP4/IL1A/CD69/TAP1/AIFM3/ANXA1/MCL1/TNFRSF12A,21
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,23/225,199/4384,0.11557788944723618,2.251970965940815,4.203931187775122,0.00017264825098043274,0.0009934475221595484,0.0007407284156452774,PIM1/RGS16/GADD45B/IL4R/PLSCR1/NFIL3/SLC2A3/MAFF/NT5E/BATF3/XBP1/CDCP1/EMP1/SLC1A5/BMP2/CISH/KLF6/MAP6/PLAGL1/SPRY4/CSF1/AHR/ABCB1,23
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,23/225,200/4384,0.115,2.240711111111111,4.177075889558568,0.00018627141040491533,0.0009934475221595484,0.0007407284156452774,CDKN1A/RGS16/CEBPA/HMOX1/GADD45A/PTPN14/BTG2/PLK3/PPP1R15A/FOS/DDIT4/BMP2/MXD4/SLC7A11/IER5/IL1A/IFI30/TAP1/ITGB4/EPHA2/VWA5A/PHLDA3/NINJ1,23
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,21/225,200/4384,0.105,2.0458666666666665,3.5210972142531953,0.001206681241216265,0.005792069957838072,0.004318648652774002,FBLN1/GADD45B/CXCL12/COL5A3/GLIPR1/ITGB3/GADD45A/GJA1/PDGFRB/NT5E/COL4A1/SGCD/COL4A2/CD59/SLC6A8/ADAM12/PLAUR/TGFBI/LAMA1/COL5A2/TNFRSF12A,21
