category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,17/229,143/9387,0.11888111888111888,4.873087611078877,7.3799440260783475,6.338769441428847e-08,1.7495003658343618e-05,1.3278053882572006e-05,3553/9021/2214/7124/3552/3690/2212/2353/1435/6772/126014/3726/8061/29760/3725/2209/799,17
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,11/229,79/9387,0.13924050632911392,5.707644685202586,6.644261723838134,3.0075473010765624e-06,0.0003522627806938435,0.00026735428435573934,3553/1378/2214/7124/3552/2212/2353/6772/3109/3725/2209,11
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,22/229,300/9387,0.07333333333333333,3.0060262008733623,5.583990373602751,3.828943268411343e-06,0.0003522627806938435,0.00026735428435573934,3553/1946/4616/1843/26281/3479/2261/929/1647/783/7422/7124/3552/5159/2353/1435/2321/3556/5154/3303/3725/3304,22
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,12/229,100/9387,0.12,4.918951965065502,6.230026788174477,5.2597575473165196e-06,0.0003629232707648398,0.00027544519787262825,3553/929/966/1378/7124/3552/3690/1435/3109/7037/2209/960,12
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,11/229,95/9387,0.11578947368421053,4.746357159273731,5.803287375405655,1.8445831300960774e-05,0.0010182098878130348,0.0007727832481876197,3553/6347/7422/6387/7124/3552/2353/1435/2321/3109/3725,11
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,9/229,66/9387,0.13636363636363635,5.589718142119889,5.916766442130634,2.8871445415374125e-05,0.0013020480368368752,0.0009882057945482005,3553/6095/7124/3552/4094/6772/6774/3109/3725,9
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,11/229,101/9387,0.10891089108910891,4.464395347831727,5.535176712899266,3.30229574560077e-05,0.0013020480368368752,0.0009882057945482005,3553/5292/6347/7056/7422/7124/3552/6772/6774/3725/2335,11
Environmental Information Processing,Signal transduction,hsa04392,Hippo signaling pathway - multiple species,6/229,29/9387,0.20689655172413793,8.480951663906039,6.380019758621232,5.8581412185624825e-05,0.0020210587204040563,0.0015339080295972815,7004/54798/7005/83937/122786/10413,6
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,11/229,110/9387,0.1,4.099126637554585,5.169988578819372,7.307607793629449e-05,0.0022409997233796978,0.0017008350303301292,1026/3479/6513/3162/5230/1978/7422/80201/6774/2321/7037,11
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,15/229,201/9387,0.07462686567164178,3.059049729518347,4.666156926538866,0.00011540690075750763,0.0031852304609072107,0.00241747086849937,1026/4616/597/604/3479/929/1647/2138/1050/1051/4094/2321/5154/8842/2209,15
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,14/229,182/9387,0.07692307692307693,3.15317433658045,4.638319801663939,0.00014169772211029716,0.003555324663858365,0.0026983585358803003,3553/929/1378/2214/7124/3552/2212/1051/6772/2207/3109/9902/1263/2209,14
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,12/229,141/9387,0.0851063829787234,3.4886184149400723,4.708131872519675,0.0001654358628494037,0.0038050248455362853,0.002887871640967661,3553/6347/1843/7056/3162/7422/7124/3552/3690/2353/5154/3725,12
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,21/229,362/9387,0.058011049723756904,2.377946391951555,4.227860980115755,0.0002008271881659638,0.004263715687215846,0.003236000845751157,1026/1946/26281/3479/2261/6696/1978/7422/54541/4170/3690/3691/5159/1435/2321/5154/57121/5008/284217/9180/2335,21
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,18/229,298/9387,0.06040268456375839,2.475982532751092,4.094387991324569,0.0003557682891757258,0.00701371770089288,0.005323149589922514,3553/1524/6347/51330/115650/1271/353500/650/6387/7124/3552/8793/1435/655/3556/5008/656/9180,18
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,14/229,203/9387,0.06896551724137931,2.8269838879686793,4.161256583897766,0.00043903226642711833,0.008078193702258976,0.006131047089052389,3479/6696/7422/3690/3691/5829/5159/2012/2321/55742/5154/284217/3725/2335,14
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,9/229,95/9387,0.09473684210526316,3.8833831303148703,4.466499110260434,0.0004969511020325278,0.008572406510061104,0.0065061361384521725,3553/6347/7124/6279/1051/2353/6280/8061/3725,9
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,8/229,78/9387,0.10256410256410256,4.204232448773933,4.493424995777661,0.0005985034054026831,0.009716878817125914,0.007374747843661544,3553/3659/929/7124/3552/2353/710/3725,8
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,10/229,119/9387,0.08403361344537816,3.4446442332391474,4.243789463928432,0.000639200614190008,0.00980107608424679,0.007438650422445122,3553/9021/6347/3659/7124/1051/2353/1435/3726/3725,10
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,12/229,168/9387,0.07142857142857142,2.927947598253275,3.987178285636136,0.000822684172556733,0.011950570085560963,0.009070036029849854,9021/1026/5292/1271/4170/5159/6772/6774/1154/5154/5008/9180,12
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,9/229,105/9387,0.08571428571428572,3.51353711790393,4.095593706150638,0.0010299660140773391,0.01421353099426728,0.01078753877902055,3553/4616/597/115650/929/1647/6387/7124/29760,9
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,7/229,68/9387,0.10294117647058823,4.2196891857179555,4.213484939012544,0.0012841017745644592,0.01612291093960735,0.012236686792455617,5292/597/929/1978/1050/6774/2209,7
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,8/229,88/9387,0.09090909090909091,3.7264787614132593,4.063338730197215,0.0013322519225298394,0.01612291093960735,0.012236686792455617,5265/5627/7056/966/1378/11326/710/2,8
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,9/229,109/9387,0.08256880733944955,3.3845999759625016,3.959672766438096,0.001343575911633946,0.01612291093960735,0.012236686792455617,3553/6095/196/2353/6772/6774/3556/3109/3725,9
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,13/229,204/9387,0.06372549019607843,2.6121885435396863,3.6812585323442417,0.0014509070657237131,0.0166854312558227,0.012663618687676268,1026/4616/1647/7124/6890/6772/6774/6891/3109/29760/4938/3725/960,13
Human Diseases,Cancer: specific types,hsa05218,Melanoma,7/229,73/9387,0.0958904109589041,3.930669378476999,3.9748233859179707,0.0019475162789417925,0.021500579719517385,0.016318136400396494,1026/4616/26281/3479/1647/5159/5154,7
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,6/229,56/9387,0.10714285714285714,4.391921397379913,4.025625726610256,0.0023143161121020436,0.02456735565154477,0.018645704708838327,3553/929/1378/7124/3303/3304,6
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,7/229,77/9387,0.09090909090909091,3.7264787614132593,3.7986592472483602,0.0026479902115091425,0.027068344384315678,0.02054386167993448,1026/4616/1647/7422/5900/6772/6774,7
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,8/229,99/9387,0.08080808080808081,3.3124255657006754,3.657479938277488,0.0028237735519599256,0.027834339297890698,0.021125223189474632,3479/783/7124/3690/3691/284217/6547/137868,8
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,7/229,80/9387,0.0875,3.586735807860262,3.6740909943852826,0.003289460340579391,0.031306588068962485,0.023760530227778544,3479/2261/1978/7422/5159/6774/5154,7
Organismal Systems,Digestive system,hsa04978,Mineral absorption,6/229,61/9387,0.09836065573770492,4.031927840217625,3.7565897514363598,0.0035782408525663364,0.03291981584361029,0.024984909812656175,4499/477/3162/4501/4489/6547,6
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,12/229,203/9387,0.059113300492610835,2.4231290468302964,3.24141069598762,0.004056715714534198,0.0342530510706888,0.025996785518943834,3553/7124/10972/2212/5010/64005/2353/4645/7430/57121/7122/3725,12
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,8/229,105/9387,0.0761904761904762,3.123144104803494,3.4594816885518416,0.00406131033928018,0.0342530510706888,0.025996785518943834,3479/783/7124/3690/3691/284217/6547/137868,8
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,6/229,63/9387,0.09523809523809523,3.903930131004367,3.656899303690202,0.004205852898507588,0.0342530510706888,0.025996785518943834,1026/4616/1647/650/2737/7855,6
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,12/229,204/9387,0.058823529411764705,2.4112509632674026,3.2224392553992063,0.004219578755084853,0.0342530510706888,0.025996785518943834,1026/3479/7422/7124/3690/5829/7430/6774/60495/7855/960/2335,12
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,13/229,232/9387,0.05603448275862069,2.296924408974552,3.1629125078815306,0.004453409379456559,0.035118313963714586,0.02665348771464227,9087/26281/2261/3985/6387/3690/3691/5829/5159/7430/5154/57121/2335,13
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,8/229,108/9387,0.07407407407407407,3.0363901018922848,3.365735351605389,0.004819088088671944,0.03597330403121866,0.027302393219727356,57817/353500/650/7124/3400/655/7037/656,8
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,7/229,86/9387,0.08139534883720931,3.336498425916523,3.4419740578372595,0.004921397662266856,0.03597330403121866,0.027302393219727356,783/3690/3691/284217/2697/6547/137868,7
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,11/229,182/9387,0.06043956043956044,2.477494121598925,3.182784656414795,0.004952846207196771,0.03597330403121866,0.027302393219727356,3553/9021/6347/1978/7124/3690/6890/6772/6891/3109/4938,11
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,10/229,159/9387,0.06289308176100629,2.578067067644393,3.1734226888994916,0.005508387125591818,0.03898243196572671,0.02958620885270639,929/2214/3690/2212/6890/6891/3109/7037/9902/2209,10
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,12/229,212/9387,0.05660377358490566,2.3202603608799537,3.0745543516399336,0.005720288109467838,0.039469987955328086,0.029956245625897365,1946/26281/3479/2261/7422/5900/3690/5159/1435/2321/5154/57121,12
Human Diseases,Infectious disease: viral,hsa05162,Measles,9/229,139/9387,0.06474820143884892,2.654110772517357,3.1067462023466854,0.006896251938863374,0.04642354963722661,0.03523373904579747,3553/3552/2353/6772/6774/3303/4938/3725/3304,9
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,6/229,71/9387,0.08450704225352113,3.464050679623593,3.295503421859469,0.007549551505062194,0.049611338461837275,0.03765315161672623,9021/3659/2353/6772/6774/1154,6
