ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003735,structural constituent of ribosome,39/326,175/18639,0.22285714285714286,12.741822962313762,20.82190029964636,5.46830939172965e-32,3.510654629490435e-29,3.1025460654129283e-29,RPL19/RPS8/RPL37A/RPS27A/RPL23A/RPS14/RPLP1/RPLP2/RPS20/RPS6/RPS23/RPL32/RPS13/RPS11/RPL26/RPL24/RPS18/RPS3A/RPS15A/RPS4X/RPS24/RPL38/RPL17/RPL7/RPL34/RPL10/RPL11/RPL23/FAU/RPS27/RPS12/RPS21/RPL13A/RPL10A/RPS15/RPL8/RPL18A/RPL35/RPS25,39
GO:0019843,rRNA binding,8/326,65/18639,0.12307692307692308,7.036904200094384,6.504994711411486,1.704828003843828e-05,0.004416100136104816,0.0039027348308911234,RPL23A/RPS13/RPS11/RPS18/RPS4X/RPL11/RPL23/RPL8,8
GO:0045296,cadherin binding,18/326,334/18639,0.05389221556886228,3.0812791594724662,5.1209131266705645,2.6189693082552683e-05,0.004416100136104816,0.0039027348308911234,CALD1/CTNNA3/CDH13/PTPRM/RPL23A/ASAP1/EPN2/PTPRT/PTPRO/CTNNA2/RPL24/BMPR2/ANK3/RPL34/PTPRJ/MACF1/CEMIP2/COBLL1,18
GO:1990948,ubiquitin ligase inhibitor activity,4/326,11/18639,0.36363636363636365,20.79085331846068,8.76004735703299,2.7514642592553368e-05,0.004416100136104816,0.0039027348308911234,RPS20/RPL11/RPL23/RPS15,4
GO:0003779,actin binding,21/326,443/18639,0.04740406320541761,2.7103200432079104,4.860936975954277,3.801477385474999e-05,0.004881096962949898,0.004313676443728473,CALD1/CTNNA3/EPS8/ACTN2/PLEKHH2/LIMS1/UACA/NCALD/DMD/CYFIP1/CTNNA2/IQGAP2/SORBS1/FMNL3/TMSB10/MACF1/VASH1/MYO1F/FGD4/COBLL1/DIAPH2,21
GO:0005096,GTPase activator activity,15/326,271/18639,0.055350553505535055,3.1646594073302694,4.789299418855164,9.120752931686467e-05,0.009759205636904519,0.008624711982770187,DLC1/RGS7/SRGAP2/ARHGAP12/ASAP1/RASAL2/STARD13/ARHGAP15/IQGAP2/DOCK2/TBC1D8B/LLGL1/LLGL2/ARRB1/TBC1D9,15
GO:0055105,ubiquitin-protein transferase inhibitor activity,4/326,15/18639,0.26666666666666666,15.246625766871164,7.364611985511226,0.00010767488626534356,0.009875325283192937,0.008727332886769952,RPS20/RPL11/RPL23/RPS15,4
GO:0030695,GTPase regulator activity,21/326,489/18639,0.04294478527607362,2.455361511536001,4.351266732032496,0.00015327779225473494,0.01065828517401459,0.009419274813565935,TRIO/DLC1/RGS7/SRGAP2/ARHGAP12/ASAP1/RASAL2/SLIT2/STARD13/ARHGAP15/PLEKHG1/IQGAP2/DOCK2/RAB3IP/CCDC88C/TBC1D8B/LLGL1/LLGL2/FGD4/ARRB1/TBC1D9,21
GO:0060589,nucleoside-triphosphatase regulator activity,21/326,490/18639,0.04285714285714286,2.450350569675723,4.340836074098021,0.000157633270566677,0.01065828517401459,0.009419274813565935,TRIO/DLC1/RGS7/SRGAP2/ARHGAP12/ASAP1/RASAL2/SLIT2/STARD13/ARHGAP15/PLEKHG1/IQGAP2/DOCK2/RAB3IP/CCDC88C/TBC1D8B/LLGL1/LLGL2/FGD4/ARRB1/TBC1D9,21
GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,4/326,17/18639,0.23529411764705882,13.452905088415735,6.853472644489742,0.00018261859332423748,0.01065828517401459,0.009419274813565935,PTPRM/PTPRT/PTPRO/PTPRC,4
GO:0019198,transmembrane receptor protein phosphatase activity,4/326,17/18639,0.23529411764705882,13.452905088415735,6.853472644489742,0.00018261859332423748,0.01065828517401459,0.009419274813565935,PTPRM/PTPRT/PTPRO/PTPRC,4
GO:0055106,ubiquitin-protein transferase regulator activity,5/326,36/18639,0.1388888888888889,7.940950920245399,5.561698433941152,0.0003833653878601325,0.02051004825051709,0.018125784566369426,RPS20/FBXW7/RPL11/RPL23/RPS15,5
GO:0051020,GTPase binding,15/326,315/18639,0.047619047619047616,2.7226117440841366,4.113971181383879,0.00046308820926199,0.022397155340042534,0.019793518164097273,EPS8/SRGAP2/CYFIP1/PLEKHG1/IQGAP2/DOCK2/RAB3IP/FMNL3/GRIA1/RANBP17/SYTL3/PRKCH/PEX5L/FGD4/DIAPH2,15
GO:0031267,small GTPase binding,14/326,283/18639,0.04946996466431095,2.828437642264085,4.135357431123572,0.0004884114871660366,0.022397155340042534,0.019793518164097273,EPS8/SRGAP2/CYFIP1/PLEKHG1/IQGAP2/DOCK2/FMNL3/GRIA1/RANBP17/SYTL3/PRKCH/PEX5L/FGD4/DIAPH2,14
GO:0048027,mRNA 5'-UTR binding,4/326,24/18639,0.16666666666666666,9.529141104294478,5.578380138937029,0.0007402837195359807,0.03168414319613997,0.028000907005606576,RPS14/RPS13/RPL26/RPS3A,4
GO:0004726,non-membrane spanning protein tyrosine phosphatase activity,7/326,89/18639,0.07865168539325842,4.496898049217619,4.411992069944677,0.0009489919773606656,0.03583840290973808,0.03167223998745504,PTPRM/EYA4/PTPRT/PTPRO/PTPRC/DUSP16/PTPRJ,7
