gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
AC119677.1,-1.1801716611756432,0.008592432845644564,-10.71837820742811,OUD_vs_Control_Female,6.315098524093628,14.310249328613281,2,2,0.9999722821216691,True,False,True,Down
FOXE3,1.690235051737758,0.006296353844524118,12.542872750513906,OUD_vs_Control_Female,4.232215404510498,1.3114638179540634,2,2,0.9999722821216691,True,False,True,Up
AL513218.2,1.6696873366126281,0.0006231945557046852,40.03917435917232,OUD_vs_Control_Female,31.475210189819336,9.893333911895752,2,2,0.9999722821216691,True,True,True,Up
FRRS1,-2.1975945734273132,0.004954176317353844,-14.154544951438298,OUD_vs_Control_Female,149.7270278930664,686.8186645507812,2,2,0.9999722821216691,True,False,True,Down
AL138930.1,-2.8672164763239514,0.0072982532624720755,-11.64134521528017,OUD_vs_Control_Female,53.74453830718994,392.15025329589844,2,2,0.9999722821216691,True,False,True,Down
RGS16,3.937752740204423,0.00648393295407435,12.358357801529355,OUD_vs_Control_Female,2418.37939453125,157.81298828125,2,2,0.9999722821216691,True,False,True,Up
AC138024.1,-1.6541447372474882,0.006935026746757574,-11.945597112085986,OUD_vs_Control_Female,1.147583520039916,3.6118648052215576,2,2,0.9999722821216691,True,False,True,Down
OR1C1,-2.579405433390918,0.007307117664049335,-11.634203893154487,OUD_vs_Control_Female,1.0822732355445623,6.468674898147583,2,2,0.9999722821216691,True,False,True,Down
OR2M2,1.5680905341072096,0.007827499717074093,11.236399785359009,OUD_vs_Control_Female,73.71380615234375,24.860310554504395,2,2,0.9999722821216691,True,False,True,Up
AC010896.1,-0.9822584718860307,0.004466074820526816,-14.913463205594889,OUD_vs_Control_Female,39.123775482177734,77.29119491577148,2,2,0.9999722821216691,True,False,True,Down
AC010883.2,-2.662577064999412,0.000859734782128546,-34.08298137910019,OUD_vs_Control_Female,17.504482746124268,110.83191680908203,2,2,0.9999722821216691,True,True,True,Down
AC114802.1,-1.247634741615553,0.0052278249062458464,-13.77626408185197,OUD_vs_Control_Female,1.19134371727705,2.828867197036743,2,2,0.9999722821216691,True,False,True,Down
IL1RN,2.619729831574051,4.041177446582971e-05,157.30150450827261,OUD_vs_Control_Female,19.439528465270996,3.162776231765747,2,2,0.9562455805042813,True,True,True,Up
AC011893.1,-1.2038389907849731,0.0019987515144455686,-22.334117769403555,OUD_vs_Control_Female,26.240615844726562,60.445735931396484,2,2,0.9999722821216691,True,False,True,Down
LINC01817,0.521227605570925,0.0029017204260098485,18.52360291342271,OUD_vs_Control_Female,17.911834716796875,12.480584621429443,2,2,0.9999722821216691,True,False,True,Up
DHRS9,-1.782315334112904,0.005702940042887509,-13.185203155534044,OUD_vs_Control_Female,351.8760070800781,1210.375244140625,2,2,0.9999722821216691,True,False,True,Down
DLX2,-1.5710734686689651,0.007262962245901311,-11.669905338854852,OUD_vs_Control_Female,3.02239590883255,8.980315446853638,2,2,0.9999722821216691,True,False,True,Down
AC016751.2,-0.9788500754144442,0.00017229658911636258,-76.17378464561273,OUD_vs_Control_Female,5.023064851760864,9.899927616119385,2,2,0.9562455805042813,True,False,True,Down
LINC01116,-1.5610521452494392,0.004440905337799244,-14.955949410029378,OUD_vs_Control_Female,2.865861654281616,8.456268072128296,2,2,0.9999722821216691,True,False,True,Down
CTLA4,-3.042067922231271,0.005337050743991194,-13.633441922119825,OUD_vs_Control_Female,5.36543333530426,44.19351005554199,2,2,0.9999722821216691,True,False,True,Down
AC012668.2,-2.301653574487087,0.006684460748970291,-12.169731946380717,OUD_vs_Control_Female,1.5183731317520142,7.485921621322632,2,2,0.9999722821216691,True,False,True,Down
CX3CR1,-4.130198950998052,0.0021119131234635367,-21.72567270513992,OUD_vs_Control_Female,541.3868408203125,9480.28662109375,2,2,0.9999722821216691,True,False,True,Down
INKA1,-1.8297880677390406,0.004527296108523732,-14.81160112121405,OUD_vs_Control_Female,51.57879829406738,183.3548126220703,2,2,0.9999722821216691,True,False,True,Down
FRG2C,0.694817971856458,0.003306300934826944,17.348015315592363,OUD_vs_Control_Female,4.885774612426758,3.0183693170547485,2,2,0.9999722821216691,True,False,True,Up
PAQR9,0.7200504923260272,0.007710874655674582,11.322054100362362,OUD_vs_Control_Female,76.78893661499023,46.61673545837402,2,2,0.9999722821216691,True,False,True,Up
P2RY13,-2.9427160670523183,0.0008384557881866668,-34.51331539613362,OUD_vs_Control_Female,339.3186340332031,2608.87646484375,2,2,0.9999722821216691,True,True,True,Down
SUCNR1,-1.332347816401308,0.003219146682580794,-17.58243822476435,OUD_vs_Control_Female,156.07401275634766,393.0133056640625,2,2,0.9999722821216691,True,False,True,Down
AC108718.1,-2.7552809307553323,0.009752788470859993,-10.051727616139154,OUD_vs_Control_Female,35.28616142272949,238.24655151367188,2,2,0.9999722821216691,True,False,True,Down
LINC01323,-2.4278975108869605,0.008224178431295002,-10.958775348927489,OUD_vs_Control_Female,3.3189826011657715,17.859732627868652,2,2,0.9999722821216691,True,False,True,Down
LINC02469,-1.9583799236292663,0.007455646901105455,-11.516440182688655,OUD_vs_Control_Female,1.128460582345724,4.385483622550964,2,2,0.9999722821216691,True,False,True,Down
SLC7A11-AS1,-1.634192252127545,0.006191761485597829,-12.649366857285637,OUD_vs_Control_Female,96.91155624389648,300.8267517089844,2,2,0.9999722821216691,True,False,True,Down
LINC02123,-3.6769269807969143,0.00446731596006524,-14.911377429725214,OUD_vs_Control_Female,2.7910154163837433,35.69665718078613,2,2,0.9999722821216691,True,False,True,Down
AC113347.4,-1.1927903176916097,0.008106287238933743,-11.039160829402151,OUD_vs_Control_Female,9.275410413742065,21.203072547912598,2,2,0.9999722821216691,True,False,True,Down
LINC01333,-1.138199079403608,0.00799612151269573,-11.115873236650707,OUD_vs_Control_Female,1.2990825325250626,2.8593598008155823,2,2,0.9999722821216691,True,False,True,Down
EPB41L4A-DT,-2.257039863999512,0.0001800497309521131,-74.51524084772197,OUD_vs_Control_Female,5.094117879867554,24.350377082824707,2,2,0.9562455805042813,True,True,True,Down
AC008568.1,-1.1116527928418167,0.002762406586709049,-18.986939796509066,OUD_vs_Control_Female,146.30066680908203,316.1455993652344,2,2,0.9999722821216691,True,False,True,Down
LINC01861,2.916331452182374,0.0012077074382511753,28.749180962921507,OUD_vs_Control_Female,18.23080825805664,2.41491961479187,2,2,0.9999722821216691,True,False,True,Up
IL12B,-2.3457406390632,0.008709503291329749,-10.645153695108032,OUD_vs_Control_Female,2.702409327030182,13.736921787261963,2,2,0.9999722821216691,True,False,True,Down
MIR3142HG,-2.5678727157646635,0.005388414151914761,-13.567782063208583,OUD_vs_Control_Female,51.08284950256348,302.88783264160156,2,2,0.9999722821216691,True,False,True,Down
