gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
AL645608.7,1.7779855004057237,0.008984393638240112,3.7984197548555567,Pooled_OUD_vs_Control,113.69100761413574,33.15119194984436,4,4,0.7426986331355621,True,False,True,Up
RPS8,0.8710510565207431,0.0011706557750801366,5.781572674525448,Pooled_OUD_vs_Control,6613.975341796875,3616.1802978515625,4,4,0.7426986331355621,True,False,True,Up
AL358075.2,0.6294068027926236,0.009398390161867793,3.76001228262848,Pooled_OUD_vs_Control,18.24453353881836,11.79403567314148,4,4,0.7426986331355621,True,False,True,Up
AC096531.2,0.8861531879612851,0.009414950870010179,3.758515244482231,Pooled_OUD_vs_Control,24.36366319656372,13.18207859992981,4,4,0.7426986331355621,True,False,True,Up
S100A13,0.7807457890002575,0.0012844265747491087,5.6790794892943985,Pooled_OUD_vs_Control,1120.3377380371094,652.1103057861328,4,4,0.7426986331355621,True,False,True,Up
RPS27,0.9149177224010924,0.0011545658085842262,5.796982234327855,Pooled_OUD_vs_Control,8647.043090820312,4586.1678466796875,4,4,0.7426986331355621,True,False,True,Up
OR6N1,0.8696770499654487,0.0051477699848414965,4.2901926484658,Pooled_OUD_vs_Control,32.64462184906006,17.865400791168213,4,4,0.7426986331355621,True,False,True,Up
AL596325.1,1.9710630513766236,0.00944766790946787,3.7555663063042934,Pooled_OUD_vs_Control,13.595643758773804,3.4677731096744537,4,4,0.7426986331355621,True,False,True,Up
LINC02816,-0.6216043156217297,0.008845417583223126,-3.8117561042803603,Pooled_OUD_vs_Control,1.0627974672243,1.6352044306695461,4,4,0.7426986331355621,True,False,True,Down
OR2T1,2.367001133822719,0.0035348018728749643,4.641536696500005,Pooled_OUD_vs_Control,5.979036629199982,1.1590251848101616,4,4,0.7426986331355621,True,False,True,Up
AC010904.2,0.7096346204226173,0.00765984632740138,3.935988031408955,Pooled_OUD_vs_Control,41.67072772979736,25.480607509613037,4,4,0.7426986331355621,True,False,True,Up
RPS27A,1.1558311336945126,0.005464199847085629,4.23593810519745,Pooled_OUD_vs_Control,7176.4776611328125,3220.857391357422,4,4,0.7426986331355621,True,False,True,Up
CLEC4F,1.1462702640600562,0.0011847004246302866,5.768318321295661,Pooled_OUD_vs_Control,9.240872025489807,4.174949467182159,4,4,0.7426986331355621,True,False,True,Up
IL1RN,2.018874464043557,0.0029391681274542137,4.820302225925786,Pooled_OUD_vs_Control,16.61320924758911,4.0993194580078125,4,4,0.7426986331355621,True,False,True,Up
AC074099.1,1.541047741897275,0.003037379998794707,4.7881440818814065,Pooled_OUD_vs_Control,45.87813377380371,15.765369296073914,4,4,0.7426986331355621,True,False,True,Up
RPL37A,0.9341981677416008,0.00828122682851286,3.86839959681008,Pooled_OUD_vs_Control,10585.395751953125,5539.6895751953125,4,4,0.7426986331355621,True,False,True,Up
RPL32,0.9586270146649484,0.001990951977736653,5.212309026144446,Pooled_OUD_vs_Control,5731.0076904296875,2948.869171142578,4,4,0.7426986331355621,True,False,True,Up
AC132807.2,1.258824022408075,0.0021268990224868243,5.144378300810586,Pooled_OUD_vs_Control,17.194507598876953,7.18531733751297,4,4,0.7426986331355621,True,False,True,Up
RPL29,0.8851423019263298,0.004143680835589542,4.490954281345285,Pooled_OUD_vs_Control,3317.5536499023438,1796.2367248535156,4,4,0.7426986331355621,True,False,True,Up
DENND6A-DT,0.7283068033962213,0.0044301243841546375,4.428524629159044,Pooled_OUD_vs_Control,28.374817848205566,17.127378225326538,4,4,0.7426986331355621,True,False,True,Up
FRG2C,1.1398497642780412,0.005269928789784454,4.268814850901105,Pooled_OUD_vs_Control,4.714509844779968,2.139476779848337,4,4,0.7426986331355621,True,False,True,Up
AC112484.3,-1.1002117662154067,0.0026178098921414627,-4.934705682673535,Pooled_OUD_vs_Control,32.89844059944153,70.52970314025879,4,4,0.7426986331355621,True,False,True,Down
LINC01213,1.5873476993287787,0.005870956850121436,4.171159139713047,Pooled_OUD_vs_Control,16.21568012237549,5.396297663450241,4,4,0.7426986331355621,True,False,True,Up
AC078788.1,0.6680237870678467,0.007867154589720263,3.91277946628489,Pooled_OUD_vs_Control,28.754340171813965,18.0970675945282,4,4,0.7426986331355621,True,False,True,Up
AC080013.5,1.1993083908977464,0.007956676780994626,3.9029673173863983,Pooled_OUD_vs_Control,59.099127769470215,25.736724376678467,4,4,0.7426986331355621,True,False,True,Up
AL121981.1,2.5134905554892732,0.00894969330685476,3.801728041420064,Pooled_OUD_vs_Control,53.61258888244629,9.389246225357056,4,4,0.7426986331355621,True,False,True,Up
RPL35A,0.8349952082423515,0.00502583661365817,4.31210694896292,Pooled_OUD_vs_Control,4006.750732421875,2246.1239624023438,4,4,0.7426986331355621,True,False,True,Up
LINC02600,1.0971105112269899,0.004010475944724377,4.521664119523738,Pooled_OUD_vs_Control,11.656511664390564,5.448857247829437,4,4,0.7426986331355621,True,False,True,Up
LINC02513,2.125157483847093,0.001845147786948262,5.291287684499349,Pooled_OUD_vs_Control,54.7542839050293,12.55110478401184,4,4,0.7426986331355621,True,False,True,Up
AC108515.1,1.6840032841062502,2.2760743337653992e-05,11.765766367041639,Pooled_OUD_vs_Control,5.539249658584595,1.7239133715629578,4,4,0.6948172118685634,True,True,True,Up
AC126283.1,0.8960708577480313,0.007715258130434893,3.929716567870544,Pooled_OUD_vs_Control,79.63227272033691,42.790257930755615,4,4,0.7426986331355621,True,False,True,Up
AC093292.1,1.0232003083854972,0.006153654588874073,4.129033537365173,Pooled_OUD_vs_Control,6.627278506755829,3.2607780396938324,4,4,0.7426986331355621,True,False,True,Up
AC010267.1,1.2373720011633134,0.00842804215470888,3.85325505094748,Pooled_OUD_vs_Control,27.097017765045166,11.493052959442139,4,4,0.7426986331355621,True,False,True,Up
RPS14,0.8311827301211305,0.005607880211109174,4.2124557170325785,Pooled_OUD_vs_Control,5623.329833984375,3160.6952514648438,4,4,0.7426986331355621,True,False,True,Up
FAM153B,1.3892468839317804,0.0039060127136610486,4.546563313289923,Pooled_OUD_vs_Control,135.46468353271484,51.71554470062256,4,4,0.7426986331355621,True,False,True,Up
FAM153A,1.4978649109399884,0.0012827002467254592,5.680556177359392,Pooled_OUD_vs_Control,313.5298156738281,111.01370048522949,4,4,0.7426986331355621,True,False,True,Up
RUNX2-AS1,1.0598794323612841,0.002758927472030674,4.882612358858384,Pooled_OUD_vs_Control,3.9377106428146362,1.888810109347105,4,4,0.7426986331355621,True,False,True,Up
