gene,logFC,PValue,t_stat,contrast,putamen_logfc,caudate_logfc,effect_difference,FDR,significant_nominal,significant_strict,significant,direction
AC108515.1,-0.2611626366346329,4.5521486675307984e-05,11.765766367041639,OUD_Effect_Putamen_vs_Caudate,1.5545769875496718,1.8157396241843047,-0.2611626366346329,1.0,False,False,False,Down
AC103974.2,0.015431733436194528,0.0006264621416873358,7.398020126062096,OUD_Effect_Putamen_vs_Caudate,0.6901845958852306,0.6747528624490361,0.015431733436194528,1.0,False,False,False,Up
MUC6,-0.5761138015334062,0.0009655647739533484,6.832561044024329,OUD_Effect_Putamen_vs_Caudate,1.3903103140960908,1.966424115629497,-0.5761138015334062,1.0,True,False,True,Down
CFHR4,-0.4851360029579542,0.0010102171843430843,-6.775554910097824,OUD_Effect_Putamen_vs_Caudate,-1.4534287934461756,-0.9682927904882214,-0.4851360029579542,1.0,False,False,False,Down
DLX5,-0.38938429572716715,0.001260336758218242,6.502037887717528,OUD_Effect_Putamen_vs_Caudate,1.4155531799028838,1.804937475630051,-0.38938429572716715,1.0,False,False,False,Down
AC084018.4,-1.0130773042993633,0.0014460669953288933,6.33649332102591,OUD_Effect_Putamen_vs_Caudate,1.107874183473397,2.12095148777276,-1.0130773042993633,1.0,True,False,True,Down
AC025166.1,-0.12207191901709902,0.0017283724211289645,6.126620052972028,OUD_Effect_Putamen_vs_Caudate,0.7076053187142284,0.8296772377313274,-0.12207191901709902,1.0,False,False,False,Down
AC092112.1,-0.2828037294414516,0.0018051947508314183,6.076256719381298,OUD_Effect_Putamen_vs_Caudate,0.8109451370457497,1.0937488664872013,-0.2828037294414516,1.0,False,False,False,Down
AL359502.2,0.5860584492256948,0.0019404438395423797,5.993280770445946,OUD_Effect_Putamen_vs_Caudate,1.587944011051676,1.0018855618259812,0.5860584492256948,1.0,True,False,True,Up
DSG4,-0.07861700417908546,0.00194953062275017,-5.987944743923989,OUD_Effect_Putamen_vs_Caudate,-1.0817029579444877,-1.0030859537654022,-0.07861700417908546,1.0,False,False,False,Down
RPS27,-0.3429064975469056,0.0023091316171684525,5.796982234327855,OUD_Effect_Putamen_vs_Caudate,0.7421883158521179,1.0850948133990235,-0.3429064975469056,1.0,False,False,False,Down
RPS8,-0.3306100274699375,0.0023413115501602732,5.781572674525448,OUD_Effect_Putamen_vs_Caudate,0.7005038808048247,1.0311139082747622,-0.3306100274699375,1.0,False,False,False,Down
CLEC4F,-0.22943537393143054,0.002369400849260573,5.768318321295661,OUD_Effect_Putamen_vs_Caudate,1.0271142294529434,1.256549603384374,-0.22943537393143054,1.0,False,False,False,Down
AC131212.1,0.27246140054191914,0.002447892235625048,5.732211629242635,OUD_Effect_Putamen_vs_Caudate,0.9723018100880921,0.699840409546173,0.27246140054191914,1.0,False,False,False,Up
STEAP1,0.0922531869458203,0.002514048322144939,5.702790823342991,OUD_Effect_Putamen_vs_Caudate,1.4545497850212301,1.3622965980754098,0.0922531869458203,1.0,False,False,False,Up
FAM153A,-0.04871194103469345,0.0025654004934509184,5.680556177359392,OUD_Effect_Putamen_vs_Caudate,1.4703341972003312,1.5190461382350247,-0.04871194103469345,1.0,False,False,False,Down
S100A13,0.05259569830871835,0.0025688531494982175,5.6790794892943985,OUD_Effect_Putamen_vs_Caudate,0.8065043766547935,0.7539086783460751,0.05259569830871835,1.0,False,False,False,Up
AC091564.4,0.3801926091251111,0.00274345460273305,5.607219924650651,OUD_Effect_Putamen_vs_Caudate,0.9234452191343259,0.5432526100092148,0.3801926091251111,1.0,False,False,False,Up
AC063977.6,0.05826133473094808,0.003242798888308165,5.427438216391374,OUD_Effect_Putamen_vs_Caudate,0.9740852299689293,0.9158238952379812,0.05826133473094808,1.0,False,False,False,Up
LINC02513,0.74011417757353,0.003690295573896524,5.291287684499349,OUD_Effect_Putamen_vs_Caudate,2.4811363598855727,1.7410221823120426,0.74011417757353,1.0,True,False,True,Up
RPL32,-0.37741458985072684,0.003981903955473306,5.212309026144446,OUD_Effect_Putamen_vs_Caudate,0.7733649129080948,1.1507795027588217,-0.37741458985072684,1.0,False,False,False,Down
AC132807.2,-0.7596690761451307,0.0042537980449736485,5.144378300810586,OUD_Effect_Putamen_vs_Caudate,0.9224828310980685,1.6821519072431992,-0.7596690761451307,1.0,True,False,True,Down
RPLP1,-0.2736219346794919,0.004317694221212255,5.129129141941653,OUD_Effect_Putamen_vs_Caudate,0.6713163228707847,0.9449382575502766,-0.2736219346794919,1.0,False,False,False,Down
RPL35,-0.3011592091518026,0.004637555536719779,5.056459544739662,OUD_Effect_Putamen_vs_Caudate,0.6317049215799531,0.9328641307317557,-0.3011592091518026,1.0,False,False,False,Down
CD207,-0.22788430548576222,0.00470345200936954,5.042195201928744,OUD_Effect_Putamen_vs_Caudate,0.6931230173236721,0.9210073228094343,-0.22788430548576222,1.0,False,False,False,Down
KIF25-AS1,1.0873738690698205,0.004951211342725706,4.990523079649425,OUD_Effect_Putamen_vs_Caudate,3.5057402406643727,2.4183663715945523,1.0873738690698205,1.0,True,False,True,Up
AC112484.3,-1.0700071980480443,0.0052356197842829254,-4.934705682673535,OUD_Effect_Putamen_vs_Caudate,-1.705847834144249,-0.6358406360962046,-1.0700071980480443,1.0,True,False,True,Down
CYP19A1,-0.5919986546382047,0.005388347798017719,4.906132001189783,OUD_Effect_Putamen_vs_Caudate,0.5026461877805822,1.094644842418787,-0.5919986546382047,1.0,True,False,True,Down
RUNX2-AS1,-0.44973710172615355,0.005517854944061348,4.882612358858384,OUD_Effect_Putamen_vs_Caudate,0.825144130105913,1.2748812318320666,-0.44973710172615355,1.0,False,False,False,Down
IL1RN,0.8055464197823499,0.005878336254908427,4.820302225925786,OUD_Effect_Putamen_vs_Caudate,2.4200230501741404,1.6144766303917906,0.8055464197823499,1.0,True,False,True,Up
AC074099.1,0.37915443346269995,0.006074759997589414,4.7881440818814065,OUD_Effect_Putamen_vs_Caudate,1.7478757987233302,1.3687213652606303,0.37915443346269995,1.0,False,False,False,Up
RPS12,-0.53502807962155,0.006252761022298609,4.760002039742845,OUD_Effect_Putamen_vs_Caudate,0.855839104458953,1.390867184080503,-0.53502807962155,1.0,True,False,True,Down
ASB4,-0.0665082485565821,0.0062972954289872984,4.75310270096664,OUD_Effect_Putamen_vs_Caudate,0.8613632798408178,0.9278715283974,-0.0665082485565821,1.0,False,False,False,Down
AL357127.2,-0.6429809438138576,0.006370391662712079,4.74189725324544,OUD_Effect_Putamen_vs_Caudate,1.4111618864814306,2.054142830295288,-0.6429809438138576,1.0,True,False,True,Down
RPL23,-0.17979658464965997,0.006529044265703218,4.718068512141729,OUD_Effect_Putamen_vs_Caudate,0.7888210077273584,0.9686175923770184,-0.17979658464965997,1.0,False,False,False,Down
GOLGA8T,-0.45484446071142903,0.006628322387562144,4.703488003022436,OUD_Effect_Putamen_vs_Caudate,0.7784608673562972,1.2333053280677262,-0.45484446071142903,1.0,False,False,False,Down
RPLP2,-0.28791032591089694,0.006650313913017428,4.700291594350844,OUD_Effect_Putamen_vs_Caudate,0.5406689004416676,0.8285792263525645,-0.28791032591089694,1.0,False,False,False,Down
CKAP4,-0.6777869109656866,0.006678154096731523,4.6962621872314525,OUD_Effect_Putamen_vs_Caudate,0.7032669002508573,1.3810538112165438,-0.6777869109656866,1.0,True,False,True,Down
AC079052.1,0.05794118161272599,0.007060885034912933,4.64271798712688,OUD_Effect_Putamen_vs_Caudate,1.2053817095032429,1.1474405278905169,0.05794118161272599,1.0,False,False,False,Up
OR2T1,-0.7055826730606722,0.007069603745749929,4.641536696500005,OUD_Effect_Putamen_vs_Caudate,1.9563657953062585,2.6619484683669308,-0.7055826730606722,1.0,True,False,True,Down
LINC01533,-0.30053955892156603,0.007227527521185239,4.620420066124431,OUD_Effect_Putamen_vs_Caudate,0.7332468994060144,1.0337864583275804,-0.30053955892156603,1.0,False,False,False,Down
AC005229.5,-0.3396792731977729,0.007351865605633638,4.604157520039699,OUD_Effect_Putamen_vs_Caudate,0.8772318051158474,1.2169110783136203,-0.3396792731977729,1.0,False,False,False,Down
FAM153B,0.6357407673118083,0.007812025427322097,4.546563313289923,OUD_Effect_Putamen_vs_Caudate,1.785157159184744,1.1494163918729356,0.6357407673118083,1.0,True,False,True,Up
AC022809.1,-0.8502576050614787,0.007958402805468475,4.5290411124410594,OUD_Effect_Putamen_vs_Caudate,0.899250951839561,1.7495085569010398,-0.8502576050614787,1.0,True,False,True,Down
LINC02600,0.33352716239491476,0.008020951889448754,4.521664119523738,OUD_Effect_Putamen_vs_Caudate,1.2778908448830637,0.944363682488149,0.33352716239491476,1.0,False,False,False,Up
RPS15,-0.26531364031471383,0.008036522159181402,4.519837851501757,OUD_Effect_Putamen_vs_Caudate,0.590515869070932,0.8558295093856458,-0.26531364031471383,1.0,False,False,False,Down
RPL29,-0.4257601722753348,0.008287361671179085,4.490954281345285,OUD_Effect_Putamen_vs_Caudate,0.673836240166962,1.0995964124422968,-0.4257601722753348,1.0,False,False,False,Down
LYPD3,0.28030241599646954,0.008477670062974129,4.469690270500761,OUD_Effect_Putamen_vs_Caudate,1.007150610514372,0.7268481945179024,0.28030241599646954,1.0,False,False,False,Up
DENND6A-DT,0.06340714008876991,0.008860248768309275,4.428524629159044,OUD_Effect_Putamen_vs_Caudate,0.7583019487107678,0.6948948086219979,0.06340714008876991,1.0,False,False,False,Up
AC009831.1,-0.3268085784653789,0.008996144492178606,4.414381732261325,OUD_Effect_Putamen_vs_Caudate,0.8494540904206391,1.176262668886018,-0.3268085784653789,1.0,False,False,False,Down
AL365214.4,1.6583657966445593,0.009091245166371149,4.404626707744861,OUD_Effect_Putamen_vs_Caudate,2.719871243100369,1.0615054464558098,1.6583657966445593,1.0,True,False,True,Up
AC023906.2,-0.3600737141792629,0.009362693762559866,4.377402131188187,OUD_Effect_Putamen_vs_Caudate,0.8999991580654028,1.2600728722446657,-0.3600737141792629,1.0,False,False,False,Down
HGC6.3,0.7557123071392007,0.009578518704785108,4.356382337915272,OUD_Effect_Putamen_vs_Caudate,2.877228483880211,2.1215161767410105,0.7557123071392007,1.0,True,False,True,Up
LINC02302,-0.16905636789395906,0.009945213131918795,4.321861706895431,OUD_Effect_Putamen_vs_Caudate,0.4944510943625988,0.6635074622565579,-0.16905636789395906,1.0,False,False,False,Down
