gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
IL1RN,2.619729831574051,4.041177446582971e-05,157.30150450827261,OUD_vs_Control_Female,19.439528465270996,3.162776231765747,2,2,0.9562455805042813,True,True,True,Up
DLX4,2.5637176828762773,8.604268204479472e-05,107.7990672392378,OUD_vs_Control_Female,9.424940586090088,1.5941261947154999,2,2,0.9562455805042813,True,True,True,Up
AC016573.1,1.81031611627963,0.00015483479587742217,80.355439274769,OUD_vs_Control_Female,252.83895874023438,72.09157943725586,2,2,0.9562455805042813,True,True,True,Up
AC016751.2,-0.9788500754144442,0.00017229658911636258,-76.17378464561273,OUD_vs_Control_Female,5.023064851760864,9.899927616119385,2,2,0.9562455805042813,True,False,True,Down
EPB41L4A-DT,-2.257039863999512,0.0001800497309521131,-74.51524084772197,OUD_vs_Control_Female,5.094117879867554,24.350377082824707,2,2,0.9562455805042813,True,True,True,Down
CEBPA,-3.157708617445329,0.0001879475049309034,-72.93239787040785,OUD_vs_Control_Female,67.16925621032715,599.4259643554688,2,2,0.9562455805042813,True,True,True,Down
CALML3-AS1,-1.0105660410990631,0.0002999644504034438,-57.725457561330515,OUD_vs_Control_Female,5.212626695632935,10.501886367797852,2,2,0.9999722821216691,True,True,True,Down
RPEL1,1.1870354950911142,0.00037373149712841957,51.7128402028291,OUD_vs_Control_Female,4.257077217102051,1.8697271645069122,2,2,0.9999722821216691,True,True,True,Up
LINC01597,-3.9936704714167397,0.0003943228924077246,-50.343746959981104,OUD_vs_Control_Female,16.911945819854736,269.4065704345703,2,2,0.9999722821216691,True,True,True,Down
IGF1,-3.5116114254766266,0.000488995135681734,-45.205201470951714,OUD_vs_Control_Female,115.00669860839844,1311.666748046875,2,2,0.9999722821216691,True,True,True,Down
AL445623.1,-0.06108533023404167,0.0006027702918465365,-40.71249107033395,OUD_vs_Control_Female,1.031370542012155,1.075977623462677,2,2,0.9999722821216691,False,False,False,Down
AL513218.2,1.6696873366126281,0.0006231945557046852,40.03917435917232,OUD_vs_Control_Female,31.475210189819336,9.893333911895752,2,2,0.9999722821216691,True,True,True,Up
LINC00996,-5.942061081043117,0.0006484026645621152,-39.252409988118345,OUD_vs_Control_Female,38.218002796173096,2349.6685791015625,2,2,0.9999722821216691,True,True,True,Down
LST1,-1.756555727288615,0.0006969633840724009,-37.85889299560256,OUD_vs_Control_Female,342.6408386230469,1157.7507934570312,2,2,0.9999722821216691,True,True,True,Down
CITED2,0.7333807162202963,0.0007033462515755216,37.68653618717278,OUD_vs_Control_Female,266.7594909667969,160.4539031982422,2,2,0.9999722821216691,True,False,True,Up
P2RY13,-2.9427160670523183,0.0008384557881866668,-34.51331539613362,OUD_vs_Control_Female,339.3186340332031,2608.87646484375,2,2,0.9999722821216691,True,True,True,Down
