gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
LINC01088,1.8492937922169685,4.714760784310618,0.000755799770601682,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AC105402.3,1.168944311366798,7.377618533728722,0.0008333637744012037,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
DAW1,3.391871102022441,-0.7947134562386522,0.000992172023129453,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
LEF1,1.6994513900641193,2.3566899436458484,0.0011194848725111593,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
C8orf34,1.5785169896989955,3.7975219587063713,0.0012808454250931584,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AL138701.2,1.9758693945714716,1.1024669858977505,0.0015272520234506622,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AL591519.1,1.4297009020221603,3.8284156591349094,0.0018948750851943304,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
OTOF,2.414440916025416,0.69479028925392,0.00393768549746306,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AC012405.1,1.3513510527559007,5.389052892499254,0.00420812415781174,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AC008415.1,2.382385239152977,2.581434851301888,0.00428864312546404,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AL773573.1,3.751138558906774,-2.8640469801089874,0.004440152713976243,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AC114757.1,1.879970966197832,0.48233824986118096,0.004503424559742094,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
SH3GL2,1.3595814545884675,3.161983145639399,0.004745758507300857,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
CNTNAP3B,0.9445953718512977,4.664655892249836,0.006424654033926436,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
DRD2,1.8646116962099448,1.8520953540423275,0.006995507794433331,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
ATP10A,1.797873310301541,3.652136154839246,0.0077571118702849835,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
APOL3,1.6342801067800714,0.87444088929686,0.00808180232271973,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
ADAMTS3,1.6127449035183739,2.602974887762664,0.008421423906749395,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
LY9,2.0899856528936134,-1.3679225252945149,0.008581146088553896,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
CCL5,2.367476221274872,-0.33476999731643625,0.008729945814895421,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
AC000082.1,3.0107873626228976,-1.899540396765498,0.008932880956173322,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,True,False,False,Up
