gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC073941.1,-2.688620834725502,3.6957667193477257,1.888677380878044e-05,0.5250145383364787,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC012405.1,-2.4299652168455483,5.850365910566211,3.9021774066251206e-05,0.5423636377468255,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL627316.1,-3.526261771837168,1.9258742681685717,0.00011898608974952247,0.9670749282595927,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LINC01088,-1.9960509773563413,5.220282240372623,0.00013915748302174152,0.9670749282595927,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC093689.1,-4.328176532034324,-1.4294301124903204,0.00027128261017227975,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
MIR31HG,-1.6344850538020803,3.522450100601881,0.00042045185313689844,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL358944.1,-1.4926964652537567,3.19689070919968,0.0005073854421903394,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
ATP10A,-1.8739559086648767,4.241619352328285,0.0005227771793861964,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC114485.1,-1.64947296384591,3.846632232019254,0.000527500226961827,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
DCLK1,-1.5098427095366975,5.484999153288094,0.0005308769786832723,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC009654.1,-3.251365536707057,-0.7166642703595183,0.0006786520902799697,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
C8orf34,-1.2806193419255234,4.104035471755421,0.0007606229506180141,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
BTNL9,-1.9354699219433367,1.2079268945909591,0.0010551218721097239,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LEF1,-1.4661464356684686,2.709484943626594,0.0010648766505538636,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL773573.1,-3.0397065182660667,-2.1926729958508395,0.0011838612827961286,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AP001005.3,3.4224416199449497,-1.60763712742406,0.0012414625125650575,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
CAPSL,-3.0507921754698786,-2.4420082812625514,0.0016034028002253377,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
HFM1,1.0002179047058952,5.029064568828134,0.0017894411968396252,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
CLDN5,-1.6491444741598003,1.8869560391462574,0.0019443080217964525,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SERPINE1,-2.149334810266027,0.8875462712813745,0.002028030111637024,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC009154.1,-2.687512350821592,-2.371387028998139,0.002364865103750524,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LINC01189,-0.9977653507207085,4.468872477116873,0.0023652157070801066,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL138701.2,-1.6368314890211295,1.4390764186820555,0.0024586145697144193,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
DGKB,-1.084896199714421,6.042804239642471,0.0025204599567711246,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CYP4F12,-2.480621057960267,1.3795095762956922,0.0025568250740871114,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LMNTD1,-1.4800573543570192,3.094791381618468,0.002702648309275324,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CPAMD8,-1.9295806793861294,2.736784617213463,0.002745361723739336,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
C2orf91,-2.5295336846613923,-1.9132021497224097,0.0028338902452622124,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CU634019.2,-4.284622968465751,-2.930873585014365,0.0029397199741804897,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC008415.1,-1.3893767743435046,2.409299020450744,0.002953885209984185,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CFAP47,-1.3819510991978552,2.6292230620635544,0.0029764561583271697,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
MIR4300HG,-1.6764292346988152,6.436455265615354,0.0029975559986684377,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
RAMP2,-1.8020319051361522,-0.0876399574561825,0.0030017144716387757,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
C1orf158,-2.4241833399191823,-1.7381269676250122,0.0030317194333203054,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
FYB2,-3.446864655194001,-0.24899815047713286,0.003060661656042924,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL445070.1,-3.363393342614295,-3.3224149254654556,0.0035311740545583246,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
PM20D1,2.5141937179145626,1.1917497443349545,0.0035818879327192375,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
COL3A1,-2.7309997644823314,-1.5057076454798195,0.003607433223234846,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
FKBP2,-3.0808717365093448,-3.2692536853796903,0.003677226280487017,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
RPS12,0.8298662537879522,5.2437647739205575,0.0037227919596054724,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
