gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC131944.1,2.957732931355967,6.2602176921228585,8.103857772118002e-09,0.00022194845666276782,OUD_vs_Control_Female,True,True,True,True,True,Up
CPED1,-3.099504874709894,5.581503063567124,2.307313365974384e-08,0.00031596349233653216,OUD_vs_Control_Female,True,True,True,True,True,Down
SLC11A1,3.4044379937807174,5.011644223776668,6.02419281186322e-08,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
MGAT4C,-2.2466940627431766,6.2124597807425666,8.629639178280386e-08,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
GPM6A,-1.5266838021060336,8.287381322544219,1.2657358698902774e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
AC009432.2,-5.813151602153253,3.4302406398609224,1.4168157854779817e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
SORL1,-1.9591726124110667,7.497419632184575,1.51710756079076e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
PLCXD3,-3.327904575641574,3.9022152039961906,1.6205478415038103e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
NKAIN3,-1.8918388039317564,7.26703500694114,1.749943217944816e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
TRPM1,4.04893690780504,3.7744335223111456,1.8802720142955495e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
SLAIN1,1.1675851078652866,10.146746891746595,2.0501960178347856e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
NEAT1,1.3710087224266512,10.715890150508406,2.257008763440339e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
LINC01374,-2.7795373094000855,5.840002762452501,2.36420437541533e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
AC008691.1,-3.833790838237123,6.61650883735158,2.4180450465630065e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
HS3ST4,-1.815499952996456,5.916757866062138,2.602314674826635e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
MICOS10,-2.689471975762702,4.7187840136793655,3.1747264539624684e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
CSMD2,1.3450855293009583,8.044824693569108,3.3829921826614784e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
SLC1A2,-1.3978176134546332,8.329234693849203,3.4199123741175367e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
AC092924.2,1.422660920876321,7.036967839026017,3.7208132175679367e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
TLR2,1.9763361007864653,5.531041565678087,3.796726811072676e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
DENND3,1.597341000660138,6.118647012037107,3.8120933716575634e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
NAV3,-1.2320247808534175,8.736742448267304,3.969214321118611e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
A2M,-1.8765913956445992,5.895281945263804,4.0848272747931674e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
TLL2,1.8541370571503784,5.255787605702409,4.308527502680295e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Up
AL163541.1,-2.034102964916208,6.370586693439494,4.3103735577495845e-07,0.0004722100439985825,OUD_vs_Control_Female,True,True,True,True,True,Down
AC097518.2,-2.839911919669449,4.197526610234471,4.547924577775903e-07,0.00047436299412445147,OUD_vs_Control_Female,True,True,True,True,True,Down
CX3CR1,-4.269720076047774,5.758652882130398,4.738844835079088e-07,0.00047436299412445147,OUD_vs_Control_Female,True,True,True,True,True,Down
SAMD4B,1.281848202878944,7.853540961474889,4.866543721586848e-07,0.00047436299412445147,OUD_vs_Control_Female,True,True,True,True,True,Up
FRMD4A,-1.1944133806177797,9.02129770270681,5.172403200472424e-07,0.00047436299412445147,OUD_vs_Control_Female,True,True,True,True,True,Down
LINC02642,-4.057477684323369,3.8137893930893827,5.196031044155669e-07,0.00047436299412445147,OUD_vs_Control_Female,True,True,True,True,True,Down
