gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
UTY,0.01109992,4.1140556,4.102956,4.102956,-127.50796332545735,0.0,0.0,True
XIST,11.506085,0.022728479,-11.483356,11.483356,113.52731604820482,0.0,0.0,True
NLGN4Y,0.0059381486,2.9141684,2.9082303,2.9082303,-46.0246419307223,6.3303732e-316,2.11012440006e-313,True
LINC00486,121.04006,95.001434,-26.038628,26.038628,23.460931958499614,1.0340537131839165e-107,2.5851342829597913e-105,True
BCAS3,4.562826,6.2461047,1.6832786,1.6832786,-22.30108367083274,1.4572643767205863e-98,2.9145287534411726e-96,True
ZNF708,3.8040156,2.172561,-1.6314547,1.6314547,21.737752770418073,3.2167695837357615e-94,5.361282639559602e-92,True
ZBTB16,3.7165473,1.7004788,-2.0160685,2.0160685,20.99249289416249,1.4076768799257696e-88,2.010966971322528e-86,True
MALAT1,324.7044,242.78102,-81.923386,81.923386,20.392079264861533,4.0005359600571327e-84,5.000669950071416e-82,True
CPQ,2.8405662,3.8256457,0.9850795,0.9850795,-17.789458012972528,7.781190266233865e-66,8.645766962482073e-64,True
CDH20,6.5870576,10.050742,3.4636846,3.4636846,-17.74757442944872,1.4826078036960511e-65,1.4826078036960512e-63,True
GRID2,3.7642748,10.433633,6.6693583,6.6693583,-16.684200769227985,1.3093480520444712e-58,1.1903164109495193e-56,True
PBX1,3.2679226,4.504081,1.2361581,1.2361581,-16.41499317057628,6.681053869565058e-57,5.5675448913042154e-55,True
FKBP5,2.05926,0.63568455,-1.4235754,1.4235754,16.206255151784696,1.3632561267804099e-55,1.0486585590618538e-53,True
KCNMB4,4.799927,2.7700703,-2.029857,2.029857,16.19671304815604,1.5636717354939493e-55,1.116908382495678e-53,True
GRM3,7.240071,10.326289,3.0862184,3.0862184,-15.891523406980593,1.216757071352644e-53,8.111713809017627e-52,True
ERBB4,17.889633,24.924488,7.034855,7.034855,-15.870918334987103,1.6288709580294715e-53,1.0180443487684197e-51,True
ROR1,1.6351259,3.2119157,1.5767899,1.5767899,-15.601783558192675,7.160136207751224e-52,4.211844828088955e-50,True
WSB1,5.3642297,4.360094,-1.0041356,1.0041356,15.578441822236787,9.917347670166964e-52,5.509637594537203e-50,True
AC006059.1,4.359907,2.7827153,-1.5771918,1.5771918,14.991606861360546,3.153349001340209e-48,1.659657369126426e-46,True
TMEFF2,7.314566,10.95621,3.641644,3.641644,-14.98439143422255,3.476786170487538e-48,1.7383930852437688e-46,True
PRKN,4.6384993,5.5381627,0.89966345,0.89966345,-14.79811745931165,4.2691453319992783e-47,2.032926348571085e-45,True
NT5DC1,2.6019545,3.584877,0.98292255,0.98292255,-14.355368250115832,1.4980913249412467e-44,6.809506022460213e-43,True
AUTS2,15.034869,19.203423,4.1685534,4.1685534,-14.3445795088887,1.7249863611779784e-44,7.49994070077382e-43,True
YPEL2,2.1112018,2.946818,0.83561635,0.83561635,-14.273053262457505,4.3843093479314114e-44,1.826795561638088e-42,True
AL354809.1,1.6616663,2.7983832,1.136717,1.136717,-14.087126657161607,4.867659752436175e-43,1.9470639009744698e-41,True
FCHSD2,9.035816,12.058813,3.022997,3.022997,-13.73427939439402,4.371952838964622e-41,1.6815203226787008e-39,True
CLDN11,5.29254,3.5235133,-1.7690268,1.7690268,13.611933169738515,2.034862361159904e-40,7.5365272635552e-39,True
SLC22A23,3.9235828,2.857698,-1.0658848,1.0658848,13.518870574339891,6.5051946305492866e-40,2.323283796624745e-38,True
TMEM165,9.855188,7.084792,-2.7703962,2.7703962,13.46843464082644,1.2178975776894398e-39,4.199646819618758e-38,True
TBC1D5,5.892026,6.75092,0.8588939,0.8588939,-13.250818100907306,1.782777038045508e-38,5.94259012681836e-37,True
EVA1C,2.571781,1.8129781,-0.7588028,0.7588028,13.239659733270786,2.0437836847006592e-38,6.592850595808578e-37,True
ESRRG,2.714092,3.7695374,1.0554454,1.0554454,-13.202239651616972,3.229424036160371e-38,1.009195011300116e-36,True
MAGI2,28.252731,36.10003,7.8472977,7.8472977,-13.096563108537632,1.168744728547061e-37,3.541650692566852e-36,True
WWOX,10.498013,12.412634,1.9146214,1.9146214,-12.949413940320444,6.90742128159259e-37,2.0315944945860558e-35,True
BACH2,2.9544754,3.794909,0.8404336,0.8404336,-12.844763073011999,2.419038293840437e-36,6.911537982401249e-35,True
AP003086.1,2.2085357,1.3561331,-0.85240257,0.85240257,12.825902114740527,3.029374453413503e-36,8.414929037259732e-35,True
RERE,7.4807005,8.41087,0.9301691,0.9301691,-12.583377241499878,5.33383629838969e-35,1.4415773779431595e-33,True
