gene,coefficient,abs_coefficient,z_score,pvalue,padj,significant
AC079352.1,-0.04663061518132794,0.04663061518132794,12.813911423822653,0.0,0.0,True
LMCD1-AS1,0.08001006977399386,0.08001006977399386,21.986455531651657,0.0,0.0,True
GLUL,0.03276961480655756,0.03276961480655756,9.004962509955414,0.0,0.0,True
PDE1A,0.061209036840123236,0.061209036840123236,16.820004912156957,0.0,0.0,True
FOXP1,-0.04894039434321902,0.04894039434321902,13.448629740833299,0.0,0.0,True
AC012494.1,-0.03655285950824917,0.03655285950824917,10.044583418099352,0.0,0.0,True
LRRC7,0.047455675255016275,0.047455675255016275,13.040634718432077,0.0,0.0,True
MTRNR2L12,-0.0270519519909248,0.0270519519909248,7.433771038732019,1.0547118733938987e-13,3.95516952522712e-11,True
TMEFF2,0.025370834759180252,0.025370834759180252,6.9718065714636905,3.129052572603541e-12,1.0430175242011803e-09,True
SMYD3,-0.023326350475517076,0.023326350475517076,6.409990253656506,1.4552892224628522e-10,4.3658676673885566e-08,True
PDE4B,0.02307334475203727,0.02307334475203727,6.3404652663110985,2.2907231667090855e-10,6.247426818297506e-08,True
PLCL1,-0.02281144822705615,0.02281144822705615,6.268497121343137,3.645492796522376e-10,9.11373199130594e-08,True
CTNNA2,-0.02203081706583039,0.02203081706583039,6.053982718826138,1.413077654888184e-09,3.260948434357348e-07,True
LINC00882,-0.018951836432220207,0.018951836432220207,5.207890833455847,1.909992333182231e-07,4.092840713961923e-05,True
TANC1,-0.018665326979749697,0.018665326979749697,5.129159151882083,2.9103921561635104e-07,5.820784312327021e-05,True
MGAT5,-0.018470039238961244,0.018470039238961244,5.075494841366538,3.864888429294666e-07,7.246665804927499e-05,True
VRK2,-0.018225825194368127,0.018225825194368127,5.008385773135271,5.488843513035135e-07,9.686194434767885e-05,True
LINC01473,-0.017728372542809404,0.017728372542809404,4.871687722083789,1.106489609936645e-06,0.00018441493498944084,True
AC007364.1,-0.01729131297782741,0.01729131297782741,4.75158545599024,2.0182782682898193e-06,0.00031867551604576095,True
CMSS1,0.017092879781467687,0.017092879781467687,4.697056786535378,2.6393709031680146e-06,0.0003959056354752022,True
NECTIN3,-0.016998086660503245,0.016998086660503245,4.671008006117134,2.9972525548149775e-06,0.0004281789364021396,True
ST6GALNAC3,-0.016549202650837966,0.016549202650837966,4.547656428681276,5.424659761610329e-06,0.0007397263311286812,True
AC105402.3,-0.016448035008933326,0.016448035008933326,4.5198559547376655,6.188172104071299e-06,0.0008071528831397347,True
FIGN,-0.016162675067028617,0.016162675067028617,4.441440154189996,8.935880033922317e-06,0.0011169850042402896,True
KAZN,-0.015851168837027998,0.015851168837027998,4.35583945551435,1.3255791073252254e-05,0.0015906949287902705,True
ZSWIM5,-0.015373075767115559,0.015373075767115559,4.224461342092965,2.3951295897273184e-05,0.002763611065069983,True
RBMS3,-0.015248012318977527,0.015248012318977527,4.190094393671486,2.788384330631999e-05,0.0030982048118133325,True
ROR1,-0.014645916306665393,0.014645916306665393,4.024640754674806,5.706235654323599e-05,0.005972916680103154,True
SLC8A1,0.01463582933190879,0.01463582933190879,4.021868893300839,5.773819457433049e-05,0.005972916680103154,True
EPHA6,0.014479422139231802,0.014479422139231802,3.9788888059651217,6.923811126169355e-05,0.006923811126169355,True
COBLL1,-0.013738066952127252,0.013738066952127252,3.7751672881552287,0.0001599003179073577,0.015474224313615262,True
ATP1A2,-0.013349004695081037,0.013349004695081037,3.6682544953311056,0.0002442120367638356,0.02289487844660959,True
RAP1A,0.012934807969001243,0.012934807969001243,3.554434848316261,0.00037879234895665803,0.03342285431970512,True
AC006059.1,-0.012962951353439129,0.012962951353439129,3.562168540740247,0.00036780412735160084,0.03342285431970512,True
GALNT2,0.012856011785563694,0.012856011785563694,3.5327819640217313,0.0004112114596304117,0.03524669653974957,True
ESRRG,-0.011762199278832493,0.011762199278832493,3.232206547612998,0.0012283823146463924,0.10236519288719936,False
DISC1,-0.011729848527319826,0.011729848527319826,3.2233166871047154,0.001267153749846761,0.10274219593352117,False
EPCAM-DT,-0.011663661830103613,0.011663661830103613,3.205128840509384,0.0013500203550915746,0.10658055434933483,False
PLCL2,0.011605013678942105,0.011605013678942105,3.189012557006964,0.0014275967622974228,0.10981513556134022,False
LRP1B,0.01113084780572123,0.01113084780572123,3.0587136219398423,0.002222895325329821,0.16671714939973659,False
LRIG1,0.011068649982035621,0.011068649982035621,3.0416219022539077,0.002353072632396369,0.17217604627290506,False
AC063944.1,-0.01090392603235694,0.01090392603235694,2.9963564024882077,0.0027322688888322677,0.18629106060220008,False
ATP2B4,-0.010936250375078125,0.010936250375078125,3.0052390059634546,0.00265372233359229,0.18629106060220008,False
DPYSL5,-0.010918762716684457,0.010918762716684457,3.000433465551964,0.0026959564531934266,0.18629106060220008,False
CADPS,0.010794366164282478,0.010794366164282478,2.9662497774811674,0.0030145555256222423,0.20097036837481616,False
MYRIP,-0.010741557878947492,0.010741557878947492,2.951738266361378,0.003159906505600496,0.20169615993194656,False
RBMS1,-0.010761738377984477,0.010761738377984477,2.9572837888929357,0.0031036232557406507,0.20169615993194656,False
DAB1,-0.010589817450665118,0.010589817450665118,2.9100405877040774,0.0036138182250933237,0.2234697749162581,False
GRM7,0.010578479841900778,0.010578479841900778,2.9069250569760507,0.0036500063236322156,0.2234697749162581,False
AC077690.1,0.010500728051317406,0.010500728051317406,2.8855591677698995,0.0039071901098164386,0.2344314065889863,False
EFHD1,-0.01039426380892066,0.01039426380892066,2.8563032086415165,0.004286056087344781,0.2472724665775835,False
ANKRD44,-0.01039616357752208,0.01039616357752208,2.8568252576535165,0.004279013394553388,0.2472724665775835,False
AFF3,-0.010331717023851734,0.010331717023851734,2.839115595726664,0.004523876532874782,0.2560684829929122,False
RAPGEF4,-0.010183821589594539,0.010183821589594539,2.798474506451086,0.005134462242435633,0.2852479023575352,False
FILIP1L,0.010141662557877762,0.010141662557877762,2.7868893687463356,0.005321664343998167,0.2902726005817182,False
CSMD2,0.009786827929038221,0.009786827929038221,2.6893821948355026,0.007158440848768599,0.3834879026126035,False
SEMA3B,-0.009750139794785914,0.009750139794785914,2.6793004384446366,0.007377616517388885,0.3882956061783624,False
LRRTM4,-0.009710450430189562,0.009710450430189562,2.668393955645132,0.007621483360817027,0.39421465659398414,False
CNTN4,-0.009656855362080915,0.009656855362080915,2.653666239683689,0.007962253936433239,0.4048603696491478,False
KCNH1,0.009559323696878582,0.009559323696878582,2.6268649179756056,0.008617553620029694,0.4308776810014847,False
AGBL4,0.009507612270099143,0.009507612270099143,2.612654819314575,0.008984199052147979,0.44184585502367113,False
LTBP1,-0.009419638529643575,0.009419638529643575,2.5884799780984244,0.00964005510085264,0.46645427907351483,False
NRXN1,0.009348418025383587,0.009348418025383587,2.5689088609343322,0.010201928468204224,0.4858061175335345,False
HS2ST1,0.009306299435704853,0.009306299435704853,2.557334836544113,0.010547763376596242,0.49442640827794887,False
PARD3B,-0.00923510518708925,0.00923510518708925,2.5377709343288313,0.011156097799861486,0.5148968215320686,False
PTPRG,-0.009214879317424905,0.009214879317424905,2.5322129441255945,0.011334513355790055,0.5152051525359116,False
CHI3L1,0.009173265627600074,0.009173265627600074,2.520777664248624,0.011709581339027109,0.5243096121952436,False
SAMMSON,0.009084456876541639,0.009084456876541639,2.4963733653712032,0.012547045951363911,0.5535461449131137,False
CACNA1D,0.00879049067138481,0.00879049067138481,2.415592597203572,0.015709627521772074,0.6830272835553076,False
F3,0.008757849981697763,0.008757849981697763,2.40662306281429,0.016100778392808213,0.6900333596917805,False
ARHGAP29,-0.00867575141278618,0.00867575141278618,2.3840626958544116,0.017122684945942268,0.7234937301102367,False
SNRK,-0.008512657872555597,0.008512657872555597,2.339245226254543,0.01932274566903125,0.8051144028763021,False
CBLB,-0.008389297781213742,0.008389297781213742,2.305346353646013,0.02114718341756694,0.8690623322287784,False
RNF220,-0.008313778126791356,0.008313778126791356,2.2845938467626463,0.022336654076660745,0.8817100293418715,False
KCND3,0.00831662481025085,0.00831662481025085,2.2853761042893757,0.02229078392613415,0.8817100293418715,False
CRB1,-0.008339782510597749,0.008339782510597749,2.291739750144586,0.021920665196877076,0.8817100293418715,False
TNS1,-0.00816835264283522,0.00816835264283522,2.2446314902092492,0.024791799455571528,0.9659142645027868,False
NPHP1,0.0006751021403332854,0.0006751021403332854,0.1855154386152676,0.8528247721740627,0.9999963503102831,False
MTLN,-9.225737704338504e-06,9.225737704338504e-06,0.002535196786555625,0.9979772077922331,0.9999963503102831,False
AC093675.2,2.4255252329179402e-05,2.4255252329179402e-05,0.006665248864935131,0.9946819402130704,0.9999963503102831,False
RGPD6,3.349412109545903e-05,3.349412109545903e-05,0.009204054016166193,0.9926563310898602,0.9999963503102831,False
LIMS1,0.003804871400518656,0.003804871400518656,1.0455638407448018,0.2957624511607131,0.9999963503102831,False
AC093675.1,0.000274749426683984,0.000274749426683984,0.07550007229337109,0.9398168400206461,0.9999963503102831,False
CCDC138,-0.00011643544844159697,0.00011643544844159697,0.031996007711284156,0.9744752346538559,0.9999963503102831,False
MALL,5.631788486984314e-05,5.631788486984314e-05,0.015475935401945534,0.9876524829619124,0.9999963503102831,False
MERTK,0.001125728923077363,0.001125728923077363,0.3093459233050118,0.7570584011456079,0.9999963503102831,False
AC017002.5,0.00020675663959148562,0.00020675663959148562,0.056815919234824735,0.954691832706652,0.9999963503102831,False
BCL2L11,0.0005577563203349315,0.0005577563203349315,0.15326926434611823,0.8781859377600238,0.9999963503102831,False
AC114776.1,-1.6645824436767473e-08,1.6645824436767473e-08,4.574207719109202e-06,0.9999963503102831,0.9999963503102831,False
MIR4435-2HG,-0.001628251879161017,0.001628251879161017,0.4474372742909176,0.6545593678947765,0.9999963503102831,False
AC074387.1,-4.2415852675124484e-05,4.2415852675124484e-05,0.011655711103776997,0.9907002986350149,0.9999963503102831,False
SH3RF3,0.003041627540943754,0.003041627540943754,0.8358274009972614,0.4032520091168905,0.9999963503102831,False
SH3RF3-AS1,-0.00011126011319110311,0.00011126011319110311,0.030573845742574594,0.9756094004697962,0.9999963503102831,False
AC017002.6,0.0005829135797507681,0.0005829135797507681,0.1601823812451151,0.8727374079097157,0.9999963503102831,False
BUB1,-1.606866977176675e-05,1.606866977176675e-05,0.004415607865206209,0.9964768661065677,0.9999963503102831,False
AL627309.1,-0.00012864137920873923,0.00012864137920873923,0.03535014994353378,0.9718005344245388,0.9999963503102831,False
IL1RN,3.125342271751403e-05,3.125342271751403e-05,0.008588318829511669,0.9931475972407644,0.9999963503102831,False
POLR1B,-0.0011447387030179015,0.0011447387030179015,0.3145697367888614,0.7530883599762281,0.9999963503102831,False
INSIG2,0.0013091302365622164,0.0013091302365622164,0.3597438898956108,0.7190386669597915,0.9999963503102831,False
LINC01956,-4.812979364670594e-05,4.812979364670594e-05,0.013225879826751814,0.9894475823291016,0.9999963503102831,False
MARCO,6.385518467309029e-06,6.385518467309029e-06,0.0017547156029810611,0.9985999402302519,0.9999963503102831,False
C1QL2,8.904026468210017e-05,8.904026468210017e-05,0.024467917919449248,0.98047937384136,0.9999963503102831,False
STEAP3,8.130764210232343e-06,8.130764210232343e-06,0.0022343023353383422,0.9982172861457175,0.9999963503102831,False
STEAP3-AS1,-0.000248971939014083,0.000248971939014083,0.06841651908596977,0.945454072312067,0.9999963503102831,False
C2orf76,0.0006313292566872164,0.0006313292566872164,0.17348682068636193,0.8622687863776295,0.9999963503102831,False
DBI,0.002638905151475921,0.002638905151475921,0.7251608569904092,0.4683533532620823,0.9999963503102831,False
AC009404.1,-0.0004482593110339438,0.0004482593110339438,0.12317991268519113,0.9019646317742942,0.9999963503102831,False
TMEM37,-9.377114996781464e-05,9.377114996781464e-05,0.025767946768986822,0.9794424281282958,0.9999963503102831,False
CFAP221,0.00012077748290708305,0.00012077748290708305,0.033189181870011596,0.9735237249884376,0.9999963503102831,False
EPB41L5,-0.00018648294968072292,0.00018648294968072292,0.051244788214134605,0.9591304628716537,0.9999963503102831,False
AC012363.1,-0.0002055346695269099,0.0002055346695269099,0.05648012662069886,0.9549593269090875,0.9999963503102831,False
TMEM185B,-0.00017260738308155966,0.00017260738308155966,0.0474318365585402,0.9621690556624347,0.9999963503102831,False
RALB,-0.0005609175530190679,0.0005609175530190679,0.15413795877459827,0.8775009591276453,0.9999963503102831,False
AC073257.2,-1.3070790824966744e-05,1.3070790824966744e-05,0.0035918024074772237,0.9971341624756702,0.9999963503102831,False
GLI2,0.00404021503294646,0.00404021503294646,1.1102353542636305,0.26689762173864606,0.9999963503102831,False
AC079988.1,8.743255597942177e-06,8.743255597942177e-06,0.0024026125830039304,0.998082994358765,0.9999963503102831,False
SCTR,-0.00010911819293223617,0.00010911819293223617,0.029985254398298217,0.9760788131691245,0.9999963503102831,False
