gene,coefficient,abs_coefficient,z_score,pvalue,padj,significant
AC012494.1,-0.03723842017954316,0.03723842017954316,18.14837089433647,0.0,0.0,True
PARD3B,0.027114735675698255,0.027114735675698255,13.214531587857117,0.0,0.0,True
MTRNR2L12,-0.028798704810195436,0.028798704810195436,14.035224202638299,0.0,0.0,True
DPP10,0.037820458517018415,0.037820458517018415,18.43203082331022,0.0,0.0,True
ST6GALNAC3,0.01681490754099525,0.01681490754099525,8.194847609985283,2.220446049250313e-16,1.3322676295501878e-13,True
LINC00882,-0.01648511541018064,0.01648511541018064,8.034121406263436,8.881784197001252e-16,4.440892098500626e-13,True
MACF1,-0.014561130449409059,0.014561130449409059,7.096455616607037,1.2798651027878805e-12,5.485136154805202e-10,True
SMYD3,0.013997835686686033,0.013997835686686033,6.821930482956211,8.982592447637217e-12,3.368472167863956e-09,True
PLCL1,0.013323691865449568,0.013323691865449568,6.493382385455402,8.393019612640273e-11,2.7976732042134245e-08,True
RGS7,-0.012922572097391838,0.012922572097391838,6.297894223265295,3.0171620757357687e-10,9.051486227207306e-08,True
CAMKMT,0.012144683758347827,0.012144683758347827,5.918785603101396,3.2432740937338167e-09,8.108185234334542e-07,True
GLUL,-0.012151595899925035,0.012151595899925035,5.922154277401018,3.1775131414946145e-09,8.108185234334542e-07,True
AC007389.1,-0.0118889559709372,0.0118889559709372,5.794155108264625,6.866597512811268e-09,1.5845994260333696e-06,True
FIGN,-0.011027228002547344,0.011027228002547344,5.374186734070453,7.692910197754088e-08,1.64848075666159e-05,True
CCDC85A,0.010585102632671485,0.010585102632671485,5.158714242068479,2.4865147207897564e-07,4.973029441579513e-05,True
TMEFF2,0.01048431978538761,0.01048431978538761,5.109597107574684,3.2284652307090766e-07,6.053372307579519e-05,True
TTN,0.010059054402232214,0.010059054402232214,4.902341432795387,9.470105069020462e-07,0.00016711950121800815,True
PRICKLE2,-0.009757864868503996,0.009757864868503996,4.755554878982485,1.979020888276395e-06,0.00032983681471273246,True
LINC01473,-0.009731928026537096,0.009731928026537096,4.742914401068181,2.1066530091484736e-06,0.00033262942249712743,True
AC105402.3,-0.00937573571384203,0.00937573571384203,4.569321907902945,4.8930474709774074e-06,0.0007339571206466111,True
PDK1,-0.009341861124388914,0.009341861124388914,4.552812920402282,5.293334167655317e-06,0.000756190595379331,True
NTNG1,0.009291620130388539,0.009291620130388539,4.52832766595747,5.9452340261945125e-06,0.0008107137308447063,True
LINC01792,-0.009250188746222455,0.009250188746222455,4.508135828524879,6.539970473617984e-06,0.0008530396269936501,True
ROR1,0.009081974263468441,0.009081974263468441,4.426155475757501,9.592739575570164e-06,0.0011511287490684197,True
KCND3,-0.009098494117610068,0.009098494117610068,4.434206527296128,9.24120067802292e-06,0.0011511287490684197,True
ARHGEF4,0.008817326970347919,0.008817326970347919,4.297178005484154,1.7298627820183654e-05,0.0019959955177134988,True
TXNIP,0.00869941417007913,0.00869941417007913,4.239712484064334,2.2380625752216332e-05,0.002486736194690704,True
LRRTM4,-0.00836132114003188,0.00836132114003188,4.074940786540543,4.602605679671079e-05,0.0049313632282190125,True
CDK18,-0.008142489275888117,0.008142489275888117,3.968291744641559,7.238967897804649e-05,0.007488587480487568,True
PDE1A,0.008098975304492917,0.008098975304492917,3.947084945637785,7.91084952904697e-05,0.00791084952904697,True
ESRRG,-0.008046290803213058,0.008046290803213058,3.9214088330368733,8.80327550611959e-05,0.008519298876889925,True
RBMS3,-0.008004591419257641,0.008004591419257641,3.90108638427456,9.576196886085242e-05,0.008977684580704914,True
LMCD1-AS1,0.007740348952893595,0.007740348952893595,3.7723062087867887,0.00016174558286263796,0.014704143896603452,True
SEMA3B,-0.0075905807427219425,0.0075905807427219425,3.699315759318977,0.0002161815072547757,0.01803927251037435,True
EFCAB2,0.0076096859255872324,0.0076096859255872324,3.708626786558362,0.00020838631084507675,0.01803927251037435,True
CLDND1,-0.007585610013538595,0.007585610013538595,3.6968932441746785,0.00021825406794095947,0.01803927251037435,True
CACNA2D3,0.007575600353716739,0.007575600353716739,3.692014975491493,0.00022248436096128366,0.01803927251037435,True
EFR3B,-0.007496846683299894,0.007496846683299894,3.653633894523928,0.0002585548606268695,0.02041222583896338,True
CNTN3,0.007324601967831434,0.007324601967831434,3.56968938329495,0.00035740475939993743,0.027277890201160556,True
RASAL2,0.0073152032405408435,0.0073152032405408435,3.5651088563020763,0.0003637052026821408,0.027277890201160556,True
CLIC4,-0.0071776518693384694,0.0071776518693384694,3.498072357718912,0.0004686339711807985,0.03347385508434275,True
GALNT2,-0.00718520673930848,0.00718520673930848,3.501754269615635,0.0004622056987209078,0.03347385508434275,True
KCNT2,0.007095207566809738,0.007095207566809738,3.457892624711918,0.0005444183193052954,0.03798267343990433,True
