contrast,contrast_type,tf,activity,padj
OUD_vs_Control_Caudate,DESeq2_Compatible,ETV6,-3.5172860756446425,0.016844748800317447
OUD_vs_Control_Caudate,DESeq2_Compatible,FOXD3,-3.2946310856058174,0.03384436717859116
OUD_vs_Control_Caudate,DESeq2_Compatible,FOXP2,-6.64590758063053,2.0376377026310217e-08
OUD_vs_Control_Caudate,DESeq2_Compatible,HAND2,4.541250116907972,0.00046120079369269684
OUD_vs_Control_Caudate,DESeq2_Compatible,HOXC8,-3.3714671737195134,0.02727199268564364
OUD_vs_Control_Caudate,DESeq2_Compatible,HSF2,-5.497926970794588,6.3889427734604225e-06
OUD_vs_Control_Caudate,DESeq2_Compatible,HSF4,-5.435766256818168,7.252210497294036e-06
OUD_vs_Control_Caudate,DESeq2_Compatible,HTATIP2,4.617257811517652,0.0003666780003436106
OUD_vs_Control_Caudate,DESeq2_Compatible,KAT6B,-3.532997313929968,0.016844748800317447
OUD_vs_Control_Caudate,DESeq2_Compatible,MYC,-4.370489698107897,0.0008171093268476336
OUD_vs_Control_Caudate,DESeq2_Compatible,MYT1,-5.666655739092984,3.233956617489e-06
OUD_vs_Control_Caudate,DESeq2_Compatible,NEUROG3,-4.389221830182557,0.0008171093268476336
OUD_vs_Control_Caudate,DESeq2_Compatible,NFYA,-3.864161410508936,0.006108496134648107
OUD_vs_Control_Caudate,DESeq2_Compatible,NR0B2,-3.276180667371369,0.03384436717859116
OUD_vs_Control_Caudate,DESeq2_Compatible,NR1H3,-3.8085843805849664,0.0070682983417163225
OUD_vs_Control_Caudate,DESeq2_Compatible,OLIG1,-3.2680785894210613,0.03384436717859116
OUD_vs_Control_Caudate,DESeq2_Compatible,PRRX1,-3.5436055631397747,0.016844748800317447
OUD_vs_Control_Caudate,DESeq2_Compatible,SMARCA4,4.23576512964003,0.001363879516965412
OUD_vs_Control_Caudate,DESeq2_Compatible,SREBF1,-6.098804696549675,3.580292369558901e-07
OUD_vs_Control_Caudate,DESeq2_Compatible,SREBF2,-5.196570215703058,2.2433052967455715e-05
OUD_vs_Control_Caudate,DESeq2_Compatible,TCF4,3.6963294014723913,0.01026802886442642
OUD_vs_Control_Putamen,DESeq2_Compatible,ARID4B,3.679721358196556,0.01917965193982018
OUD_vs_Control_Putamen,DESeq2_Compatible,CREB1,-3.3969102347544933,0.04067979396553332
OUD_vs_Control_Putamen,DESeq2_Compatible,CREBZF,-6.461485957257027,6.98723238157914e-08
OUD_vs_Control_Putamen,DESeq2_Compatible,ESRRG,-4.807253185263127,0.00033712614548881786
OUD_vs_Control_Putamen,DESeq2_Compatible,GABPA,3.3544823263851447,0.043502017118178485
OUD_vs_Control_Putamen,DESeq2_Compatible,GATA6,-4.652637561419638,0.0004327478751979701
OUD_vs_Control_Putamen,DESeq2_Compatible,MYC,3.409015707005016,0.04067979396553332
OUD_vs_Control_Putamen,DESeq2_Compatible,NCOA2,-3.4857367332770304,0.035813869466949234
OUD_vs_Control_Putamen,DESeq2_Compatible,NR0B1,3.7266565029019842,0.018218782782145924
OUD_vs_Control_Putamen,DESeq2_Compatible,SATB2,4.683844913904329,0.0004327478751979701
OUD_vs_Control_Putamen,DESeq2_Compatible,TBX21,-3.7641438796435347,0.018218782782145924
OUD_vs_Control_Putamen,DESeq2_Compatible,ZBTB4,5.570553315762504,8.450260669678964e-06
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,ARID4B,3.3427836401543067,0.036301298576122853
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,DLX1,-4.409011265851714,0.0013692180139020654
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,ESRRG,-3.7277334397270834,0.01154439811830935
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,FOXP2,4.952132531190565,0.00024285072242304263
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,GLIS3,-4.173457157740695,0.0032924405477351773
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,KAT6B,-4.540538258006183,0.0009255175821206498
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,MECOM,-3.60293070079001,0.015901566754373368
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,MKX,-3.930838851886174,0.006774094542970439
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,MTF1,-5.639585414460285,1.1353921134453787e-05
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,MYC,-3.2994103489047055,0.03975025194050771
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,MYT1,4.053165488456506,0.004750449263669693
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,NFIB,3.611879979437957,0.015901566754373368
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,NFIX,3.5325360786688145,0.0193109619275292
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,OLIG1,3.776292927368159,0.010463999307951114
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,TBX21,-3.908952787005255,0.006774094542970439
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,ZNF804A,-4.580822389514077,0.0009255175821206498
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,ID4,4.261914319513495,0.003337936979881239
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,MYT1,4.604730133475953,0.0009086622478494038
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,OLIG1,6.609607485132174,2.6037628747071517e-08
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,ZBTB4,-4.899980709168133,0.00031696740418471324
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,EBF3,-3.2603067785149697,0.04296970492881731
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,ETV7,3.539287469168337,0.03166420369899742
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,FOSB,-4.642688005853706,0.0022704821247503094
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,FOXG1,-3.3469016189268124,0.03807906050877413
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,MECP2,-3.3114554423365377,0.03807906050877413
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,MTF1,3.8407625435011172,0.023575125141291953
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,PAX5,3.4291878689995747,0.03389860319269058
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,PITX2,3.323631503291161,0.03807906050877413
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,SP4,-3.7504320695560387,0.023575125141291953
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,STAT1,3.5892282599852567,0.03112652201784559
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,TAF1,3.7004306990173204,0.023575125141291953
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,TBR1,3.4018326639912737,0.03389860319269058
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,TBX18,3.5185717165278945,0.03166420369899742
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,TCF3,3.4063649964105274,0.03389860319269058
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,TLX1,-4.288116774617052,0.005935949400465607
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,ZBTB4,-3.717229057345693,0.023575125141291953
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,ZNF335,3.401098867861752,0.03389860319269058
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ATF1,3.3185264860053016,0.01650158417315591
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ATF4,3.58207187982525,0.007722031042956915
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,BCLAF1,3.2850979325421976,0.018086162550751003
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,CREB1,4.251158876572108,0.0012735166777525818
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,DLX1,7.193794626676083,4.3103940123853945e-10
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,DLX2,3.4316950472602263,0.011935650334242294
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,E2F7,-3.1307621571023687,0.027904148442541694
