contrast,contrast_type,hallmark,activity,padj
OUD_vs_Control_Caudate,DESeq2_Compatible,ANDROGEN_RESPONSE,-4.2395247795122355,0.00019879736508529862
OUD_vs_Control_Caudate,DESeq2_Compatible,APICAL_JUNCTION,-2.755267846034171,0.019744064905066257
OUD_vs_Control_Caudate,DESeq2_Compatible,CHOLESTEROL_HOMEOSTASIS,-6.144504399946751,1.3685530951876386e-08
OUD_vs_Control_Caudate,DESeq2_Compatible,EPITHELIAL_MESENCHYMAL_TRANSITION,-3.18241242308221,0.008129607519972848
OUD_vs_Control_Caudate,DESeq2_Compatible,FATTY_ACID_METABOLISM,-3.012068161608441,0.01299398807372053
OUD_vs_Control_Caudate,DESeq2_Compatible,GLYCOLYSIS,-4.226607357960272,0.00019879736508529862
OUD_vs_Control_Caudate,DESeq2_Compatible,HEDGEHOG_SIGNALING,2.559484592730387,0.03278706349411904
OUD_vs_Control_Caudate,DESeq2_Compatible,HYPOXIA,-2.7523705568737373,0.019744064905066257
OUD_vs_Control_Caudate,DESeq2_Compatible,IL2_STAT5_SIGNALING,2.44264356495664,0.04053020150159308
OUD_vs_Control_Caudate,DESeq2_Compatible,INTERFERON_ALPHA_RESPONSE,2.921342169282967,0.01586427062285396
OUD_vs_Control_Caudate,DESeq2_Compatible,INTERFERON_GAMMA_RESPONSE,3.8035759439504955,0.0010225176171238658
OUD_vs_Control_Caudate,DESeq2_Compatible,MTORC1_SIGNALING,-8.587233080041884,4.859329667331888e-16
OUD_vs_Control_Caudate,DESeq2_Compatible,MYC_TARGETS_V1,-4.542373793566486,7.003842649491281e-05
OUD_vs_Control_Caudate,DESeq2_Compatible,MYOGENESIS,-7.17620799626087,1.870417344116351e-11
OUD_vs_Control_Caudate,DESeq2_Compatible,OXIDATIVE_PHOSPHORYLATION,-2.472935777549277,0.039444512620458436
OUD_vs_Control_Caudate,DESeq2_Compatible,PROTEIN_SECRETION,-3.515223535176945,0.0027537441857942283
OUD_vs_Control_Caudate,DESeq2_Compatible,TGF_BETA_SIGNALING,2.8568580561313066,0.017850359059474644
OUD_vs_Control_Caudate,DESeq2_Compatible,UNFOLDED_PROTEIN_RESPONSE,-2.8145278892380188,0.018810997394712543
OUD_vs_Control_Putamen,DESeq2_Compatible,ANDROGEN_RESPONSE,-5.072157806661486,1.988648016100895e-05
OUD_Effect_Male_vs_Female_Caudate,DESeq2_Compatible,HYPOXIA,4.24821037398256,0.0010835176890221787
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,ALLOGRAFT_REJECTION,3.8365456250094394,0.0020876042894110215
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,ANDROGEN_RESPONSE,3.9092424501902476,0.0020876042894110215
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,EPITHELIAL_MESENCHYMAL_TRANSITION,-4.217367399043394,0.0012426524412262432
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,INTERFERON_GAMMA_RESPONSE,2.9123537893964073,0.035921188561856006
OUD_Effect_Male_vs_Female_Putamen,DESeq2_Compatible,NOTCH_SIGNALING,2.9896426198967667,0.034966086669224794
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,EPITHELIAL_MESENCHYMAL_TRANSITION,-3.0570784780312437,0.02238744553624276
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,GLYCOLYSIS,-4.15030084910077,0.0008343913427952879
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,HYPOXIA,-5.572062094743004,1.2790114986773953e-06
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,INTERFERON_GAMMA_RESPONSE,3.2674522538869577,0.013593609659666241
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,REACTIVE_OXYGEN_SPECIES_PATHWAY,-2.7771160065604388,0.04575618237781804
LEMUR_Sex_OUD_Vulnerability_Caudate,LEMUR_Specific,TGF_BETA_SIGNALING,3.5981841448851477,0.0053568946744399935
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ANDROGEN_RESPONSE,2.9384762261573214,0.0110100289682306
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,APICAL_JUNCTION,3.87730757898296,0.0008836747664697195
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,APOPTOSIS,3.0298549069426133,0.0087522096337375
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,COMPLEMENT,2.506900209353826,0.03809169866549918
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ESTROGEN_RESPONSE_EARLY,3.153431504848632,0.006735891679231249
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,HYPOXIA,3.9072437659543042,0.0008836747664697195
