gene,log_fc,p_value,adj_p_value,oud_mean,ctrl_mean,significant
TIAM2,0.0,5.608520554663513e-15,8.019810135362507e-15,1.0728769853469877,1.0728769853469877,False
RAB7A,0.0,2.2598329214823293e-26,3.6745250755810235e-26,1.3400248674140087,1.3400248674140087,False
SLC11A2,0.0,0.0,0.0,1.1563140006002868,1.1563140006002868,False
TMEM65,0.0,0.1415841508567299,0.15099625046931733,0.5810627653139251,0.5810627653139251,False
SRSF5,0.0,3.405306048535575e-300,1.9024056137070252e-299,1.5505068097460692,1.5505068097460692,False
PLAAT1,0.0,8.557246871227419e-45,1.6435173248196067e-44,0.12739258228774997,0.12739258228774997,False
MAP3K2,0.0,0.0,0.0,1.690033968226643,1.690033968226643,False
CDR2,0.0,3.0276966821250357e-128,9.541060973083095e-128,0.3729714613762532,0.3729714613762532,False
SNRPN,0.0,3.137140130004087e-64,6.824815366216288e-64,0.30204631454323067,0.30204631454323067,False
DIAPH2-AS1,0.0,7.533764296732402e-121,2.3086101011437393e-120,0.14316341267804183,0.14316341267804183,False
IFIT3,0.0,3.450163753825024e-164,1.2699989277883525e-163,0.5578869864123039,0.5578869864123039,False
CARS,0.0,0.0,0.0,0.6608501911827266,0.6608501911827266,False
EMID1,0.0,3.0146639419431148e-50,6.009296894238767e-50,0.18830564451922283,0.18830564451922283,False
SLC25A12,0.0,2.3233892913736282e-108,6.657275906514694e-108,0.7653738620286175,0.7653738620286175,False
GOLIM4,0.0,0.5690867604710377,0.5818883031401203,0.6655403094787695,0.6655403094787695,False
ANXA4,0.0,6.534443476809152e-282,3.415214360701647e-281,1.1379500566875635,1.1379500566875635,False
SPECC1L,0.0,0.0,0.0,1.1550645909587898,1.1550645909587898,False
APOA1-AS,0.0,0.0,0.0,0.5193382176604341,0.5193382176604341,False
AL512308.1,0.0,0.3322110910428655,0.34593310417514633,0.2629375079809229,0.2629375079809229,False
AC104827.1,0.0,4.094093608377288e-12,5.639247394459074e-12,0.2434509544357843,0.2434509544357843,False
AC053527.2,0.0,0.0,0.0,1.2529337219692793,1.2529337219692793,False
AC019197.1,0.0,5.180743753341047e-16,7.483019383737671e-16,0.08982246628560317,0.08982246628560317,False
BACE2,0.0,9.011720333267606e-69,2.0327188721656254e-68,0.1562359864160929,0.1562359864160929,False
GPC5-AS2,0.0,1.9247979619860436e-08,2.4986559437291783e-08,0.08765716495875712,0.08765716495875712,False
NUTM2B-AS1,0.0,0.0,0.0,1.6511528744694524,1.6511528744694524,False
RPL17,0.0,0.0,0.0,0.4422340488997887,0.4422340488997887,False
SP140,0.0,7.267019849700871e-11,9.855813539377311e-11,0.1756000720986059,0.1756000720986059,False
LINC01006,0.0,2.670604136863885e-218,1.185179350679239e-217,0.836072477203161,0.836072477203161,False
WWP1,0.0,6.582988731946307e-309,3.7474319157189603e-308,1.6237926301593766,1.6237926301593766,False
KIF1A,0.0,5.2908443265110864e-253,2.6106139768969176e-252,0.8037565575920033,0.8037565575920033,False
PRDM16-DT,0.0,1.9617219068988363e-17,2.891973327123592e-17,0.10597205877189989,0.10597205877189989,False
HNRNPH1,0.0,2.921222869154312e-06,3.612394314700303e-06,0.9583786198178378,0.9583786198178378,False
BTD,0.0,2.1305852383933185e-20,3.247843351209327e-20,1.0161859133425888,1.0161859133425888,False
TMEM14B,0.0,2.244032190980147e-65,4.9139391043360885e-65,1.261474899673847,1.261474899673847,False
SNTA1,0.0,2.4347356248500075e-17,3.582249570647387e-17,0.17428539842301963,0.17428539842301963,False
MIPEP,0.0,9.560625262596464e-10,1.2753168424984168e-09,0.8856017837903842,0.8856017837903842,False
RBM39,0.0,0.0004998050684165603,0.0005822971670872547,2.2717410870914256,2.2717410870914256,False
PTCHD4,0.0,3.045873426631052e-18,4.5280576213543886e-18,0.0683370240184589,0.0683370240184589,False
RASSF3,0.0,1.0545086789162821e-92,2.755684701000737e-92,0.27055944296420115,0.27055944296420115,False
AC066613.2,0.0,1.4837875295858038e-17,2.1906311952546318e-17,0.6054987735210485,0.6054987735210485,False
UGCG,0.0,4.0662933649927085e-203,1.7109228744709853e-202,0.30483797647753036,0.30483797647753036,False
AC132153.1,0.0,2.28821583158444e-69,5.196553743189493e-69,0.43170514702348817,0.43170514702348817,False
ZEB1-AS1,0.0,1.6163117842062347e-68,3.634884072427814e-68,0.1768075544671238,0.1768075544671238,False
MTDH,0.0,4.868563964697417e-215,2.1353350722357093e-214,1.9365056063317772,1.9365056063317772,False
CAMK2B,0.0,4.3833019486182915e-14,6.196939606906161e-14,0.1698330286964509,0.1698330286964509,False
GRAMD1A,0.0,5.197374330907439e-94,1.3725460380917531e-93,0.25217401434391284,0.25217401434391284,False
DPY19L3,0.0,0.0030914460734102127,0.0035263643422930183,0.6103253896585283,0.6103253896585283,False
EHMT1,0.0,0.19871129944923482,0.21005422774760552,1.7660712836447958,1.7660712836447958,False
NKAIN1,0.0,0.0,0.0,0.4146479206203012,0.4146479206203012,False
PHF14,0.0,5.123078693076566e-136,1.6723869509499127e-135,2.1450226631167824,2.1450226631167824,False
EPHA3,0.0,0.9918278900794963,0.992158609616035,0.38380484947796734,0.38380484947796734,False
TRAF3,0.0,3.5131208571571464e-81,8.568587456480844e-81,0.5676475033084563,0.5676475033084563,False
CELF4,0.0,0.9871229565227819,0.9877814775077871,0.10298627779614083,0.10298627779614083,False
AC021231.1,0.0,0.0,0.0,0.8893368019563936,0.8893368019563936,False
ABCC9,0.0,0.03074602925283378,0.03382401457957512,0.08686586812489655,0.08686586812489655,False
MIR9-3HG,0.0,1.0066492990036662e-22,1.5819528009486635e-22,0.14662500719633026,0.14662500719633026,False
PRMT2,0.0,0.006942859614549511,0.007839133926853042,1.3893356883806582,1.3893356883806582,False
ZMAT1,0.0,1.4565206537107557e-283,7.652472786571395e-283,1.0985904769699892,1.0985904769699892,False
DCHS2,0.0,1.4447261616970673e-31,2.478089471178503e-31,0.10771845203254182,0.10771845203254182,False
STAU2,0.0,3.831183016760592e-06,4.725965892385598e-06,1.642781793281207,1.642781793281207,False
