gene,effect_size,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
SLC39A11,-0.0370378669205982,0.0370378669205982,0.7190314079654534,0.0266313895999548,10.0,149.0,2.0,0.9994374648415526,0.9907494218388648,0.9999374960935058,-3.161760169804708,0.0015681866174399,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CNDP1,-0.0490826741736677,0.0490826741736677,0.5292201939124629,0.0259755423439306,2.0,853.0,3.0,0.9999374960935058,0.9467466716669792,0.9998749921870116,-4.191166100118913,2.7752438687800307e-05,0.2220195095024024,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
PDE4B,-0.0317379519784621,0.0317379519784621,0.7179378557263185,0.022785877188562,16.0,151.0,4.0,0.9990624414025876,0.9906244140258766,0.9998124882805176,-2.7088044888239726,0.0067526118616252,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
ARL17B,-0.0362399843732351,0.0362399843732351,0.5871114111375898,0.0212769083649742,11.0,527.0,5.0,0.9993749609350584,0.967122945184074,0.9997499843740234,-3.0935693711731647,0.0019776431182985,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CCDC200,0.0383202206757283,0.0383202206757283,0.5416547917428831,0.0207563311496529,9.0,760.0,6.0,0.9994999687480468,0.9525595349709356,0.9996874804675292,3.2786967539893523,0.0010428763602441,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
GRIN2A,-0.0403554081788778,0.0403554081788778,0.4945299290493068,0.0199569571434562,6.0,1097.0,8.0,0.9996874804675292,0.9314957184824052,0.9995624726545408,-3.445292863486023,0.0005704409804943,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
LINC01170,0.0392202698017029,0.0392202698017029,0.4806097014851774,0.0188496421615645,8.0,1229.0,9.0,0.9995624726545408,0.9232452028251764,0.9994999687480468,3.3556191893912395,0.0007918752562963,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
CNTNAP2,-0.0459492402029146,0.0459492402029146,0.4101855038544932,0.0188477122443636,3.0,2162.0,10.0,0.9998749921870116,0.8649290580661291,0.9994374648415526,-3.923368081938155,8.731958701146958e-05,0.465704464061171,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
FP236383.3,0.0392857067917346,0.0392857067917346,0.4588536059233108,0.0180263882226333,7.0,1494.0,11.0,0.9996249765610352,0.9066816676042252,0.9993749609350584,3.361211742612329,0.0007760131021201,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
DPP10,0.0338046476925481,0.0338046476925481,0.5065308325214463,0.0171230963388005,12.0,1015.0,12.0,0.9993124570285644,0.936621038814926,0.9993124570285644,2.8927746292108285,0.0038185518733888,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
PIEZO2,-0.0303558566450153,0.0303558566450153,0.523748186995321,0.0158988248825166,19.0,889.0,13.0,0.9988749296831052,0.9444965310331896,0.99924995312207,-2.5906841152374884,0.0095785368676746,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
TNIK,0.0312104911617646,0.0312104911617646,0.5085338358311967,0.0158715907886678,17.0,1002.0,14.0,0.9989999374960936,0.93743358959935,0.999187449215576,2.6710657997672245,0.0075610823490803,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
HIVEP3,-0.0251700297718831,0.0251700297718831,0.6169834320884059,0.0155294913544237,26.0,387.0,15.0,0.998437402337646,0.9758734920932558,0.9991249453090818,-2.147478937717962,0.0317551722303783,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
SPRED1,-0.0290308997846069,0.0290308997846069,0.5330726179660504,0.0154755777500904,20.0,815.0,16.0,0.998812425776611,0.9491218201137572,0.9990624414025876,-2.4774470645435223,0.0132326036262233,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
RFX3-AS1,0.0196804803737902,0.0196804803737902,0.7702504788785792,0.0151588994324724,55.0,92.0,17.0,0.9966247890493156,0.9943121445090318,0.9989999374960936,1.6856567988300852,0.091861922365505,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
PTPRJ,-0.0307313862642197,0.0307313862642197,0.4930149663472709,0.0151510333648593,18.0,1116.0,18.0,0.9989374335895992,0.9303081442590162,0.9989374335895992,-2.6227786443482923,0.0087215916800316,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
AL033523.1,-0.0419867398451867,0.0419867398451867,0.344387157810598,0.0144596940010168,4.0,3380.0,19.0,0.9998124882805176,0.7887992999562472,0.9988749296831052,-3.58471414739074,0.0003374475904718,0.999999113285704,True,True,False,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
STARD13,-0.020657633383101,0.020657633383101,0.6910796981305384,0.0142760710424847,48.0,192.0,21.0,0.9970623163947748,0.9880617538596164,0.9987499218701168,-1.761828299650928,0.0780983117783256,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
RUNX2,-0.0131811938344862,0.0131811938344862,1.039702891926488,0.0137045253487588,159.0,8.0,22.0,0.9901243827739232,0.9995624726545408,0.9986874179636228,-1.1228565795332413,0.2614984110269684,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
ATG10,0.0160626727841661,0.0160626727841661,0.7921252530745978,0.0127236487442121,99.0,74.0,23.0,0.9938746171635728,0.9954372148259266,0.9986249140571286,1.376461930930004,0.1686786656437426,0.999999113285704,True,True,True,True,True,False,True,True,caudate_sex_interaction,Sex differences in goal-directed behavior disruption,MEDIUM,Sex differences in goal-directed behavior disruption,MEDIUM,Sex-specific OUD effects in cognitive control
