gene,effect_size_lemur,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj_lemur,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description,effect_size_deseq2,padj_deseq2
GABRB1,0.0227116542695529,0.0227116542695529,0.3377166784531885,0.0076701044420905,18.0,2278.0,29.0,0.9989374335895992,0.8576786049128071,0.9982498906181636,2.1938776797472213,0.02824420441243,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.7164886922024305,3.993060949662798e-06
BAALC,-0.0137584648291272,0.0137584648291272,0.4993575123241688,0.0068703927704725,73.0,538.0,39.0,0.9954997187324208,0.9664354022126382,0.997624851553222,-1.3221976627626664,0.1861023391696918,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.2515170694165998,0.0146454923056429
ZBTB16,-0.0170984902627523,0.0170984902627523,0.3037950330944781,0.0051944364152384,43.0,3001.0,65.0,0.9973748359272454,0.8124882805175324,0.995999749984374,-1.6442087052478598,0.1001330994001243,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-2.180619614657774,0.0104671690083055
FKBP5,-0.0151821068682557,0.0151821068682557,0.3153460246074841,0.0047876170460704,53.0,2720.0,78.0,0.996749796862304,0.8300518782423901,0.99518719919995,-1.459450646686199,0.1444411149502118,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-2.6107902349384893,0.0006678669562812
SLC4A4,0.0068558519089102,0.0068558519089102,0.6776993086612207,0.0046462060989521,338.0,101.0,84.0,0.9789361835114696,0.9937496093505844,0.994812175760985,0.6652236173593832,0.5059074768392127,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.1210482583643542,0.0249805315139283
AC090403.1,0.0078508730699732,0.0078508730699732,0.5266531681668062,0.0041346871751768,255.0,408.0,106.0,0.9841240077504844,0.9745609100568784,0.9934370898181136,0.7611533663196964,0.4465654683641564,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.980953356990931,0.0005466584751414
AC006059.1,-0.0126101684046803,0.0126101684046803,0.3041025766976734,0.0038347847044548,86.0,2995.0,121.0,0.9946871679479968,0.8128633039564973,0.9924995312207012,-1.211490682811069,0.2257074033904151,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-0.9243693733916484,0.0006444129596706
AC092924.2,-0.0107121644069653,0.0107121644069653,0.3460743392825685,0.0037072052194267,127.0,2118.0,132.0,0.9921245077817364,0.867679229951872,0.9918119882492656,-1.028504577438235,0.3037125387429578,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.374051841583366,1.6515835031476388e-10
AC073050.1,0.0137415873175456,0.0137415873175456,0.2669036706492167,0.0036676800955996,75.0,4003.0,134.0,0.9953747109194324,0.7498593662103881,0.9916869804362772,1.3290756991099535,0.1838229966524132,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.5500807941464996,1.3991287508825394e-05
BCAT1,0.0100608890428518,0.0100608890428518,0.3613452124681792,0.003635454088808,159.0,1868.0,136.0,0.9901243827739232,0.883305206575411,0.9915619726232888,0.9742204705911656,0.3299470826829798,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.0868510313271238,0.0346520873371858
NEURL1B,-0.0054720275105912,0.0054720275105912,0.6510142086009868,0.0035623676592503,483.0,134.0,142.0,0.9698731170698168,0.9916869804362772,0.991186949184324,-0.5233042493870943,0.6007625443322495,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.4261196178469493,0.0022478594869866
TLR4,0.0066050027807484,0.0066050027807484,0.4837428156816179,0.0031951226427441,360.0,628.0,162.0,0.977561097568598,0.9608100506281644,0.989936871054441,0.6410393137152558,0.5214971408377667,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.4943509622035158,0.0105036992127155
VAV3,0.0077024815116238,0.0077024815116238,0.4112235273003878,0.003167441616176,268.0,1189.0,165.0,0.9833114569660604,0.9257453590849428,0.9897493593349584,0.7468469721470579,0.4551559381323589,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.4136555186256003,0.0120318752457413
ADAM12,-0.0120930696342577,0.0120930696342577,0.2438890366316022,0.0029493671030179,93.0,4735.0,197.0,0.9942496406025376,0.7041065066566661,0.9877492343271456,-1.1616373156913828,0.2453828177950643,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.0415059722332105,0.0211983336808373
MAP3K5,0.0075778389668336,0.0075778389668336,0.3551711773682896,0.0026914299877575,275.0,1971.0,233.0,0.9828739296206012,0.8768673042065129,0.985499093693356,0.7348302146152557,0.4624429033009762,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,0.999180373535804,0.0442217028561035
NFKBIA,-0.005241122301861,0.005241122301861,0.5006121229493532,0.0026237693621718,514.0,533.0,251.0,0.967935495968498,0.966747921745109,0.9843740233764612,-0.5010427341812778,0.6163410478505551,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.826880635190088,0.0029371384439962
CNDP1,0.0142481431504267,0.0142481431504267,0.1839432661200822,0.0026208499872359,63.0,6907.0,252.0,0.9961247577973624,0.5683480217513595,0.9843115194699668,1.3779126241767128,0.1682302667833974,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-0.9247275682375544,0.0420259923147784
LMNA,-0.0043648284110253,0.0043648284110253,0.5950857423817828,0.002597447155344,689.0,214.0,256.0,0.9569973123320208,0.9866866679167448,0.9840615038439904,-0.4165594525659141,0.677000672683822,0.999997377522206,True,False,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-0.8835644641059617,0.0020059570094288
TCF7L2,-0.0070386665252609,0.0070386665252609,0.3684494188024342,0.0025933925903765,318.0,1747.0,257.0,0.9801862616413526,0.8908681792612039,0.983998999937496,-0.6743435370622961,0.5000929307990485,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,0.83632701024423,0.01849454058307
CHRM5,-0.0098903217932001,0.0098903217932001,0.2547561053712789,0.0025196198609043,164.0,4394.0,267.0,0.9898118632414524,0.7254203387711732,0.9833739608725546,-0.9492709302470972,0.3424828344518733,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-3.5645575402913723,0.0034527367629687
KCNMB4,-0.0113144533722261,0.0113144533722261,0.2004549001179466,0.0022680376206187,113.0,6258.0,311.0,0.9929995624726544,0.6089130570660666,0.9806237889868116,-1.0865711105934843,0.2772263982671425,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.237742779238323,0.0127538610216475
LINC01010,-0.0051162682940022,0.0051162682940022,0.4274222955210049,0.0021868071387237,542.0,1014.0,327.0,0.9661853865866616,0.93668354272142,0.9796237264829052,-0.4890055895462926,0.6248377396217444,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-1.2983303026290758,0.000469390544536
AL160272.1,0.0062386523847308,0.0062386523847308,0.3435080713478201,0.0021430274484883,402.0,2167.0,339.0,0.9749359334958436,0.8646165385336584,0.9788736796049752,0.6057195608328868,0.5447009925205801,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,1.305824278212398,0.0418619651418581
CHI3L1,0.0052600646610661,0.0052600646610661,0.3996603482142859,0.0021022392740713,509.0,1314.0,351.0,0.9682480155009688,0.9179323707731734,0.9781236327270454,0.5113741555889214,0.6090890882769127,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,-4.273943931162904,0.0003094912767438
FSTL5,-0.0052352404834736,0.0052352404834736,0.3847785398124304,0.0020144081887979,515.0,1520.0,375.0,0.9678729920620038,0.9050565660353772,0.9766235389711856,-0.5004756694962132,0.6167401838176214,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation,2.087349254662619,5.591957950250676e-07
