gene,effect_size,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
GRID2,-0.0478010383683575,0.0478010383683575,0.3130383424457742,0.0149635578180175,1.0,2776.0,1.0,1.0,0.8265516594787174,1.0,-4.604233926285567,4.139869231867266e-06,0.0662379077098762,True,True,False,True,True,True,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
IL1RAPL1,-0.0233214187775983,0.0233214187775983,0.5585842366284106,0.0130269769049762,14.0,295.0,2.0,0.999187449215576,0.9816238514907182,0.9999374960935058,-2.244159735022357,0.0248221256860694,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
IMMP2L,-0.0261043848188042,0.0261043848188042,0.4907802279545954,0.0128115159319872,8.0,581.0,3.0,0.9995624726545408,0.9637477342333896,0.9998749921870116,-2.5124648165070127,0.0119891059347179,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
PDE4D,0.0350206208874972,0.0350206208874972,0.3437916703630444,0.0120397977520635,2.0,2162.0,4.0,0.9999374960935058,0.8649290580661291,0.9998124882805176,3.3805821678797443,0.0007233244437203,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
PLCL2,0.0231140561433096,0.0231140561433096,0.5202732310935788,0.012025624673358,16.0,442.0,5.0,0.9990624414025876,0.9724357772360772,0.9997499843740234,2.232673146860104,0.0255705065319191,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
CALD1,-0.0177365687999088,0.0177365687999088,0.676556022947286,0.0119997824479972,40.0,102.0,6.0,0.997562347646728,0.9936871054440902,0.9996874804675292,-1.7057257023547288,0.0880591619112642,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
LINC00609,-0.0293963413293508,0.0293963413293508,0.3925237222616889,0.0115387613194719,5.0,1396.0,7.0,0.9997499843740234,0.9128070504406526,0.9996249765610352,-2.829841545769373,0.0046571062617986,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
SLC7A14-AS1,-0.0295280744215634,0.0295280744215634,0.3901393217278609,0.0115200629267585,4.0,1431.0,8.0,0.9998124882805176,0.9106194137133572,0.9995624726545408,-2.842541901259524,0.0044755347637472,0.999997377522206,True,True,False,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
ADAMTS18,0.0264636749205447,0.0264636749205447,0.4339396654232315,0.0114836382408903,7.0,958.0,9.0,0.9996249765610352,0.9401837614850928,0.9994999687480468,2.5556090812774563,0.0106002130949653,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
PPP1R14A,0.0243674823564213,0.0243674823564213,0.4450012558205446,0.0108435602497924,10.0,873.0,10.0,0.9994374648415526,0.945496593537096,0.9994374648415526,2.3535156642550454,0.0185968243131802,0.999997377522206,True,True,True,True,True,False,True,True,putamen_sex_interaction,Sex differences in motor control and habit disruption,MEDIUM,Sex differences in motor control and habit disruption,MEDIUM,Sex-specific OUD effects in habit formation
