gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC131944.1,2.957732931355967,6.2602176921228585,8.103857772118002e-9,2.2194845666276e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CPED1,-3.099504874709894,5.581503063567124,2.307313365974384e-8,3.1596349233653e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SLC11A1,3.4044379937807174,5.011644223776668,6.02419281186322e-8,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
MGAT4C,-2.2466940627431766,6.2124597807425666,8.629639178280386e-8,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GPM6A,-1.5266838021060336,8.287381322544219,1.2657358698902776e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC009432.2,-5.813151602153253,3.4302406398609224,1.4168157854779817e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SORL1,-1.9591726124110669,7.497419632184575,1.51710756079076e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PLCXD3,-3.327904575641574,3.9022152039961906,1.6205478415038105e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NKAIN3,-1.8918388039317564,7.26703500694114,1.749943217944816e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TRPM1,4.04893690780504,3.7744335223111456,1.8802720142955498e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SLAIN1,1.1675851078652866,10.146746891746597,2.0501960178347858e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NEAT1,1.3710087224266512,10.715890150508406,2.257008763440339e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC01374,-2.7795373094000855,5.840002762452501,2.36420437541533e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC008691.1,-3.833790838237123,6.61650883735158,2.4180450465630065e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
HS3ST4,-1.815499952996456,5.916757866062138,2.602314674826635e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MICOS10,-2.689471975762702,4.7187840136793655,3.174726453962469e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CSMD2,1.3450855293009585,8.044824693569108,3.382992182661479e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SLC1A2,-1.3978176134546332,8.329234693849203,3.419912374117537e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC092924.2,1.422660920876321,7.036967839026017,3.720813217567937e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TLR2,1.9763361007864653,5.531041565678087,3.796726811072676e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
DENND3,1.597341000660138,6.118647012037107,3.8120933716575634e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NAV3,-1.2320247808534175,8.736742448267304,3.969214321118611e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
A2M,-1.8765913956445992,5.895281945263804,4.0848272747931674e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TLL2,1.8541370571503784,5.255787605702409,4.308527502680295e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AL163541.1,-2.034102964916208,6.370586693439494,4.310373557749585e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC097518.2,-2.839911919669449,4.197526610234471,4.547924577775903e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CX3CR1,-4.269720076047774,5.758652882130398,4.738844835079088e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SAMD4B,1.281848202878944,7.853540961474889,4.866543721586848e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
FRMD4A,-1.1944133806177797,9.02129770270681,5.172403200472424e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02642,-4.057477684323369,3.8137893930893823,5.196031044155669e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ZNF708,1.1792596192214395,8.585198152051944,5.993890744794748e-7,5.2955057973689e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC02712,-3.541248490095533,5.603692846363755,7.318543102880283e-7,6.206560089607e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PRIMA1,1.327898629743173,6.735582025371059,7.478329303236195e-7,6.206560089607e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GABRB1,-1.7250598972996445,7.211490553229749,7.915394338992627e-7,6.2355724542486e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SRGN,2.4724193704964073,5.7050150207152726,7.968637209679462e-7,6.2355724542486e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CACNB4,-1.4356198817398211,6.0372268077773334,8.569680714728017e-7,6.456679976922e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ETNPPL,-2.2221772590058637,4.384603508530268,8.722694579601152e-7,6.456679976922e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SGCZ,-1.6021961535100493,5.871653464706534,9.13288525663627e-7,6.4788804348519e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
EVA1C,1.1071547641321862,8.012069069625406,9.225804620973636e-7,6.4788804348519e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NHSL1,-1.6938568460792802,5.8278891163009146,9.873899895719563e-7,6.6739694714147e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SFMBT2,-1.324425378164959,8.06124928498202,9.990972262596997e-7,6.6739694714147e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NAMPT,1.6945618703152925,5.775430479651899,1.0400072471659737e-6,6.7818377346146e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CSF2RA,-2.2197033997486444,5.098354229731028,1.1026340235740271e-6,6.8672974570689e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
BMP8A,2.527136356949661,3.388518341872959,1.1076578265097037e-6,6.8672974570689e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ATP1A2,-1.4677694364280194,5.859645750747501,1.1283349845483498e-6,6.8672974570689e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ERBIN,0.8839741196993569,10.63330164999068,1.2101337451498217e-6,7.0764753967767e-4,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
CLIC4,0.99624999423003,8.482810531322022,1.2295185699271849e-6,7.0764753967767e-4,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
ACSM5,-3.4686870119687097,2.7022280908769445,1.264324679980734e-6,7.0764753967767e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
