Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,3.272504097905985e-60,2.4674680898211126e-57,200/2407
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,1.8149118428055172e-52,6.8422176473768e-50,190/2407
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,7.111140324211967e-49,1.7872666014852742e-46,167/2407
OUD_vs_Control_Female,C8_CellType,HU_FETAL_RETINA_MICROGLIA,9.064699797534638e-48,1.708695911835279e-45,168/2407
OUD_vs_Control_Female,C8_CellType,DESCARTES_MAIN_FETAL_MICROGLIA,2.846368789287655e-28,3.5769367785381534e-26,80/2407
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_EYE_MICROGLIA,7.590824903708184e-19,4.088201412425693e-17,65/2407
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_2,2.1463249028698112e-14,7.35604080347199e-13,59/2407
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,2.607838741801751e-13,7.562732351225078e-12,96/2407
OUD_vs_Control_Female,WikiPathways,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,6.720061984788411e-14,4.502441529808235e-11,34/1231
OUD_vs_Control_Female,GO_BP,positive regulation of cytokine production,2.3569709233373846e-14,1.3491304979481903e-10,123/2058
OUD_Effect_Male_vs_Female,C8_CellType,HU_FETAL_RETINA_MICROGLIA,6.849078648898008e-12,1.712269662224502e-9,93/2057
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,1.1174379666266507e-11,1.7734284491284776e-9,83/2057
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_2,3.423485735073683e-10,2.8529047792280693e-8,47/2057
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,2.3266035790096853e-9,2.9733205060564452e-8,60/2407
