contrast,database,total_pathways,original_significant,global_significant
OUD_Effect_Male_vs_Female,C2_Curated,17,0,0
OUD_Effect_Male_vs_Female,C3_Motif,3207,406,379
OUD_Effect_Male_vs_Female,C7_Immunologic,4872,422,440
OUD_Effect_Male_vs_Female,C8_CellType,750,186,161
OUD_Effect_Male_vs_Female,DO,930,16,46
OUD_Effect_Male_vs_Female,GO_BP,5677,114,276
OUD_Effect_Male_vs_Female,GO_CC,659,38,43
OUD_Effect_Male_vs_Female,GO_MF,1229,21,45
OUD_Effect_Male_vs_Female,Hallmark,50,9,9
OUD_Effect_Male_vs_Female,KEGG,339,7,13
OUD_Effect_Male_vs_Female,PharmGKB,191,1,2
OUD_Effect_Male_vs_Female,Reactome,1473,2,23
OUD_Effect_Male_vs_Female,WikiPathways,677,23,33
OUD_vs_Control_Female,C2_Curated,17,0,0
OUD_vs_Control_Female,C3_Motif,3224,169,211
OUD_vs_Control_Female,C7_Immunologic,4872,1073,875
OUD_vs_Control_Female,C8_CellType,754,363,276
OUD_vs_Control_Female,DO,942,144,116
OUD_vs_Control_Female,GO_BP,5757,852,744
OUD_vs_Control_Female,GO_CC,644,74,73
OUD_vs_Control_Female,GO_MF,1232,82,97
OUD_vs_Control_Female,Hallmark,50,16,11
OUD_vs_Control_Female,KEGG,340,42,37
OUD_vs_Control_Female,PharmGKB,195,1,3
OUD_vs_Control_Female,Reactome,1485,35,57
OUD_vs_Control_Female,WikiPathways,670,46,53
OUD_vs_Control_Male,C3_Motif,100,0,2
OUD_vs_Control_Male,C7_Immunologic,234,0,3
OUD_vs_Control_Male,C8_CellType,65,1,1
OUD_vs_Control_Male,DO,34,7,2
OUD_vs_Control_Male,GO_BP,278,1,10
OUD_vs_Control_Male,GO_CC,22,0,1
OUD_vs_Control_Male,GO_MF,42,18,3
OUD_vs_Control_Male,Hallmark,1,1,0
OUD_vs_Control_Male,KEGG,20,0,0
OUD_vs_Control_Male,Reactome,23,14,1
OUD_vs_Control_Male,WikiPathways,13,0,0
