Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio,neg_log10_pvalue,neg_log10_padj,pathway_short,contrast_clean,database_clean
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_CEREBRUM_MICROGLIA,3.272504097905985e-60,2.4674680898211126e-57,200/2407,59.48511980094318,56.607748455073406,DESCARTES_FETAL_CEREBRUM_MICROGLIA,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,1.8149118428055172e-52,6.8422176473768e-50,190/2407,51.74114446545594,49.164803115250145,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,7.111140324211967e-49,1.7872666014852742e-46,167/2407,48.14806075133728,45.74781066018717,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,HU_FETAL_RETINA_MICROGLIA,9.064699797534638e-48,1.708695911835279e-45,168/2407,47.04264657418657,44.76733521964476,HU_FETAL_RETINA_MICROGLIA,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,DESCARTES_MAIN_FETAL_MICROGLIA,2.846368789287655e-28,3.5769367785381534e-26,80/2407,27.54570883131554,25.44648873582941,DESCARTES_MAIN_FETAL_MICROGLIA,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_EYE_MICROGLIA,7.590824903708184e-19,4.088201412425693e-17,65/2407,18.11971102625708,16.38846771606554,DESCARTES_FETAL_EYE_MICROGLIA,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_ASTROCYTE_2,2.1463249028698112e-14,7.35604080347199e-13,59/2407,13.66830453547207,12.1333558704245,FAN_EMBRYONIC_CTX_ASTROCYTE_2,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,2.607838741801751e-13,7.562732351225078e-12,96/2407,12.58371926712375,11.121321269224794,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,OUD vs Control Female,C8 CellType
OUD_vs_Control_Female,WikiPathways,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,6.720061984788411e-14,4.502441529808235e-11,34/1231,13.172626721064118,10.346551918363293,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,OUD vs Control Female,WikiPathways
OUD_vs_Control_Female,GO_BP,positive regulation of cytokine production,2.3569709233373846e-14,1.3491304979481903e-10,123/2058,13.627645775096388,9.869946040099988,positive regulation of cytokine production,OUD vs Control Female,GO BP
