Contrast,Database,Analysis,Total_Pathways,FDR05_Pathways,total_pathways,original_significant,global_significant,correction_efficiency,false_discovery_reduction
OUD_Effect_Male_vs_Female,GO_BP,ORA,7355,171,7355,171,355,0.04826648538409246,-1.0760233918128654
OUD_Effect_Male_vs_Female,GO_MF,ORA,1652,26,1652,26,55,0.033292978208232446,-1.1153846153846154
OUD_Effect_Male_vs_Female,GO_CC,ORA,850,50,850,50,53,0.06235294117647059,-0.06
OUD_Effect_Male_vs_Female,KEGG,ORA,346,7,346,7,13,0.03757225433526012,-0.8571428571428571
OUD_Effect_Male_vs_Female,Reactome,ORA,1740,2,1740,2,25,0.014367816091954023,-11.5
OUD_Effect_Male_vs_Female,DO,ORA,1261,26,1261,26,54,0.04282315622521808,-1.0769230769230769
OUD_Effect_Male_vs_Female,Hallmark,ORA,50,9,50,9,9,0.18,0
OUD_Effect_Male_vs_Female,C2_Curated,ORA,18,0,18,0,0,0,NA
OUD_Effect_Male_vs_Female,C3_Motif,ORA,3516,523,3516,523,460,0.13083048919226395,0.12045889101338432
OUD_Effect_Male_vs_Female,C7_Immunologic,ORA,4872,422,4872,422,426,0.0874384236453202,-0.009478672985781991
OUD_Effect_Male_vs_Female,C8_CellType,ORA,818,211,818,211,181,0.22127139364303178,0.14218009478672985
OUD_Effect_Male_vs_Female,WikiPathways,ORA,755,23,755,23,34,0.045033112582781455,-0.4782608695652174
OUD_Effect_Male_vs_Female,PharmGKB,ORA,191,1,191,1,2,0.010471204188481676,-1
OUD_Effect_Male_vs_Female,BioCarta,ORA,242,0,242,0,1,0.004132231404958678,-Inf
OUD_Effect_Male_vs_Female,GO_BP,GSEA,2193,2193,7355,171,355,0.04826648538409246,-1.0760233918128654
OUD_Effect_Male_vs_Female,KEGG,GSEA,193,193,346,7,13,0.03757225433526012,-0.8571428571428571
OUD_Effect_Male_vs_Female,Hallmark,GSEA,40,40,50,9,9,0.18,0
OUD_Effect_Male_vs_Female,C7_Immunologic,GSEA,3884,3884,4872,422,426,0.0874384236453202,-0.009478672985781991
OUD_Effect_Male_vs_Female,C8_CellType,GSEA,531,531,818,211,181,0.22127139364303178,0.14218009478672985
OUD_vs_Control_Female,GO_BP,ORA,7617,949,7617,949,886,0.11631876066692924,0.06638566912539515
OUD_vs_Control_Female,GO_MF,ORA,1674,95,1674,95,115,0.06869772998805257,-0.21052631578947367
OUD_vs_Control_Female,GO_CC,ORA,832,96,832,96,93,0.11177884615384616,0.03125
OUD_vs_Control_Female,KEGG,ORA,344,42,344,42,37,0.10755813953488372,0.11904761904761904
OUD_vs_Control_Female,Reactome,ORA,1759,43,1759,43,63,0.03581580443433769,-0.46511627906976744
OUD_vs_Control_Female,DO,ORA,1310,155,1310,155,142,0.1083969465648855,0.08387096774193549
OUD_vs_Control_Female,Hallmark,ORA,50,16,50,16,10,0.2,0.375
OUD_vs_Control_Female,C2_Curated,ORA,19,0,19,0,0,0,NA
OUD_vs_Control_Female,C3_Motif,ORA,3530,193,3530,193,227,0.06430594900849858,-0.17616580310880828
OUD_vs_Control_Female,C7_Immunologic,ORA,4872,1073,4872,1073,858,0.17610837438423646,0.20037278657968313
OUD_vs_Control_Female,C8_CellType,ORA,824,391,824,391,297,0.3604368932038835,0.24040920716112532
OUD_vs_Control_Female,WikiPathways,ORA,745,42,745,42,54,0.07248322147651007,-0.2857142857142857
OUD_vs_Control_Female,PharmGKB,ORA,195,1,195,1,3,0.015384615384615385,-2
OUD_vs_Control_Female,BioCarta,ORA,247,0,247,0,1,0.004048582995951417,-Inf
OUD_vs_Control_Female,GO_BP,GSEA,1629,1629,7617,949,886,0.11631876066692924,0.06638566912539515
OUD_vs_Control_Female,KEGG,GSEA,151,151,344,42,37,0.10755813953488372,0.11904761904761904
OUD_vs_Control_Female,Hallmark,GSEA,43,43,50,16,10,0.2,0.375
OUD_vs_Control_Female,C7_Immunologic,GSEA,2938,2938,4872,1073,858,0.17610837438423646,0.20037278657968313
OUD_vs_Control_Female,C8_CellType,GSEA,561,561,824,391,297,0.3604368932038835,0.24040920716112532
OUD_vs_Control_Male,GO_BP,ORA,377,1,377,1,19,0.050397877984084884,-18
OUD_vs_Control_Male,GO_MF,ORA,60,22,60,22,8,0.13333333333333333,0.6363636363636364
OUD_vs_Control_Male,GO_CC,ORA,37,0,37,0,1,0.02702702702702703,-Inf
OUD_vs_Control_Male,KEGG,ORA,20,0,20,0,0,0,NA
OUD_vs_Control_Male,Reactome,ORA,33,16,33,16,2,0.06060606060606061,0.875
OUD_vs_Control_Male,DO,ORA,46,11,46,11,6,0.13043478260869565,0.45454545454545453
OUD_vs_Control_Male,Hallmark,ORA,1,1,1,1,0,0,1
OUD_vs_Control_Male,C3_Motif,ORA,127,0,127,0,2,0.015748031496062992,-Inf
OUD_vs_Control_Male,C7_Immunologic,ORA,234,0,234,0,3,0.01282051282051282,-Inf
OUD_vs_Control_Male,C8_CellType,ORA,75,1,75,1,2,0.02666666666666667,-1
OUD_vs_Control_Male,WikiPathways,ORA,13,0,13,0,0,0,NA
OUD_vs_Control_Male,BioCarta,ORA,3,3,3,3,0,0,1
OUD_vs_Control_Male,GO_BP,GSEA,2159,2159,377,1,19,0.050397877984084884,-18
OUD_vs_Control_Male,KEGG,GSEA,207,207,20,0,0,0,NA
OUD_vs_Control_Male,Hallmark,GSEA,32,32,1,1,0,0,1
OUD_vs_Control_Male,C7_Immunologic,GSEA,3700,3700,234,0,3,0.01282051282051282,-Inf
OUD_vs_Control_Male,C8_CellType,GSEA,457,457,75,1,2,0.02666666666666667,-1
