Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio,neg_log10_pvalue,neg_log10_padj,pathway_short,contrast_clean,database_clean
OUD_Effect_Male_vs_Female,BioCarta,BIOCARTA_IL22BP_PATHWAY,4.935035502946739e-4,0.11942785917131109,6/207,3.3067097186420855,0.9228943526616542,BIOCARTA_IL22BP_PATHWAY,OUD Effect Male vs Female,BioCarta
OUD_Effect_Male_vs_Female,C3_Motif,MIR5680,1.6774414262509243e-10,3.9257108176401565e-7,100/2151,9.775352635808828,6.406081695293515,MIR5680,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,CTGCAGY_UNKNOWN,2.2330550726053222e-10,3.9257108176401565e-7,143/2151,9.651100566031268,6.406081695293515,CTGCAGY_UNKNOWN,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR7_1_3P,2.2879557436990637e-9,2.6814841316153027e-6,125/2151,8.64055238042673,5.571624768744658,MIR7_1_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR7_2_3P,3.6061081395971916e-9,3.1697690547059315e-6,124/2151,8.442961253840421,5.4989723787666485,MIR7_2_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR3658,4.303528616871433e-8,3.026241323383992e-5,140/2151,7.366175304791261,4.519096442725545,MIR3658,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR6885_3P,7.178398949656228e-8,4.20654178449855e-5,82/2151,7.143972408803066,4.3760747927849755,MIR6885_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR3662,9.515552104028317e-8,4.7795258853947946e-5,159/2151,7.021566008346298,4.3206151819588205,MIR3662,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR3646,1.1733614538517146e-7,5.1569235896782855e-5,147/2151,6.930568182912311,4.287609303502521,MIR3646,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,TGACAGNY_MEIS1_01,1.4284355524498062e-7,5.208485387810774e-5,140/2151,6.845139349153702,4.283288549895888,TGACAGNY_MEIS1_01,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR4306,1.6019081396784334e-7,5.208485387810774e-5,87/2151,6.795362391856401,4.283288549895888,MIR4306,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,CEBPB_02,1.8313442392333876e-7,5.208485387810774e-5,57/2151,6.737230013345652,4.283288549895888,CEBPB_02,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,TGACATY_UNKNOWN,1.8500355088593809e-7,5.208485387810774e-5,116/2151,6.732819935838234,4.283288549895888,TGACATY_UNKNOWN,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR607,1.9257767361075104e-7,5.208485387810774e-5,162/2151,6.715394063990786,4.283288549895888,MIR607,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR6867_5P,3.5743633891461406e-7,8.976758340169879e-5,145/2151,6.4468012968560124,4.046880466132516,MIR6867_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR1277_5P,4.7233811309679336e-7,1.1071605370988836e-4,149/2151,6.325747009664032,3.9557894023179787,MIR1277_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR506_3P,6.75030478203544e-7,1.483379475852288e-4,128/2151,6.170676617958911,3.8287477342131018,MIR506_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,RGAANNTTC_HSF1_01,7.247354501719869e-7,1.4989234369439447e-4,84/2151,6.139820494804904,3.8242205497814434,RGAANNTTC_HSF1_01,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR5688,9.23914030586253e-7,1.804712073078481e-4,133/2151,6.034368437631617,3.7435920763331882,MIR5688,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR124_3P,9.827091574966866e-7,1.8185291567149211e-4,127/2151,6.0075749969023375,3.740279731453432,MIR124_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR4644,1.0923803272256926e-6,1.9204046152627676e-4,59/2151,5.961626129709765,3.7166072589720116,MIR4644,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,TAATTA_CHX10_01,1.147126389960394e-6,1.920617327190831e-4,129/2151,5.94038872905745,3.7165591573896353,TAATTA_CHX10_01,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR1250_3P,1.2122829849395164e-6,1.937448625021518e-4,92/2151,5.9163959903575565,3.712769804778029,MIR1250_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR302E,1.4523201012324142e-6,2.220155424318769e-4,89/2151,5.837937651626639,3.6536166212424974,MIR302E,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR10527_5P,2.871422977782393e-6,4.206634662451206e-4,104/2151,5.54190282861587,3.3760652039257417,MIR10527_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR3133,3.2633516201843087e-6,4.4344917581475214e-4,92/2151,5.486336129252719,3.3531561479360605,MIR3133,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR545_5P,3.279203234125016e-6,4.4344917581475214e-4,63/2151,5.484231666366977,3.3531561479360605,MIR545_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR495_3P,3.9539233055642016e-6,5.14888679346805e-4,119/2151,5.402971758971081,3.2882866567283338,MIR495_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR185_5P,4.1267502741522405e-6,5.182019272828313e-4,56/2151,5.3843918111902145,3.2855009761306992,MIR185_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR7856_5P,4.276818536382585e-6,5.185273784110748e-4,77/2151,5.368879176285063,3.2852283077822846,MIR7856_5P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,ACTGTGA_MIR27A_MIR27B,4.784348985752589e-6,5.565954704803565e-4,86/2151,5.32017714903245,3.254460332233724,ACTGTGA_MIR27A_MIR27B,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,GTGCCTT_MIR506,4.907411713564008e-6,5.565954704803565e-4,120/2151,5.309147504801186,3.254460332233724,GTGCCTT_MIR506,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR4652_3P,6.703903643546373e-6,7.365914128346577e-4,62/2151,5.1736722365282635,3.132773348446435,MIR4652_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR7159_3P,8.12263027612561e-6,8.654293348744741e-4,48/2151,5.090303314424499,3.0627683879006526,MIR7159_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR4772_3P,8.706814532390134e-6,8.760190754468311e-4,25/2151,5.060140706535944,3.0574864369014385,MIR4772_3P,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,HIF1_Q5,8.720326405187454e-6,8.760190754468311e-4,51/2151,5.059467258952897,3.0574864369014385,HIF1_Q5,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,MIR603,1.0723557564096048e-5,0.0010473341220933808,39/2151,4.969661112577583,2.9799147469431357,MIR603,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,ATATGCA_MIR448,1.1083641058675423e-5,0.001053245458440616,42/2151,4.955317547195177,2.977470404860438,ATATGCA_MIR448,OUD Effect Male vs Female,C3 Motif
OUD_Effect_Male_vs_Female,C3_Motif,SOX10_TARGET_GENES,1.1885520097617774e-5,0.0010809003709276624,53/2151,4.9249818092590365,2.966214334122882,SOX10_TARGET_GENES,OUD Effect Male vs Female,C3 Motif
