ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
BIOCARTA_MSP_PATHWAY,BIOCARTA_MSP_PATHWAY,5/265,6/1430,0.8333333333333334,4.49685534591195,4.092365233547813,0.0010780291834730606,0.26627320831784596,0.2632660742797369,IL1B/CCL2/TNF/CSF1/MST1,5,61.33647798742139,18.60372170644984,202.22639272211333
BIOCARTA_GRANULOCYTES_PATHWAY,BIOCARTA_GRANULOCYTES_PATHWAY,7/265,15/1430,0.4666666666666667,2.518238993710692,2.8182767621481157,0.011518620025212896,0.7770613028433077,0.7682856265060618,SELPLG/PECAM1/CXCL8/TNF/CSF3/ICAM1/SELL,7,34.34842767295597,13.890963152351093,84.93395819026408
BIOCARTA_LYMPHOCYTE_PATHWAY,BIOCARTA_LYMPHOCYTE_PATHWAY,5/265,9/1430,0.5555555555555556,2.9979035639413,2.8666510197323776,0.013872217882988895,0.7770613028433077,0.7682856265060618,PECAM1/ITGA4/SELE/ICAM1/SELL,5,40.890985324947586,13.612305190842859,122.83538000381455
BIOCARTA_LYM_PATHWAY,BIOCARTA_LYM_PATHWAY,6/265,13/1430,0.46153846153846156,2.490566037735849,2.574032709530428,0.02053132147004532,0.7770613028433077,0.7682856265060618,PECAM1/CXCL8/ITGA4/MADCAM1/ICAM1/SELL,6,33.970972423802614,12.814623326877209,90.0554731872858
BIOCARTA_RANKL_PATHWAY,BIOCARTA_RANKL_PATHWAY,6/265,13/1430,0.46153846153846156,2.490566037735849,2.574032709530428,0.02053132147004532,0.7770613028433077,0.7682856265060618,FOS/IFNAR2/FOSL1/FOSL2/TNFRSF11A/IRF9,6,33.970972423802614,12.814623326877209,90.0554731872858
BIOCARTA_INFLAM_PATHWAY,BIOCARTA_INFLAM_PATHWAY,8/265,21/1430,0.38095238095238093,2.0557053009883197,2.3236619248510957,0.027466338307785297,0.7770613028433077,0.7682856265060618,CD4/TGFB3/PDGFA/CXCL8/TNF/CSF1/HLA-DRB5/CSF3,8,28.039532794249777,12.308781732410392,63.874347308443674
BIOCARTA_RACC_PATHWAY,BIOCARTA_RACC_PATHWAY,6/265,14/1430,0.42857142857142855,2.3126684636118595,2.3532254220061968,0.03047314326637037,0.7770613028433077,0.7682856265060618,KCNQ3/TRPC5/GUCY1A1/TRPV4/KCNQ2/KCNQ5,6,31.544474393530994,12.029537989496701,82.71754622936804
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_CASPASE_PATHWAY,8/265,22/1430,0.36363636363636365,1.9622641509433962,2.1686047674437003,0.03643586676850201,0.7770613028433077,0.7682856265060618,LMNA/CASP4/ARHGDIB/CASP10/LMNB1/CASP1/CASP8/CASP2,8,26.76500857632933,11.808958207525128,60.662902815126145
BIOCARTA_EICOSANOID_PATHWAY,BIOCARTA_EICOSANOID_PATHWAY,8/265,22/1430,0.36363636363636365,1.9622641509433962,2.1686047674437003,0.03643586676850201,0.7770613028433077,0.7682856265060618,CYSLTR1/PTGS1/TBXAS1/PLA2G4A/HPGDS/PLCB1/PTGS2/ALOX5AP,8,26.76500857632933,11.808958207525128,60.662902815126145
BIOCARTA_MONOCYTE_PATHWAY,BIOCARTA_MONOCYTE_PATHWAY,5/265,11/1430,0.45454545454545453,2.452830188679245,2.30619533392559,0.03686226400334979,0.7770613028433077,0.7682856265060618,PECAM1/ITGA4/SELE/ICAM1/SELL,5,33.45626072041166,11.544009059652012,96.961235529895
