ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP,GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP,54/2013,180/17012,0.3,2.5353204172876302,7.586178789686832,4.430581944064367e-11,1.0267889058047381e-7,8.461180724957374e-8,STAT3/TOB2/GADD45B/GPR171/ZFP36/DNAJB1/CLIC4/CEMIP2/ATF3/HSPA1A/PPP1R15A/HIF1A/ADAM19/DOCK9/TOX/ARRDC3/HELZ2/ARID5A/LPXN/PMAIP1/PDE4D/DNAJA4/SPRY1/JUN/ENTPD1/HSPD1/NUP98/NFIL3/ZNRF1/NMRK1/NFKBIA/EGR1/SOCS3/RHOB/LMNB1/ABR/CISH/RNF125/ETS2/NAAA/ILDR1/MXD1/SERTAD2/ATAD2/GPR34/TMEM184B/ISG20/KLF10/PHLDA1/NIBAN1/STAT1/CCL3/RGS1/LILRB4,54,2.906855439642325,2.1372495842585715,3.9535899827579
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,49/2013,155/17012,0.3161290322580645,2.6716279666041696,7.658980983194494,4.462821896747013e-11,1.0267889058047381e-7,8.461180724957374e-8,STAT3/PDK1/SRGN/SGCZ/P4HA1/EDNRB/PGK1/NARF/NBL1/VEGFA/GPR171/ERO1A/CEMIP2/HK2/BNIP3/CHSY1/RELT/HIF1A/FGR/FAM162A/DDIT4/KDM4B/NDRG1/ARID5A/GYS1/DKK3/SFXN1/PTPN1/ENO1/UHRF1/PYGL/EGLN1/LDHA/NFIL3/EIF4EBP1/SLC39A14/PDPN/SOCS3/SLC2A1/GRAMD1A/TXLNB/RIPOR2/DMWD/ENO2/PFKL/LRG1/DSC1/BST1/TPI1,49,3.0631379901607296,2.2143432925094158,4.237289845032471
GSE29618_MONOCYTE_VS_PDC_UP,GSE29618_MONOCYTE_VS_PDC_UP,57/2013,197/17012,0.2893401015228426,2.4452328897697955,7.474431581507585,6.322591784511934e-11,1.0267889058047381e-7,8.461180724957374e-8,ALDH3A2/SLC2A3/NEAT1/GAS7/NAMPT/RIN2/ACSL1/PXN/GSAP/BCL6/TLR2/WDFY3/PTP4A2/ITPK1/HMOX1/P2RY13/HK2/CAST/CHSY1/GBP2/BNIP3L/HIF1A/MARCKS/SERPINA1/CD93/FGR/KDM7A/MSN/C5AR1/BCL2A1/SLC6A6/NOD2/DPYD/MBD2/YBX3/PYGL/ENTPD1/DPEP2/CEBPA/KLHL2/NFIL3/STS/EGR1/RCBTB2/CD14/LILRB3/BEST1/RHOB/UBE2D1/NLRP1/CASP1/TLR4/RAB20/LST1/SEC14L1/BST1/TSPAN14,57,2.8035661600611257,2.0803988306896892,3.778113647196274
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,55/2013,189/17012,0.291005291005291,2.459305519414809,7.390623215045287,1.0721764580264504e-10,1.3059109258762167e-7,1.0761265818191794e-7,PDK1/PHC2/RLF/NARF/KDM3A/NFKBIZ/MAPK1IP1L/KDM4C/MXI1/CSRNP1/ZNF292/HPCAL1/ERO1A/HK2/PPP1R15A/ZNF654/RELT/YEATS2/BNIP3L/TCAF2/OXSR1/FAM162A/SPP1/KDM4B/PER1/RAB8B/BCL2A1/GYS1/NOD2/MORF4L2/HPS5/SLC31A1/ALKBH5/ENO1/EDEM1/DUSP3/NUP58/MAP2K3/FAM210A/B4GALT5/WDR64/WDR45B/SQOR/GRAMD1A/GPAT4/RELA/ZBTB25/SERTAD2/RAB21/PIK3IP1/RNF227/ZNF395/PDXK/TPI1/TSPAN14,55,2.8197010437447596,2.0810176352702583,3.820589427663711
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,55/2013,197/17012,0.27918781725888325,2.359435244514715,7.030704737306229,5.945583531702586e-10,5.143574176234105e-7,4.238525604562457e-7,ALDH3A2/SLC2A3/SGK1/GAS7/NAMPT/AHR/RIN2/ACSL1/VEGFA/PXN/BCL6/TLR2/WDFY3/PTP4A2/HMOX1/ARHGAP26/HK2/SERPINB6/CHSY1/GBP2/MARCKS/SERPINA1/CD93/FGR/PICALM/MSN/C5AR1/DPYD/FLVCR2/YBX3/DENND3/CEBPD/PYGL/ENTPD1/IGSF6/DPEP2/CEBPA/NFIL3/APOL6/EGR1/RCBTB2/CD14/LILRB3/ADAP2/BEST1/ARAP3/GCH1/SH3BP2/UBE2D1/CASP1/ADAM8/RAB20/ARRB1/LST1/HK1,55,2.7051954176028405,1.9992297203229261,3.6604509091818382
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP,GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_UP,54/2013,192/17012,0.28125,2.3768628912071534,7.0288450735293955,6.334450955953331e-10,5.143574176234105e-7,4.238525604562457e-7,SRGN/GLIPR2/PIM1/ACSL1/GADD45B/IL1B/NFKBIZ/PFKFB3/CALCRL/PLAUR/STK40/HK2/MAP3K5/HSPA1B/MAP2K4/HIF1A/RHOQ/PLEKHA1/ADAM9/CDKN1A/IFRD1/TOP1/TRA2B/GJA1/BCL2A1/RAB10/G3BP1/SLC31A1/ACSL4/ARHGEF3/KPNA3/CEBPD/HSPD1/AEBP2/SLC11A2/IL4R/ZNRF1/PDGFA/GBP7/PPP1CB/UGCG/PDPN/SOCS3/CD14/RHOB/ABR/JUNB/GCH1/SNTB2/SLK/IL1A/GTPBP4/STAT5A/EIF4G1,54,2.72517697466468,2.008036737667055,3.6984331033060576
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN,GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN,52/2013,186/17012,0.27956989247311825,2.3626641881533472,6.845584402785772,1.6490864271490864e-9,1.1477641532957641e-6,9.458068621273106e-7,STAT3/SORL1/PTPRJ/TOB2/GADD45B/RGS16/GPR171/ZFP36/DNAJB1/CLIC4/SNX9/INPP5F/CEMIP2/ATF3/HSPA1A/PPP1R15A/HIF1A/ADAM19/PIP5K1B/DOCK9/RNF149/CDKN1A/LRRC8D/ARRDC3/ARID5A/DNAJA4/SPRY1/RGS2/BTG2/JUN/PYGL/ENTPD1/NUP98/NFIL3/ZNRF1/NFKBIA/TIGIT/UGCG/EGR1/RHOB/LMNB1/ABR/CISH/ETS2/ILDR1/MXD1/ADAM8/ISG20/PHLDA1/AHI1/RGS1/CTLA4,52,2.7088975423190123,1.985118020072238,3.6965690808221834
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_UP,GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_UP,46/2013,161/17012,0.2857142857142857,2.414590873607267,6.606730746443963,6.719509593589338e-9,4.092181342495907e-6,3.37213284078286e-6,SESN3/STAT3/PDK1/P4HA1/AHR/PGK1/CX3CR1/NT5E/PRUNE2/CPNE2/P2RY13/CEMIP2/SOX4/HK2/CHSY1/TBC1D14/KDM7A/DDIT4/NDRG1/GJA1/SPON1/PLOD1/PDE4D/PTPN1/TBC1D12/GAL3ST4/FLOT1/NECTIN2/NFIL3/SLC39A14/PDPN/FCGRT/SOCS3/SLC2A1/SBNO2/HTR2B/NAAA/SERPINE2/ARSG/LAMA2/SPSB1/PFKL/LRG1/SH2B2/DSC1/TPI1,46,2.7684337520403095,1.9885489869311528,3.8541798516434205
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,51/2013,190/17012,0.26842105263157895,2.2684445838889324,6.441175639145068,1.0650419653132708e-8,5.765427172229173e-6,4.750959129479316e-6,STAT3/SRGN/GLIPR2/PIM1/ACSL1/KDM3A/DUSP1/IL1B/NFKBIZ/PLAUR/STK40/HK2/MAP2K4/HIF1A/RHOQ/PLEKHA1/RNF149/ADAM9/CDKN1A/IFRD1/TOP1/TRA2B/BCL2A1/RAB10/G3BP1/SLC31A1/STIP1/ST3GAL4/AMBP/BCL3/SPATA13/KPNA3/CEBPD/SLC11A2/IL4R/ZNRF1/PDGFA/GBP7/UGCG/PDPN/SOCS3/CD14/RHOB/JUNB/ETS2/GCH1/ZEB1/IL1A/GTPBP4/STAT5A/DCUN1D5,51,2.6008706565220803,1.902857296579424,3.5549319353151243
GSE27434_WT_VS_DNMT1_KO_TREG_DN,GSE27434_WT_VS_DNMT1_KO_TREG_DN,51/2013,191/17012,0.2670157068062827,2.256567910674854,6.397825641911061,1.2884650899677966e-8,6.277401918323105e-6,5.172848266460185e-6,SRGN/SGK1/PIM1/GADD45B/DUSP1/IL1B/NFKBIZ/ZFP36/PLAUR/MIDN/STK40/PPP1R15A/MAP2K4/RHOQ/NFE2L2/CDKN1A/IFRD1/TOP1/TRA2B/FOS/GJA1/TMC6/ACSL4/ANKRD28/EEA1/BTG2/IRF1/HSPD1/IL4R/MADCAM1/NFKBIA/PDGFA/PPP1CB/UGCG/COL5A2/EGR1/SOCS3/CD14/RHOB/JUNB/ETS2/ANGPTL2/CPE/SMAD6/IL1A/FRRS1/CASP4/PHLDA1/PAG1/GTPBP4/DNAJA1,51,2.587253532665944,1.8932154236234127,3.5357206363135534
