pathway1,pathway2,similarity
GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,GSE27434_WT_VS_DNMT1_KO_TREG_DN,0.7241379310344828
GSE27434_WT_VS_DNMT1_KO_TREG_DN,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,0.7241379310344828
GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,0.7142857142857143
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,0.7358490566037735
GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,0.7142857142857143
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,0.7358490566037735
GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN,GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN,0.8
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN,GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN,0.7021276595744681
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN,GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN,0.7021276595744681
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN,GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN,0.8
GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN,KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN,0.7647058823529411
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN,GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN,0.7647058823529411
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,0.8333333333333334
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,0.8181818181818182
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,0.8333333333333334
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,0.8181818181818182
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,0.8181818181818182
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,0.8181818181818182
