ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,188,-0.6332974810292263,-2.5641840692215188,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,4476,"tags=59%, list=24%, signal=45%",ELF4/SLC3A2/ESCO1/LGALS8/THAP8/G0S2/USP28/SERTAD3/WDR54/TBC1D2/NINJ1/UGP2/ARHGDIA/RNF181/NFXL1/RHBDF2/CNOT1/MAP2K1/UBE2V2/UFSP2/JMJD6/FUT11/FKBP15/RIMKLA/MGARP/CARD19/DERL1/PIGA/DOCK3/PRICKLE3/SLC43A3/TNIP1/TMEM248/P4HB/ZNF12/SH3D21/PKM/LSM12/PARP6/NR4A1/OSM/MFSD12/AKAP10/AK2/ASCC1/CFDP1/MTFP1/GPI/LONP1/PATL1/ICAM1/TSPAN14/TPI1/PDXK/ZNF395/RNF227/RAB21/SERTAD2/PHF21A/ZBTB25/RELA/SBF2/GPAT4/GRAMD1A/USP37/SQOR/WDR45B/VGLL4/B4GALT5/PKD2/FAM210A/MAP2K3/NUP58/DUSP3/EDEM1/ENO1/ALKBH5/SLC31A1/HPS5/MORF4L2/NOD2/GYS1/KMT2E/BCL2A1/RAB8B/PER1/KDM4B/SPP1/FAM162A/OXSR1/TCAF2/BNIP3L/YEATS2/RELT/ZNF654/PPP1R15A/HK2/ERO1A/HPCAL1/ZNF292/CSRNP1/MXI1/KDM4C/MAPK1IP1L/NFKBIZ/KDM3A/NARF/RLF/PHC2/PDK1,-2.5641840692215188,NA,NA
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,197,-0.6300808926896773,-2.5615829473639047,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,4696,"tags=57%, list=25%, signal=43%",CD63/CCNK/FNTA/INTS6L/SLC3A2/ADPGK/RABGEF1/SEC61G/PSMC6/HMGCS1/G3BP2/USP28/SERTAD3/TBC1D2/CLDND1/PRDX4/PPIL4/ARHGDIA/PTGER4/RAB9A/PPP1R15B/MAP2K1/SFXN3/AKIRIN2/ZHX2/BRAF/TM9SF3/CDC26/NPC1/NGLY1/FKBP15/MAP1LC3B/AK4/PCF11/SLC43A3/TMCO3/SF3A1/SNX3/MALT1/ATF2/P4HB/SCYL2/RBBP8/GLA/WDR33/NR4A1/RYBP/OSM/NR4A3/TANC2/ARL5B/AP3S1/TBC1D15/AK2/SAFB/ZEB2/SNHG12/SPAG4/SH3BP5/ETF1/SLC36A4/JOSD1/GPI/LONP1/ICAM1/TPI1/PDXK/FBXO42/EIF2AK3/ZNF395/CEP95/GPBP1L1/RAB21/RRAGD/ZMYM2/CDK2/ING1/WDR45B/MTCH2/TFG/NFKBIA/NUP98/ZNF277/HNRNPU/TMEM140/MAPK6/IRAK2/BCL3/PTGES3/ALKBH5/HPS5/CSNK1A1/MORF4L2/GLUL/RAB8B/NFE2L2/OXSR1/CD69/CRY1/YEATS2/FGFR1OP2/RELT/ZNF654/ERO1A/HPCAL1/ZNF292/MAPK1IP1L/GADD45B/KDM3A/ADIPOR2/NARF/ELL2,-2.5615829473639047,NA,NA
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,183,-0.6310359933611953,-2.537992117846277,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,3711,"tags=48%, list=20%, signal=39%",ZNF770/CRYBB2/SQSTM1/UBE2V2/UFSP2/STK10/IRF2BP2/FUT11/NGLY1/FKBP15/BHLHE40/RIMKLA/MGARP/BRPF3/PIGA/SLC43A3/TNIP1/GRPEL1/PLIN2/SF3A1/THUMPD3/BRI3/SH3D21/SIAH2/PKM/PARP6/OSM/ITPRIP/ASCC1/MTFP1/GPI/LONP1/NFKB1/ANKRD37/ICAM1/TPI1/PDXK/ZNF395/RIOK3/RNF227/SEC24A/ZBTB1/IL1RAP/TMF1/ADAM8/ZBTB25/GBE1/RELA/RANBP2/TGFBR1/GPAT4/GRAMD1A/FNDC3B/NFKBIA/VGLL4/PKD2/LDHA/FAM210A/NUP58/DUSP3/ADM/EDEM1/HDHD5/ENO1/ALKBH5/NOD2/GYS1/CTDP1/KDM4B/DDIT4/FAM162A/TFRC/BNIP3L/HILPDA/ZNF654/BNIP3/HK2/ERO1A/FEM1C/ZNF292/MAPK1IP1L/KDM3A/NARF/PGK1/RLF/PHC2/P4HA1/PDK1,-2.537992117846277,NA,NA
GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_DN,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_DN,190,-0.614254792009475,-2.4934216108397553,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,3044,"tags=46%, list=16%, signal=39%",APAF1/CCR1/IRF9/GADD45A/UBXN4/IL17RA/KCNK1/PFKP/OXCT1/LTV1/TIMM10B/CUL2/CHD7/NOCT/VTA1/CD83/TGFBI/TRPC1/STAM/FNDC3A/ILRUN/TXNRD1/AGFG1/CCL4/RHBDL3/PLSCR1/SUSD6/LARP1/AFF1/DUSP16/NFKB1/PPRC1/NOP58/UBALD2/MAP3K8/HERC4/RIOK3/TOR1AIP2/FCGR1A/PSMB9/CCL2/TRAF6/CASP4/VMP1/CASP1/ZNFX1/GCH1/STX12/BZW2/SLC2A1/ZFAND5/UGCG/PCGF5/GAB1/FBXL5/ATF6/NFKBIA/IL4R/TAP1/IRF1/JUN/CEBPD/BACH1/YWHAG/BCL3/ARHGEF3/ST3GAL4/PTPN1/TPST1/ANKRD17/GK/NDRG1/FLOT2/ADAM9/RNF149/TIPARP/LITAF/TBC1D14/GBP2/HK2/MIDN/RRBP1/ZFP36/NFKBIZ/PIM1/AHR/NAMPT/STAT3,-2.4934216108397553,NA,NA
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP,194,-0.6108464903467117,-2.479949937711166,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,4502,"tags=54%, list=24%, signal=42%",CREM/DAZAP2/HNRNPM/KPNB1/STRAP/SFPQ/RNF38/CTSB/G0S2/G3BP2/SART1/ADNP2/RTN3/MAPRE1/RAB5B/HNRNPH2/TAOK3/NKAPD1/NR4A2/NUP93/SNF8/RNF11/SNX6/SRRM1/BHLHE40/PDIA3/ZNF551/EIF4G3/ANXA5/USP7/PIGA/SF3A1/TAP2/FEM1B/PDIA4/OSTF1/SEC63/FAM53C/SAFB2/NADSYN1/LSM12/UAP1/CPNE3/TYMP/KIAA0930/SAFB/GNAI3/PTEN/CPSF6/PIGT/YWHAZ/DDX3X/SCO2/DDX21/NFKB2/NAPG/ECPAS/GPI/PPFIA1/IER5/CHFR/RIOK3/OLA1/TOM1/AKIRIN1/LAP3/EPS15/KLF10/PPP2R5E/RRAGD/PCBP2/HNRNPD/AGPS/JUNB/HSPA9/PPP1CB/NFKBIA/ATP1B3/HNRNPU/IRF1/JUN/TSC22D3/PTGES3/YBX3/SEC31A/ILKAP/MBD2/GLUL/MSN/DDIT4/MAFF/ADAM9/CD69/HIF1A/QKI/COPA/ARHGAP26/ATF3/PLIN3/MAPK1IP1L/GADD45B/PAK2/MVP/SLC2A3/KLF9,-2.479949937711166,NA,NA
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,186,-0.6092894474507297,-2.4612587044738605,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,4246,"tags=53%, list=23%, signal=42%",PELI1/PBRM1/IER2/INPP5B/RNF145/IFNAR1/LCP2/ANGPTL4/MAPRE1/TNFSF9/PIAS2/KLF3/IST1/CTPS1/MSR1/HIVEP1/STARD7/BHLHE40/NEK6/N4BP1/APAF1/CRKL/MYC/ERRFI1/TANK/TSR1/YTHDF3/UTP4/MAP4K4/LRRC58/VASP/FNDC3A/TXNRD1/SH3GL1/AASS/AGFG1/HNRNPK/HUWE1/HSP90AA1/CPD/NFKB2/RAB12/DUSP16/NFKB1/NOP58/ICAM1/MAP3K8/RIOK3/DCUN1D5/STAT5A/GTPBP4/ATP13A3/IL1A/GCH1/ETS2/JUNB/RHOB/CD14/SOCS3/PDPN/UGCG/PDGFA/ZNRF1/IL4R/SLC11A2/CEBPD/KPNA3/SPATA13/BCL3/ST3GAL4/STIP1/UBE2D3/SLC31A1/G3BP1/CSNK1A1/RAB10/BCL2A1/TRA2B/TOP1/IFRD1/CDKN1A/ADAM9/RNF149/PLEKHA1/RHOQ/HIF1A/MAP2K4/HK2/STK40/PLAUR/NFKBIZ/IL1B/DUSP1/KDM3A/ACSL1/PIM1/GLIPR2/SRGN/STAT3,-2.4612587044738605,NA,NA
GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,194,-0.5964287642019392,-2.42141601860103,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,2515,"tags=42%, list=13%, signal=37%",C9orf72/ZHX2/BRAF/SOD2/FUT11/FKBP15/RIMKLA/MAP1LC3B/SLC43A3/ATP1A1/P4HB/LATS2/SIAH2/LSM12/MFSD12/AKAP10/ARL5B/CD83/SAV1/ASCC1/ANAPC16/PDE4B/TXNDC11/RAPGEF6/CFDP1/NFKBID/MTFP1/PATL1/EIF4A1/IER5/CHD2/ZNF395/BRD4/ZBTB1/ATP13A3/KLF10/TMF1/RAB21/PRR5L/ZBTB25/RELA/CDK2/USP37/WDR45B/MTCH2/ZNF277/PPME1/MAPK6/NUP58/DUSP3/ADM/EDEM1/SETD5/ENO1/SEC31A/ALKBH5/HPS5/KMT2E/BCL2A1/RAB8B/RGL1/ARRDC2/MAFF/TFRC/OXSR1/TCAF2/BNIP3L/QKI/STX6/ERO1A/HPCAL1/MXI1/PLAUR/ZMIZ1/CNOT2/MAPK1IP1L/HIVEP2/GADD45B/ADIPOR2/PDK1/SLC2A3,-2.42141601860103,NA,NA
GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN,189,-0.595409054881884,-2.414085407595543,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,4077,"tags=44%, list=22%, signal=35%",APBA3/NPHP3/RTN3/MOB4/ELOC/CRK/POLR2F/CTNNB1/CD164/SMU1/TMEM59/ARCN1/UFSP2/AKIRIN2/MAGT1/CDC26/SIPA1L2/DERL1/GABPB1/TXNL1/AGO3/ACVR1B/EMC2/UBXN4/SLC66A2/TBC1D23/VAMP7/WBP4/DERL2/RBBP8/UVRAG/ZBTB17/UFD1/HEXB/NDFIP1/PPP2CB/ZFP91/ATP11B/RAB5A/TRIM69/COPB2/BCL2L13/DNAJB6/COPS2/SPINT2/CC2D1B/SETDB2/ACBD3/SNX27/SLC36A4/RASA2/SP1/XBP1/APPBP2/PRPF38A/TRIP12/PCNX1/SRP54/CEP170/PSMF1/TRAF1/ANKHD1/FBXO42/UBE2E1/AKIRIN1/DYM/CCDC126/NUDT21/DHX8/LCOR/KHDRBS1/BTAF1/CLTC/WDR20/USP22/MAPK6/ZFAND3/NUP58/BCL3/MORF4L2/PLCXD1/DTNBP1/WDFY3/DNAJB1,-2.414085407595543,NA,NA
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_DN,GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_DN,191,-0.5912403372744812,-2.4006514088324153,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,5563,"tags=59%, list=30%, signal=42%",MRM3/MRPL14/GSR/POLR2D/UTP15/IER3/ILF3/GPR107/PNO1/INAFM1/VDAC1/FAM20B/CDK4/KLC2/TRNT1/TCP1/EIF5/PITPNB/DRG1/TNFSF14/RRP12/USP14/HUS1/EEF1E1/STRAP/UBE2N/MAPKAPK5/TFB2M/CDK6/PPP1R15B/CAP1/CKS2/SQSTM1/GSPT1/USP12/RBM7/TM9SF3/MED21/PINX1/PSMB2/CSNK1E/KBTBD8/ATP2A2/BUD23/DERL1/TNFRSF12A/GTF2B/TTC27/TAB2/SETMAR/ZBTB43/PDCD11/ATP1A1/EXOSC9/TIGAR/PEA15/MAP3K14/YTHDF3/LTV1/ZNHIT6/WDR33/DDX31/NR4A1/URB2/VTA1/METTL16/CD83/TXNRD1/AGFG1/HSP90AA1/LMBR1/HEATR1/MED27/TMX2/NOLC1/PPRC1/NOP58/IER5/RCOR1/TRAF1/FAM241A/SLC25A32/EIF2S1/FBXW7/NAT10/KLF10/ABCE1/UBA2/NAA15/ACTR3/CRLS1/ADCY3/PTPRE/NUP188/NUP98/CKLF/SMURF1/ARAP2/BAZ1A/NUP58/SLC7A1/ZNF473/PURB/TRA2B/TOP1/PPP1R15A/HSPH1/MIDN/CSRNP1/MAT2A/LRRC8B/ZFP36,-2.4006514088324153,NA,NA
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,163,-0.6034610546394108,-2.397607763420806,1e-10,4.5111111111111115e-9,1.6023391812865495e-9,3504,"tags=48%, list=19%, signal=39%",MT1A/SOD2/STX11/TNF/OASL/S100A9/RAP1B/TNIP1/ELOVL7/PVR/GREM1/RAPGEF2/SLC13A3/MALT1/CD274/CHD7/DMXL2/NOS2/CPEB2/FNDC3A/GNA13/CCL4/PDE4B/CD200/NFKB2/FPR1/DUSP16/RIPK2/NFKB1/IER5/ASCC3/MAP3K8/CCL3/RIOK3/IKBKE/CCL2/ITGA2/CASP4/IL1A/ADAM8/ALAS1/MXD1/SBNO2/SLC2A1/CD14/SOCS3/PDPN/SLC39A14/GAB1/FMNL2/NFKBIA/PPME1/BCL3/SLCO3A1/GYS1/ARID5A/NDRG1/PICALM/RNF149/OXSR1/CD69/SLC25A37/HIF1A/STX6/HK2/STK40/CLIC4/PFKFB3/ZFP36/HIVEP2/NFKBIZ/IL1B/DUSP1/GADD45B/RIN2/PIM1/GLIPR2/ELL2,-2.397607763420806,NA,NA
