ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN,GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN,78/2332,194/17012,0.4020618556701031,2.9330515817580594,10.792530915529134,4.1974734094584215e-20,2.045009045088143e-16,1.4518839603663553e-16,SLC11A1/TLR2/CLIC4/MARCKS/CTNNA1/CD93/CSF1R/CLMN/ADAP2/CD14/ACSL1/CD86/MEF2C/CEBPA/CYFIP1/GAS7/HNMT/PLAUR/IL13RA1/ADGRE2/TBXAS1/PRKCD/ITGAX/CEBPD/PLIN3/IFNGR1/VCAN/FCGRT/FCGR2A/RASSF4/NLRP3/SYK/LILRB1/RIN2/TBC1D8/RHOQ/IGSF6/HMOX1/PECAM1/S100A9/SERPINA1/CYBB/GCA/RBM47/SECTM1/HSPA6/DUSP3/FPR1/SLC15A3/CSF3R/MILR1/LST1/TNS3/PLXNB2/KYNU/CORO1C/LILRB3/NCF2/BTK/MAFB/FCER1G/C5AR1/FCGR3B/EIF4EBP1/HLX/IL1RN/RNASE6/GRN/CST3/LILRA2/DAPK1/SLC43A3/TGFBI/KCTD12/BID/CKAP4/CCR1/DUSP6,78,3.3628715672578737,2.5767505666492236,4.388824174230181
GSE29618_MONOCYTE_VS_PDC_UP,GSE29618_MONOCYTE_VS_PDC_UP,74/2332,197/17012,0.3756345177664975,2.7402634718025967,9.791874739649995,3.5233751829686e-17,6.017189355440684e-14,4.271991232818705e-14,NEAT1/TLR2/NAMPT/SLC2A3/ALDH3A2/BCL2A1/TREM1/MARCKS/ALDH1A1/CD93/NLRP1/CSF1R/P2RY13/GBP2/ENTPD1/CD14/BNIP3L/ACSL1/PYGL/CD86/DPEP2/CEBPA/HK2/BEST1/GAS7/MYO1F/LY86/PTGS1/TBXAS1/ITGAX/RCBTB2/BCL6/PXN/CTSS/AOAH/FYB1/NLRP3/RIN2/NFIL3/HMOX1/FGR/SLC6A6/CHSY1/S100A9/HIF1A/SERPINA1/CD163/EGR1/ARHGDIB/YBX3/FPR1/CXCL8/STS/LST1/LILRB3/SLA/HPSE/NCF2/CASP1/MAFB/PPIF/TNFRSF1B/C5AR1/TCF7L2/RHOB/IL1RN/LILRA1/LILRA2/NOD2/S100A10/IFITM2/CKAP4/CD58/BST1,74,3.1418315904955114,2.3968208229968084,4.118416215482244
GSE45365_NK_CELL_VS_CD11B_DC_DN,GSE45365_NK_CELL_VS_CD11B_DC_DN,73/2332,193/17012,0.37823834196891193,2.7592584363529715,9.79657751310139,3.7051658592615054e-17,6.017189355440684e-14,4.271991232818705e-14,CLIC4/SLC2A3/MYO1G/SELPLG/MPEG1/ZFP36/TREM1/FOS/IL1B/CD14/MAT2A/CD86/ETV6/BTG2/PTPN2/MYO1F/OSM/RASA3/PIM1/MAFF/NFKBIA/SYK/CSRNP1/JUNB/ENC1/DUSP1/NFIL3/CHSY1/S100A9/HAS1/TIPARP/RNF149/USP43/GCNT2/CEMIP2/EGR1/ARHGDIB/PGM2/SPRY1/GCH1/FOSL1/NFKBIZ/SLC15A3/CSF3R/PLSCR1/BAZ1A/S100A8/PHLDA1/RNF122/FOSL2/GPRC5A/IGF2BP2/FLNA/MAFB/NFKBID/CD300LF/INHBB/IL1RN/SLC3A2/CCL4/NOCT/SELE/ETS2/CSF3/ICAM1/MEFV/CYP4F3/IER5/EIF4A1/UAP1/CALHM6/CHI3L1/SH3BP2,73,3.1636101458420356,2.4084865434793525,4.155484771949886
GSE10325_BCELL_VS_MYELOID_DN,GSE10325_BCELL_VS_MYELOID_DN,72/2332,195/17012,0.36923076923076925,2.6935479614724898,9.479964511692982,2.7564643428322585e-16,3.357373569569691e-13,2.383616271196527e-13,SLC11A1/TLR2/SRGN/FOS/CD93/CSF1R/P2RY13/TM6SF1/PHC2/CEBPA/CYFIP1/GAS7/MYO1F/PLAUR/ADGRE2/TBXAS1/PRKCD/CEBPD/FCGRT/FCGR2A/PLXND1/AOAH/NLRP3/ADA2/RIN2/ADM/TBC1D8/DUSP1/IGSF6/HMOX1/SERPINA1/CD163/DHRS9/GRAMD1B/SECTM1/TNFRSF10C/CD302/PDK3/FPR1/CARD9/RGS2/LST1/RPH3A/PLXNB2/LILRB3/PELI2/SULT1A1/NCF2/CASP1/SH2B3/MAFB/C3AR1/ACTG1/TNFRSF1B/C5AR1/TCF7L2/IL1RN/LILRA1/NAAA/ICAM1/LILRA2/DAPK1/NOD2/SCO2/CD244/SLC43A3/TGFBI/KCTD12/BID/CMKLR1/CCR1/DUSP6,72,3.0882702203456924,2.348864043678672,4.06043635413526
GSE22886_DC_VS_MONOCYTE_DN,GSE22886_DC_VS_MONOCYTE_DN,71/2332,193/17012,0.36787564766839376,2.6836623148090544,9.37561419748411,5.556758693593974e-16,5.414505671037968e-13,3.8441071720315366e-13,SLC11A1/TLR2/CX3CR1/CD55/ZFP36/FOS/CD93/NLRP1/ARHGAP26/GBP2/CD14/MTSS1/GADD45B/AGTPBP1/SLC16A7/PTPN2/MYO1F/IRF1/CEBPD/VCAN/KLF13/RAP1GAP2/MCUB/KLF6/LILRB1/DUSP1/TGIF2/S100A9/SERPINA1/GCA/PMAIP1/GRAMD1B/FLOT1/TNFSF10/MAP2K3/SIGLEC5/FPR1/GCH1/CSF3R/RGS2/ITGA4/MCL1/PLSCR1/RPL30/LILRB3/HPSE/METTL9/CASP1/PID1/TNFRSF1B/IGF1R/RPS6/VNN2/TCF7L2/ADGRE5/BTN3A1/LILRA1/GSDMD/RPS27A/LILRA2/PIK3CD/NOD2/CD244/ING1/IFITM2/SELL/CKAP4/CD37/CCDC88C/DUSP6/RIPOR2,71,3.076935895271021,2.3361740741832158,4.052580930604396
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN,70/2332,190/17012,0.3684210526315789,2.6876410580482077,9.323612948531432,8.161065417253422e-16,6.325179273529116e-13,4.4906531615281044e-13,SORL1/SRGN/NAMPT/BCL2A1/TREM1/GIMAP4/P2RY13/PHC2/ACSL1/PYGL/MYO1F/ADGRE2/NIBAN1/CEBPD/FCGR2A/SQOR/CASP4/ADM/BIN2/NFIL3/IGSF6/S100A9/SERPINA1/GCA/LITAF/FLOT1/TNFSF10/SECTM1/HSPA6/TNFRSF10C/CD302/MNDA/FPR1/CXCL8/B4GALT5/SLC16A3/CSF3R/ID2/MCL1/BCL3/S100A8/LIMK2/LST1/LILRB3/NCF2/FCER1G/TNFRSF1B/C5AR1/LY96/VNN2/FCGR3B/HLX/ADGRG3/NINJ1/ADGRE5/STX3/PTGS2/LILRA2/HSPA1A/CTBS/CD63/IMPDH1/BID/IFITM2/CKAP4/TXN/HCP5/S100A6/CD58/BST1,70,3.0814976979326536,2.3350406340121004,4.0665793665649055
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN,GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN,71/2332,195/17012,0.3641025641025641,2.6561375731187047,9.270552577675966,1.0386172862937794e-15,6.325179273529116e-13,4.4906531615281044e-13,NAMPT/CSF2RA/TREM1/CTNNA1/RGS10/VEGFA/CSF1R/SGK1/CD14/LMNA/ACSL1/PYGL/CD86/CEBPA/CYFIP1/GAS7/MYO1F/ERMAP/PLAUR/ADGRE2/TBXAS1/CEBPD/FCGRT/OTULINL/PLXND1/PXN/ENO1/AOAH/RGCC/NLRP3/SIGLEC9/ADAM9/TBC1D8/NFIL3/HMOX1/ATF3/CD4/CD163/MCTP1/RBM47/CD302/ST3GAL6/FPR1/CSF3R/HDAC4/ID2/MCL1/LST1/EMILIN2/MGST2/LILRB3/HPSE/SULT1A1/ZYX/FLVCR2/PID1/MAFB/TNFRSF1B/C5AR1/IL1RN/GRN/ICAM1/CST3/LILRA2/DAPK1/CD63/EIF4A1/CCR1/CD58/DUSP6/BST1,71,3.0453775783964465,2.313070996220181,4.009528721839969
GSE29618_MONOCYTE_VS_MDC_UP,GSE29618_MONOCYTE_VS_MDC_UP,71/2332,195/17012,0.3641025641025641,2.6561375731187047,9.270552577675966,1.0386172862937794e-15,6.325179273529116e-13,4.4906531615281044e-13,SLC11A1/SORL1/NAMPT/BCL2A1/TREM1/GLUL/MARCKS/ALDH1A1/CD93/CLMN/ELL2/CD14/BNIP3L/FRY/ACSL1/SPRY4/PYGL/BTG2/BEST1/HNMT/VCAN/RCBTB2/FCGR2A/NFKBIA/CTSS/AOAH/MXI1/OAS1/FYB1/NLRP3/LILRB1/RIN2/ADM/BIN2/TBC1D8/HMOX1/FGR/S100A9/FCAR/HIF1A/SERPINA1/CYBB/CD163/EGR1/SLC22A4/FPR1/CXCL8/CSF3R/FXYD6/STS/S100A8/BACH1/LILRB3/PIK3IP1/HPSE/GIMAP5/NCF2/MAFB/CR1/FCER1G/TNFRSF1B/C5AR1/VNN2/TCF7L2/NINJ1/LILRA2/CD63/CKAP4/CCR1/DUSP6/BST1,71,3.0453775783964465,2.313070996220181,4.009528721839969
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN,61/2332,155/17012,0.3935483870967742,2.870945609472694,9.326163725994288,1.6713554419806174e-15,9.047604125921743e-13,6.423478341927846e-13,SRGN/SGCZ/PDK1/SOCS3/STAT3/PGK1/TREM1/EDNRB/P4HA1/NARF/VEGFA/PYGL/HK2/ERO1A/NBL1/GIMAP1/PLA2G4A/NDRG1/ENO1/FAM162A/DDIT4/NFIL3/FGR/BNIP3/CHSY1/PFKL/HIF1A/RELT/CCND3/LDHA/CEMIP2/ENO2/PIK3CG/PGM2/LRG1/GRAMD1A/SLC16A3/PDPN/DKK3/GYS1/ARID5A/ARHGAP4/EMILIN2/STK17B/SLA/KDM4B/TUBA1A/SLC39A14/SYCE2/EIF4EBP1/SNX18/UHRF1/CD38/TPI1/OAF/LIPG/TGFBI/SLC2A1/TXLNB/BST1/RIPOR2,61,3.291664361201793,2.440129082015278,4.440361104936893
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP,71/2332,197/17012,0.3604060913705584,2.629171709432221,9.166798916728238,1.9187585679275124e-15,9.34819174294284e-13,6.636884899168217e-13,TLR2/DENND3/NAMPT/SLC2A3/ALDH3A2/AHR/TREM1/MARCKS/ALDH1A1/CD93/VEGFA/CSF1R/ARHGAP26/GBP2/ENTPD1/SGK1/ADAP2/CD14/ACSL1/PYGL/CD86/DPEP2/CEBPA/HK2/CYFIP1/BEST1/GAS7/MYO1F/TBXAS1/CEBPD/RCBTB2/BCL6/PXN/CTSS/AOAH/NLRP3/RIN2/NFIL3/IGSF6/HMOX1/FGR/CHSY1/S100A9/SERPINA1/CD163/SERPINB6/EGR1/YBX3/APOL6/FPR1/CXCL8/GCH1/CSF3R/LST1/LILRB3/HPSE/NCF2/CASP1/FLVCR2/PID1/MAFB/TNFRSF1B/C5AR1/VNN2/TCF7L2/IL1RN/HK1/CLIC1/CD244/CKAP4/SH3BP2,71,3.0144600395294776,2.290421195796125,3.967379164408025
