pathway1,pathway2,similarity
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN,GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN,0.7215189873417721
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN,GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN,0.7215189873417721
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN,GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN,0.7432432432432432
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,0.7323943661971831
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,0.7323943661971831
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN,GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN,0.7432432432432432
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,0.7894736842105263
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,0.7894736842105263
GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN,KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN,0.8125
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN,GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN,0.8125
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN,GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN,0.7555555555555555
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN,GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN,0.7555555555555555
GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP,0.7105263157894737
GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP,0.7105263157894737
GSE15659_NAIVE_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_DN,GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_DN,0.7333333333333333
GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_DN,GSE15659_NAIVE_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_DN,0.7333333333333333
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,0.7222222222222222
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,0.7058823529411765
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,0.7222222222222222
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,0.8666666666666667
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,0.7058823529411765
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN,0.8666666666666667
