ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN,2/6,176/17012,0.011363636363636364,32.21969696969697,7.819968772573822,0.0015534026734522356,0.06784205846977343,0.06439349679317226,STMN4/HSPA1A,2,36.941287878787875,7.4048125433825716,184.29349050341986
GSE3982_CTRL_VS_LPS_1H_NEUTROPHIL_DN,GSE3982_CTRL_VS_LPS_1H_NEUTROPHIL_DN,2/6,178/17012,0.011235955056179775,31.85767790262172,7.77354364610114,0.0015885095857084937,0.06784205846977343,0.06439349679317226,CHRM5/CALY,2,36.52621722846442,7.322171056866192,182.20887420676823
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_DN,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_DN,2/6,190/17012,0.010526315789473684,29.84561403508772,7.510299120788816,0.0018071378145419795,0.06784205846977343,0.06439349679317226,HSPA1A/ZDHHC20,2,34.219298245614034,6.862628169843016,170.62856145520553
GSE4590_PRE_BCELL_VS_SMALL_PRE_BCELL_DN,GSE4590_PRE_BCELL_VS_SMALL_PRE_BCELL_DN,1/6,112/17012,0.008928571428571428,25.31547619047619,4.8493987734533075,0.03886267044568947,0.06784205846977343,0.06439349679317226,ZDHHC20,1,29.025297619047617,3.4659750587013467,243.06807971952122
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN,GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN,1/6,113/17012,0.008849557522123894,25.091445427728615,4.826263575788457,0.039203902633696774,0.06784205846977343,0.06439349679317226,CHRM5,1,28.768436578171087,3.4355480590866465,240.89982993056373
GSE9946_MATURE_STIMULATORY_VS_LISTERIA_INF_MATURE_DC_DN,GSE9946_MATURE_STIMULATORY_VS_LISTERIA_INF_MATURE_DC_DN,1/6,116/17012,0.008620689655172414,24.442528735632184,4.75861929622863,0.04022699351985548,0.06784205846977343,0.06439349679317226,CHRM5,1,28.02442528735632,3.3473900983356435,234.62111962304894
GSE21033_3H_VS_12H_POLYIC_STIM_DC_DN,GSE21033_3H_VS_12H_POLYIC_STIM_DC_DN,1/6,124/17012,0.008064516129032258,22.86559139784946,4.590102891079559,0.042950798449485905,0.06784205846977343,0.06439349679317226,HSPA1A,1,26.216397849462364,3.1330043653522064,219.37394144806132
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN,1/6,129/17012,0.007751937984496124,21.979328165374678,4.492634433538511,0.04464990301817551,0.06784205846977343,0.06439349679317226,STMN4,1,25.200258397932817,3.012421400500509,210.81148315340957
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN,GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN,1/6,130/17012,0.007692307692307693,21.81025641025641,4.4738005609342375,0.04498942209546597,0.06784205846977343,0.06439349679317226,HSPA1A,1,25.006410256410255,2.989410123118492,209.17857642750565
GSE40274_CTRL_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE40274_CTRL_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,1/6,131/17012,0.007633587786259542,21.643765903307884,4.455176854085707,0.04532884061622333,0.06784205846977343,0.06439349679317226,HSPA1A,1,24.815521628498725,2.9667477331417507,207.5707707855403
GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,1/6,133/17012,0.007518796992481203,21.31829573934837,4.418544175651617,0.046007376083444185,0.06784205846977343,0.06439349679317226,HSPA1A,1,24.44235588972431,2.922438351695069,204.42818275137293
GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP,GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP,1/6,134/17012,0.007462686567164179,21.1592039800995,4.400527580397163,0.04634649307754923,0.06784205846977343,0.06439349679317226,CHRM5,1,24.25995024875622,2.9007763076899753,202.89230317825277
GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,1/6,134/17012,0.007462686567164179,21.1592039800995,4.400527580397163,0.04634649307754923,0.06784205846977343,0.06439349679317226,HSPA1A,1,24.25995024875622,2.9007763076899753,202.89230317825277
GSE9946_IMMATURE_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_UP,GSE9946_IMMATURE_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_UP,1/6,134/17012,0.007462686567164179,21.1592039800995,4.400527580397163,0.04634649307754923,0.06784205846977343,0.06439349679317226,STMN4,1,24.25995024875622,2.9007763076899753,202.89230317825277
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_UP,GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_UP,1/6,135/17012,0.007407407407407408,21.00246913580247,4.382705896692052,0.04668550961040474,0.06784205846977343,0.06439349679317226,STMN4,1,24.080246913580247,2.8794330289706824,201.37932905016174
GSE14415_INDUCED_VS_NATURAL_TREG_UP,GSE14415_INDUCED_VS_NATURAL_TREG_UP,1/6,138/17012,0.007246376811594203,20.545893719806763,4.3303750704935755,0.04770195667955457,0.06784205846977343,0.06439349679317226,ZDHHC20,1,23.556763285024154,2.8172469435745704,196.97282757988148
