ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN,GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN,194,-0.5731158565143208,-2.5198777856344043,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4522,"tags=53%, list=24%, signal=41%",KLF13/DAGLB/MOB3A/PSMG2/KDM3B/CSK/ZNF710/NCKAP1L/LILRB1/WIPI2/POU2F2/DENND11/DCAF12/ACOX1/MAVS/HCK/FHOD1/RNF44/PLXNB2/IFNAR1/SMAP2/STK38/MAML1/DPP8/CSF1R/NUP214/UBE2W/CTNND1/PIP5K1C/SMAD3/PIK3CD/GIMAP8/CBL/KIAA2013/ORAI2/ENG/CCM2/CTCF/FGD3/MAPK14/CHD8/BCOR/ZDHHC7/ANKRD13A/DDX17/RETREG3/BOD1L1/PUM2/TBC1D2B/HDGF/HECA/MARF1/SYK/NBR1/ZNF106/NCOA6/GRB2/DCAF5/LILRB2/NCOR1/GAPT/CTDSP2/MLXIP/TCEANC2/FRMD8/ZBTB44/DAPP1/KMT2A/ARHGAP1/PHIP/MAST3/USP22/BRD3/MAP3K14/TFEB/KDM5A/RICTOR/SETD1B/FBXO42/CAB39/FOXN3/ARRB1/PAIP2/TCF20/RNF38/TLR1/GLTP/UBN2/GIT2/MAP7D1/CEP350/ARID1A/MRTFA/FOXK1/DCAF7/TRAPPC12/STX6/ELF2/PHC2/RASSF2/TACC1/ARRDC2/PTPRJ,-2.5198777856344043,NA,NA
GSE18893_TCONV_VS_TREG_2H_TNF_STIM_DN,GSE18893_TCONV_VS_TREG_2H_TNF_STIM_DN,183,-0.5695325632405095,-2.491813996999869,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4041,"tags=51%, list=21%, signal=41%",C9orf72/SYMPK/SSH1/CNN3/AKAP13/BRD2/RABGAP1/ABTB1/SMIM14/ZBTB17/GOLGA7/STK4/TRAPPC8/YPEL5/ATAD2B/PHF12/PPP2R5C/CLK4/AMN1/GIMAP8/TRAK1/ZBTB18/AFF4/ZFYVE16/WDR19/NLRP3/ZNF148/DDX17/CAMK1D/BOD1L1/GKAP1/OGFRL1/HECA/PNRC1/BAZ2B/ACVR2A/BACH1/SCAF4/CD7/ARHGAP26/ZNF189/RESF1/KDM7A/MYCBP2/CPD/ZNF655/TET2/ZFAND5/TNRC6C/ZBTB44/MED13/KLF3/NXF1/PAN3/BTBD7/HBP1/ADCY7/ANKRD12/PRKAG2/KMT5B/NBPF10/RELCH/ATM/PPFIA1/CREBRF/MED13L/BCL6/ZEB2/CCDC126/FBXO11/TLR1/UBL3/MBTD1/JMY/SERPINA1/FRY/CEP350/AUTS2/LATS2/PLEKHM3/KDM4C/PTPRE/CREBBP/ADAM8/SORL1/TMCC3/LCOR/TANC2/ZDHHC23/FNIP2/ARRDC2/ERBIN/RAB11FIP4/FGFBP2,-2.491813996999869,NA,NA
GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_DN,GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_DN,185,-0.5603593475648484,-2.451432863087082,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4590,"tags=56%, list=24%, signal=43%",SERINC1/IDS/PPP4R3B/NAMPT/TAPT1-AS1/ZFP36/RNF11/OTUD1/MIA2/NSD1/DMXL2/C9orf72/ABCB1/WDR45/ABTB1/HSPBAP1/SMIM14/ZBTB17/RGS2/ZMYM2/RABEP1/YPEL5/ST6GAL1/CLK4/ZBTB18/ZFYVE16/ZFYVE1/NLRP3/ZNF638/CAMK1D/BOD1L1/GKAP1/OGFRL1/KYNU/IFNGR1/TPD52L2/UBE2E1/HECA/MARF1/RALA/PNRC1/NF1/BAZ2B/WASL/BACH1/NBR1/ZNF106/TSC22D2/ZBTB20/ZBTB10/RESF1/PELI1/KDM7A/RAB11FIP2/CTDSP2/TET2/YPEL3/AKT3/TRA2A/ZBTB44/TMEM260/MED13/KLF3/RB1CC1/VEZF1/ATXN7L1/NAA50/HBP1/SIK3/KMT5B/NBPF10/ZC3H12C/SETD1B/HLA-DRA/CREBRF/F2R/MED13L/PELI2/BCL6/ZEB2/PAIP2/UBN2/PNISR/UBL3/JMY/FRY/CEP350/UBXN7/FBXL20/CREBBP/SRGN/FCHO2/FOXO3/SORL1/ZSWIM6/LCOR/TANC2/ARID5B/ATP8A1/PICALM/ARRDC2/DUSP1/ERBIN,-2.451432863087082,NA,NA
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP,GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP,173,-0.5639554539406162,-2.4478515768691547,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4559,"tags=56%, list=24%, signal=43%",MACF1/TTLL4/UTRN/BPTF/KIF21B/PIK3CG/BAZ2A/SMC1A/CNOT6L/DOCK8/RB1/HERC1/TRIM26/NPEPPS/NUP205/USP9X/USP37/DYRK1B/ATAD2B/RALGAPA1/KANSL1/USP24/PIK3CD/NUCKS1/ASXL1/CELSR2/RIF1/CAMK1D/BMPR2/BAZ1B/PRRC2C/FNDC3A/ATG2B/TMEM245/NF1/ULK1/ZNF106/GBF1/TUT4/TNKS/WNK1/ZBTB40/NSD2/SMG1/SP1/DEPDC5/NCOR1/SF3A1/GTF3C1/TET2/TRIM33/MED13/KHSRP/TBCEL/PCM1/MAST2/SLC37A3/PRKCA/POLE/RAD21/MYO9B/SLC9A9/BIRC6/SUFU/EP300/SETD2/NBEAL1/PHACTR4/FANCC/NFAT5/ATM/SBNO1/NEURL1B/FAM120A/TULP4/PPP1R12B/ZBTB37/RFX7/CEP350/KMT2C/KLHL18/ARID1A/PRR14L/KDM2A/THRB/CORO2B/RALGAPA2/VPS13C/CREBBP/CHD7/SOS1/CEP104/ARAP2/UBE4B/ATP8A1/MAP4K4/FRYL,-2.4478515768691547,NA,NA
GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_DN,GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_DN,187,-0.5557910571318679,-2.4333671575983846,1e-10,5.731764705882353e-9,2.2006191950464396e-9,5187,"tags=57%, list=27%, signal=42%",EXOSC1/TAOK1/PRR14/ARID3A/NARF/IL2RB/CEBPD/APMAP/TNFRSF1A/IST1/LAT2/SASH3/PTPRC/GMEB1/APOBEC3G/PLCG2/FURIN/MIA2/RHOQ/NCKAP1L/LRRC17/SLC31A1/SSH1/EML2/WDR45/PPP1R12A/HNRNPK/GSE1/STX7/MAML1/ABHD2/SLCO4C1/JARID2/AP2B1/TCF4/UBE2W/TAF15/PHC3/ATP8B4/IFI16/PPP1R13L/DHX8/SNRNP35/LAMP1/SETX/ARHGEF12/GFOD1/NPC1/MFSD6/ZFYVE16/ALOX5AP/SMAD5/CAMK1D/SNAP29/LASP1/ARIH1/RNF13/PREP/PPM1B/SYK/CERS4/BAZ2B/CFLAR/RSF1/LTF/S1PR5/TRIP12/RHOBTB3/TMEM87A/GZMB/RHBDF2/MON2/MAST2/ITCH/TUT7/PHF21A/PHIP/ATP10D/HIPK2/ARID5A/C2CD3/NCR1/INSIG1/SUSD6/KMT5B/NCAM1/NFAT5/STOM/CRIM1/TBL1X/ZCCHC24/PSME4/NCOA2/SLFN12/TNPO1/AUTS2/LYST/PTPRE/CTBP2/SRGN/ADAM8/ARAP2/TACC1/ZNF493/PRR5L/DHCR24,-2.4333671575983846,NA,NA
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN,GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN,193,-0.5504442183805499,-2.4209649881851645,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4976,"tags=53%, list=26%, signal=39%",FBXO21/MYO1F/NFE2L1/TRIM8/VIRMA/APMAP/TGFBR2/SASH3/ZNF282/ZC3H7A/CHCHD4/TRIM38/KLF13/DAGLB/PSMG2/KDM3B/ARRB2/GAPVD1/CSK/ZNF710/NCKAP1L/ZNF615/WDR82/LILRB1/WIPI2/STK24/DCAF12/NELFB/FHOD1/RNF44/NPEPPS/PLXNB2/DPP8/CSF1R/VRK3/NUP214/CORO1A/CTNND1/PIP5K1C/PURA/SMAD3/PLIN3/PIK3CD/MADD/GIMAP8/CBL/KIAA2013/ORAI2/ENG/CCM2/CTCF/MAPK14/CHD8/ZDHHC7/ZNF148/ASB7/ANKRD13A/NAP1L4/DDX17/RETREG3/CASP8/NELFA/HECA/MARF1/RALA/MNT/LRP10/NCOA6/YY1/SPOP/GAPT/CTDSP2/MLXIP/SF3B2/ZBTB44/KMT2A/ARHGAP1/MAST3/USP22/MAP3K14/GDI2/SETD1B/AP5M1/STAU1/RNF38/TLR1/GLTP/GIT2/MAP7D1/SREK1IP1/HHEX/ARID1A/MRTFA/FOXK1/DCAF7/KDM2A/STX6/PHC2/TACC1/ARRDC2/RNF220/RAB11FIP4,-2.4209649881851645,NA,NA
GSE16266_CTRL_VS_LPS_STIM_MEF_UP,GSE16266_CTRL_VS_LPS_STIM_MEF_UP,192,-0.5504259628433352,-2.4169908930117816,1e-10,5.731764705882353e-9,2.2006191950464396e-9,3644,"tags=43%, list=19%, signal=35%",PMEPA1/NFKBIA/OTULIN/FHOD1/RCC2/SAMD1/LHFPL2/GPRIN3/IL21R-AS1/TOR4A/RASSF5/ENG/GNA13/TMEM52B/FHL3/BCOR/TLE3/CERK/RUNX2/SPAST/KCNMB1/LCP2/NFKBIE/BMPR2/SKI/ZRANB1/AGAP3/ITPKB/APBB1IP/BRPF3/CHD9/SOCS6/FMNL3/NOL4L/KDM7A/ARAP3/CEP170/SH3BP2/SH3BP4/MAST3/RNF168/SMURF2/MEF2A/DLC1/TFEB/INPP5A/RYBP/KLF10/MMP2/SKIL/FAM120AOS/CAMSAP1/ITGA5/STK40/TLR1/NCOR2/PSME4/LIMS1/LPIN2/SH3GL1/RFFL/CDK17/DESI2/ELL2/CBFB/NRIP1/STX6/HMOX1/ZMIZ1/PHC2/PIK3C2B/ZSWIM6/TMCC3/SIGLEC9/HIVEP3/CXXC5/SFMBT2/DUSP1/GRB10/FAM53B/SERPINE1/TRIM36,-2.4169908930117816,NA,NA
GSE31082_DN_VS_DP_THYMOCYTE_DN,GSE31082_DN_VS_DP_THYMOCYTE_DN,193,-0.5478564040016537,-2.4095832572158358,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4744,"tags=52%, list=25%, signal=39%",MAP1LC3B/GPBP1/AP3D1/PTPRC/IDS/KDM3B/PHKG2/PI4KB/LYNX1/ZMYM5/TOB1/PPP1R21/PRKAG1/MBTPS1/SENP7/EPSTI1/PSD4/MAF1/TRAM1/PLEKHF2/OTUD5/TRAK2/KDM6B/ATAD2B/HIF1A/RNF6/PHF12/LATS1/ORAI2/CCM2/ZNF592/CHD1/YIPF4/GNA13/FOXO4/TRIOBP/SLC30A9/CAMK1D/TAOK2/AGPAT3/CCDC134/ATXN7/BRAF/SUPT20H/UBALD2/MLLT10/TMOD3/APBB1IP/LBR/TAF8/KIF5B/SENP6/BACH1/ZNF653/NBR1/RSF1/DFFA/KDM4B/RBM5/CTDSP2/TLE5/MINDY2/TNRC6C/PREX1/PHF3/STIM2/ZNRF1/TBCEL/SECISBP2L/ARHGAP1/MARK3/SRGAP2/SLK/RLF/INPP5A/EP300/DIP2A/MACO1/USP32/KAT2B/NFAT5/ZYG11B/TXNIP/RNF38/DDX3Y/PPTC7/SNX25/KMT2E/EPC2/AFF1/SF3B1/TNRC6B/SETD7/TRIP11/TCF12/ARAP2/ABCC5/NFKBIZ/SGK1/FRYL,-2.4095832572158358,NA,NA
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP,GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP,186,-0.551038059676262,-2.4081965422606704,1e-10,5.731764705882353e-9,2.2006191950464396e-9,3537,"tags=46%, list=19%, signal=38%",SMAP2/RGS2/ZMYM2/YPEL5/EAPP/CLK4/AMN1/ASAP1/ZBTB18/FHL3/ZFYVE16/WDR19/ZFYVE1/NLRP3/CAMK1D/BOD1L1/GKAP1/OGFRL1/KYNU/IFNGR1/PI4K2A/MARF1/RALA/PNRC1/BAZ2B/WASL/CFLAR/BACH1/SCAF4/NBR1/ZNF106/LITAF/ZBTB10/RESF1/KDM7A/RAB11FIP2/MTSS1/CTDSP2/TET2/AKT3/UBE2B/TMEM260/MED13/RB1CC1/ATRX/LINC00662/VEZF1/ATXN7L1/NAA50/HBP1/SIPA1L3/CD44/SKIL/ZNF644/KMT5B/ATM/MED13L/KCNMB4/PIK3CA/LINC00528/BCL6/ZEB2/PAIP2/TULP4/UBN2/PNISR/UBL3/MBTD1/JMY/DIP2B/UBXN7/FBXL20/SRGN/NRIP1/FCHO2/FOXO3/SORL1/SH3KBP1/ZSWIM6/ARID5B/PICALM/ARRDC2/DUSP1/ERBIN/APPBP2/SGMS1,-2.4081965422606704,NA,NA
GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_DN,GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_DN,157,-0.5598266653212249,-2.398052095307315,1e-10,5.731764705882353e-9,2.2006191950464396e-9,4758,"tags=52%, list=25%, signal=39%",MTF2/MAP3K4/SNAPC4/AP3D1/ZC3H7A/PBX3/MACF1/TTLL4/CARS2/AFG1L/PRDM2/CDC42BPA/ARID4A/BAZ2A/KDM3A/STXBP5/REXO4/TAF1A/CLEC2D/PACRGL/DMTF1/PLA2G6/IFT140/PHC3/TCIRG1/TRAK1/NBEA/ZFYVE16/SCAPER/MICAL3/PPP6R2/BOD1L1/KLC1/POLG/R3HDM1/BRPF3/TIAM1/CHD9/ATP9B/IVNS1ABP/WNK1/ARHGAP12/INO80D/DEPDC5/NCOR1/OGT/RAF1/ZER1/TET2/HPS1/TNRC6C/EPS15L1/NXF1/ITGA9/TRUB2/SRGAP2/C2CD3/IKBKB/SH3PXD2A/BCKDHB/CEP135/NFAT5/NAV1/SON/DYNC1LI2/ARID4B/CNTRL/ELK4/ZBTB37/ASXL2/FRY/PAXIP1/APPL2/GPHN/PTPRD/FCHO2/IFT80/BICD2/ITPR1/ATP8A1/CLMN/AGO2,-2.398052095307315,NA,NA
