ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,175/2057,701/16602,0.24964336661911554,2.0148659079292934,10.324828859120457,8.69951601889671e-21,7.116204103457509e-18,4.871728970582158e-18,ERBIN/SLC11A1/SLC2A3/STAT3/SRGN/TMEM165/NEAT1/PHC2/NAMPT/DICER1/ELL2/AHR/PTPN2/BCAT1/PGK1/GLIPR2/RIN2/ACSL1/CD55/RALGDS/GADD45B/CTNNA1/DUSP1/MYO1G/IL1B/VEGFA/FAM107B/HIVEP2/FNIP2/PXN/DOT1L/GSAP/PFKFB3/TPM4/CLIC4/ZMIZ1/PLIN3/MAT2A/PLAUR/SIGLEC9/TLR2/WDFY3/CSRNP1/ETV6/MCUB/SNX9/MIDN/STK40/FKBP5/HMOX1/ATF3/HAMP/PPP1R15A/GBP2/STX6/CSF2RA/QKI/HIF1A/ADAM19/SLC25A37/MARCKS/IQGAP1/LITAF/SERPINA1/ADGRE2/ADAM9/RASSF4/CCNL1/CD93/FGR/USP32/PICALM/TFRC/ARHGAP31/CDKN1A/TOP1/KDM7A/FOS/NDRG1/RGL1/RAB8B/MSN/C5AR1/FCAR/BCL2A1/RARA/ARFGAP3/AGO2/SLC6A6/RAB10/DPYD/GK/LUCAT1/HIPK3/TPST1/RUNX1/ACSL4/PTPN1/ENO1/PURB/YBX3/BCL3/IRAK2/YWHAG/MCL1/ADM/BACH1/FMN1/MAP2K3/IGSF6/BAZ1A/RAB1A/LDHA/FLOT1/LIMK2/ATP1B3/B4GALT5/IL4R/NECTIN2/GK5/NFKBIA/ATF6/PPP1CB/TNIP2/FCGRT/SOCS3/ZNF706/FNDC3B/CD14/LILRB3/FCGR2A/LMNB1/SQOR/SBNO2/ACTR3/ETS2/GCA/GCH1/GRB2/RILPL2/GRAMD1A/MXD1/SH3BP2/CCRL2/UBE2D1/ZNFX1/CASP1/TLR4/ADA2/MMP19/GNA12/ADAM8/RAB20/IL1RAP/IL1A/PIM3/NIBAN2/KLF10/CASP4/ARL4A/LRG1/FLNA/LST1/LAP3/PTAFR/IPO7/CCL2/ALOX5AP/TOM1/S100A6/FCGR1A/EIF4G1/CCL3/PDXK/LILRB4,175,2.3671822391375055,1.9936243944042968,2.8107359485648837
MANNO_MIDBRAIN_NEUROTYPES_HMGL,MANNO_MIDBRAIN_NEUROTYPES_HMGL,134/2057,552/16602,0.2427536231884058,1.9592589461224663,8.619762234007464,4.2719930767029776e-15,1.747245168371518e-12,1.1961580614768338e-12,NAV3/SRGN/NEAT1/SGK1/CPED1/SORL1/ELL2/DOCK1/A2M/MLKL/RIN2/CX3CR1/GADD45B/LRRK2/DUSP1/IL1B/NFKBIZ/ERMAP/ZFP36/SFMBT2/DNAJB1/ACY3/PLAUR/PARP9/CSRNP1/ACSF2/FKBP5/HMOX1/P2RY13/ATF3/ARHGAP26/HSPH1/PPP1R15A/MAP3K5/P2RY12/WIPF1/SELPLG/DEPTOR/C12orf75/CD69/LITAF/MPEG1/RASSF4/IGF1/CDKN1A/MAFF/USP36/SPP1/P3H2/ARRDC2/CARD11/RGL1/NEU4/GLIPR1/BCL2A1/PMAIP1/ITSN2/RUNX1/VSIG4/CD84/TBC1D12/DENND4A/BCL3/JAK3/IRAK2/EDEM1/DNAJA4/UBA7/DENND3/CEBPD/GAL3ST4/BDNF/MAP2K3/PYGL/ENTPD1/ZFP36L2/IRF1/IGSF6/PLD4/HSPD1/CEBPA/SLC11A2/IL4R/NFKBIA/PTPRE/BIN1/PDPN/FCGRT/EGR1/CD14/ADAP2/FCGR2A/GPNMB/GIMAP4/RNF125/MAF/SYT6/HS3ST1/JUNB/ETS2/ERF/RILPL2/SLC4A4/SAMHD1/LPAR5/CSF1/CCRL2/HSPB1/CASP1/TLR4/TMEM119/GPR34/PIK3IP1/CASP4/FCGR3A/LPL/PAG1/AXL/NIBAN1/PTAFR/CCL2/IFI16/ALOX5AP/STAT5A/FOLR2/PPFIA4/STAT1/SLC7A11/IKBKE/FCGR1A/OAS1/CCL3/RGS1/LILRB4,134,2.30185193013605,1.8956620601251646,2.7950774664558167
TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,135/2057,562/16602,0.2402135231316726,1.9387578566028336,8.514261181326763,8.126329876799529e-15,2.2157792797406715e-12,1.5169149103359122e-12,SLC11A1/KLF9/SLC2A3/SH3PXD2B/SRGN/NEAT1/SGK1/PHC2/NAMPT/SORL1/ELL2/AHR/BCAT1/GLIPR2/A2M/RIN2/ACSL1/GADD45B/CTNNA1/DUSP1/IL1B/VEGFA/RNF130/PFKFB3/TPM4/ZMIZ1/PLIN3/MAT2A/PLAUR/TLR2/CSRNP1/ETV6/MIDN/FKBP5/HMOX1/ATF3/REEP3/CHSY1/SPRED1/STX6/CSF2RA/QKI/HIF1A/TBC1D14/ADAM19/SLC25A37/RHOQ/MARCKS/IQGAP1/LITAF/JMJD1C/RASSF2/RNF149/ADGRE2/ADAM9/NFE2L2/CD93/FGR/USP32/PICALM/TFRC/ARHGAP31/CDKN1A/TOP1/FOS/RGL1/RAB8B/HLA-DMB/C5AR1/FILIP1L/GLUL/GLIPR1/FCAR/BCL2A1/SLC6A6/DPYD/GK/LUCAT1/MT1M/RUNX1/VSIG4/PTPN1/ENO1/YBX3/BCL3/EDEM1/MCL1/BACH1/RGS2/CEBPD/MAP2K3/ENTPD1/IGSF6/BAZ1A/RAB1A/FLOT1/ATP1B3/KLHL2/NECTIN2/NFIL3/PPARD/PPP1CB/PTPRE/FCGRT/SOCS3/ZNF706/CD14/LILRB3/FCGR2A/ZFAND5/RHOB/ETS2/CAB39/GRB2/RILPL2/MXD1/CCRL2/TLR4/ADA2/MMP19/MT1X/GNA12/RAB20/IL1RAP/HRH2/PIM3/NIBAN2/LST1/SEC14L1/PTAFR/CCL2/TOM1/S100A6/FCGR1A/PDXK,135,2.277766051863526,1.8774549150435866,2.763431571884914
MANNO_MIDBRAIN_NEUROTYPES_HRGL3,MANNO_MIDBRAIN_NEUROTYPES_HRGL3,130/2057,540/16602,0.24074074074074073,1.943013017879328,8.378034896915002,2.1902472475041517e-14,4.47905562114599e-12,3.066346146505812e-12,KLF9/SPOCK1/EVA1C/PLCXD3/STAT3/P4HA1/EDNRB/MAP7/ATP1A2/FIBIN/HES5/ATXN1/KCNMB4/SHROOM3/ITGB8/PROM1/LIX1/RANBP3L/LRRK2/RHOJ/SLC15A2/FGFR3/RERG/DNAH7/GPR155/PLIN3/HDAC4/TACR1/NXPH1/JAM2/TBC1D4/CSPG5/ATF3/HK2/RMST/CAST/BMP1/GPM6B/ID4/SERPINB6/MAP3K5/MRC2/SCN1A/QKI/C12orf75/LRRN3/LITAF/CD47/CSGALNACT1/TRIM9/SNTG1/ADAM9/NKAIN4/PDE8B/CHST3/KLF15/FOS/ITPRID2/GJA1/KCNMA1/PAPLN/HS3ST4/SPON1/GALNT15/DKK3/FOXP2/ARHGAP5/OSBPL6/LPAR4/KLHL32/YBX3/TMEM132C/ECHDC2/GAREM2/HES4/JUN/EEPD1/PYGL/ZFP36L2/CCDC146/ADGRV1/PREX1/HAS2/SLC35G2/KIF5C/EPHA1-AS1/MEST/PDPN/EGR1/FNDC3B/BCAN/RXRG/AFF2/NTN1/HS3ST1/PPP1R14C/CDH4/HAPLN1/FAT3/GCA/ERF/CALU/HES1/SLC4A4/ARHGEF26-AS1/TRAM2/HSPB1/CNMD/TXLNB/STK33/NECTIN3/DDAH1/MLC1/TMEM47/SPARCL1/GNA12/AQP4/GET1/KLHDC8B/GRIA1/LPL/SALL2/TAGLN2/SLC7A11/CCDC39/RSPH1/TIMP4/CACNG4/ZNF395/CADM3,130,2.2827652640486864,1.8749645419935348,2.7792617588419635
MANNO_MIDBRAIN_NEUROTYPES_HRGL2A,MANNO_MIDBRAIN_NEUROTYPES_HRGL2A,132/2057,557/16602,0.236983842010772,1.9126911740704116,8.239654386553848,4.901560288239587e-14,8.018952631559965e-12,5.489747522828338e-12,SESN3/SH3PXD2B/GPM6A/P4HA1/EDNRB/ATP1A2/HES5/NRXN1/ATXN1/ITGB8/LIX1/RANBP3L/NCAM2/LRRK2/SLC15A2/FGFR3/ASTN1/PMP2/DNAH7/SOX6/DNAJB1/GPR155/PLIN3/B3GAT1/CPNE2/KAT2B/HDAC4/PCSK6/CSPG5/CAST/SEZ6L/GPM6B/ID4/MRC2/SPRED1/TSPAN7/AKAP6/SCN1A/QKI/AIF1L/C12orf75/LRRN3/LITAF/RASSF2/SCRG1/CSGALNACT1/RASSF4/NKAIN4/TSPAN18/CHST3/KLF15/FOS/PER1/GJA1/DKK3/PCDH7/MYORG/OSBPL6/CHST9/LPAR4/KLHL32/MFGE8/DHCR7/YBX3/GAREM2/MCL1/SPRY1/RGS2/HES4/JUN/DHX32/EEPD1/ZFP36L2/ATP13A4/CCDC146/SLC1A2/SLC11A2/PREX1/HAS2/NELL2/PDPN/EGR1/CRYM/FNDC3B/CA12/SEL1L3/BCAN/AFF2/MMD2/FAT3/ELOVL2/GCA/ERF/GULP1/SCN4B/DBX2/HES1/SLC4A4/SERPINE2/ENHO/KBTBD11/TRAM2/HSPB1/CNMD/SNCAIP/OPHN1/STK33/DDAH1/MLC1/TMEM47/RIPOR2/SPARCL1/ABHD2/PTPRZ1/AQP4/RRAGD/KCNQ2/SLC1A4/NLGN4X/GRIA1/PAG1/SALL2/WEE2-AS1/FSTL5/LRRC4C/CCL2/TAGLN2/SLC7A11/CCDC39/RSPH1/TIMP4/FABP7,132,2.2471413896062753,1.8488385687012359,2.7312522090172937
MANNO_MIDBRAIN_NEUROTYPES_HNBGABA,MANNO_MIDBRAIN_NEUROTYPES_HNBGABA,150/2057,669/16602,0.2242152466367713,1.8096361325540482,8.038621315489651,1.1309329346614482e-13,1.541838567588441e-11,1.0555374056840185e-11,STMN4/SPOCK1/GPM6A/XKR4/DICER1/CSMD2/NRXN1/FHOD3/GABRB1/RALGDS/VGF/KLHL1/GABRG2/BRINP3/NFASC/GPR155/RAB11FIP4/MPP3/ARPP21/RETREG1/GNAO1/FRMD4A/ZNF292/PTPRT/SPRED3/ENC1/SERPINI1/AMPH/PHACTR3/MTURN/TSPAN7/PGAP1/BAALC/GUCY1A1/SCN1A/SYNPR/SLC9A7/SLC8A1/ANKRD12/PLEKHA1/OPCML/CSGALNACT1/TAFA2/IGF1/TNRC6C/SLC24A3/ELAVL4/ERC2/NSG2/JPH3/SS18L1/CELF4/ATCAY/FGF14/KCNMA1/ROBO1/PPFIA2/EEF1A2/SYT4/SCN2A/PCDH7/DNM3/PDE4D/BRINP1/PIANP/CELF2/MAP2/SLC12A5/KLHL32/SV2B/ACSL4/ST6GAL2/FRY/OPRM1/ZBTB38/GABRG1/RIMS2/EEA1/DENND3/BDNF/TMC7/LRRC3B/MIR124-2HG/CSMD1/SCG2/SLC1A2/SYN2/ZNF283/RBMS3/SRRM4/NFIL3/GK5/ACSL6/ST8SIA3/APOL6/SLC32A1/LRFN5/KIF5C/SHROOM2/HS6ST3/PCDH19/DYNC1I1/DSCAM/TRIM58/RNF125/HS3ST1/CDH4/NRXN3/CHN1/BRINP2/SEZ6/SMPD3/PRLR/PLXNA2/DCX/KIF21B/ELAVL2/CACNG2/ASXL3/GOLGA8B/RIPOR2/ADORA2A-AS1/KSR2/RGS7BP/CDH8/GRIK2/CRMP1/GPR137C/ANK1/PAK3/ATP1A3/UBASH3B/GRIA1/SULT4A1/GAD2/NSG1/PCGF3/AHDC1/NNAT/CHL1/PPFIA4/CCDC39/BSN/KCND2/GABRB3/MYT1L/CACNG4/GNAL/GABRA1/THSD7B,150,2.126066303184358,1.7708664259682467,2.5525120693756116
MANNO_MIDBRAIN_NEUROTYPES_HOPC,MANNO_MIDBRAIN_NEUROTYPES_HOPC,91/2057,346/16602,0.2630057803468208,2.122713643810364,7.936474265973214,1.0376006604822073e-12,1.212510486106351e-10,8.30080528385766e-11,GPM6A/EDNRB/DOCK1/HES5/NRXN1/ITGB8/NCAM2/LRRK2/SLC15A2/ASTN1/PMP2/BRINP3/DNAH7/SOX6/CALCRL/SPRY4/CPNE2/NXPH1/CSPG5/PTPRT/COL9A1/SEZ6L/GPM6B/PHACTR3/SPRED1/TSPAN7/BAALC/SCN1A/QKI/AIF1L/SLC9A7/SOX5/OPCML/SCRG1/CSGALNACT1/NETO1/TAFA2/SNTG1/IGF1/NKAIN4/JPH3/ATCAY/PDGFRA/DNM3/BRINP1/OSBPL6/ARHGAP42/LPAR4/THY1/UHRF1/GAREM2/ETV1/DHX32/ARHGAP23/ATP13A4/SLC1A2/PLLP/PREX1/SKA3/APOL6/PTPRE/GAB1/EGR1/SEL1L3/BCAN/PCDH15/PCDH11X/GPR17/BARD1/CHN1/BRINP2/SEZ6/ERF/ANGPTL2/SERPINE2/CNMD/OPHN1/CACNG2/PTPRZ1/LUZP2/KCNQ2/PHLDA1/AFAP1L2/LRRC4C/SLC7A11/CCDC39/TIMP4/KCND2/LHFPL3/GNAL/FABP7,91,2.493888063035848,1.9709338205369575,3.1555994453726877
MANNO_MIDBRAIN_NEUROTYPES_HSERT,MANNO_MIDBRAIN_NEUROTYPES_HSERT,105/2057,430/16602,0.2441860465116279,1.9708200020350248,7.670408346430808,2.9467551633948776e-12,3.013057154571262e-10,2.0627286143764143e-10,STMN4/SPOCK1/PLCXD3/GPM6A/MGAT4C/NRXN1/NCOA7/GABRB1/RALGDS/VGF/LGI1/GABRG2/BRINP3/NFASC/HSPA12A/RETREG1/GNAO1/PTPRM/SERPINI1/PHACTR3/MTURN/TSPAN7/BAALC/MAP2K4/OPCML/CD47/TAFA2/QDPR/CPNE4/SLC24A3/ERC2/NSG2/JPH3/CELF4/ATCAY/FGF14/HS3ST4/PPFIA2/EEF1A2/DOK6/SCN2A/PCDH7/DNM3/BRINP1/SLC12A5/KLHL32/FRY/ACTL6B/GABRG1/YWHAG/RIMS2/MTUS2/SLC6A15/RGS17/PRKCZ/SCG2/SYN2/RBMS3/SRRM4/ACSL6/ST8SIA3/PLCB1/LRFN5/KIF5C/MEST/PLCH2/COL5A2/HS6ST3/PCDH19/DYNC1I1/ABR/PCDH11X/AFF2/SEZ6/SMPD3/GCH1/GNG3/TENM2/DCX/FNDC10/TUBB2A/ELAVL2/PCSK1N/ASXL3/RIPOR2/KSR2/CDH8/ARRB1/GRIK2/CRMP1/ENO2/TUBB4A/TMEM178B/ATP1A3/CALB1/GRIA1/NSG1/NCDN/SPOCK2/PPFIA4/LHFPL3/GNAL/SHANK3/PTPRR/THSD7B,105,2.3154345343749645,1.8616387887443435,2.8798481828971285
FAN_EMBRYONIC_CTX_OLIG,FAN_EMBRYONIC_CTX_OLIG,155/2057,731/16602,0.21203830369357046,1.711356304288117,7.3972642856836766,5.0206839168214914e-12,4.5632438266222e-10,3.123981103800039e-10,SLAIN1/STMN4/CNDP1/PIP4K2A/ZDHHC11/CLMN/RAB40B/GAS7/SLC22A23/PACS2/C1orf198/PHC2/ELL2/MAP7/KCNMB4/PRIMA1/CDK18/NCOA7/CDH19/TMTC4/ACSL1/ADIPOR2/TSPAN15/RALGDS/LMNA/CTNNA1/RASA3/FAM177A1/ZNF160/SYNJ2/FAM107B/SETD7/RNF130/PRICKLE1/NFASC/GPR155/LRRC8B/KDM4C/CLIC4/RETREG1/CLCA4/RRBP1/FNIP1/PTP4A2/ETV6/PCSK6/CLDN11/ZNF488/BMP8A/ZNF365/ZNF146/SERPINI1/REEP3/COPA/MTMR10/ARHGEF10/ZNF536/GNAI1/RELT/PPP2R2A/STX6/PHLDA3/QKI/IGSF11/DEPTOR/TECR/SIK3/DIP2B/RTKN/RASSF2/PLEKHA1/CD47/PIP5K1B/BCAR1/DOCK9/QDPR/CLN8/TJP2/PICALM/GRB10/TMTC2/NDRG1/JAM3/ATF7/AMBRA1/RAP1A/KLF13/LRRC8D/OSBPL1A/SNX30/FAM222A/GALNT15/FGFR2/CD22/DNM3/TMC6/ACAN/INF2/TFEB/KLHL32/TMEM64/UBR1/FRY/TBC1D12/UBE4B/SPATA13/TSC22D3/DNAJA4/ERMP1/SLC6A15/ARHGAP23/MAPK6/SORT1/PLLP/PTK2/PCSK7/PREX1/ATL3/PTPDC1/FADS1/SLC45A3/GAB1/BIN1/PLOD3/PLAAT3/ABHD17B/GTDC1/BEST1/ZFAND5/RHOB/RXRG/BZW2/DNAJB2/AGPS/SHISA2/CSF1/CDR2L/PCP4/TMEM184B/PAQR6/RAB21/ASPA/SPSB1/ZFYVE28/SEPTIN10/PIK3IP1/SLC27A4/TUBB4A/TTL/SGK2/CHADL/MAL/ADAMTS18/SOX10/TBC1D9,155,2.010601416404031,1.6807785833767153,2.4051461005199166
HU_FETAL_RETINA_MICROGLIA,HU_FETAL_RETINA_MICROGLIA,93/2057,368/16602,0.25271739130434784,2.0396762909260007,7.584669943702899,6.849078648898008e-12,5.60254633479857e-10,3.835484043382884e-10,PIP4K2A/SLC2A3/SRGN/NEAT1/SGK1/CPED1/SORL1/TACC1/LINC00996/A2M/CX3CR1/GADD45B/DUSP1/NFKBIZ/ZFP36/SFMBT2/DNAJB1/ACY3/PLAUR/HMOX1/P2RY13/MED12L/ATF3/KLF6/HSPA1A/PPP1R15A/HSPA1B/SPRED1/P2RY12/CSF2RA/SELPLG/QKI/C12orf75/MPEG1/ADAM9/MIS18BP1/NFE2L2/CCNL1/CDKN1A/SPP1/FOS/MSN/RAP1A/HLA-DMB/GLUL/GLIPR1/LPXN/ITSN2/SUSD3/TMC6/RUNX1/VSIG4/CD84/RGS2/CEBPD/GAL3ST4/BTG2/ENTPD1/ZFP36L2/MYO9B/IGSF6/PLD4/PREX1/OTULINL/NFKBIA/PTPRE/BIN1/FCGRT/CD14/ADAP2/FCGR2A/RHOB/GIMAP4/MAF/ACTR3/JUNB/ETS2/GRB2/SAMHD1/LPAR5/CASP1/TLR4/GPR34/LST1/FCGR3A/LAP3/PTAFR/IFI16/ALOX5AP/FOLR2/FCGR1A/RGS1/LILRB4,93,2.3963309272684996,1.9002137980313243,3.0219767475285146
