ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
DESCARTES_FETAL_CEREBRUM_MICROGLIA,DESCARTES_FETAL_CEREBRUM_MICROGLIA,200/2407,422/16602,0.47393364928909953,3.2689017222673997,19.44106816963429,3.272504097905985e-60,2.4674680898211126e-57,1.1815462164018451e-57,SLC11A1/TLR2/CX3CR1/LINC02642/LINC02712/SFMBT2/CSF2RA/ACSM5/RYR1/LINC00996/CARD11/MYO1G/FGF20/ACY3/SELPLG/HAMP/LINC01845/LINC01645/TMEM156/MPEG1/RGS1/XACT/BCL2A1/C12orf75/GPR34/LINC01141/BNC2/P3H2/TREM1/SPTLC3/MYOZ2/ARL5C/GLIPR1/CYSLTR1/P2RY12/GAL3ST4/SOCS6/SLC2A5/CSF1R/P2RY13/MAF/GBP2/ENTPD1/SYT6/ELL2/ADAP2/SYNDIG1/IL1B/ARHGAP15/HLA-DMB/ATP8B4/PLD4/CD86/LINC01375/MERTK/CEBPA/HK2/ZNF710/PRRG4/SLC29A3/MYO1F/OSM/ERMAP/BATF/IL13RA1/LY86/LINC00649/BLNK/SPP1/ITGAX/OTULINL/LRRK1/ALOX15B/CACNA2D4/SIGLEC8/CTSS/MORC1/AOAH/MRC1/OAS1/ARL11/CCDC200/PIK3R5/P2RY6/CLEC17A/LINC01736/HPGDS/FOLR2/LILRB1/ADA2/ZMYND15/STEAP1B/FCGR1A/LINC01909/HMOX1/LINC02798/S100A9/FCAR/AP1B1/ADRB2/CD4/LILRB4/LRMDA/SERPINA1/CYBB/TLR7/CD163/TRAF3IP3/DHRS9/RNF149/SMIM35/S100Z/RBM47/GCNT2/IRF5/HMGA1P4/TRIM34/LPCAT2/APBB1IP/TFCP2L1/SPNS3/RTTN/SLC38A4/HSPA6/CLEC9A/TYMP/TREM2/FCGR3A/MNDA/GNB4/VSIG4/SIGLEC5/IGSF10/IL18/TMEM52B/SMAP2/CARD9/SLC15A3/CSF3R/MILR1/LINC02381/BATF3/S100A8/LY86-AS1/RGL3/LILRA4/LILRB3/SAMSN1/DOCK8/B3GNT5/DIAPH2/TMEM86A/LNCAROD/CSF1/LINC00539/DOCK8-AS1/ITGB2-AS1/NCF2/PPARG/CASP1/SLFN13/PDYN-AS1/NFKBID/WDFY4/CD300LF/TNFRSF11A/FGL1/C5AR1/LY96/COL8A2/NINJ1/UAP1L1/TMCO4/IL1RN/ARRB2/ARRDC5/RNASE6/LILRA1/LINC02611/GYPC/EGR3/RCN3/PCED1B-AS1/LILRA2/MEPE/ADAM28/MEFV/GPR132/NFAM1/CDKN2A/SIGLEC10/RAB42/CASP5/CHI3L1/GAPT/SASH3/PLVAP/CCR1/CCDC88B/CD37,200,3.840496813204772,3.2287526161255498,4.568146750721046
ZHONG_PFC_MAJOR_TYPES_MICROGLIA,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,190/2407,424/16602,0.4481132075471698,3.0908082557948124,17.958588141168732,1.8149118428055172e-52,6.8422176473768e-50,3.276393484643644e-50,CPED1/SORL1/NEAT1/A2M/CX3CR1/FRMD4A/LINC02712/SRGN/SFMBT2/SESN3/RYR1/LINC00996/PALD1/CD84/ACY3/SELPLG/LTC4S/INPP5D/MED12L/MPEG1/RGS1/C12orf75/GPR34/ZFP36/P3H2/FOS/GLUL/GLIPR1/TMEM119/RUNX1/P2RY12/GAL3ST4/RGS10/SOCS6/CSF1R/GIMAP4/P2RY13/MAF/ENTPD1/TM6SF1/SGK1/ZFP36L2/ADAP2/C3/CD14/MIS18BP1/PTAFR/GADD45B/IGF1/ATP8B4/LPAR5/PLD4/CD86/MERTK/CEBPA/BTG2/VSIR/CYFIP1/SLC29A3/TACC1/MYO1F/IL13RA1/LY86/BLNK/RCSD1/XBP1/PTGS1/TBXAS1/SPP1/ITGAX/CEBPD/LHFPL2/IFNGR1/FCGRT/NCKAP1L/FCGR2A/RASSF4/OTULINL/NFKBIA/SIGLEC8/FLI1/CTSS/AOAH/MRC1/OAS1/FYB1/FAM78A/CCL3/HPGDS/SYK/FOLR2/KLF6/ADA2/RIN2/JUNB/BIN2/ADAM9/HVCN1/DUSP1/ABCG2/FCGR1A/IGSF6/AP1B1/ADRB2/CD4/LILRB4/SERPINA1/CYBB/TLR7/DHRS9/IFI16/LPCAT2/SERPINB6/APBB1IP/EGR1/IL16/ARHGDIB/OLFML3/TREM2/FCGR3A/MNDA/GNB4/VSIG4/TMEM52B/SMAP2/FPR1/SLC15A3/CSF3R/RGS2/MILR1/PDPN/LINC02256/CD53/SLCO2B1/AXL/LST1/ARHGAP4/CREBL2/RNF135/MGST2/SAMSN1/DOCK8/B3GNT5/TLR10/TAL1/CCND1/SALL1/CASP1/TPT1/SH2B3/IL10RA/C3AR1/ZFHX3/FCER1G/TNFRSF1B/C5AR1/LY96/GSTK1/NINJ1/SLC7A8/RHOB/ARRB2/CCL4/GAS6/RNASE6/GYPC/LPAR6/GRN/PLCB2/EGR3/RCN3/PDGFB/HSPA1A/HSPA1B/ADAM28/PLA2G15/CD63/ALOX5AP/SIGLEC10/KCTD12/IFITM2/NR4A1/UCP2/CCL4L2/SASH3/PLVAP/CCR1/ITM2C/CD37/DNAJB1,190,3.631262199089135,3.044409504619921,4.3312389934808975
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,167/2407,359/16602,0.46518105849582175,3.208531754527475,17.420283624640273,7.111140324211967e-49,1.7872666014852742e-46,8.558319758612998e-47,CPED1/SORL1/NEAT1/A2M/CX3CR1/LINC02712/SRGN/SFMBT2/LINC00996/CD84/ACY3/SELPLG/LTC4S/INPP5D/MED12L/MPEG1/RGS1/C12orf75/GPR34/ZFP36/FOS/GLUL/GLIPR1/TMEM119/P2RY12/GAL3ST4/RGS10/SOCS6/CSF1R/GIMAP4/P2RY13/MAF/ENTPD1/ZFP36L2/ADAP2/C3/CD14/MIS18BP1/PTAFR/GADD45B/IGF1/SUSD3/ATP8B4/LPAR5/PLD4/CD86/MERTK/EPB41L2/BTG2/VSIR/CYFIP1/SLC29A3/MYO1F/IL13RA1/LY86/BLNK/RCSD1/XBP1/PTGS1/TBXAS1/SPP1/ITGAX/CEBPD/LHFPL2/IFNGR1/FCGRT/NCKAP1L/FCGR2A/OTULINL/NFKBIA/SIGLEC8/CTSS/AOAH/MRC1/OAS1/FYB1/CCL3/HPGDS/SYK/FOLR2/RIN2/PPP1R15A/JUNB/BIN2/ADAM9/HVCN1/DUSP1/DDIT4/ABCG2/FCGR1A/IGSF6/HMOX1/AP1B1/ADRB2/CD4/LILRB4/SERPINA1/CYBB/TLR7/DHRS9/ST6GAL1/IFI16/LPCAT2/SERPINB6/APBB1IP/EGR1/ARHGDIB/OLFML3/TREM2/FCGR3A/MNDA/GNB4/VSIG4/TMEM52B/FPR1/DAGLB/NFKBIZ/CSF3R/RGS2/MILR1/PDPN/LINC02256/CD53/SLCO2B1/LST1/ARHGAP4/TGFBR2/MGST2/SAMSN1/DOCK8/B3GNT5/TLR10/TAL1/CCND1/SALL1/CASP1/IL10RA/C3AR1/ZFHX3/FCER1G/TNFRSF1B/LY96/NINJ1/SLC7A8/RHOB/ARRB2/CCL4/GAS6/RNASE6/GYPC/CHCHD7/LPAR6/GRN/LAP3/PDGFB/HSPA1A/HSPA1B/ADAM28/PLA2G15/ALOX5AP/SIGLEC10/KCTD12/UCP2/PLVAP/CCR1/CD37/DNAJB1,167,3.7695706464316583,3.122249029947991,4.551098494112075
HU_FETAL_RETINA_MICROGLIA,HU_FETAL_RETINA_MICROGLIA,168/2407,368/16602,0.45652173913043476,3.1488051155145316,17.165072387036364,9.064699797534638e-48,1.708695911835279e-45,8.18208429093258e-46,CPED1/SORL1/NEAT1/A2M/CX3CR1/SRGN/SFMBT2/CSF2RA/LINC00996/SLC2A3/PALD1/CD84/ACY3/SELPLG/PIP4K2A/INPP5D/MED12L/MPEG1/RGS1/C12orf75/GPR34/ZFP36/FOS/GLUL/GLIPR1/RUNX1/P2RY12/GAL3ST4/RGS10/CDKN1A/CSF1R/GIMAP4/P2RY13/MAF/ENTPD1/SGK1/ZFP36L2/ADAP2/C3/CD14/MIS18BP1/PTAFR/GADD45B/SUSD3/HLA-DMB/ATP8B4/LPAR5/PLD4/CD86/MEF2C/MERTK/BTG2/VSIR/CYFIP1/TACC1/MYO1F/PLAUR/IL13RA1/LY86/BLNK/RCSD1/TBXAS1/SPP1/PRKCD/ITGAX/CEBPD/IFNGR1/FCGRT/NCKAP1L/FCGR2A/OTULINL/NFKBIA/CTSS/TRIM38/AOAH/FYB1/SAMHD1/HPGDS/SYK/FOLR2/KLF6/PPP1R15A/JUNB/BIN2/ADAM9/DUSP1/CCNL1/ABCG2/FCGR1A/IGSF6/HMOX1/ATF3/AP1B1/CD4/LILRB4/CYBB/SRGAP2B/ST6GAL1/LPXN/SRGAP2/IFI16/LPCAT2/APBB1IP/ARHGDIB/TYMP/OLFML3/TREM2/FCGR3A/MNDA/GNB4/VSIG4/TMEM52B/SMAP2/FPR1/CXCL8/NFKBIZ/CSF3R/RGS2/MILR1/CD53/PLSCR1/SLCO2B1/LST1/ARHGAP4/TGFBR2/MGST2/SAMSN1/SLA/DOCK8/B3GNT5/TLR10/ZYX/CASP1/TPT1/SH2B3/PLEKHO1/IL10RA/C3AR1/UBC/FCER1G/TNFRSF1B/LY96/NINJ1/RHOB/ARRB2/GAS6/RNASE6/CHCHD7/LPAR6/GRN/ETS2/PLCB2/LAP3/PCED1B-AS1/CST3/ACTB/HSPA1A/HSPA1B/ADAM28/IER5/ALOX5AP/SIGLEC10/KCTD12/UCP2/CCL4L2/CCR1/CD37/DNAJB1,168,3.6994002998500743,3.0673809471475386,4.461644254280672
CUI_DEVELOPING_HEART_C8_MACROPHAGE,CUI_DEVELOPING_HEART_C8_MACROPHAGE,117/2407,269/16602,0.4349442379182156,2.999976833368598,13.61775748022936,4.601141037236272e-31,6.938520684152299e-29,3.322508159520087e-29,NEAT1/TLR2/A2M/CX3CR1/SRGN/NAMPT/SLC2A3/INPP5D/MPEG1/RGS1/GPR34/ZFP36/GLUL/GLIPR1/RUNX1/RGS10/CDKN1A/CSF1R/MAF/SGK1/ZFP36L2/ADAP2/CD14/PTAFR/GADD45B/HLA-DMB/PLD4/CD86/MEF2C/BTG2/VSIR/MYO1F/PLAUR/IL13RA1/LY86/TBXAS1/PRKCD/ITGAX/CEBPD/FCGRT/FCGR2A/NFKBIA/CTSS/AOAH/MRC1/FYB1/NLRP3/CCL3/HPGDS/SYK/FOLR2/KLF6/ADA2/JUNB/IQGAP1/DUSP1/FCGR1A/IGSF6/S100A9/CD4/CYBB/CD163/PMAIP1/LITAF/RBM47/APBB1IP/IL16/ARHGDIB/FCGR3A/MNDA/VSIG4/SMAP2/FPR1/CXCL8/CSF3R/RGS2/CD53/MCL1/SLCO2B1/BAZ1A/S100A8/LST1/ARHGAP4/SAMSN1/STK17B/SLA/DOCK8/B3GNT5/NCF2/CASP1/SH2B3/MAFB/IL10RA/C3AR1/SERPINB1/FCER1G/TNFRSF1B/C5AR1/LY96/PLAC8/NINJ1/IQGAP2/RHOB/ARRB2/RNASE6/ADCY7/LPAR6/GRN/PLCB2/CST3/HSPA1A/IER5/MAP3K8/ALOX5AP/CALHM6/UCP2/CD37,117,3.524548134854506,2.8252596342331717,4.396919633291707
DESCARTES_MAIN_FETAL_MICROGLIA,DESCARTES_MAIN_FETAL_MICROGLIA,80/2407,153/16602,0.5228758169934641,3.6064745798610267,13.33726960735718,2.846368789287655e-28,3.5769367785381534e-26,1.712814903027484e-26,SLC11A1/SORL1/CX3CR1/LINC02642/LINC02712/SFMBT2/CSF2RA/ACSM5/PALD1/LINC01645/MACORIS/GPR34/LINC01141/AZIN2/P2RY12/GAL3ST4/SOCS6/SLC2A5/CSF1R/P2RY13/ENTPD1/TM6SF1/SYNDIG1/PTAFR/NCK2/TNFRSF10D/LPAR5/LINC01375/MERTK/SLC29A3/IL13RA1/LY86/ABR/SPP1/ITGAX/LHFPL2/IFNGR1/FCGR2A/LRRK1/LRCH1/SIGLEC8/LINC01736/HPGDS/RIN2/STEAP1B/FCGR1A/LINC01909/LINC02798/AP1B1/ADRB2/LILRB4/TLR7/SRGAP2B/TGFBR1/ST6GAL1/HMGA1P4/APBB1IP/RTTN/NCK1-DT/ST8SIA4/TREM2/FCGR3A/GNB4/VSIG4/SMAP2/FPR1/DAGLB/SLC7A11-AS1/SLCO2B1/TNF/SAMSN1/DOCK8/B3GNT5/LNCAROD/PDYN-AS1/EGR3/ADAM28/PLA2G15/ALOX5AP/SIGLEC10,80,4.237097137705657,3.2225099534025827,5.571120776647183
AIZARANI_LIVER_C2_KUPFFER_CELLS_1,AIZARANI_LIVER_C2_KUPFFER_CELLS_1,87/2407,192/16602,0.453125,3.1253765060240966,12.197467535621723,6.449604146258244e-25,6.947145037541022e-23,3.3266379280700416e-23,TLR2/SRGN/CD84/MPEG1/RGS1/GPR34/AHR/BCAT1/RGS10/CSF1R/P2RY13/SGK1/IL1B/MIS18BP1/PTAFR/HLA-DMB/PLD4/CD86/VSIR/PLAUR/IL13RA1/LY86/TBXAS1/ITGAX/IFNGR1/FCGR2A/CTSS/MRC1/SAMHD1/RGCC/NLRP3/ATP1B3/SYK/ADA2/IGSF6/FGR/CELF2/LILRB4/CYBB/SRGAP2B/CD163/LPCAT2/HSPA6/FCGR3A/MNDA/VSIG4/IL18/SMAP2/FPR1/CXCL8/NR4A3/SLC15A3/RGS2/SLCO2B1/AXL/LST1/EMILIN2/LILRB3/STK17B/HLA-DRB5/NCF2/SH2B3/PLEKHO1/MAFB/C3AR1/WDFY4/FCER1G/TNFRSF1B/C5AR1/PSTPIP2/ARRB2/RNASE6/GRN/CST3/ADAM28/IER5/MAP3K8/FTH1/TGFBI/KCTD12/CALHM6/UCP2/GAPT/AREG/CCR1/FABP5/CD37,87,3.671875,2.84021647151045,4.747055779327554
DESCARTES_FETAL_KIDNEY_MYELOID_CELLS,DESCARTES_FETAL_KIDNEY_MYELOID_CELLS,78/2407,175/16602,0.44571428571428573,3.0742619740043917,11.359022847101514,6.381966424644005e-22,6.015003355226975e-20,2.880282215332755e-20,LINC02712/CSF2RA/RYR1/LINC00996/ACY3/MPEG1/LINC01010/GPR34/TREM1/ARL5C/CSF1R/P2RY13/ADAP2/PTAFR/HLA-DMB/ATP8B4/CD86/PLAUR/SPP1/RASSF4/LRRK1/P2RY6/NLRP3/HPGDS/HLX-AS1/FOLR2/LILRB1/SIGLEC9/FCGR1A/IGSF6/HMOX1/LINC02798/LINC02723/LILRB4/CLEC5A/CYBB/TLR7/CD163/DHRS9/SMIM35/LPCAT2/CLEC9A/TREM2/MNDA/VSIG4/SIGLEC5/LINC01478/CCL8/IGSF21/CXCL8/SLC15A3/RGS2/SLCO2B1/S100A8/KYNU/B3GNT5/TMEM86A/TLR10/HLA-DRB5/NCF2/C3AR1/CD300LF/TNFRSF11A/LY96/ADRB1/RNASE6/LILRA1/SLAMF8/PTGS2/CST3/LILRA2/MEFV/NFAM1/NOD2/KCNAB1/TNNI2/CCR1/CD163L1,78,3.611822660098522,2.756700126559932,4.732202390210743
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS,DESCARTES_FETAL_INTESTINE_MYELOID_CELLS,84/2407,198/16602,0.42424242424242425,2.9261623295690598,11.227629458157654,8.973853843810692e-22,7.51809533137029e-20,3.6000372730141146e-20,CX3CR1/CACNB4/NAMPT/CSF2RA/RYR1/LINC00996/RGS18/LINC01645/MPEG1/BCL2A1/GPR34/TNFRSF13C/TREM1/P2RY12/CSF1R/P2RY13/ADAP2/IL1B/CD14/PTAFR/HLA-DMB/PLD4/CD86/MERTK/LY86/ADGRE2/TBXAS1/ITGAX/FCGR2A/CTSS/HRH2/AOAH/SAMHD1/NLRP3/HPGDS/FOLR2/LILRB1/ZMYND15/FCGR1A/IGSF6/CD4/LILRB4/CYBB/TLR7/CD163/SMIM35/SECTM1/CLEC9A/TYMP/FCGR3A/MNDA/VSIG4/SIGLEC5/LINC01478/FPR1/CXCL8/CSF3R/MILR1/KYNU/LILRB3/TLR10/HLA-DRB5/NCF2/MAFB/IL10RA/C3AR1/WDFY4/CR1/CD300LF/FCER1G/C5AR1/RNASE6/LILRA1/CST3/LILRA2/MEFV/SIGLEC10/TNNI2/HLA-DQA2/BID/GAPT/CMKLR1/CCR1/CD163L1,84,3.4378265412748172,2.6541763209882063,4.452850865421495
AIZARANI_LIVER_C25_KUPFFER_CELLS_4,AIZARANI_LIVER_C25_KUPFFER_CELLS_4,74/2407,167/16602,0.4431137724550898,3.0563252390109685,10.99772001121462,1.1082852387971467e-20,8.356470700530486e-19,4.0014930200781195e-19,SLC11A1/TLR2/SRGN/NAMPT/CD55/MPEG1/RGS1/AHR/VEGFA/CSF1R/SGK1/IL1B/MIS18BP1/HLA-DMB/PLD4/CD86/PLAUR/IL13RA1/ADGRE2/ITGAX/VCAN/FCGR2A/CTSS/SAMHD1/RGCC/NLRP3/ATP1B3/SYK/LILRB1/ADA2/RHOQ/IGSF6/FGR/CELF2/CYBB/CD163/PMAIP1/LITAF/HSPA6/CLN8/MNDA/THBD/FPR1/CXCL8/NR4A3/SLC15A3/RGS2/LST1/EMILIN2/LILRB3/SAMSN1/STK17B/B3GNT5/HLA-DRB5/NCF2/SH2B3/MAFB/FCER1G/TNFRSF1B/C5AR1/PSTPIP2/IL1RN/ARRB2/RNASE6/GRN/CST3/ACTB/MAP3K8/FTH1/TGFBI/KCTD12/SELL/GAPT/AREG,74,3.5907495354119345,2.722076837230346,4.736634194051577
