ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS,BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS,116,0.6872986508583749,2.766699906590009,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3462,"tags=67%, list=18%, signal=55%",SOCS3/FOS/PTPRF/SNHG29/ATF3/RPL9/EGR1/RPL18A/SPINT2/RPL37A/RPS3/RPL30/RPL18/RPS16/RPS3A/RPS6/RPL15/ALDH3A1/RPS12/CALM2/RPS27A/RPL17/EEF1A1/RPS9/RPL13A/RPL13/RPL7A/RPL19/RPL32/RPL8/TUBA1B/RACK1/RPS14/RPS15A/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/RPL27A/RPL23A/RPL10A/RPS20/RPL12/RPL14/RPS8/MARCKSL1/RPL5/RPS18/RPL3/RPL7/FOSB/RPL11/RPL22/RPL28/RPL37/JUN/RPL23/RPS5/RPL29/HSP90AB1/NPM1/EEF1B2/RPL26/RPLP0/RPS27/RPL35/EEF2/PTMA/RPS15/GATM/RPLP2/RPL35A/EEF1G/DGKD/TM9SF3/SAT1,2.766699906590009,NA,NA
RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS,RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS,300,0.5846801929337464,2.6011885328526225,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3831,"tags=50%, list=20%, signal=41%",ZFP36/FOS/GLUL/LMNA/BTG2/CEBPD/FAM162A/PPP1R15A/JUNB/DUSP1/MEST/CD9/RPL9/EGR1/MORF4L2/MT1X/RPL18A/RPL37A/RPS3/RPL30/ZFAS1/TUBA1A/RPL18/HSPD1/TPT1/RPL21/RPS16/RPS3A/RPL10/RPS6/RHOBTB3/TMEM230/RHOB/RPL15/LAMP2/EIF3E/RPS12/RPS27A/RPL17/EEF1A1/DES/RPS9/RPL13A/ANXA5/RPL13/PDLIM4/CD63/RPL7A/RPL19/RPL32/EIF4A1/JUND/RPL8/CRYAB/NACA/RPSA/RASD1/TUBA1B/RACK1/S100A6/RPS14/PMP22/RPS15A/RPS24/EIF3H/RPS13/RPS4X/SIRT2/VAPA/RPS19/RPS2/RPS23/RPL23A/IER2/RPL10A/RPS20/TSC22D1/RPL12/RPL14/RPS8/MYC/RPL5/RPS18/RPL3/RPL7/FOSB/TTC3/RPL11/RPL22/RPL28/SPATS2L/RPL37/GAPDH/JUN/RPL23/RPS5/RPL24/GADD45GIP1/RPS7/RPL29/HSP90AB1/DNAJC7/NPM1/UBA52/RPLP1/SBDS/CNN3/EEF1B2/TUBB2B/HSPE1/HNRNPR/RPL26/VDAC3/LSP1/RPLP0/RPS27/SDHC/RPL35/EEF2/VDAC1/ARF4/PTMA/HNRNPA0/EIF2A/RPS15/FAU/BTF3/RPLP2/PDLIM3/RPL35A/SNHG32/TUBB/RPL6/EIF3M/CIRBP/ESD/PPP1R14B/COX4I1/COMT/VAMP2/EIF3F/MIF/RPL4/TCEAL9/RHOA/PPIA/RBP1/SNHG8/PSMB7/CHCHD10/ZFYVE21,2.6011885328526225,NA,NA
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,271,0.5847175923980622,2.5731951934958546,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3922,"tags=56%, list=20%, signal=46%",NAMPT/PGK1/PFKFB3/SPP1/CEBPD/CD59/ENO1/IQGAP1/CD9/RPL9/HIF1A/SERPINA1/LITAF/LDHA/EGR1/NFKBIZ/RPL37A/HNRNPU/RPL30/RPL18/HSPD1/TPT1/ODC1/RPL21/RPS16/ACTG1/RPS3A/RPL10/RPS6/CLTA/TMF1/RPL15/RPS12/NFE2L2/RPS27A/TPI1/EEF1A1/UBE2D3/RPS9/RPL13A/ANXA5/RPL13/ACSL4/FUBP1/CNDP2/CD63/SOD2/RPL7A/RPL19/FTH1/RPL32/TCIM/PRDX1/YBX1/S100A10/RPL8/CRYAB/NACA/HSPA9/RPSA/RASD1/PLOD2/RACK1/S100A6/PDIA6/RPS14/CHD1/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/TMSB10/ERMP1/RPL10A/RPS20/TSC22D1/RPL12/RPL14/RPS8/CYB5A/RPL5/RPS18/RPL3/RPL7/FTL/CTSB/ITGA2/RPL11/RPS11/PDIA3/ARHGAP5/PKM/MYO9A/GAPDH/IFITM3/RPL23/RPS5/TIMP1/RPL24/RPS7/GDF15/PSMA7/B2M/HSP90AB1/HNRNPC/ADGRG1/CIB1/ANXA2/MT2A/TAF1D/NPM1/UBA52/RPLP1/TMEM59/HSPA5/EEF1B2/ARF1/KIF5B/HNRNPR/RPLP0/XRCC5/RPS27/RPL35/EEF2/PLEKHA1/PTMA/RPS15/PTGES3/FAU/BTF3/UBXN4/RPLP2/CD164/CAPN2/VMP1/RPL6/CIRBP/TPM3/NAP1L1/SAT1/PSMB1/GAS5/RPL4/RHOA/PPIA/SERPING1/DYNLT1/ZNF770/MYL6/RPS25/RPS17,2.5731951934958546,NA,NA
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,262,0.5830280780870336,2.55652307866291,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3696,"tags=53%, list=19%, signal=43%",PGK1/CTNNA1/PFKFB3/SPP1/CD59/ENO1/CD9/RPL9/HIF1A/SERPINA1/NCOA7/AIF1L/LDHA/ANK2/RPL37A/HNRNPU/RPS3/RPL30/SDHA/MAL/RPL18/HSPD1/TPT1/RPL21/RPS16/ACTG1/RPS3A/CAST/RPL10/RPS6/RPL15/RPS12/RPS27A/TPI1/EEF1A1/UBE2D3/CBR1/RPS9/RPL13A/ANXA5/RPL13/ACSL4/CNDP2/CD63/SOD2/RPL7A/RPL19/FTH1/RPL32/TCIM/PRDX1/YBX1/S100A10/RPL8/IFITM2/CRYAB/NACA/RPSA/RACK1/S100A6/PDIA6/RPS14/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/ERMP1/RPL10A/RPS20/RPL12/RPL14/RPS8/CYB5A/RPL5/RPS18/RPL3/RPL7/ZFAND5/FTL/RPL11/RPS11/PDIA3/PKM/GAPDH/IFITM3/RPL23/RPS5/TIMP1/RPL24/RPS7/GDF15/PSMA7/LYPLAL1/B2M/HSP90AB1/HNRNPC/ADGRG1/CIB1/ANXA2/NPM1/UBA52/RPLP1/TMEM59/HSPA5/ARF1/KIF5B/HNRNPR/RPLP0/WFDC2/XRCC5/SYTL2/RPL35/EEF2/PLEKHA1/PTMA/NTN4/RPS15/SCIN/FAU/BTF3/UBXN4/RPLP2/ASPH/CYCS/VMP1/RPL6/CIRBP/NAP1L1/SAT1/COX4I1/OCIAD1/PSMB1/RBBP8/RPL4/RHOA/PPIA,2.55652307866291,NA,NA
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS,BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS,182,0.6011269753545438,2.547981632899241,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3967,"tags=54%, list=21%, signal=43%",TFRC/ENO1/SNHG29/RPL9/RPL18A/RPL37A/RPS3/RPL18/HSPD1/RPS16/ACTG1/RPS3A/RPL10/RPS6/HMGB2/RPL15/RPS12/RPS27A/TPI1/RPL17/EEF1A1/RPS9/RPL13A/RPL13/CLIC1/RPL7A/RPL19/RPL32/PRDX1/YBX1/RPL8/TXN/TUBA1B/RACK1/RPS14/HMGA1/RPS15A/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/RPL27A/TMSB10/IER2/RPL10A/RPS20/RPL12/RPL14/RPS8/RPL5/RPS18/RPL3/RPL7/RPL11/RPL22/RPS11/RPL28/RPL37/GAPDH/RPL23/RPS5/RPL24/RPS7/RPL29/HSP90AB1/HNRNPC/NUCKS1/MT2A/NPM1/RPLP1/EEF1B2/HSPE1/RPL26/RPLP0/RPL35/EEF2/PTMA/RPS15/PTGES3/FAU/RPLP2/CYCS/RPL35A/EEF1G/RPL6/MT1G/TM9SF3/ESD/COX4I1/RPL4/TOP2A/PPIA/CHCHD10/RPS25/ATP5PB/FBL,2.547981632899241,NA,NA
LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB,LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB,345,0.5574703053562922,2.5044114299796836,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3550,"tags=49%, list=18%, signal=41%",NAMPT/STAT3/PGK1/CTNNA1/GADD45B/NRXN3/SLC16A7/PFKFB3/SPP1/CEBPD/BCL6/CD59/ENO1/IQGAP1/RRBP1/FNIP2/RPL9/HIF1A/SERPINA1/ANKRD10/NCOA7/LITAF/LDHA/YBX3/TPST1/CXXC5/GNAI1/ID2/MCL1/PLSCR1/RPL37A/HNRNPU/RPL30/PNPLA8/EMP1/RPL18/ARFGAP3/HSPD1/TPT1/RPL21/RPS16/UBC/ACTG1/RPS3A/RPL10/RPS6/TMF1/MKLN1/RPL15/RPS12/HSPH1/RPS27A/TPI1/EEF1A1/UBE2D3/CBR1/RPS9/RPL13A/ANXA5/RPL13/ACSL4/PPP2R3A/CNDP2/CD63/SOD2/RPL7A/RPL19/FTH1/RPL32/TCIM/PRDX1/YBX1/S100A10/RPL8/IFITM2/CRYAB/HSPA9/RPSA/RASD1/BACE2/NUFIP2/PLOD2/RACK1/S100A6/PDIA6/RPS14/PTPN11/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/OSMR/RPL10A/RPS20/TSC22D1/RPL12/RPL14/RPS8/CD44/RPL5/RPS18/RPL3/G0S2/RPL7/ZFAND5/FTL/CTSB/LAPTM4B/ITGA2/RPL11/RPS11/HIPK3/PDIA3/PKM/GAPDH/LINC01503/IFITM3/RPS5/TIMP1/RPL24/RPS7/GDF15/PSMA7/B2M/HSP90AB1/ADGRG1/CIB1/ANXA2/MT2A/S100A11/NPM1/UBA52/RPLP1/CNN3/TMEM59/ARF1/KIF5B/DNAJA1/HNRNPR/MTCH1/RPLP0/WFDC2/XRCC5/RPS27/RPL35/EEF2/PLEKHA1/PTMA/SDCBP/RPS15/PTGES3/FAU/BTF3/UBXN4/ZC3H15/RPLP2/CD164/CAPN2/CYCS/VMP1/RPL6/TM9SF3/SEC14L1/CPD/SAT1/COX4I1/OCIAD1/PSMB1,2.5044114299796836,NA,NA
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL,FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL,139,0.6085740140625464,2.4853945325810924,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3462,"tags=55%, list=18%, signal=46%",NEAT1/XBP1/RPL9/MORF4L2/RPL18A/RPS3/RPL30/ZFAS1/RPL18/HSPD1/RPL21/IFRD1/RPS3A/RPL10/RPS6/RPL15/EIF3E/RPS12/HSPH1/NFE2L2/RPS27A/RPL17/RPS9/RPL13A/RPL13/RPL32/YBX1/RPL8/NACA/HSPA9/CTNNAL1/RACK1/RPS14/RPS24/RPS13/RPS4X/VAPA/RPS19/RPS2/RPS23/RPL23A/RPL10A/RPL12/RPL14/RPS8/RPL5/RPS18/RPL3/RPL7/CEBPB/RPL11/DDX21/RPS5/RPL24/UBE2B/HSP90AB1/NPM1/RPLP1/CNN3/HSPA5/RPL26/SAR1A/RPS27/PTMA/RPS15/PTGES3/FAU/BTF3/RPLP2/CYCS/RPL35A/SNHG32/RPL6/CIRBP/SRSF10/EIF4E/SAT1,2.4853945325810924,NA,NA
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS,BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS,102,0.62708131715507065,2.452815538674559,1e-10,1.8177855105789491e-9,9.33889526585304e-10,3394,"tags=64%, list=18%, signal=53%",FOS/GLUL/ANKRD22/RPL9/EGR1/RPL18A/RPL37A/RPS3/RPL30/RPL18/TPT1/RPS3A/RPL10/RPS6/RPL15/FNDC3B/RPS12/RPL17/EEF1A1/RPS9/ANXA5/RPL13/RPL7A/RPL19/RPL32/NR4A1/RACK1/RPS14/RPS15A/RPS13/RPS4X/RPS2/TM4SF1/RPS23/RPL23A/RPL10A/RPS20/RPL12/RPL14/RPS8/RPL5/RPS18/RPL3/RPL7/RPL11/RPL28/RPL37/RPL23/RPS5/RPS7/RPL29/MUC6/EEF1B2/RPL26/RPLP0/RPS27/FUT9/RPL35/EEF2/RPS15/ERGIC1/RPL35A/EEF1G/RPL6/TM9SF3,2.452815538674559,NA,NA
DESCARTES_MAIN_FETAL_MICROGLIA,DESCARTES_MAIN_FETAL_MICROGLIA,153,-0.6031584303707284,-2.4049689416257927,1e-10,1.8177855105789491e-9,9.33889526585304e-10,1510,"tags=46%, list=8%, signal=43%",SIGLEC10/PLA2G15/ADAM28/SRGAP2C/STX7/ITPR2/PDYN-AS1/APPL2/LNCAROD/B3GNT5/DOCK8/SAMSN1/DOCK4/SLCO2B1/SLC7A11-AS1/DAGLB/SMAP2/GNB4/TREM2/ST8SIA4/NCK1-DT/RTTN/PLXDC2/APBB1IP/MAML2/HMGA1P4/ST6GAL1/SRGAP2B/TLR7/LILRB4/ADRB2/AP1B1/LINC02798/LINC01909/HPGDS/LINC01736/SIGLEC8/LRCH1/LRRK1/IFNGR1/LHFPL2/ITGAX/ABR/LY86/IL13RA1/SLC29A3/MERTK/LINC01375/LPAR5/PTAFR/SYNDIG1/TM6SF1/ENTPD1/P2RY13/CSF1R/SOCS6/GAL3ST4/P2RY12/AZIN2/LINC01141/GPR34/MACORIS/LINC01645/PALD1/ACSM5/CSF2RA/SFMBT2/LINC02712/LINC02642/CX3CR1/SORL1,-2.4049689416257927,NA,NA
DESCARTES_FETAL_EYE_MICROGLIA,DESCARTES_FETAL_EYE_MICROGLIA,144,-0.6055757470511376,-2.3983214295105038,1e-10,1.8177855105789491e-9,9.33889526585304e-10,1990,"tags=44%, list=10%, signal=40%",SKAP1/SLC7A7/VAV1/MKNK1/CD37/JAK2/SIGLEC10/ADAM28/TSPOAP1-AS1/SRGAP2C/IKZF1/ADCY7/ARHGAP22/DOCK2/WDFY4/ITPR2/IL10RA/BANK1/DOCK8/SLCO2B1/CSF3R/SMAP2/FGD3/APBB1IP/LPCAT2/S100Z/SMIM35/ST6GAL1/TRAF3IP3/CYBB/GMIP/LINC02798/HPGDS/TIGD4/PIK3R5/FYB1/AOAH/LRRK1/NCKAP1L/TBXAS1/LY86/MYO1F/MERTK/PLD4/ATP8B4/ARHGAP15/PTAFR/RASGEF1C/ADAP2/CSF1R/GAL3ST4/P2RY12/CYSLTR1/GLIPR1/AZIN2/GPR34/XACT/INPP5D/CD84/CARD11/CSF2RA/LINC02712/LINC02642/CX3CR1,-2.3983214295105038,NA,NA
