ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
DESCARTES_MAIN_FETAL_ISLET_ENDOCRINE_CELLS,DESCARTES_MAIN_FETAL_ISLET_ENDOCRINE_CELLS,2/8,49/16602,0.04081632653061224,84.70408163265306,12.883767938874236,2.3625438846430706e-4,0.01771907913482303,0.015418707457670567,HSPA1A/CALY,2,99.51530612244899,20.607144996340363,480.5758466009463
FAN_EMBRYONIC_CTX_IN_6_INTERNEURON,FAN_EMBRYONIC_CTX_IN_6_INTERNEURON,1/8,5/16602,0.2,415.05,20.331038817794866,0.0024073171475197386,0.0902743930319902,0.07855455955064411,HSPA1A,1,487.625,51.07900698309174,4655.104996534286
ZHONG_PFC_C1_NEUROD1_POS_EXCITATORY_NEURON,ZHONG_PFC_C1_NEUROD1_POS_EXCITATORY_NEURON,1/8,24/16602,0.041666666666666664,86.46875,9.19990792754556,0.011508940828548808,0.1855475912799026,0.16145895662251175,HSPA1A,1,101.58854166666667,12.229392462660105,843.8875299382814
DESCARTES_FETAL_CEREBELLUM_UNIPOLAR_BRUSH_CELLS,DESCARTES_FETAL_CEREBELLUM_UNIPOLAR_BRUSH_CELLS,1/8,25/16602,0.04,83.01,9.009909378998206,0.011985954248344477,0.1855475912799026,0.16145895662251175,CHRM5,1,97.525,11.757989394208698,808.9074846150672
ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON,ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON,1/8,27/16602,0.037037037037037035,76.8611111111111,8.661854580750685,0.012939376872868391,0.1855475912799026,0.16145895662251175,HSPA1A,1,90.30092592592592,10.916373299972383,746.9749337996888
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_GLOBOSE_BASAL_CELLS,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_GLOBOSE_BASAL_CELLS,1/8,31/16602,0.03225806451612903,66.94354838709677,8.06891937974038,0.014843807302392209,0.1855475912799026,0.16145895662251175,STMN4,1,78.6491935483871,9.549248397017275,647.7678020967355
HU_FETAL_RETINA_HORIZONTAL,HU_FETAL_RETINA_HORIZONTAL,1/8,37/16602,0.02702702702702703,56.08783783783784,7.36541877044286,0.017694424635339323,0.1895831210929213,0.1649705755475245,STMN4,1,65.89527027027026,8.03898174573676,540.141373787136
AIZARANI_LIVER_C12_NK_NKT_CELLS_4,AIZARANI_LIVER_C12_NK_NKT_CELLS_4,1/8,48/16602,0.020833333333333332,43.234375,6.433862724392645,0.02290181574841421,0.19605317849214415,0.1706006605826377,HSPA1A,1,50.794270833333336,6.231904460151213,414.0079434766261
DESCARTES_FETAL_PANCREAS_LYMPHATIC_ENDOTHELIAL_CELLS,DESCARTES_FETAL_PANCREAS_LYMPHATIC_ENDOTHELIAL_CELLS,1/8,51/16602,0.0196078431372549,40.69117647058823,6.233091696717985,0.024317814349244293,0.19605317849214415,0.1706006605826377,GNA14-AS1,1,47.806372549019606,5.871907776172935,389.21749853932744
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS,BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS,1/8,73/16602,0.0136986301369863,28.42808219178082,5.156679714230174,0.034647056176935864,0.19605317849214415,0.1706006605826377,HSPA1A,1,33.398972602739725,4.124585486958184,270.44932744046855
ZHONG_PFC_C4_UNKNOWN_INP,ZHONG_PFC_C4_UNKNOWN_INP,1/8,84/16602,0.011904761904761904,24.705357142857142,4.782378995958498,0.039775700433915984,0.19605317849214415,0.1706006605826377,HSPA1A,1,29.025297619047617,3.5903734822631157,234.64631354821043
DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS,DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS,1/8,91/16602,0.01098901098901099,22.80494505494506,4.579579256308975,0.04302695571859205,0.19605317849214415,0.1706006605826377,STMN4,1,26.792582417582416,3.3169820325069166,216.41433856680064
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_VASCULAR_SMOOTH_MUSCLE_CELLS,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_VASCULAR_SMOOTH_MUSCLE_CELLS,1/8,91/16602,0.01098901098901099,22.80494505494506,4.579579256308975,0.04302695571859205,0.19605317849214415,0.1706006605826377,HSPA1A,1,26.792582417582416,3.3169820325069166,216.41433856680064
GAUTAM_EYE_IRIS_CILIARY_BODY_MEG3_HIGH_FIBROBLASTS,GAUTAM_EYE_IRIS_CILIARY_BODY_MEG3_HIGH_FIBROBLASTS,1/8,107/16602,0.009345794392523364,19.39485981308411,4.191300379877275,0.050422249564889166,0.19605317849214415,0.1706006605826377,HSPA1A,1,22.786214953271028,2.825251596263073,183.77534679864513
AIZARANI_LIVER_C18_NK_NKT_CELLS_5,AIZARANI_LIVER_C18_NK_NKT_CELLS_5,1/8,117/16602,0.008547008547008548,17.73717948717949,3.989030013935797,0.05501887166410535,0.19605317849214415,0.1706006605826377,HSPA1A,1,20.838675213675213,2.5856771509140746,167.94454965405404
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS,DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS,1/8,120/16602,0.008333333333333333,17.29375,3.9331751992069663,0.05639405621269522,0.19605317849214415,0.1706006605826377,STMN4,1,20.317708333333332,2.521531120561064,163.7137327206768
TRAVAGLINI_LUNG_NEUROENDOCRINE_CELL,TRAVAGLINI_LUNG_NEUROENDOCRINE_CELL,1/8,120/16602,0.008333333333333333,17.29375,3.9331751992069663,0.05639405621269522,0.19605317849214415,0.1706006605826377,CALY,1,20.317708333333332,2.521531120561064,163.7137327206768
DESCARTES_FETAL_LIVER_VASCULAR_ENDOTHELIAL_CELLS,DESCARTES_FETAL_LIVER_VASCULAR_ENDOTHELIAL_CELLS,1/8,122/16602,0.00819672131147541,17.010245901639344,3.897049205378826,0.05730987279242983,0.19605317849214415,0.1706006605826377,GNA14-AS1,1,19.984631147540984,2.480506471466619,161.00965133427977
DESCARTES_FETAL_PANCREAS_ENS_NEURONS,DESCARTES_FETAL_PANCREAS_ENS_NEURONS,1/8,133/16602,0.007518796992481203,15.603383458646615,3.7126351342241923,0.06233297536981275,0.19605317849214415,0.1706006605826377,STMN4,1,18.331766917293233,2.2767724730718495,147.6009053537787
DESCARTES_FETAL_INTESTINE_ENS_NEURONS,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,1/8,136/16602,0.007352941176470588,15.259191176470589,3.6661216000512735,0.06369884118110059,0.19605317849214415,0.1706006605826377,STMN4,1,17.92738970588235,2.2268896501210604,144.32295809947493
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS,1/8,137/16602,0.0072992700729927005,15.147810218978101,3.6509443813857945,0.06415374275224983,0.19605317849214415,0.1706006605826377,STMN4,1,17.79653284671533,2.2107442505977617,143.2624245335392
LAKE_ADULT_KIDNEY_C22_ENDOTHELIAL_CELLS_GLOMERULAR_CAPILLARIES,LAKE_ADULT_KIDNEY_C22_ENDOTHELIAL_CELLS_GLOMERULAR_CAPILLARIES,1/8,137/16602,0.0072992700729927005,15.147810218978101,3.6509443813857945,0.06415374275224983,0.19605317849214415,0.1706006605826377,HSPA1A,1,17.79653284671533,2.2107442505977617,143.2624245335392
MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL,MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL,1/8,141/16602,0.0070921985815602835,14.71808510638298,3.591794798176827,0.06597141575369625,0.19605317849214415,0.1706006605826377,CALY,1,17.291666666666668,2.148437793348288,139.17169816917257
CUI_DEVELOPING_HEART_C7_MAST_CELL,CUI_DEVELOPING_HEART_C7_MAST_CELL,1/8,145/16602,0.006896551724137931,14.312068965517241,3.5350112547765495,0.06778599888285552,0.19605317849214415,0.1706006605826377,HSPA1A,1,16.814655172413794,2.0895470569054315,135.30809350898383
HE_LIM_SUN_FETAL_LUNG_C1_GHRL_POS_NEUROENDOCRINE_CELL,HE_LIM_SUN_FETAL_LUNG_C1_GHRL_POS_NEUROENDOCRINE_CELL,1/8,149/16602,0.006711409395973154,13.927852348993289,3.4804351338873865,0.06959749664295745,0.19605317849214415,0.1706006605826377,CALY,1,16.36325503355705,2.0337986564100894,131.65320689406562
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES,LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES,1/8,155/16602,0.0064516129032258064,13.388709677419355,3.402398309232476,0.07230896805347808,0.19605317849214415,0.1706006605826377,HSPA1A,1,15.72983870967742,1.955538939810023,126.52666781286565
AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4,AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4,1/8,172/16602,0.005813953488372093,12.065406976744185,3.2029444656239012,0.07995395848040987,0.19605317849214415,0.1706006605826377,HSPA1A,1,14.175145348837209,1.7632946558735265,113.95415110648037
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MATURE_NEURONS,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MATURE_NEURONS,1/8,174/16602,0.005747126436781609,11.926724137931034,3.1813308082316456,0.08084973453574651,0.19605317849214415,0.1706006605826377,STMN4,1,14.01221264367816,1.7431342499186422,112.63739621937785
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS,LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS,1/8,176/16602,0.005681818181818182,11.791193181818182,3.1600682854628417,0.08174474737018778,0.19605317849214415,0.1706006605826377,HSPA1A,1,13.852982954545453,1.723429632334381,111.35072366081575
BUSSLINGER_GASTRIC_X_CELLS,BUSSLINGER_GASTRIC_X_CELLS,1/8,183/16602,0.00546448087431694,11.34016393442623,3.0882766158965445,0.0848712899713232,0.19605317849214415,0.1706006605826377,CALY,1,13.323087431693988,1.6578381416757018,107.06995710277545
DESCARTES_MAIN_FETAL_THYMIC_EPITHELIAL_CELLS,DESCARTES_MAIN_FETAL_THYMIC_EPITHELIAL_CELLS,1/8,183/16602,0.00546448087431694,11.34016393442623,3.0882766158965445,0.0848712899713232,0.19605317849214415,0.1706006605826377,NPIPB2,1,13.323087431693988,1.6578381416757018,107.06995710277545
CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL,CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL,1/8,189/16602,0.005291005291005291,10.98015873015873,3.0297789321136084,0.08754376575151057,0.19605317849214415,0.1706006605826377,HSPA1A,1,12.900132275132277,1.6054650493823244,103.65433540888002
DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,1/8,192/16602,0.005208333333333333,10.80859375,3.001508977244572,0.08887744091643868,0.19605317849214415,0.1706006605826377,STMN4,1,12.698567708333334,1.5805000964564793,102.02696108950626
DESCARTES_MAIN_FETAL_CCL19_CCL21_POSITIVE_CELLS,DESCARTES_MAIN_FETAL_CCL19_CCL21_POSITIVE_CELLS,1/8,192/16602,0.005208333333333333,10.80859375,3.001508977244572,0.08887744091643868,0.19605317849214415,0.1706006605826377,LERFS,1,12.698567708333334,1.5805000964564793,102.02696108950626
CUI_DEVELOPING_HEART_C5_VALVAR_CELL,CUI_DEVELOPING_HEART_C5_VALVAR_CELL,1/8,198/16602,0.005050505050505051,10.481060606060607,2.9468037439856545,0.09153967515865402,0.19615644676854432,0.17069052210034735,HSPA1A,1,12.313762626262626,1.5328291511932268,98.92084182891956
BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS,BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS,1/8,204/16602,0.004901960784313725,10.172794117647058,2.8943954313368128,0.09419510041430967,0.19623979252981183,0.17076304753471347,HSPA1A,1,11.951593137254902,1.4879496900925495,95.9982581868032
AIZARANI_LIVER_C23_KUPFFER_CELLS_3,AIZARANI_LIVER_C23_KUPFFER_CELLS_3,1/8,215/16602,0.004651162790697674,9.652325581395349,2.803747709513785,0.0990457451354696,0.19975701162273737,0.1738236452015399,HSPA1A,1,11.340116279069768,1.412148524749373,91.06565985730614
DESCARTES_FETAL_THYMUS_THYMIC_EPITHELIAL_CELLS,DESCARTES_FETAL_THYMUS_THYMIC_EPITHELIAL_CELLS,1/8,221/16602,0.004524886877828055,9.390271493212671,2.7570111410282356,0.10168195926339096,0.19975701162273737,0.1738236452015399,NPIPB2,1,11.032239819004525,1.3739696170904376,88.58297440504302
FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL,FAN_OVARY_CL17_PUTATIVE_APOPTOTIC_SMOOTH_MUSCLE_CELL,1/8,226/16602,0.004424778761061947,9.182522123893806,2.7194061061385417,0.10387364604382343,0.19975701162273737,0.1738236452015399,HSPA1A,1,10.788163716814159,1.343696089617625,86.61517829817083
LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,1/8,235/16602,0.00425531914893617,8.830851063829787,2.6545745687317344,0.107806893822318,0.20213792591684626,0.17589545834167675,HSPA1A,1,10.375,1.292437339135205,83.28498546167391
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1,FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1,1/8,243/16602,0.00411522633744856,8.540123456790123,2.599799122103996,0.11129042421103941,0.20358004428848672,0.17715035432822707,HSPA1A,1,10.03343621399177,1.2500494528198305,80.53268775339488
CUI_DEVELOPING_HEART_C8_MACROPHAGE,CUI_DEVELOPING_HEART_C8_MACROPHAGE,1/8,269/16602,0.0037174721189591076,7.7146840148698885,2.437840650089551,0.12252984625128338,0.21446448195750814,0.18662172465074395,HSPA1A,1,9.063661710037175,1.1296411730582339,72.72217546001147
MANNO_MIDBRAIN_NEUROTYPES_HNBM,MANNO_MIDBRAIN_NEUROTYPES_HNBM,1/8,270/16602,0.003703703703703704,7.686111111111112,2.4320492277855825,0.12295963632230467,0.21446448195750814,0.18662172465074395,STMN4,1,9.030092592592593,1.1254716104298386,72.45191391336208
RUBENSTEIN_SKELETAL_MUSCLE_FBN1_FAP_CELLS,RUBENSTEIN_SKELETAL_MUSCLE_FBN1_FAP_CELLS,1/8,281/16602,0.0035587188612099642,7.385231316725978,2.370243629314299,0.12767518407101597,0.2176281546665045,0.1893746749378706,HSPA1A,1,8.676601423487543,1.0815586413729399,69.6064081800508
FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2,FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2,1/8,294/16602,0.003401360544217687,7.058673469387755,2.3013752392455604,0.13321949019179669,0.2220324836529945,0.19320721384541276,HSPA1A,1,8.292942176870747,1.0338846917758584,66.51891695078062
MANNO_MIDBRAIN_NEUROTYPES_HRN,MANNO_MIDBRAIN_NEUROTYPES_HRN,1/8,322/16602,0.003105590062111801,6.444875776397515,2.166333356290593,0.14505645695063374,0.23351826433248976,0.20320185808581567,STMN4,1,7.571816770186335,0.9442393015907772,60.718092441911736
RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS,RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS,1/8,336/16602,0.002976190476190476,6.176339285714286,2.1046920700749547,0.15092171729508141,0.23351826433248976,0.20320185808581567,HSPA1A,1,7.256324404761904,0.9050040439978368,58.181224952923046
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,1/8,359/16602,0.002785515320334262,5.780640668523677,2.010651393531053,0.16048108665443672,0.23351826433248976,0.20320185808581567,HSPA1A,1,6.791434540389972,0.8471723267506527,54.444156944207464
FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,1/8,361/16602,0.002770083102493075,5.748614958448753,2.002860720633035,0.1613078679188088,0.23351826433248976,0.20320185808581567,HSPA1A,1,6.7538088642659275,0.842490848870016,54.14175624128896
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL,HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL,1/8,363/16602,0.0027548209366391185,5.716942148760331,1.9951281526337763,0.16213393663818942,0.23351826433248976,0.20320185808581567,CALY,1,6.71659779614325,0.8378608262931955,53.84269623242886
HU_FETAL_RETINA_MICROGLIA,HU_FETAL_RETINA_MICROGLIA,1/8,368/16602,0.002717391304347826,5.639266304347826,1.9760458471806517,0.1641959945062046,0.23351826433248976,0.20320185808581567,HSPA1A,1,6.625339673913043,0.8265053950523489,53.10930340865587
MANNO_MIDBRAIN_NEUROTYPES_HOMTN,MANNO_MIDBRAIN_NEUROTYPES_HOMTN,1/8,369/16602,0.0027100271002710027,5.623983739837398,1.9722713334295863,0.16460787278906464,0.23351826433248976,0.20320185808581567,STMN4,1,6.607384823848238,0.8242711446218426,52.9650158146069
ZHONG_PFC_C3_ASTROCYTE,ZHONG_PFC_C3_ASTROCYTE,1/8,370/16602,0.002702702702702703,5.608783783783784,1.9685105857081846,0.1650195734616261,0.23351826433248976,0.20320185808581567,CALY,1,6.589527027027026,0.8220489410794166,52.821510095132815
FAN_OVARY_CL18_B_LYMPHOCYTE,FAN_OVARY_CL18_B_LYMPHOCYTE,1/8,412/16602,0.0024271844660194173,5.037014563106796,1.8218896771378899,0.1821514863632402,0.23781093228031067,0.20693723230005978,HSPA1A,1,5.917779126213593,0.7384355738597757,47.42473280857866
HE_LIM_SUN_FETAL_LUNG_C1_GHRL_POS_NE_PRECURSOR_CELL,HE_LIM_SUN_FETAL_LUNG_C1_GHRL_POS_NE_PRECURSOR_CELL,1/8,413/16602,0.002421307506053269,5.024818401937046,1.8186447769319047,0.18255561163248635,0.23781093228031067,0.20693723230005978,CALY,1,5.903450363196126,0.7366515899006623,47.30964633554936
ZHONG_PFC_MAJOR_TYPES_MICROGLIA,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,1/8,424/16602,0.0023584905660377358,4.894457547169811,1.7836270995737253,0.1869894709480323,0.23781093228031067,0.20693723230005978,HSPA1A,1,5.750294811320755,0.7175819478818445,46.079601799775155
FAN_OVARY_CL11_MURAL_GRANULOSA_CELL,FAN_OVARY_CL11_MURAL_GRANULOSA_CELL,1/8,428/16602,0.002336448598130841,4.848714953271028,1.7711913710494545,0.18859655802244624,0.23781093228031067,0.20693723230005978,HSPA1A,1,5.696553738317757,0.7108900367809751,45.64802264001917
