pathway1,pathway2,similarity
DOID:936,DOID:1826,0.7361963190184049
DOID:1826,DOID:936,0.7361963190184049
DOID:0050701,DOID:0112202,0.7906976744186046
DOID:0112202,DOID:0050701,0.7906976744186046
DOID:2316,DOID:224,0.746031746031746
DOID:326,DOID:224,0.7121212121212122
DOID:3454,DOID:6713,0.75
DOID:13241,DOID:865,0.7391304347826086
DOID:799,DOID:12337,0.8571428571428571
DOID:866,DOID:12337,0.8571428571428571
DOID:799,DOID:9742,0.8571428571428571
DOID:866,DOID:9742,0.8571428571428571
DOID:10763,DOID:0050828,0.7054794520547946
DOID:3454,DOID:3526,0.875
DOID:3525,DOID:3526,0.7619047619047619
DOID:224,DOID:2316,0.746031746031746
DOID:326,DOID:2316,0.9545454545454546
DOID:6713,DOID:3454,0.75
DOID:3526,DOID:3454,0.875
DOID:0050338,DOID:104,0.7222222222222222
DOID:3526,DOID:3525,0.7619047619047619
DOID:224,DOID:326,0.7121212121212122
DOID:2316,DOID:326,0.9545454545454546
DOID:0050161,DOID:850,0.8493150684931506
DOID:1579,DOID:850,0.8266666666666667
DOID:0050828,DOID:10763,0.7054794520547946
DOID:865,DOID:13241,0.7391304347826086
DOID:12337,DOID:799,0.8571428571428571
DOID:9742,DOID:799,0.8571428571428571
DOID:0060041,DOID:0060040,0.9777777777777777
DOID:104,DOID:0050338,0.7222222222222222
DOID:399,DOID:0050338,0.8076923076923077
DOID:0060040,DOID:0060041,0.9777777777777777
DOID:2696,DOID:12215,0.75
DOID:2921,DOID:10952,0.9285714285714286
DOID:869,DOID:10964,0.875
DOID:10952,DOID:2921,0.9285714285714286
DOID:10964,DOID:869,0.875
DOID:161,DOID:869,0.8
DOID:848,DOID:3342,0.9302325581395349
DOID:0050338,DOID:399,0.8076923076923077
DOID:2957,DOID:399,0.7619047619047619
DOID:2234,DOID:3328,0.9375
DOID:0050852,DOID:12510,0.75
DOID:3342,DOID:848,0.9302325581395349
DOID:399,DOID:2957,0.7619047619047619
DOID:2468,DOID:5419,0.9736842105263158
DOID:850,DOID:0050161,0.8493150684931506
DOID:1579,DOID:0050161,0.9733333333333334
DOID:974,DOID:2825,0.9130434782608695
DOID:4483,DOID:2825,0.8571428571428571
DOID:2163,DOID:2825,0.8571428571428571
DOID:0050155,DOID:5614,0.8142857142857143
DOID:2825,DOID:974,0.9130434782608695
DOID:4483,DOID:974,0.782608695652174
DOID:2163,DOID:974,0.782608695652174
DOID:5419,DOID:2468,0.9736842105263158
DOID:5614,DOID:0050155,0.8142857142857143
DOID:3328,DOID:2234,0.9375
DOID:10652,DOID:680,0.9705882352941176
DOID:1279,DOID:9649,0.8
DOID:1279,DOID:9650,0.8
DOID:1542,DOID:11934,0.8666666666666667
DOID:5520,DOID:11934,0.8666666666666667
DOID:12337,DOID:866,0.8571428571428571
DOID:9742,DOID:866,0.8571428571428571
DOID:850,DOID:1579,0.8266666666666667
DOID:0050161,DOID:1579,0.9733333333333334
DOID:0060074,DOID:8791,0.9166666666666666
DOID:680,DOID:10652,0.9705882352941176
DOID:1398,DOID:2789,0.9473684210526315
DOID:2825,DOID:4483,0.8571428571428571
DOID:974,DOID:4483,0.782608695652174
DOID:2825,DOID:2163,0.8571428571428571
DOID:974,DOID:2163,0.782608695652174
DOID:9470,DOID:9471,0.7142857142857143
DOID:1073,DOID:1591,0.7272727272727273
DOID:11130,DOID:1591,0.7272727272727273
DOID:2913,DOID:0080998,0.8181818181818182
DOID:820,DOID:3978,0.7777777777777778
DOID:13141,DOID:3480,0.9333333333333333
DOID:1591,DOID:1073,0.7272727272727273
DOID:1591,DOID:11130,0.7272727272727273
DOID:0080998,DOID:2913,0.8181818181818182
DOID:9074,DOID:8857,0.96
DOID:3480,DOID:13141,0.9333333333333333
DOID:870,DOID:574,0.953125
DOID:8791,DOID:0060074,0.9166666666666666
DOID:10155,DOID:5672,0.9714285714285714
DOID:10155,DOID:9256,0.9714285714285714
DOID:9119,DOID:8692,0.71875
DOID:5672,DOID:10155,0.9714285714285714
DOID:9256,DOID:10155,0.9714285714285714
DOID:1247,DOID:2218,0.8333333333333334
DOID:0060060,DOID:0060058,0.8
DOID:0060056,DOID:11335,0.75
DOID:2916,DOID:11335,0.9230769230769231
DOID:1542,DOID:0050865,0.7692307692307693
DOID:5520,DOID:0050865,0.7692307692307693
DOID:5517,DOID:3717,0.7692307692307693
DOID:11934,DOID:1542,0.8666666666666667
DOID:0050865,DOID:1542,0.7692307692307693
DOID:11934,DOID:5520,0.8666666666666667
DOID:0050865,DOID:5520,0.7692307692307693
DOID:574,DOID:870,0.953125
DOID:557,DOID:18,0.9099099099099099
DOID:2789,DOID:1398,0.9473684210526315
DOID:8857,DOID:9074,0.96
DOID:9649,DOID:1279,0.8
DOID:9650,DOID:1279,0.8
DOID:9471,DOID:9470,0.7142857142857143
DOID:869,DOID:161,0.8
DOID:11335,DOID:0060056,0.75
DOID:2916,DOID:0060056,0.8125
DOID:1596,DOID:3324,0.75
DOID:0060071,DOID:8719,0.8846153846153846
DOID:0050589,DOID:5295,0.7142857142857143
DOID:5844,DOID:3393,0.7936507936507936
DOID:3978,DOID:820,0.7777777777777778
DOID:720,DOID:583,0.75
DOID:11971,DOID:2340,0.7142857142857143
DOID:3083,DOID:2320,0.9642857142857143
DOID:8719,DOID:0060071,0.8846153846153846
DOID:3393,DOID:5844,0.7936507936507936
DOID:2340,DOID:11971,0.7142857142857143
DOID:5295,DOID:0050589,0.7142857142857143
DOID:11335,DOID:2916,0.9230769230769231
DOID:0060056,DOID:2916,0.8125
DOID:18,DOID:557,0.9099099099099099
DOID:3324,DOID:1596,0.75
DOID:9351,DOID:4194,0.8764044943820225
DOID:2978,DOID:4194,0.9175257731958762
DOID:2001,DOID:12689,0.8
DOID:3192,DOID:12689,0.8
DOID:409,DOID:3118,0.7058823529411765
DOID:440,DOID:10595,0.8
DOID:2377,DOID:3213,0.8695652173913043
DOID:784,DOID:783,0.8518518518518519
DOID:9974,DOID:2559,0.9230769230769231
DOID:0080001,DOID:65,0.875
DOID:17,DOID:65,0.7333333333333333
DOID:3627,DOID:7693,0.7142857142857143
DOID:520,DOID:7693,0.7142857142857143
