ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GO:0051028,mRNA transport,127,-0.5872440796813126,-2.281665875151145,1e-10,2.709716790740758e-8,2.0449885361553242e-8,4558,"tags=52%, list=24%, signal=40%",9631/26993/55706/9908/10204/8570/728343/29072/53371/129401/6830/3297/7979/59343/57187/9984/91746/23299/9688/23293/57122/1660/23049/7919/9887/6426/23381/55746/9284/79902/29118/9883/22794/1977/81929/3267/10128/23237/84324/7514/84271/7175/65125/100101267/5903/55677/25909/23279/3800/9972/23511/4928/155435/8021/9818/54890/10644/8087/23165/8658/9444/55795/7538/54888/9961/283131,-2.281665875151145,NA,NA
GO:0051236,establishment of RNA localization,158,-0.5644189414174622,-2.2439520683117045,1e-10,2.709716790740758e-8,2.0449885361553242e-8,4558,"tags=49%, list=24%, signal=38%",9631/26993/55706/3837/11260/9908/10204/8570/728343/29072/7013/53371/87178/129401/6830/3297/7979/9793/59343/57187/9984/91746/23299/9688/23293/57122/1660/23049/57510/7919/9887/6426/23381/55746/9284/79902/4904/51092/29118/9883/22794/1977/81929/3267/11052/10128/23237/84324/545/7514/84271/7175/65125/100101267/10657/5903/55677/25909/23279/3800/9972/23511/4928/10211/155435/8021/9818/54890/10644/8087/23165/8658/9444/55795/7538/54888/9961/283131,-2.2439520683117045,NA,NA
GO:0050657,nucleic acid transport,155,-0.5631735717324864,-2.2289012766663334,1e-10,2.709716790740758e-8,2.0449885361553242e-8,4558,"tags=49%, list=24%, signal=37%",9631/26993/55706/3837/11260/9908/10204/8570/728343/29072/53371/87178/129401/6830/3297/7979/9793/59343/57187/9984/91746/23299/9688/23293/57122/1660/23049/57510/7919/9887/6426/23381/55746/9284/79902/4904/51092/29118/9883/22794/1977/81929/3267/11052/10128/23237/84324/7514/84271/7175/65125/100101267/10657/5903/55677/25909/23279/3800/9972/23511/4928/10211/155435/8021/9818/54890/10644/8087/23165/8658/9444/55795/7538/54888/9961/283131,-2.2289012766663334,NA,NA
GO:0050658,RNA transport,155,-0.5631735717324864,-2.2289012766663334,1e-10,2.709716790740758e-8,2.0449885361553242e-8,4558,"tags=49%, list=24%, signal=37%",9631/26993/55706/3837/11260/9908/10204/8570/728343/29072/53371/87178/129401/6830/3297/7979/9793/59343/57187/9984/91746/23299/9688/23293/57122/1660/23049/57510/7919/9887/6426/23381/55746/9284/79902/4904/51092/29118/9883/22794/1977/81929/3267/11052/10128/23237/84324/7514/84271/7175/65125/100101267/10657/5903/55677/25909/23279/3800/9972/23511/4928/10211/155435/8021/9818/54890/10644/8087/23165/8658/9444/55795/7538/54888/9961/283131,-2.2289012766663334,NA,NA
GO:0006403,RNA localization,196,-0.5482023899671137,-2.2189475592214283,1e-10,2.709716790740758e-8,2.0449885361553242e-8,4558,"tags=47%, list=24%, signal=36%",9631/26993/55706/3837/27067/11260/9908/10204/8570/728343/29072/7013/53371/2091/908/87178/129401/6830/3297/7979/9793/59343/57187/9984/4076/91746/23299/9688/23293/57122/1660/3182/23049/57510/7919/9887/6426/23381/55746/54680/9284/79902/4904/23369/51092/29118/9883/22794/1977/81929/3267/8939/11052/10128/23237/6780/84324/545/7514/170506/84271/51602/7175/65125/92345/100101267/10657/5903/55677/25909/23279/3800/9972/23511/4928/3192/10211/155435/8021/9818/55164/54890/10644/8087/23165/8658/9444/55795/7538/54888/9961/283131,-2.2189475592214283,NA,NA
GO:0006402,mRNA catabolic process,243,-0.5233704763838491,-2.180214729040499,1e-10,2.709716790740758e-8,2.0449885361553242e-8,3766,"tags=40%, list=20%, signal=32%",23019/7812/79670/87178/55149/6093/57819/9567/2935/22882/4076/149041/9698/55132/340719/23293/3658/54542/1660/3182/23644/5578/23049/23034/192669/79068/56478/9261/9887/5393/22894/64282/57721/23381/23185/253943/79882/54502/4904/23369/23404/22849/373863/25819/55802/55124/79066/51441/3183/25904/9811/51010/1994/22794/23367/9967/9125/2668/54464/2107/170506/4850/219988/1432/3646/10492/26058/9641/22803/90806/8148/84186/51594/79899/3184/10767/27044/3192/155435/7832/8531/54915/54890/10644/56006/8087/27161/10865/57690/9444/55795/3304/3303/4848/7538/6556/55095,-2.180214729040499,NA,NA
GO:0006401,RNA catabolic process,296,-0.503008488217026,-2.1235850706959476,1e-10,2.709716790740758e-8,2.0449885361553242e-8,3864,"tags=38%, list=21%, signal=30%",6921/387338/23019/7812/79670/87178/55149/6093/51013/57819/9567/2935/22882/4076/10179/149041/9698/55132/340719/23293/3658/54542/1660/3182/23644/5578/23049/23034/192669/79068/56478/9261/9887/5393/1763/22894/124245/64282/57721/23381/23185/253943/79882/54502/4904/23369/51092/23404/22849/373863/25819/55802/55124/79066/51441/3183/25904/9811/51010/1994/22794/51538/10128/23367/9967/9125/2668/54464/2107/170506/4850/219988/1432/3646/10492/26058/9641/22803/90806/8148/84186/51594/3669/92345/79899/3184/10767/27044/3192/155435/7832/8531/54915/54890/10644/56006/8087/27161/10865/57690/9444/55795/3304/3303/4848/7538/54888/23405/283131/6556/55095,-2.1235850706959476,NA,NA
GO:0006417,regulation of translation,348,-0.4934018051285582,-2.12052395619248,1e-10,2.709716790740758e-8,2.0449885361553242e-8,5175,"tags=48%, list=28%, signal=35%",4116/10658/51247/708/2597/6311/48/8893/5371/1983/146712/5976/23521/6188/351/23173/29063/207/60678/28998/51654/29883/83939/55571/83667/10600/51633/9669/5337/2475/56648/1653/8550/1938/54956/333/1545/54517/7057/1975/84919/55239/23019/7812/55037/2935/8473/81554/4076/60558/54505/9698/7124/5936/55132/340719/400961/8672/3658/208/3488/1660/84541/10985/23107/440275/23034/192669/29081/56478/127933/1656/1982/6949/8846/57721/10131/23185/253943/5315/8662/4904/9933/23369/25929/1734/22849/29118/55124/51441/25904/5611/9811/8518/132864/1994/22794/1977/55250/113251/51776/10128/8994/6472/64506/23367/115416/1654/9125/84324/54464/2107/170506/84271/9221/3646/10492/163255/7175/26058/6197/9451/1981/6198/29904/116496/1965/3673/55226/6059/80315/3315/10657/3184/2872/28969/8667/79712/51123/1457/10767/1978/54952/26065/3192/55140/7832/5997/602/8531/5814/54915/54890/10644/8087/27161/5914/57690/8440/9444/64215/23645/4848/7538/22927/6470/55095,-2.12052395619248,NA,NA
GO:0043487,regulation of RNA stability,179,-0.5259838900662757,-2.1170563743418502,1.0388979194371968e-10,2.709716790740758e-8,2.0449885361553242e-8,3766,"tags=40%, list=20%, signal=32%",23019/7812/79670/87178/6093/4076/149041/9698/55132/340719/3658/54542/1660/5578/23034/79068/56478/9261/22894/124245/64282/57721/23185/253943/79882/54502/4904/23369/22849/373863/25819/55802/55124/79066/51441/3183/25904/1994/51538/23367/9967/9125/2668/170506/4850/219988/1432/10492/26058/9641/90806/8148/92345/3184/3192/155435/7832/8531/54915/54890/10644/8087/27161/10865/57690/9444/55795/4848/7538/54888/6556/55095,-2.1170563743418502,NA,NA
GO:0045814,"negative regulation of gene expression, epigenetic",163,-0.5306527579527336,-2.1102613199234717,1e-10,2.709716790740758e-8,2.0449885361553242e-8,4398,"tags=43%, list=23%, signal=33%",25942/23512/546/672/25792/54737/84823/1786/79670/23133/64863/648/91746/3070/8467/5987/7874/101243555/6597/23304/23272/164668/100048912/8841/4609/79813/4204/5927/55124/3190/51132/51366/84148/22893/22933/56916/9320/7175/55183/51535/3428/10336/5253/115426/9425/7644/22823/57169/6594/1017/23347/353274/23013/4001/1859/54906/84333/3192/11177/29128/81931/8932/3930/26013/26147/9759/604/84444/4000/6018,-2.1102613199234717,NA,NA
