ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GO:0002181,cytoplasmic translation,162,0.6317027141923693,2.5957895371345594,1e-10,1.2656634190370436e-7,1.0494191408269382e-7,5560,"tags=73%, list=29%, signal=52%",6133/8531/6142/6168/3192/6188/6156/6141/80315/6144/6217/6189/6134/6194/6138/3646/6206/6233/6139/6203/23521/6137/5936/6130/6143/6161/1973/4904/6132/3921/10399/6208/6210/6229/8667/6207/6191/6223/6187/6228/6157/6147/4736/6224/6136/9045/6202/6125/6222/6122/6129/6135/6146/6205/6158/6167/5315/64506/9349/6193/6152/6201/6159/7311/6176/1981/170506/6154/6175/6232/11224/55124/8892/6209/3184/2197/10492/208/2107/55854/6181/6165/255308/6128/10480/8662/1939/8665/6124/6230/6218/7458/6173/9147/6231/200916/6171/51441/4733/6155/1975/56339/54505/54956/8669/6164/25873/8894/9567/6169/5317/22849/8893/8891/1983/1819/7812/2475,2.5957895371345594,NA,NA
GO:0042254,ribosome biogenesis,298,0.45827153071878407,2.0393613624761393,1e-10,1.2656634190370436e-7,1.0494191408269382e-7,5861,"tags=47%, list=30%, signal=33%",2752/3669/8850/84294/6217/6189/8451/6194/6206/6233/79954/57602/6203/1654/1029/6130/22894/92345/3921/23076/22803/6208/115416/6210/6229/6207/6191/6223/6228/8780/9045/6202/6125/6129/55341/6135/6205/9188/55226/51010/6193/6152/130916/6201/54700/51096/23160/23378/4869/64794/7514/51119/9775/9816/51602/29081/23560/55646/10521/8568/6154/54680/9221/6175/7520/6232/11224/65095/83939/84916/6209/2197/11157/55027/2971/708/6165/84128/220064/55720/4839/163859/84154/88745/51491/1964/55127/84946/51406/85865/6230/6218/22984/27043/28987/2091/56342/404672/387338/55178/26155/51018/23016/23404/27341/51441/25879/84135/51077/6155/54505/92856/114049/81554/56902/51013/51550/51042/10600/51547/10775/6169/84273/51001/131870/1983/91582/84881/134430/79707/29889/55006/51154/10885/23517/705/55035/51335/51187/55153,2.0393613624761393,NA,NA
GO:0022613,ribonucleoprotein complex biogenesis,439,0.4157599898588172,1.9075558529632437,1e-10,1.2656634190370436e-7,1.0494191408269382e-7,6286,"tags=48%, list=33%, signal=33%",2752/23405/3669/8996/8850/84294/6217/6189/8451/6194/54960/3646/10181/6206/6233/79954/57602/6203/23521/1654/1029/6130/22894/92345/10907/3921/23076/11325/22803/6208/115416/6210/6229/8667/6207/6191/6223/6228/8780/51631/9045/6202/8575/6125/6129/6733/55341/6135/6205/9188/55226/51010/6193/6152/130916/6201/54700/51096/3326/23160/23378/4869/64794/7514/51119/9775/9816/51602/29081/23560/55646/10521/55164/57819/8568/6154/54680/9221/6175/7520/22889/6232/27161/6426/11224/65095/83939/84916/6209/10728/2197/11157/55027/2971/708/6165/255308/84128/7919/220064/10480/55720/10772/8662/4839/163859/103/84154/25929/1939/88745/51491/1964/8665/23450/55127/84946/51406/85865/6230/6218/22984/27043/7458/28987/2091/56342/404672/387338/55178/26155/51018/1653/23016/9733/545/6732/51634/23404/27341/8607/8175/51441/26747/25879/84135/51077/6155/1975/54505/92856/114049/8669/81554/56902/51013/54496/3320/51550/51042/11168/8894/10600/51547/10775/6169/84273/55015/51001/6627/131870/1983/60677/91582/84881/134430/79707/29889/6636/55006/51154/8661/10885/1660/23517/705/6936/55035/51335/51187/55153/9669/7536/6637/10992/51575/10594/57647/6430/27335/10856/10199/10946/8487/9136/317781/79066/9875/11171/90459/6227/29063,1.9075558529632437,NA,NA
GO:0050804,modulation of chemical synaptic transmission,479,-0.4057945517434867,-1.8180779884490008,1e-10,1.2656634190370436e-7,1.0494191408269382e-7,4059,"tags=38%, list=21%, signal=31%",5534/8291/2901/2917/388336/1979/4311/5413/4131/3060/7533/140730/58512/4747/2045/64854/6853/22871/1949/1956/259232/2185/729230/9465/22941/9187/57512/23154/1605/9890/9118/9254/90342/57142/5582/89832/65018/5327/4889/2895/54413/9912/1020/27065/1759/23542/107/5575/627/5100/114781/9241/23228/869/23613/2648/57338/5924/5579/148/2897/23096/8573/23025/1141/84502/127262/6861/999/5649/2918/3706/3745/59283/9379/26509/5028/66000/3356/59284/774/91683/7143/5152/1630/347730/816/6543/440279/575/793/56301/760/1128/5577/23345/8927/10769/10369/2904/56853/3717/22854/85445/57282/11178/5663/2914/2893/1268/2890/27092/2915/152330/2911/135/1812/22987/8938/10718/9256/952/54434/409/5530/6860/84961/5270/6869/3092/2898/23657/9229/7476/9627/3815/4983/81832/24141/30010/2047/5923/22999/2149/9228/10368/84966/57689/5071/6376/64101/3776/6857/2043/2902/1392/23236/9699/79772/57502/55607/154/818/55784/8499/2913/10675/773/29/5179/120892/91851/2048/2982/23191/4208/3786/7425/6547/9378/9211/477/785/1524,-1.8180779884490008,NA,NA
GO:0099177,regulation of trans-synaptic signaling,480,-0.4038713898090074,-1.8080428544742337,1.0472144787663773e-10,1.2656634190370436e-7,1.0494191408269382e-7,4059,"tags=38%, list=21%, signal=31%",5534/8291/2901/2917/388336/1979/4311/5413/4131/3060/7533/140730/58512/4747/2045/64854/6853/22871/1949/1956/259232/2185/729230/9465/22941/9187/57512/23154/1605/9890/9118/9254/90342/57142/5582/89832/65018/5327/4889/2895/54413/9912/1020/27065/1759/23542/107/5575/627/5100/114781/9241/23228/869/23613/2648/57338/5924/5579/148/2897/23096/8573/23025/1141/84502/127262/6861/999/5649/2918/3706/3745/59283/9379/26509/5028/66000/3356/59284/774/91683/7143/5152/1630/347730/816/6543/440279/575/793/56301/760/1128/5577/23345/8927/10769/10369/2904/56853/3717/22854/85445/57282/11178/5663/2914/2893/1268/2890/27092/2915/152330/2911/135/1812/22987/8938/10718/9256/952/54434/409/5530/6860/84961/5270/6869/3092/2898/23657/9229/7476/9627/3815/4983/81832/24141/30010/2047/5923/22999/2149/9228/10368/84966/57689/5071/6376/64101/3776/6857/2043/2902/1392/23236/9699/79772/57502/55607/154/818/55784/8499/2913/10675/773/29/5179/120892/91851/2048/2982/23191/4208/3786/7425/6547/9378/9211/477/785/1524,-1.8080428544742337,NA,NA
GO:0006417,regulation of translation,349,0.41065282816282667,1.8530578911840783,5.738434278623232e-10,5.779559724286698e-7,4.792095994078348e-7,5367,"tags=45%, list=28%, signal=33%",55095/6470/7538/22927/8440/7832/116496/23645/8531/5914/5997/602/4848/3192/163255/6188/54915/8994/7124/5814/57690/9444/80315/9451/10644/28969/6134/1978/79712/55140/6059/3646/340719/6203/23521/1654/54952/64215/5936/54890/8087/29904/4904/51123/10657/1457/10399/6208/9125/115416/8667/6191/6472/6125/7057/55250/3673/55226/5315/2597/26065/64506/10131/2872/26058/22794/1734/23034/4869/6197/84271/9775/83667/8518/1981/29118/29081/55239/1965/5611/9933/326/170506/6154/10128/9221/113251/51776/3315/27161/1938/55124/8892/83939/3184/10492/208/2107/708/10767/1153/8550/84324/1977/8662/25929/4076/9811/56478/60558/10985/48/29883/7458/57721/84541/79048/127933/79072/1653/207/9689/100127983/2935/51633/28998/353238/54517/1656/25904/51441/55037/10209/1975/56339/54505/54956/326340/23369/81554/1984/23185/27230/253943/1613/10102/10600/7490/27102/6169/5317/56648/440275/22849/8893/333/146712,1.8530578911840783,NA,NA
GO:0060078,regulation of postsynaptic membrane potential,144,-0.5325118948636356,-2.1061548623458584,2.5031854585155243e-9,2.1609642465441876e-6,1.7917538018847966e-6,3123,"tags=41%, list=16%, signal=35%",89832/2895/54413/1020/23542/5575/1137/869/23613/2897/18/1141/3775/5649/2556/66000/5025/2550/6543/2561/1128/23345/2904/56853/124925/2893/388135/2890/2915/2911/135/4233/153/54434/409/5530/57528/2898/2557/3751/2566/2555/7476/2567/81832/401190/3737/22999/2563/2902/9699/57502/154/2565/120892/4208/6547/9378/2560,-2.1061548623458584,NA,NA
GO:0097193,intrinsic apoptotic signaling pathway,303,0.40324791136957494,1.7978431041158793,2.2383260392924882e-8,1.6907755319305632e-5,1.4018989403989795e-5,2987,"tags=28%, list=16%, signal=24%",5163/597/25793/1026/8440/30001/5771/23612/5329/7494/2023/837/598/23645/54541/57600/664/6280/3091/5366/3428/9641/8531/8996/4170/602/6279/51246/6188/7124/9451/8454/7178/10105/7133/8451/6416/6477/2534/5743/4780/55075/2810/3303/1654/11235/1969/259230/6648/4824/4683/835/8795/10399/5034/672/4609/8575/960/1649/1051/1032/6615/6201/54700/10131/29979/23378/5423/5770/122509/9774/79094/3336/5831/3301/27035/6154/596/3315/3190/857/1870/83787,1.7978431041158793,NA,NA
GO:0042274,ribosomal small subunit biogenesis,103,0.5298956152294773,2.0649542306083815,2.427438691803756e-7,1.4669012014570094e-4,1.2162745445248292e-4,3996,"tags=43%, list=21%, signal=34%",84294/6217/6189/6194/6206/6233/79954/6203/3921/6208/6210/6229/6207/6191/6223/6228/8780/6202/6205/55226/6193/6201/51096/23160/4869/51602/7520/6232/65095/84916/6209/2197/11157/84128/55720/88745/55127/84946/51406/6230/6218/28987/2091/404672,2.0649542306083815,NA,NA
GO:0051028,mRNA transport,128,0.493893916076105,1.9782663102535945,2.3835928238435172e-7,1.4669012014570094e-4,1.2162745445248292e-4,3409,"tags=34%, list=18%, signal=28%",283131/7538/9961/54888/8658/23165/55795/9818/23511/23237/9444/10644/5903/55677/8021/54890/8087/100101267/4928/25909/9972/3267/22794/155435/81929/23279/57122/84271/7514/9775/65125/29118/55746/10128/56000/3800/6396/6426/7919/9887/9883/84324/1977,1.9782663102535945,NA,NA
