ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,191,0.6319950412213431,2.6948788083159236,1e-10,1.25e-9,4.736842105263158e-10,2670,"tags=52%, list=14%, signal=45%",TLR2/NAMPT/SLC2A3/KLF9/SOCS3/BCL2A1/ZFP36/FOS/EFNA1/VEGFA/CDKN1A/SGK1/IL1B/GADD45B/BTG2/CD69/IRF1/PLAUR/PFKFB3/CEBPD/MAFF/NFKBIA/BCL6/KLF6/PPP1R15A/JUNB/DUSP1/CCNL1/NFIL3/BMP2/ATF3/CCL2/GADD45A/TIPARP/TNIP2/LITAF/EGR1/MAP2K3/PER1/TAP1/GCH1/FOSL1/B4GALT5/NR4A3/ID2/MCL1/BCL3/TNF/BTG3/TRIP10/FOSL2/CSF1/GFPT2/NINJ1/RHOB/CCL4/PTGS2/NFE2L2/ETS2/EGR3/ICAM1/IER5/MAP3K8/SOD2/SERPINB8/NR4A1/AREG/CXCL1/IER2/TSC22D1/MYC/TRAF1/CD44/G0S2/RELA/CEBPB/FOSB/DUSP5/KLF10/MXD1/TNFSF9/SPHK1/ICOSLG/JUN/NR4A2/CLCF1/SQSTM1/PTPRE/CCL20/NFKB2/STAT5A/F3/KLF4/TNIP1/BHLHE40/GPR183/SPSB1/LDLR/PTX3,2.6948788083159236,NA,NA
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,193,0.5686025774432679,2.4217388220722613,1e-10,1.25e-9,4.736842105263158e-10,2777,"tags=44%, list=14%, signal=38%",PDK1/SLC2A3/PGK1/ZFP36/FOS/P4HA1/EFNA1/VEGFA/SLC2A5/CDKN1A/P4HA2/BNIP3L/HK2/ERO1A/KDM3A/PLAUR/PFKFB3/PIM1/MAFF/NDRG1/ENO1/MXI1/KLF6/FAM162A/ADM/PPP1R15A/DUSP1/DDIT4/NFIL3/HMOX1/SLC6A6/ATF3/PFKL/TGFB3/HAS1/ISG20/TIPARP/ZNF292/LDHA/ENO2/PDK3/PPFIA4/STC2/GYS1/FOSL2/CHST3/SAP30/GPI/CAVIN1/AK4/PLAC8/NOCT/TPI1/RRAGD/HK1/PFKP/GLRX/ANGPTL4/TGFBI/SLC2A1/GALK1/GBE1/XPNPEP1/NDST1/CXCR4/ALDOB/GPC1/DDIT3/PLIN2/STC1/GAPDH/JUN/AKAP12/ANXA2/MT2A/HDLBP/GRHPR/TMEM45A/HSPA5/F3/BHLHE40/WSB1/SDC3/BCL2/PGAM2,2.4217388220722613,NA,NA
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,195,0.5664988750545819,2.4130294186557273,1e-10,1.25e-9,4.736842105263158e-10,2916,"tags=37%, list=15%, signal=32%",NAMPT/PDK1/SLC2A3/ELOVL5/PGK1/BCAT1/P4HA1/CDKN1A/TFRC/BTG2/HK2/ERO1A/XBP1/NIBAN1/MTHFD2/ENO1/ADIPOR2/PPP1R15A/DDIT4/NFIL3/CD9/SLC6A6/PFKL/LDHA/MAP2K3/NUP205/POLR3G/HPRT1/RAB1A/SLA/DHCR7/EDEM1/FADS1/HSPD1/GPI/GCLC/IFRD1/CCNF/AK4/QDPR/TPI1/UBE2D3/TOMM40/ME1/GLRX/PRDX1/SLC2A1/GBE1/HSPA9/PLOD2/CXCR4/GLA/SHMT2/STIP1/DDIT3/PSMC2/STC1/PSMB5/IFI30/GAPDH/TXNRD1/SQSTM1/SLC7A5/SLC1A5/ATP2A2/HSPA5/BHLHE40/HSPE1/LDLR/SYTL2/PSMD13/ACTR3/UCHL5,2.4130294186557273,NA,NA
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,192,0.5603070984201519,2.385427654528759,1e-10,1.25e-9,4.736842105263158e-10,5075,"tags=51%, list=26%, signal=38%",PGK1/LDHA/G3BP1/HPRT1/HNRNPU/RPS3/RPL18/CUL1/HSPD1/ODC1/IFRD1/RPS6/ABCE1/EIF4A1/CCNA2/TRA2B/TXNL4A/RACK1/FAM120A/CDK2/RPS2/ERH/RPL14/MYC/CTPS1/UBA2/RPL22/DDX21/SSBP1/RPS5/PSMA7/HSP90AB1/HNRNPC/ACP1/PSMA6/NPM1/MRPL23/XPO1/NME1/EEF1B2/EIF2S1/LSM2/HSPE1/HNRNPR/VDAC3/NOLC1/RPLP0/POLD2/SRSF1/UBE2E1/VDAC1/BUB3/HNRNPD/PTGES3/SYNCRIP/ETF1/ORC2/C1QBP/PSMD3/PSMD8/PRDX4/PRPS2/RANBP1/RPL6/EIF4E/EIF3B/NAP1L1/XPOT/NOP16/EIF1AX/SF3B3/RAD23B/PPIA/AP3S1/EIF4H/PSMB2/MRPS18B/FBL/PSMA2/UBE2L3/PSMD7/CDK4/EXOSC7/GNL3/SRPK1/SNRPA/GSPT1/PCNA/DHX15/GLO1/PSMC6/SRSF3/TUFM/EIF3J/KPNB1/PSMB3/RPL34/PCBP1,2.385427654528759,NA,NA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,107,0.5700983899188234,2.2535670219953845,1.179449516781129e-9,1.179449516781129e-8,4.4694929056969105e-9,2816,"tags=37%, list=15%, signal=32%",SRPRB/VEGFA/ERO1A/XBP1/MTHFD2/DDIT4/ATF3/GOSR2/CCL2/STC2/CNOT2/EDEM1/EIF2AK3/SEC31A/YWHAZ/EIF4EBP1/DNAJA4/PDIA5/ATF6/EIF4A1/HSPA9/PDIA6/RPS14/FKBP14/CEBPB/BAG3/SLC7A5/NPM1/EIF4A3/EIF4G1/HSPA5/DCTN1/SHC1/CHAC1/EIF2S1/KIF5B/DNAJC3/NOLC1/ALDH18A1/EEF2,2.2535670219953845,NA,NA
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0.4492856512918687,1.9214812845135485,5.6029880759467066e-8,4.6691567299555893e-7,1.769364655562118e-7,4518,"tags=29%, list=23%, signal=23%",LDHA/ALAS1/ETFDH/SDHA/MRPS22/GPI/PDHX/HSPA9/NDUFS2/CASP7/ACADSB/NNT/CYB5A/POLR2F/MRPS11/IDH3A/ATP6V1F/NDUFV2/MTRR/GRPEL1/LRPPRC/VDAC3/PDK4/SDHC/MRPS12/VDAC1/AIFM1/DLST/CYCS/NDUFB6/MRPL35/PHYH/ETFB/GLUD1/COX4I1/OPA1/IMMT/NDUFA9/TIMM9/MRPS30/SUCLG1/BDH2/FDX1/CYB5R3/ALDH6A1/NDUFV1/ATP5PB/ATP6V1D/MPC1/COX15/ATP6V1E1/NDUFS7/DLAT/ABCB7/NDUFB8/ACAT1/SUPV3L1/GPX4,1.9214812845135485,NA,NA
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,193,0.44360936172099413,1.8893794290294375,8.217749911123188e-8,5.869821365087992e-7,2.2243533594017655e-7,2547,"tags=29%, list=13%, signal=25%",FOS/CDKN1A/RALGDS/BTG2/VWA5A/ZNF365/PHLDA3/RGS16/ZBTB16/NDRG1/ALOX15B/ITGB4/FAM162A/PPP1R15A/DDIT4/BMP2/HMOX1/ATF3/GADD45A/PDGFA/TAP1/PLK3/RPL18/CASP1/NINJ1/SLC3A2/RPS12/OSGIN1/WWP1/TAX1BP3/EPS8L2/SFN/EPHA2/CDKN2A/IER5/S100A10/RAB40C/RACK1/TM4SF1/TSC22D1/DDIT3/IFI30/MXD1/TNFSF9/SPHK1/JUN/CCP110/PTPRE/MKNK2/ST14/UPP1/SLC19A2/RRP8/ELP1/DDB2/KLF4,1.8893794290294375,NA,NA
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,193,0.4381653685129868,1.866192883238156,1.5537914034182646e-7,9.711196271364153e-7,3.6800322712537847e-7,2702,"tags=36%, list=14%, signal=31%",TLR2/NAMPT/CD55/RGS1/AHR/CDKN1A/ITGB3/IL1B/CD14/BTG2/BEST1/RGS16/CD69/OSM/IRF1/PLAUR/SCN1B/NFKBIA/ITGB8/IL4R/KLF6/SLC11A2/ADM/FZD5/HIF1A/CLEC5A/CCL2/FPR1/CXCL8/GCH1/SLC7A1/PDPN/HPN/CSF1/PROK2/SLC31A1/TNFRSF1B/C5AR1/SELE/CSF3/ICAM1/MEFV/NOD2/GP1BA/PVR/SELL/OSMR/MYC/RELA/SGMS2/MSR1/HAS2/MXD1/SEMA4D/TNFSF9/SPHK1/ICOSLG/TIMP1/IRAK2/IRF7/PTPRE/CCL20/ATP2A2/F3/GPR183/STAB1/LDLR/GNAI3/ADGRE1,1.866192883238156,NA,NA
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,150,0.4633273098240299,1.9095905773490482,3.9619749250310435e-7,2.2010971805728017e-6,8.340999842170619e-7,2126,"tags=32%, list=11%, signal=29%",CDKN1A/IL1B/CD14/LMNA/GADD45B/BNIP3L/BTG2/CD69/IRF1/CASP4/BCL2L1/BMP2/HMOX1/ATF3/GADD45A/ISG20/PMAIP1/GSN/ENO2/PTK2/TAP1/RARA/GCH1/MCL1/TNFRSF12A/TNF/BTG3/EMP1/CASP1/ADD1/IGF2R/DPYD/PAK1/HMGB2/RHOB/EGR3/SOD2/CASP2/CASP7/CDK2/BRCA1/CD44/DDIT3/RELA/IFITM3/JUN/TIMP1/SQSTM1,1.9095905773490482,NA,NA
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,191,0.4406126678791823,1.878808635979929,4.734803064849511e-7,2.3674015324247557e-6,8.971205807083283e-7,3762,"tags=37%, list=20%, signal=30%",PGK1/P4HA1/VEGFA/P4HA2/PYGL/HK2/ERO1A/B3GAT1/ENO1/MXI1/FAM162A/DDIT4/ISG20/ZNF292/LDHA/ENO2/NOL3/TPST1/PDK3/SLC16A3/PPFIA4/STC2/GYS1/PLOD1/PMM2/SAP30/GCLC/AK4/TPI1/COPB2/RRAGD/ME1/PFKP/GLRX/B3GAT3/ANGPTL4/TGFBI/GALK1/TXN/PLOD2/CXCR4/ALDOB/GPC1/CD44/CYB5A/ABCB6/SPAG4/STC1/PKM/FUT8/HDLBP/B4GALT2/SRD5A3/HSPA5/SDC3/RPE/PGAM2/SDHC/ARPP19/PC/CENPA/CLN6/ECD/VLDLR/HOMER1/QSOX1/COG2/MIF/PPIA/NSDHL,1.878808635979929,NA,NA
