ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,197,-0.49535545759945293,-2.187933092321295,1e-10,5e-9,2.8421052631578954e-9,4332,"tags=44%, list=23%, signal=34%",KPTN/CDC42BPA/SMC1A/STK38L/BIN1/ROCK1/AKAP13/HOOK3/RABGAP1/YWHAE/BCL2L11/LRPPRC/MID1IP1/ECT2/SSH2/TUBD1/ARFGEF1/CEP192/LATS1/ABR/PAFAH1B1/RAPGEF5/KIF3C/ARHGEF2/CDC27/SASS6/ARHGEF12/INCENP/WASF1/RACGAP1/ARHGAP27/FBXO5/KLC1/TAOK2/ATG4B/WASF2/ARHGEF11/CAPZB/KIF20B/NF1/ABL1/PCGF5/KIF5B/WASL/KIF1B/TIAM1/RAPGEF6/RANBP9/MARK4/ARAP3/ALMS1/CLASP1/CENPF/BCR/ALS2/RASA2/CD2AP/PREX1/ARHGEF7/PCM1/RALBP1/PXN/NCK1/DYNLL2/RAB3GAP1/MYO9B/RICTOR/DST/MYH9/BCAR1/STAU1/SHROOM1/CNTRL/CCDC88A/FGD4/RASAL2/DOCK4/NCK2/CLIP2/ACTN4/PPP4R2/MYO1E/SOS1/ARHGAP5/TBCD/ANLN/EPB41L2,-2.187933092321295,NA,NA
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,188,-0.4581866964521694,-2.017170243069131,1.4764760465116134e-8,3.691190116279034e-7,2.098150171358609e-7,4866,"tags=45%, list=26%, signal=34%",IL2RB/EMP1/ENPP1/BATF3/GALM/MUC1/CTLA4/ITGAV/RRAGD/GABARAPL1/BHLHE40/IL4R/FURIN/BATF/IRF8/SWAP70/TWSG1/PTCH1/ABCB1/SH3BGRL2/HUWE1/CSF1/APLP1/SERPINB6/ITGAE/CDC6/SLC1A5/PHTF2/ITIH5/DHRS3/TNFRSF21/TNFSF10/TRAF1/BCL2/ITGA6/MXD1/MAP3K8/ECM1/SMPDL3A/BMPR2/GBP4/IFNGR1/PLPP1/AHR/ADAM19/SNX14/RHOB/GADD45B/NDRG1/TIAM1/HK2/GLIPR2/SELL/ANXA4/UCK2/NRP1/BCL2L1/SYNGR2/HIPK2/NCOA3/MAPKAPK2/IFITM3/CD44/LRRC8C/ST3GAL4/P2RX4/CCND3/LCLAT1/KLF6/SNX9/IKZF2/IRF6/RABGAP1L/MYO1E/CISH/P4HA1/CD83/ALCAM/SERPINC1/IGF1R/NFKBIZ/PIM1/SPRED2/RGS16,-2.017170243069131,NA,NA
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,97,-0.5314856330081335,-2.114862261161099,1.883259338999724e-7,3.1387655649995403e-6,1.7841404264207915e-6,5039,"tags=49%, list=27%, signal=37%",IDI1/SCD/MYL12A/UBE2J1/SELENOP/ITGAV/HMGCR/UBE2I/SRP19/GUCY1A1/HMGCS1/ACSL3/GNAI3/PMEPA1/MERTK/ABHD2/STK39/PLPP1/VAPA/PIAS1/RPS6KA3/NDRG1/AZGP1/ABCC4/ZBTB10/B4GALT1/FADS1/XRCC5/INSIG1/GPD1L/CCND3/SLC38A2/HERC3/ELK4/LIFR/ANKH/ELL2/FKBP5/ZMIZ1/ELOVL5/CDK6/TPD52/ARID5B/MAP7/SGK1/CDC14B/DHCR24/APPBP2,-2.114862261161099,NA,NA
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,192,-0.41632716978099077,-1.8354285805667148,2.5357798472711354e-6,3.169724809088919e-5,1.8017383125347545e-5,5256,"tags=41%, list=28%, signal=30%",BIRC5/TTK/TNPO2/SFPQ/TOP2A/DR1/UPF1/CUL5/HNRNPU/ILF3/MTF2/RPA2/DDX39A/NASP/HUS1/ARID4A/G3BP1/SMC1A/CCNA2/CDC6/ORC5/TMPO/TENT4A/SLC7A1/BUB3/HIF1A/PURA/SMAD3/NOLC1/PAFAH1B1/CTCF/CDC27/CDKN1B/MAPK14/INCENP/RACGAP1/TLE3/FBXO5/SMARCC1/SYNCRIP/YTHDC1/CUL3/XPO1/PRIM2/ODF2/MAP3K20/SLC12A2/KIF20B/LBR/ABL1/CHMP1A/KIF5B/SQLE/CUL1/BCL3/NSD2/UCK2/CENPF/HNRNPD/RPS6KA5/TOP1/NUP98/PDS5B/CUL4A/POLE/ATRX/RAD21/RBM14/SS18/FANCC/CASP8AP2/FOXN3/RASAL2/AMD1/STAG1/RBL1/EWSR1/TRA2B/MEIS1,-1.8354285805667148,NA,NA
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,142,-0.4211101838263078,-1.789707832359716,2.361435932669023e-5,2.011962214074327e-4,1.1436416795790911e-4,4989,"tags=50%, list=26%, signal=37%",WDR37/CACNA1A/ANXA2/PPARG/IRS1/MAP2K5/RBPMS/SFMBT1/ABCC1/TGFBR2/PTEN/PEX14/PRDM2/CDC42BPA/BHLHE40/MAP1B/KIT/MGMT/TJP1/TENT4A/RXRA/SLC7A1/RUNX1/SMAD3/COL1A2/PIK3CD/MRPS31/NEK7/CDKN1B/PRKCE/MAPK14/GRK5/SCAF8/YTHDC1/COL3A1/APBB2/ACVR2A/NR3C1/TOGARAM1/SPOP/ANXA4/AGGF1/AKT3/NRP1/RASA2/PHF3/ADD3/ATP2C1/PRKCA/CDK13/ATRN/ATRX/DLC1/IGFBP5/INSIG1/LDLR/BCKDHB/LPAR1/COL1A1/MAGI2/HAS2/NFKB1/DYRK1A/BMPR1A/NIPBL/ZMIZ1/IGF1R/DUSP1/SERPINE1/SYNJ2/ATXN1,-1.789707832359716,NA,NA
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,189,-0.39565323382834794,-1.7393960161228603,2.414354656889192e-5,2.011962214074327e-4,1.1436416795790911e-4,3644,"tags=31%, list=19%, signal=25%",PMEPA1/NFKBIA/IER5/KDM6B/TRAF1/IL18/SMAD3/RELA/NR4A1/REL/RNF19B/MXD1/MAP3K8/STAT5A/IL6ST/NFKBIE/PER1/KYNU/ETS2/TNC/IRS2/PNRC1/CFLAR/RHOB/GADD45B/LITAF/BCL3/ZBTB10/B4GALT1/PTGER4/TLR2/PANX1/RCAN1/VEGFA/FOS/KLF10/CD44/LDLR/F2RL1/NFE2L2/NFAT5/PPP1R15A/BCL6/KLF6/RIPK2/NFKB1/IL1A/PTPRE/CD83/AREG/IL1B/SPSB1/JUN/PDE4B/DUSP1/SGK1/SERPINE1/KLF9,-1.7393960161228603,NA,NA
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,181,-0.39431148557668966,-1.7225021751999974,3.185637048502769e-5,2.275455034644835e-4,1.293416546008643e-4,4959,"tags=43%, list=26%, signal=32%",NARF/NFE2L1/SLC30A1/MINPP1/ABCG2/TFRC/DCAF10/OPTN/ABCB6/HBD/GMPS/TCEA1/BNIP3L/GAPVD1/FBXO9/FOXJ2/KEL/CDR2/MXI1/GCLC/FBXO34/XPO7/TRAK2/YPEL5/FECH/CPOX/NEK7/CDC27/SLC66A2/SLC6A8/ARHGEF12/UCP2/MYL4/HDGF/PC/DAAM1/GYPC/BACH1/CCDC28A/LRP10/NR3C1/ENDOD1/SLC2A1/KDM7A/RBM5/LMO2/BSG/BTRC/SYNJ1/KLF3/ALDH6A1/TOP1/MARK3/VEZF1/MBOAT2/RCL1/KAT2B/SNCA/SLC6A9/SEC14L1/CCND3/ATP6V0A1/DCUN1D1/EZH1/USP15/LPIN2/ADD1/TFDP2/TSPAN5/ELL2/CAST/OSBP2/FOXO3/TNRC6B/TMCC2/PICALM/MOCOS,-1.7225021751999974,NA,NA
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,53,-0.5381988812145395,-1.9170572889332196,1.1450756475325931e-4,7.156722797078707e-4,4.0680319057078974e-4,4903,"tags=51%, list=26%, signal=38%",RAB31/SPTBN1/APC/FURIN/XIAP/TJP1/PMEPA1/SMAD3/ENG/BMPR2/SKI/CTNNB1/UBE2D3/TGFBR1/TRIM33/SMURF2/HIPK2/KLF10/SKIL/PPP1R15A/ARID4B/NCOR2/ACVR1/MAP3K7/BMPR1A/SMURF1/SERPINE1,-1.9170572889332196,NA,NA
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,152,-0.39100934276254184,-1.6793325859000017,1.7859680415144804e-4,9.922044675080446e-4,5.639899078466781e-4,4457,"tags=37%, list=23%, signal=28%",MCL1/PMAIP1/LMNA/BNIP3L/XIAP/BGN/ANXA1/ROCK1/MGMT/BCL2L11/DAP3/PRF1/HGF/TNFSF10/IL18/CASP6/RELA/APP/MADD/CDK2/CDKN1B/PTK2/ETF1/LEF1/CTNNB1/CASP8/IFNGR1/CASP1/CFLAR/RHOB/GADD45B/DFFA/DNAJA1/CASP7/DAP/BCL2L1/CASP9/PSEN1/PPP3R1/MMP2/IFITM3/CD44/ERBB3/PEA15/F2R/TXNIP/SC5D/ADD1/ANKH/DPYD/IL1A/CREBBP/HMOX1/IL1B/JUN/HSPB1,-1.6793325859000017,NA,NA
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,102,-0.44320440303103864,-1.7847859452070447,1.9976165169128437e-4,9.988082584564217e-4,5.677436416489137e-4,3099,"tags=34%, list=16%, signal=29%",RAC1/MAPK9/GRK2/CDK2/CDKN1B/STAT2/RIPK1/GNGT1/UBE2D3/RPS6KA3/TIAM1/PAK4/GRB2/SLC2A1/MKNK2/PLA2G12A/MAPKAP1/RAF1/PIKFYVE/ARPC3/MAPK8/GSK3B/DAPP1/NCK1/ATF1/RALB/PTPN11/ACACA/CAB39/MAP2K6/ACTR3/MAP3K7/PRKAR2A/PPP2R1B/RPTOR,-1.7847859452070447,NA,NA
