ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
hsa03010,Ribosome,127,0.6824961097099589,2.7266575078266264,1e-10,1.1933333333333333e-8,8.736842105263158e-9,3312,"tags=57%, list=17%, signal=48%",RPL9/RPL18A/RPL37A/RPS3/RPL30/RPL18/RPL21/RPS16/RPS3A/RPL10/RPS6/RPL15/RPS12/RPS27A/RPL17/RPS9/RPL13A/RPL13/RPL7A/RPL19/RPL32/RPL8/RPSA/RPS14/RPS15A/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/RPL27A/RPL23A/RPL10A/RPS20/RPL12/RPL14/RPS8/RPL5/RPS18/RPL3/RPL7/RPL11/RPL22/RPS11/RPL28/MRPL3/RPL37/MRPS18C/MRPS11/RPL23/RPS5/RPL24/RPS7/RPL29/MRPL17/MRPL23/UBA52/RPLP1/RPL26/RPLP0/RPS27/MRPS12/RPL35/RPS10-NUDT3/MRPL14/RPS15/MRPL19/FAU/RPLP2/RPL35A/MRPL35/RPL6,2.7266575078266264,NA,NA
hsa05171,Coronavirus disease - COVID-19,203,0.4880562304481071,2.0728077524512543,1e-10,1.1933333333333333e-8,8.736842105263158e-9,3221,"tags=43%, list=17%, signal=36%",TLR2/STAT3/FOS/IL1B/IFNAR2/FCGR2A/NFKBIA/RPL9/CCL2/IKBKE/CXCL8/RPL18A/RPL37A/RPS3/RPL30/TNF/RPL18/CASP1/RPL21/RPS16/RPS3A/C5AR1/RPL10/RPS6/RPL15/RPS12/RPS27A/CSF3/RPL17/RPS9/STAT1/RPL13A/RPL13/RPL7A/RPL19/RPL32/CFB/RPL8/IRF9/RPSA/RPS14/RPS15A/RPS24/RPS13/RPS4X/RPS19/RPS2/RPS23/RPL27A/RPL23A/RPL10A/TRAF6/RPS20/RPL12/RPL14/RPS8/RPL5/MAPK13/RPS18/RPL3/RELA/RPL7/RPL11/RPL22/RPS11/RPL28/RPL37/JUN/RPL23/RPS5/RPL24/RPS7/RPL29/UBA52/RPLP1/F2/RPL26/RPLP0/RPS27/RPL35/RPS10-NUDT3/RPS15/FAU/HBEGF/MAPK14/RPLP2/RPL35A,2.0728077524512543,NA,NA
hsa04080,Neuroactive ligand-receptor interaction,288,-0.47225468686191124,-2.0243477894608932,1e-10,1.1933333333333333e-8,8.736842105263158e-9,3123,"tags=32%, list=16%, signal=27%",CHRFAM7A/PRLR/NPY5R/GRID2/PATE4/PATE2/P2RY10/CHRNA4/HTR2B/ADRA1A/LPAR1/GRIK1/CHRNB2/HTR4/ADRA2C/GRM8/CHRM4/LYNX1/HTR1E/P2RY1/GABRA3/HTR2A/VIP/VIPR1/P2RX4/GABBR1/TSHR/SSTR1/FSHR/ADCYAP1R1/LPAR2/NTS/CHRM3/GABRB2/PTGFR/LYPD6/CHRM1/GZMA/OGFRL1/GRIN2B/GABRB3/PAQR6/NMUR2/GRM4/S1PR1/GRIA4/CNR1/GRIA1/EDN3/NPY1R/GRM5/HTR2C/TAC1/GRM1/ADORA2A/LPAR6/DRD1/ADRB1/TACR1/GRIK2/GABRA4/OPRL1/GABRG2/GABRA2/PDYN/NTSR2/C3AR1/GABRG3/PTGDR/OPRM1/F2R/PTH2R/GABRD/NPFFR1/GRIN1/CRH/LPAR4/ADRB2/P2RY14/GABRG1/P2RY6/GRM3/CALCR/PENK/CALCRL/PTAFR/C3/VGF/P2RY13/CYSLTR1/EDNRB/GABRB1,-2.0243477894608932,NA,NA
hsa04082,Neuroactive ligand signaling,182,-0.4878003032816333,-1.9788861847396586,3.3589802505917873e-9,3.0062873242796495e-7,2.201016006308829e-7,2752,"tags=35%, list=14%, signal=30%",CHRNA4/HTR2B/PRKCB/ADRA1A/GRIK1/CHRNB2/HTR4/ADRA2C/GRM8/CHRM4/HTR1E/P2RY1/GNGT1/GABRA3/HTR2A/P2RX4/GABBR1/GNAL/CHRM3/GABRB2/CHRM1/SLC17A8/OGFRL1/GRIN2B/GABRB3/GRM4/GRIA4/GRIA1/PLCB4/GRM5/PLCB2/HTR2C/TAC1/GRM1/ADORA2A/GNG2/DRD1/ADCY7/SLC32A1/ADRB1/TACR1/GRIK2/GABRA4/OPRL1/GABRG2/GABRA2/PDYN/SLC1A6/GABRG3/OPRM1/GNB4/GABRD/GRIN1/PLCB1/ADRB2/P2RY14/GABRG1/P2RY6/GRM3/PENK/P2RY13/P2RY12/GABRB1/SLC1A2,-1.9788861847396586,NA,NA
hsa04141,Protein processing in endoplasmic reticulum,164,0.4441727625401425,1.8430382394539764,4.463057997215965e-7,3.195549526006631e-5,2.3395819816984744e-5,3673,"tags=37%, list=19%, signal=30%",ERO1A/XBP1/PPP1R15A/SEC24D/RRBP1/HSPA6/EDEM1/EIF2AK3/CUL1/SEC31A/DNAJB2/SEC23A/YOD1/HSPH1/NFE2L2/UBE2D3/HSPA1A/HSPA1B/DNAJC1/EDEM2/FBXO6/UBQLN2/ATF6/CKAP4/CRYAB/DNAJB1/PDIA6/P4HB/SEC24A/SSR3/UBE2D1/DDIT3/SEC61G/PDIA3/HSP90AB1/UBQLN1/DNAJC5/DERL2/NGLY1/HSPA5/NPLOC4/PDIA4/UBE4B/EIF2S1/DNAJC3/DNAJA1/BCL2/UBE2J1/SAR1A/SEC13/RBX1/UBE2G2/UBXN4/EDEM3/CAPN2/HSPA4L/UBXN2A/MAGT1/MAN1C1/RAD23B,1.8430382394539764,NA,NA
hsa05033,Nicotine addiction,39,-0.6825379418142699,-2.133937456008058,1.1481910880538039e-6,6.850873492054363e-5,5.0157821214981956e-5,3123,"tags=54%, list=16%, signal=45%",CHRFAM7A/CHRNA4/CHRNB2/GABRA3/CACNA1B/GABRB2/SLC17A8/GRIN2B/GABRB3/GRIA4/GRIA1/SLC32A1/GABRA4/GABRG2/GABRA2/GABRG3/GABRD/GRIN1/GABRG1/CACNA1A/GABRB1,-2.133937456008058,NA,NA
hsa04020,Calcium signaling pathway,234,-0.41200360096352784,-1.734221922238955,1.6226831330549865e-6,8.298865166195503e-5,6.075911280160777e-5,2734,"tags=29%, list=14%, signal=25%",HGF/NFATC2/HTR2B/PRKCB/ADRA1A/MCOLN2/HTR4/ITPKA/ORAI3/HTR2A/CAMK1G/ATP2A3/P2RX4/GNAL/CACNA1B/ATP2B2/CAMK2B/SLC8A2/CHRM3/MYLK4/HRC/PHKA1/PTGFR/CHRM1/PDGFC/GRIN2B/RYR3/ITPR1/PLCZ1/PLCB4/MST1/PDGFB/GRM5/PLCB2/HTR2C/GRM1/TPCN1/ADORA2A/DRD1/MET/ADCY7/PDGFRB/CD38/ADRB1/PPP3CA/TACR1/ITPR2/CAMK4/ERBB4/F2R/TRDN/GRIN1/PLCB1/ADRB2/CAMK2G/CACNA1D/CAMK1D/PDGFRA/CACNA1A/SLC8A1/PTAFR/SLC8A3/CYSLTR1/EDNRB/FGFR3/FGF20/RYR1,-1.734221922238955,NA,NA
hsa05134,Legionellosis,56,0.5934845086103118,2.0793289268655064,2.8797373902409377e-6,1.2886824821328196e-4,9.434929081184124e-5,3275,"tags=48%, list=17%, signal=40%",TLR2/IL1B/CD14/NFKBIA/BNIP3/HSPA6/CXCL8/TNF/RAB1A/HSPD1/CASP1/CR1/SEC22B/EEF1A1/HSPA1A/HSPA1B/CXCL1/CASP7/NAIP/RELA/NFKB2/ARF1/SAR1A/BCL2L13/HBS1L/CYCS/EEF1G,2.0793289268655064,NA,NA
hsa04723,Retrograde endocannabinoid signaling,143,-0.46622551133136947,-1.8205559882764213,3.2626803281756453e-6,1.297821730540979e-4,9.501840955739598e-5,2221,"tags=29%, list=12%, signal=26%",MT-ND5/GNGT1/GABRA3/CACNA1B/GABRB2/MT-ND4L/SLC17A8/MT-ND2/GABRB3/MT-ND6/KCNJ3/ITPR1/GRIA4/CNR1/GRIA1/PLCB4/GRM5/PLCB2/GRM1/GNG2/MAPK8/ADCY7/SLC32A1/KCNJ6/NDUFB9/GABRA4/GABRG2/GABRA2/ITPR2/GABRG3/MAPK10/RIMS1/DAGLB/GNB4/GABRD/PLCB1/CACNA1D/GABRG1/CACNA1A/MGLL/GABRB1,-1.8205559882764213,NA,NA
hsa05132,Salmonella infection,241,0.38156789123263735,1.6479036635133941,6.207752895148817e-6,2.2223755364632762e-4,1.6270847062021634e-4,3382,"tags=32%, list=18%, signal=27%",TLR2/FOS/IL1B/CD14/NFKBIA/CASP4/MLKL/MAP2K3/SNX9/CXCL8/RPS3/TNF/PLEKHM1/TUBB4A/PIK3C2B/DYNC1I1/TUBA1A/FLNA/CASP1/ACTG1/ELMO1/LY96/TNFRSF10A/MAP2K4/PAK1/ARL8A/RHOB/ACTB/CASP5/S100A10/TXN/TUBA1B/TRADD/KLC1/TNFRSF10B/EXOC5/MYO6/CASP7/TRAF6/NAIP/MYC/TUBB6/MAPK13/RELA/ARPC5/GAPDH/JUN/KPNA3/HSP90AB1/ANXA2/ACTR1B/TUBB4B/ELMO2/NCKAP1/RAB5A/DYNC1I2/ARL8B/DCTN1/RAB7A/ARF1/RIPK1/TUBB2B/CYTH1/KIF5B/ACBD3/BCL2/KIF5C/ACTR3/AKT2/MAPK14/DYNLT3/PFN4/CYCS/FBXO22/TUBB/CDC42/DNM2,1.6479036635133941,NA,NA
