category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,45/1075,156/7103,0.28846153846153844,1.9059928443649374,4.831659954083846,7.305957761157102e-6,0.0017052007016760099,0.0012775807114724289,BCL2A1/NGFR/RUNX1/CDKN1A/CSF1R/MAF/CD14/GADD45B/IGF1/CD86/MEF2C/ETV6/CEBPA/ETV5/ZBTB16/PROM1/BCL6/FLI1/BCL2L1/FCGR1A/DOT1L/GADD45A/PDGFA/RARA/SS18L1/ETV1/CXCL8/SLC45A3/NFKBIZ/NR4A3/BCL11B/ID2/ZEB1/TGFBR2/LYL1/PBX1/PPARG/IGF1R/CEBPE/BAIAP3/MET/ITGB7/RXRG/CCNA2/DUSP6,45,5.233899821109124,3.735441023995264,7.333460001493214
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,39/1075,130/7103,0.3,1.982232558139535,4.772919542233546,1.0793873584522225e-5,0.0017052007016760099,0.0012775807114724289,SOCS3/FOS/CSF1R/ITGB3/IL1B/IFNAR2/BLNK/CALCR/IFNGR1/FCGR2A/NFKBIA/SYK/LILRB1/JUNB/FCGR1A/LILRB4/TGFBR1/TREM2/FCGR3A/FOSL1/TNF/TGFBR2/LILRA4/LILRB3/FOSL2/CSF1/CAMK4/NCF2/PPARG/BTK/TNFRSF11A/FCGR3B/LILRA1/STAT1/PIK3R3/LILRA2/PIK3CD/ITPR1/IRF9,39,5.443255813953488,3.785968782692559,7.826011136591162
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,59/1075,229/7103,0.2576419213973799,1.702354016451711,4.562228065727006,1.5045888544200088e-5,0.0017052007016760099,0.0012775807114724289,CX3CR1/CSF2RA/BMP8A/TNFRSF13C/NGFR/CXCL12/CSF1R/IL1B/TNFRSF10D/IFNAR2/OSM/IL13RA1/IL1RAP/BMP8B/IL27/IFNGR1/LIFR/IL4R/CCL3/BMP2/CD4/CCL2/TGFB3/TGFBR1/RELT/ACKR3/TNFSF10/IL16/IL21R/TNFRSF10C/CCL8/IL18/CX3CL1/CXCL8/CSF3R/TNFRSF12A/TNF/TGFBR2/CSF1/TNFRSF21/IL10RA/BMP7/TNFRSF1B/TNFRSF11A/TNFRSF10A/INHBB/IL12B/IL1RN/CCL4/CNTFR/CSF3/IL33/LEP/CCL4L2/CCR1/TNFRSF10B/CCL3L1/BMP6/IL17D,59,4.674702955214786,3.4885697328997582,6.2641281076899675
Human Diseases,Substance dependence,hsa05032,Morphine addiction,28/1075,88/7103,0.3181818181818182,2.102367864693446,4.394019574020113,5.880919815146774e-5,0.004922491133195136,0.0036880583722390804,GABRB1/PDE4D/PDE8B/CACNA1A/GABRG1/PDE7B/GNB3/ADCY3/ADORA1/GABRD/GNB4/PDE3A/OPRM1/GABRG3/GRK4/GABRA2/GABRG2/GABRA4/KCNJ6/ARRB2/SLC32A1/ADCY7/DRD1/GNG2/PDE4A/KCNJ3/GABRB3/PDE11A,28,5.773150105708245,3.7566878141614923,8.871980795795336
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,105/1075,495/7103,0.21212121212121213,1.4015785764622974,3.9115245690308607,1.0995795870535278e-4,0.004922491133195136,0.0036880583722390804,CSF2RA/FGF20/STAT3/FGFR3/FOS/EDNRB/JAK3/CXCL12/RUNX1/CTNNA1/VEGFA/CDKN1A/CSF1R/GADD45B/IGF1/LPAR5/RALGDS/IFNAR2/CEBPA/GSTO2/ZBTB16/IL13RA1/PIM1/IFNGR1/NFKBIA/PDGFRA/COL4A1/IL4R/BCL2L1/GLI3/HES5/FZD5/CAMK2G/GNB3/BMP2/APC2/HMOX1/HIF1A/LPAR4/TGFB3/GADD45A/PMAIP1/TGFBR1/ADCY3/PDGFA/CCND3/RASGRP3/PLCB1/LAMA1/RARB/MMP2/GNB4/RARA/FGF22/CXCL8/CSF3R/F2R/WNT11/TGFBR2/AR/MGST2/COL4A2/GNA12/CCND1/CAMK2D/KIT/FN1/PPARG/WNT7A/WNT2B/WNT5A/IGF1R/TCF7L2/IL12B/WNT8B/PDGFRB/ADCY7/SMO/MET/PTGS2/VEGFD/LPAR6/GNG2/LAMA4/MGST1/LAMA2/PLCB2/PDGFB/STAT1/PIK3R3/PLCB4/CASP8/PIK3CD/DAPK1/CDKN2A/CTNNA2/FZD2/NKX3-1/RXRG/HES1/BID/CCNA2/SLC2A1/WNT6/DLL3,105,3.8487667371388303,3.090690688738163,4.792781578202504
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,30/1075,100/7103,0.3,1.982232558139535,4.177151306466836,1.1003847744298243e-4,0.004922491133195136,0.0036880583722390804,STAT3/VEGFA/IL1B/PRKCD/PIM1/COL4A1/CCL2/CYBB/TGFB3/TGFBR1/PLCB1/EGR1/MMP2/THBD/CXCL8/TNF/TGFBR2/COL4A2/CCND1/FN1/PLCD4/SELE/VEGFD/PLCB2/ICAM1/STAT1/PIK3R3/PLCB4/PIK3CD/COL3A1,30,5.443255813953488,3.603033151145157,8.223358657336087
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,50/1075,198/7103,0.25252525252525254,1.668545924359878,4.0289320563114615,1.1563748514262734e-4,0.004922491133195136,0.0036880583722390804,FGF20/FGFR3/NGFR/EFNA1/VEGFA/CSF1R/ITGB3/IGF1/LPAR5/RALGDS/PDGFRA/EFNA5/FYB1/LPAR4/ADCY3/PDGFA/RASGRP3/PLCB1/MAGI1/APBB1IP/GRIN1/MAP2K3/FGF22/FPR1/F2R/TLN2/AFDN/BCAR1/PARD6G/CSF1/KIT/ACTG1/IGF1R/VAV3/PDGFRB/ANGPT4/RAPGEF3/ADCY7/MET/VEGFD/ADORA2A/PLCB2/PDGFB/PIK3R3/PLCB4/ACTB/CNR1/PIK3CD/EPHA2/GRIN2B,50,4.581865163260512,3.339667282987206,6.286101756676311
NA,NA,hsa04082,Neuroactive ligand signaling,47/1075,183/7103,0.2568306010928962,1.69699326470962,4.0337504169460106,1.1918352958571373e-4,0.004922491133195136,0.0036880583722390804,SLC1A2/GABRB1/P2RY12/P2RY13/PENK/GRM3/HRH2/P2RY6/GABRG1/P2RY14/GNB3/ADRB2/ADCY3/ADORA1/PLCB1/GRIN1/GABRD/GNB4/OPRM1/GRIK4/GABRG3/SLC1A6/PDYN/GABRA2/GABRG2/OPRL1/GABRA4/GRIK2/TACR1/ADRB1/SLC32A1/ADCY7/DRD1/GNG2/ADORA2A/GRM1/TAC1/HTR2C/PLCB2/PLCB4/OGFR/GRIA1/GRIA4/GRM4/GABRB3/GRIN2B/SLC17A8,47,4.6599822086669205,3.3624494091099644,6.458218858626717
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,51/1075,204/7103,0.25,1.6518604651162792,3.989188861155167,1.3030123587869476e-4,0.004922491133195136,0.0036880583722390804,TLR2/STAT3/FOS/C3/IL1B/IFNAR2/FCGR2A/NFKBIA/OAS1/NLRP3/SYK/RPL9/CCL2/CYBB/TLR7/IKBKE/CXCL8/RPL18A/RPL37A/RPS3/RPL30/TNF/RPL18/CASP1/RPL21/C3AR1/RPS16/RPS3A/C5AR1/RPL10/RPS6/IL12B/RPL15/RPS12/RPS27A/CSF3/RPL17/RPS9/STAT1/RPL13A/PIK3R3/RPL13/PIK3CD/RPL7A/RPL19/RPL32/CFB/RPL8/IRF9/RPSA/RPS14,51,4.536046511627907,3.3172040780474146,6.202729006580463
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,30/1075,103/7103,0.2912621359223301,1.9244976292616842,3.9910148013852154,1.9786315587528758e-4,0.006115770272508889,0.004582094136059292,PDK1/STAT3/PGK1/VEGFA/CDKN1A/TFRC/IGF1/HK2/PFKFB3/IFNGR1/ENO1/CAMK2G/HMOX1/PFKL/HIF1A/CYBB/LDHA/ENO2/CAMK2D/IGF1R/RPS6/EIF4EBP1/ANGPT4/HKDC1/PIK3R3/HK1/PIK3CD/PFKP/SLC2A1/PFKM,30,5.284714382479115,3.5028446319903197,7.973007380722104
