ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
PID_HIF1_TFPATHWAY,PID_HIF1_TFPATHWAY,23/376,62/2388,0.3709677419354839,2.3560398078242963,4.675946916094767,2.7594793240893903e-5,0.005270605509010736,0.005141345688040234,PGK1/VEGFA/NT5E/PFKFB3/CXCL12/HMOX1/HK2/BNIP3/HIF1A/TFRC/FOS/NDRG1/ENO1/MCL1/ADM/JUN/NCOA1/EGLN1/LDHA/SLC2A1/RORA/PFKL/HK1,23,19.243951612903228,11.797766497840975,31.389812109566005
PID_IL6_7_PATHWAY,PID_IL6_7_PATHWAY,16/376,45/2388,0.35555555555555557,2.2581560283687945,3.6826526613066153,8.201036777626242e-4,0.07831990122633062,0.07639913208630764,STAT3/A2M/MAP2K4/BCL2L1/FOS/MCL1/CEBPD/JUN/PTPN11/IRF1/PTPRE/GAB1/SOCS3/JUNB/GRB2/STAT1,16,18.444444444444443,10.331620961644633,32.927798273586994
PID_GMCSF_PATHWAY,PID_GMCSF_PATHWAY,11/376,34/2388,0.3235294117647059,2.054755944931164,2.6772834596805994,0.011837691517747662,0.47559850950486343,0.46393461660160284,STAT3/PIM1/CSF2RA/FOS/STAT5B/PTPN11/CISH/GRB2/CCL2/STAT5A/STAT1,11,16.78308823529412,8.439175223675186,33.37672737537997
PID_NECTIN_PATHWAY,PID_NECTIN_PATHWAY,10/376,30/2388,0.3333333333333333,2.117021276595745,2.6610701061098783,0.012939949710449579,0.47559850950486343,0.46393461660160284,CTNNA1/PTPRM/IQGAP1/ITGB3/RAP1A/PDGFRB/PTK2/NECTIN2/AFDN/NECTIN3,10,17.291666666666664,8.392135513193534,35.62880218521749
PID_IL5_PATHWAY,PID_IL5_PATHWAY,6/376,14/2388,0.42857142857142855,2.721884498480243,2.792761318232246,0.014290479381623722,0.47559850950486343,0.46393461660160284,PIM1/STAT5B/PTPN11/CISH/GRB2/STAT5A,6,22.232142857142854,8.49712602755849,58.16886491001334
PID_MET_PATHWAY,PID_MET_PATHWAY,20/376,78/2388,0.2564102564102564,1.6284779050736495,2.4391441614132696,0.014940267314288904,0.47559850950486343,0.46393461660160284,PTPN2/PTPRJ/PAK2/RIN2/CTNNA1/PXN/DEPTOR/NCK2/MAP2K4/BCAR1/RAP1A/PTPN1/JUN/PTPN11/PRKCZ/PTK2/EIF4EBP1/GAB1/EGR1/GRB2,20,13.301282051282051,8.05359199768068,21.968347075281407
PID_TCPTP_PATHWAY,PID_TCPTP_PATHWAY,12/376,41/2388,0.2926829268292683,1.8588479501816293,2.3974955557644355,0.020047900315656904,0.5262798779995645,0.513373041641901,STAT3/PTPN2/VEGFA/PDGFRB/STAT5B/PTPN1/JAK3/GAB1/GRB2/CSF1/STAT5A/STAT1,12,15.182926829268292,7.91556232830888,29.122538303878745
PID_IL3_PATHWAY,PID_IL3_PATHWAY,8/376,24/2388,0.3333333333333333,2.117021276595745,2.377111067147215,0.02538942390387381,0.5262798779995645,0.513373041641901,PIM1/BCL2L1/STAT5B/YWHAG/PTPN11/CISH/GRB2/STAT5A,8,17.291666666666668,7.718167063945303,38.73999275137095
PID_INTEGRIN_A9B1_PATHWAY,PID_INTEGRIN_A9B1_PATHWAY,8/376,24/2388,0.3333333333333333,2.117021276595745,2.377111067147215,0.02538942390387381,0.5262798779995645,0.513373041641901,VEGFA/PXN/CSF2RA/ADAM12/BCAR1/SPP1/VEGFD/ADAM8,8,17.291666666666668,7.718167063945303,38.73999275137095
PID_IGF1_PATHWAY,PID_IGF1_PATHWAY,9/376,29/2388,0.3103448275862069,1.971019809244314,2.273889006918331,0.028956052398978027,0.5262798779995645,0.513373041641901,PXN/NCK2/BCAR1/GRB10/PTPN1/PTPN11/PRKCZ/PTK2/GRB2,9,16.09913793103448,7.568257432451962,34.245960108482116
PID_RET_PATHWAY,PID_RET_PATHWAY,11/376,39/2388,0.28205128205128205,1.7913256955810148,2.153536351816736,0.03325629699936088,0.5262798779995645,0.513373041641901,PXN/BCAR1/GRB10/RAP1A/DOK6/JUN/PTPN11/PTK2/GAB1/GRB2/SHANK3,11,14.631410256410257,7.435759109098573,28.790357911061975
PID_PTP1B_PATHWAY,PID_PTP1B_PATHWAY,13/376,49/2388,0.2653061224489796,1.6849761181068172,2.093941300064411,0.035027955642640135,0.5262798779995645,0.513373041641901,STAT3/BCAR1/FGR/ITGB3/PDGFRB/STAT5B/PTPN1/SOCS3/FCGR2A/PRLR/GRB2/CSF1/STAT5A,13,13.762755102040817,7.404065282883753,25.582355201084518
PID_CD40_PATHWAY,PID_CD40_PATHWAY,9/376,30/2388,0.3,1.90531914893617,2.1567339621900063,0.035820096408347324,0.5262798779995645,0.513373041641901,MAP2K4/BCL2L1/JAK3/C4BPA/JUN/NFKBIA/RELA/TRAF6/STAT5A,9,15.562499999999998,7.337454678502946,33.007550555585034
PID_INTEGRIN5_PATHWAY,PID_INTEGRIN5_PATHWAY,6/376,17/2388,0.35294117647058826,2.241551939924906,2.2203923394881815,0.038882149312731915,0.5304636084808425,0.5174541675453797,ITGB8/PLAUR/MADCAM1/ITGA4/TGFBR1/ITGB7,6,18.308823529411764,7.178449493545436,46.69713415585797
PID_EPO_PATHWAY,PID_EPO_PATHWAY,9/376,32/2388,0.28125,1.7862367021276595,1.9352933443227749,0.05271695062557623,0.6293085980928163,0.6138750171530917,BCL2L1/RAP1A/STAT5B/PTPN11/GAB1/SOCS3/GRB2/STAT5A/STAT1,9,14.58984375,6.915703734313244,30.77973678850085
