ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
PID_HIF1_TFPATHWAY,PID_HIF1_TFPATHWAY,25/429,62/2388,0.4032258064516129,2.2445296638845025,4.645515140046162,2.4284445608958712e-5,0.004735466893746949,0.004703513675840424,PGK1/FOS/CXCL12/VEGFA/TFRC/NT5E/HK2/PFKFB3/NDRG1/ENO1/ADM/ABCG2/HMOX1/BNIP3/PFKL/HIF1A/LDHA/ID2/MCL1/RORA/CA9/HK1/LEP/SLC2A1/CP,25,18.333145349274382,11.411299970394781,29.45363098591765
PID_INTEGRIN3_PATHWAY,PID_INTEGRIN3_PATHWAY,16/429,40/2388,0.4,2.2265734265734265,3.6602617085393407,8.16843974766257e-4,0.07964228753971006,0.07910489018789016,VEGFA/L1CAM/ITGB3/PLAUR/CD47/SPP1/COL4A1/PECAM1/THY1/TGFBR2/FN1/PDGFRB/LAMA4/PDGFB/TGFBI/PVR,16,18.186480186480185,10.105331719857203,32.730054860377216
PID_FRA_PATHWAY,PID_FRA_PATHWAY,14/429,34/2388,0.4117647058823529,2.2920608802961744,3.5502329011093563,0.001235501209228816,0.08030757859987304,0.07976569210459725,PLAUR/ITGB4/GJA1/JUNB/HMOX1/CCL2/MMP2/THBD/CXCL8/FOSL1/FOSL2/CCND1/CDKN2A/CCNA2,14,18.721376662553133,9.973701831939424,35.14140988442151
PID_ANTHRAX_PATHWAY,PID_ANTHRAX_PATHWAY,8/429,17/2388,0.47058823529411764,2.6194981489099134,3.1352832136416575,0.0054367656509439755,0.20098804265448614,0.19963184803468528,NLRP1/IL1B/MAP2K3/IL18/TNF/CASP1/ANTXR1/PGR,8,21.395859042917866,9.18366741759146,49.84749157047218
PID_TRAIL_PATHWAY,PID_TRAIL_PATHWAY,11/429,28/2388,0.39285714285714285,2.1868131868131866,2.9555820134965742,0.006307188732314325,0.20098804265448614,0.19963184803468528,TNFRSF10D/TNFSF10/TNFRSF10C/CASP10/MAP3K1/TNFRSF10A/PIK3R3/CASP8/PIK3CD/TRADD/TNFRSF10B,11,17.86172161172161,8.834634925410482,36.11253907244154
PID_AVB3_INTEGRIN_PATHWAY,PID_AVB3_INTEGRIN_PATHWAY,22/429,73/2388,0.3013698630136986,1.6775553213909378,2.7508590001743856,0.0069274824649634414,0.20098804265448614,0.19963184803468528,VEGFA/CSF1R/ITGB3/SPP1/COL9A1/PXN/COL4A1/MFGE8/COL10A1/TGFBR2/COL5A2/BCAR1/CSF1/COL12A1/FN1/IGF1R/COL8A2/VAV3/COL14A1/CASP8/COL3A1/COL8A1,22,13.702142606252194,8.426217409234095,22.281493923515693
PID_IFNG_PATHWAY,PID_IFNG_PATHWAY,14/429,40/2388,0.35,1.948251748251748,2.8297120164078366,0.007214955377340528,0.20098804265448614,0.19963184803468528,STAT3/IL1B/SMAD7/PTPN2/IRF1/PRKCD/IFNGR1/CAMK2G/MAP3K1/CAMK2D/CASP1/STAT1/DAPK1/IRF9,14,15.913170163170163,8.593764785221303,29.466594789455616
PID_NFAT_TFPATHWAY,PID_NFAT_TFPATHWAY,14/429,42/2388,0.3333333333333333,1.8554778554778555,2.617020056175168,0.011605270214960033,0.2828784614896508,0.28096969994113763,FOS/MAF/JUNB/EGR1/CXCL8/FOSL1/CTLA4/BATF3/TNF/PPARG/TBX21/SLC3A2/PTGS2/EGR3,14,15.155400155400153,8.215063288033047,27.959146000115283
PID_P53_DOWNSTREAM_PATHWAY,PID_P53_DOWNSTREAM_PATHWAY,33/429,130/2388,0.25384615384615383,1.4130177514792899,2.265771256067116,0.018691265462568496,0.372822503827708,0.3703068324118665,BCL2A1/CDKN1A/BNIP3L/TNFRSF10D/BTG2/SPP1/VCAN/BCL6/NDRG1/RGCC/BCL2L1/DUSP1/DDIT4/ATF3/GADD45A/PMAIP1/IRF5/TNFRSF10C/MMP2/TAP1/CX3CL1/MCL1/PLK3/CASP10/PRDM1/CASP1/COL18A1/TNFRSF10A/MET/SFN/EPHA2/BID/TNFRSF10B,33,11.541420118343197,7.784202621662449,17.112141708311416
PID_INTEGRIN_A4B1_PATHWAY,PID_INTEGRIN_A4B1_PATHWAY,11/429,32/2388,0.34375,1.9134615384615385,2.433970160728122,0.01911910276039528,0.372822503827708,0.3703068324118665,JAM2/CD14/DOCK1/SPP1/PXN/IGSF8/ITGA4/BCAR1/FN1/ADAM28/GIT1,11,15.62900641025641,7.8258814463210316,31.21256602815853
