ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,36/1379,98/9872,0.3673469387755102,2.6297672078258425,6.53332996476071,1.335259969925785e-8,1.1730755524901398e-5,1.0884677641039115e-5,SOCS3/STAT3/FOS/JAK3/VEGFA/CDKN1A/IL1B/OSM/BATF/IL13RA1/ITGAX/CEBPD/PIM1/BCL6/IL4R/BCL2L1/JUNB/HMOX1/HIF1A/CCL2/MMP2/IL18/CXCL8/MCL1/OPRM1/ZEB1/TNF/CCND1/FN1/RORA/TNFRSF1B/IL12B/PTGS2/ICAM1/STAT1/S1PR1,36,5.195868049903065,3.532465404293773,7.6425503726627015
R-HSA-6783783,Interleukin-10 signaling,21/1379,41/9872,0.5121951219512195,3.6667079361148947,6.894466737700684,1.5798997339934542e-8,1.1730755524901398e-5,1.0884677641039115e-5,STAT3/IL1B/PTAFR/CD86/CCL3/CCL2/IL18/FPR1/CXCL8/TNF/CSF1/IL10RA/TNFRSF1B/IL12B/IL1RN/CCL4/PTGS2/CSF3/ICAM1/CCR1/CCL3L1,21,7.244645289092485,4.269418173800194,12.293217302266115
R-HSA-500792,GPCR ligand binding,82/1379,348/9872,0.23563218390804597,1.6868462070632557,5.256196345074382,6.916612734929132e-7,3.4237233037899203e-4,3.1767880947446435e-4,CX3CR1/CD55/EDNRB/CXCL12/CYSLTR1/P2RY12/P2RY13/C3/DHH/PTAFR/LPAR5/CALCRL/PENK/ADGRE2/FFAR4/CALCR/GRM3/HRH2/P2RY6/CCL3/CCRL2/ADM/P2RY14/FZD5/GNB3/ADRB2/CCL2/LPAR4/ADORA1/ACKR3/CRH/NPFFR1/GNB4/CX3CL1/PTH2R/FPR1/CXCL8/F2R/OPRM1/WNT11/PTGDR/GPR17/PROK2/C3AR1/WNT7A/NTSR2/WNT2B/PDYN/OPRL1/GPR37L1/WNT5A/C5AR1/NLN/TACR1/WNT8B/ADGRE5/ADRB1/CCL4/ADM2/CRHBP/SMO/DRD1/LPAR6/GNG2/ADORA2A/GRM1/TAC1/HTR2C/NPY1R/EDN3/PLPPR5/CNR1/GPR132/S1PR1/GRM4/KEL/FZD2/NMUR2/WNT6/CMKLR1/CCR1/CCL3L1,82,3.3328540588299034,2.6041578162605066,4.265454308529427
R-HSA-1474244,Extracellular matrix organization,70/1379,298/9872,0.2348993288590604,1.6815998364732736,4.814187989158051,5.097031184262103e-6,0.0018922728271573055,0.0017557931105787086,A2M/TLL2/SGCZ/P3H2/NRXN1/P4HA1/JAM2/ITGB3/P4HA2/ADAMTS14/ADAM19/CD47/SPP1/ITGAX/COL9A1/VCAN/CTSS/COL4A1/ITGB4/DMD/ADAM9/ACAN/BMP2/PECAM1/ADAM12/TGFB3/NCAN/PDGFA/LAMA1/LOXL2/MMP2/COL5A3/LOXL3/ITGA4/MADCAM1/COL10A1/PLOD1/FBLN1/EMILIN2/COL5A2/COL4A2/COL12A1/BMP1/FN1/COL18A1/BMP7/ACTG1/SNTA1/SGCD/UTRN/ASPN/COL8A2/ACTA2/NID1/COL14A1/LAMA4/LTBP4/LAMA2/ICAM1/PDGFB/HAPLN1/ACTB/ITGB7/P3H3/KLKB1/COL3A1/COL8A1/TLL1/PLOD2/EFEMP1,70,3.32248833168671,2.546494551963767,4.33495084671652
R-HSA-2022870,Chondroitin sulfate biosynthesis,11/1379,20/9872,0.55,3.937345902828137,5.298342579782355,1.8949844558012905e-5,0.004321303602690987,0.0040096306332961205,CSGALNACT1/CHST9/VCAN/CSPG5/CHSY1/NCAN/CSGALNACT2/CHST3/CHST13/CHST7/CHSY3,11,7.779369108049312,3.719945244852278,16.268675944361963
R-HSA-449147,Signaling by Interleukins,88/1379,412/9872,0.21359223300970873,1.5290663700303442,4.420234840747684,1.932176335365687e-5,0.004321303602690987,0.0040096306332961205,CSF2RA/PTPN14/SOCS3/STAT3/PTPN13/INPP5D/FOS/JAK3/VEGFA/CDKN1A/CSF1R/IL1B/PTAFR/CD86/MEF2C/PTPN2/OSM/BATF/IL13RA1/IL1RAP/BLNK/ITGAX/CEBPD/PIM1/IL27/NFKBIA/NLRC5/BCL6/LIFR/IL4R/CCL3/SYK/BCL2L1/JUNB/HMOX1/CD4/TIFA/HIF1A/CCL2/HNRNPF/TNIP2/IL16/IL21R/DUSP3/MAP2K3/MMP2/IL18/FPR1/CXCL8/CSF3R/MCL1/OPRM1/ZEB1/TNF/LMNB1/PELI2/PTPN5/CCND1/CSF1/FN1/CASP1/IL10RA/RORA/UBC/TNFRSF1B/IL12B/IL1RN/CCL4/STX3/GSDMD/PTGS2/RPS27A/CNTFR/CSF3/ICAM1/STAT1/TXLNA/PIK3R3/IL33/CASP8/PIK3CD/S1PR1/NOD2/MAP3K8/PTPN20/CCR1/CCL3L1/DUSP6,88,3.0211142167181793,2.384677163367391,3.827407437226564
R-HSA-418038,Nucleotide-like (purinergic) receptors,9/1379,14/9872,0.6428571428571429,4.602092613695224,5.4344629560462705,2.0369781292146065e-5,0.004321303602690987,0.0040096306332961205,P2RY12/P2RY13/P2RY6/P2RY14/LPAR4/ADORA1/GPR17/LPAR6/ADORA2A,9,9.092769087330364,3.9286546576770935,21.044977703485955
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,64/1379,278/9872,0.2302158273381295,1.6480715355199524,4.416493898277792,2.5266500700442894e-5,0.0046900941925197125,0.004351822291694704,HS3ST4/GPC5/PGK1/HPSE2/ALDH1A1/CSGALNACT1/GLCE/PYGL/HK2/SLC35D2/AKR1E2/PFKFB3/CHST9/VCAN/CSPG5/B3GAT1/ENO1/ACAN/B3GAT2/CHSY1/PFKL/HS3ST1/HAS1/NCAN/B3GALT5/PCK1/CSGALNACT2/ENO2/PYGM/NUP205/ST3GAL6/PGM2/B4GALT5/GYS1/GPC6/ST3GAL4/NUP188/HPSE/CHST3/PFKFB4/OMD/GPI/UBC/CHST13/OGN/FUT3/HKDC1/RPS27A/TPI1/CHST2/GPC2/CHST7/HK1/XYLB/PFKP/B3GAT3/CHSY3/SLC2A1/GALK1/GBE1/GLB1L3/PFKM/BPGM/B3GALT2,64,3.2562434461422884,2.4679759801564813,4.296282243343518
R-HSA-9660826,Purinergic signaling in leishmaniasis infection,12/1379,25/9872,0.48,3.4362291515591004,4.914375282429781,4.688692974646454e-5,0.0068653608154790454,0.006370198339508823,ENTPD1/C3/IL1B/NT5E/NLRP3/HMOX1/IL18/CASP1/C3AR1/GSDMD/MEFV/TXN,12,6.789267585206671,3.40365698400684,13.542538087746799
R-HSA-9664424,Cell recruitment (pro-inflammatory response),12/1379,25/9872,0.48,3.4362291515591004,4.914375282429781,4.688692974646454e-5,0.0068653608154790454,0.006370198339508823,ENTPD1/C3/IL1B/NT5E/NLRP3/HMOX1/IL18/CASP1/C3AR1/GSDMD/MEFV/TXN,12,6.789267585206671,3.40365698400684,13.542538087746799
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,22/1379,66/9872,0.3333333333333333,2.3862702441382644,4.55308828749906,5.085452455910404e-5,0.0068653608154790454,0.006370198339508823,TLL2/P3H2/P4HA1/P4HA2/ADAMTS14/COL9A1/COL4A1/COL5A3/COL10A1/PLOD1/COL5A2/COL4A2/COL12A1/BMP1/COL18A1/COL8A2/COL14A1/P3H3/COL3A1/COL8A1/TLL1/PLOD2,22,4.714769156393522,2.9011300769132973,7.662203213490731
R-HSA-1474290,Collagen formation,26/1379,85/9872,0.3058823529411765,2.1897538710915843,4.438885495746934,5.8786422369226985e-5,0.007274819768191839,0.0067501251650279055,TLL2/P3H2/P4HA1/P4HA2/ADAMTS14/COL9A1/CTSS/COL4A1/ITGB4/LOXL2/COL5A3/LOXL3/COL10A1/PLOD1/COL5A2/COL4A2/COL12A1/BMP1/COL18A1/COL8A2/COL14A1/P3H3/COL3A1/COL8A1/TLL1/PLOD2,26,4.326494049396408,2.7790679222508503,6.7355499336992875
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),56/1379,247/9872,0.22672064777327935,1.6230502065393864,3.9957959177803204,1.235187572449625e-4,0.013237622680012696,0.012282862369758372,CX3CR1/EDNRB/CXCL12/CYSLTR1/P2RY12/P2RY13/C3/PTAFR/LPAR5/PENK/FFAR4/HRH2/P2RY6/CCL3/CCRL2/P2RY14/ADRB2/CCL2/LPAR4/ADORA1/ACKR3/NPFFR1/CX3CL1/FPR1/CXCL8/F2R/OPRM1/PTGDR/GPR17/PROK2/C3AR1/NTSR2/PDYN/OPRL1/GPR37L1/C5AR1/NLN/TACR1/ADRB1/CCL4/DRD1/LPAR6/ADORA2A/TAC1/HTR2C/NPY1R/EDN3/PLPPR5/CNR1/GPR132/S1PR1/KEL/NMUR2/CMKLR1/CCR1/CCL3L1,56,3.2068065517170514,2.3871206695190965,4.307954931414137
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,19/1379,56/9872,0.3392857142857143,2.4288822127835905,4.320711965971505,1.2479913637722408e-4,0.013237622680012696,0.012282862369758372,TLL2/COL9A1/CTSS/COL4A1/ITGB4/LOXL2/COL5A3/LOXL3/COL10A1/COL5A2/COL4A2/COL12A1/BMP1/COL18A1/COL8A2/COL14A1/COL3A1/COL8A1/TLL1,19,4.798961462757692,2.8438735957505106,8.098120519648385
R-HSA-417957,P2Y receptors,7/1379,11/9872,0.6363636363636364,4.555606829718505,4.7542470087039534,2.0150596542330065e-4,0.019949090576906765,0.01851026727993688,P2RY12/P2RY13/P2RY6/P2RY14/LPAR4/GPR17/LPAR6,7,9.000922934933087,3.483741496081739,23.25563299450492
R-HSA-156902,Peptide chain elongation,25/1379,87/9872,0.28735632183908044,2.0571295208088487,3.990612505425253,2.442685645316132e-4,0.02267117614559035,0.021036023090255374,RPL9/RPL18A/RPL37A/RPS3/RPL30/RPL18/RPL21/RPS16/RPS3A/RPL10/RPS6/RPL15/RPS12/RPS27A/RPL17/EEF1A1/RPS9/RPL13A/RPL13/RPL7A/RPL19/RPL32/RPL8/RPSA/RPS14,25,4.06445616930476,2.5965130293086873,6.362303506945184
R-HSA-5218859,Regulated Necrosis,19/1379,59/9872,0.3220338983050847,2.3053797273878143,4.05223027752363,2.7121531254163737e-4,0.022894150266553445,0.021242915257074932,IL1B/IRF1/CASP4/MLKL/FLOT1/TNFSF10/FLOT2/IL18/GSDME/CASP1/UBC/CHMP4C/TNFRSF10A/GSDMD/RPS27A/CASP8/CASP5/TRADD/TNFRSF10B,19,4.554946473125945,2.708311162489981,7.660691895523372
