ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING,WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING,17/1002,36/7709,0.4722222222222222,3.6330949212685737,6.120342513142731,5.73264427819052e-7,4.328146430033842e-4,3.8740606595771723e-4,SLC2A3/PGK1/VEGFA/BNIP3/BNIP3L/HIF1A/BCL2L1/BCL2A1/PMAIP1/MCL1/ANGPT2/EGLN1/LDHA/TGFB3/SLC2A1/PFKL/HK1,17,9.192309824794854,5.1453467835469215,16.422325543774377
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,35/1002,138/7709,0.2536231884057971,1.9512786022158584,4.358240665508361,5.5999218474108356e-5,0.021139704973975906,0.018921841189672405,SLC2A3/STAT3/SHMT1/IL1B/LRRC8B/GRIN1/IGF1/FOS/CAMK2D/LRRC8D/GLUL/PRKCG/GRIK4/GLS2/BDNF/SLC1A2/TGFB3/IL4R/PLCB1/PPP1CB/SOCS3/ADCY3/SLC2A1/IL10RB/TGFBR1/CAMK4/GRIN2B/GRIK2/IL1A/SLC1A4/GRIA1/CAMK2G/STAT1/GRIK1/SLC1A6,35,4.937046197460152,3.3886496371111527,7.192961139716737
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,20/1002,66/7709,0.30303030303030304,2.3313978104397264,4.1984446973790375,1.7359590384184164e-4,0.035940279243079847,0.032169619064562234,NAV3/SRGN/GADD45B/PMP2/ENC1/CUL1/MFGE8/PTGES3/TSC22D3/SPRY1/RGS2/JUN/PPP1R14C/SERTAD2/ABHD2/ACKR3/SEC14L1/CCL2/ALOX5AP/MGAM,20,5.8988084437186235,3.5624620799142273,9.767385666186208
WP_NUCLEAR_RECEPTORS_METAPATHWAY,WP_NUCLEAR_RECEPTORS_METAPATHWAY,58/1002,283/7709,0.2049469964664311,1.5767828300995184,3.8209260244836942,2.1719756664459464e-4,0.035940279243079847,0.032169619064562234,SLC2A3/NAV3/STAT3/SRGN/AHR/GADD45B/IP6K3/IL1B/PMP2/DNAJB1/KAT2B/FKBP5/HMOX1/ENC1/HSPA1A/SERPINA1/SRPX2/NFE2L2/MAFF/CES5A/SLC6A8/SLC6A6/CUL1/MFGE8/PTGES3/TSC22D3/SPRY1/RGS2/JUN/SLC6A15/SLC39A11/NCOA1/ALDH3A1/PCK1/GCLC/CYP8B1/PPARD/GSTA4/SLC39A14/EGR1/NRG1/SLC2A1/PPP1R14C/ABCC2/JUNB/HES1/CBR3/ALAS1/SMARCA1/SERTAD2/ABHD2/ACKR3/SEC14L1/CCL2/ALOX5AP/SLC7A11/SLC6A16/SLC2A5,58,3.98951214179415,2.986546492722403,5.329301642652292
WP_OREXIN_RECEPTOR_PATHWAY,WP_OREXIN_RECEPTOR_PATHWAY,41/1002,183/7709,0.22404371584699453,1.723705594275929,3.829533986885872,2.6787237991724626e-4,0.035940279243079847,0.032169619064562234,STAT3/PDK1/SGK1/GADD45B/CXXC5/IL1B/VEGFA/CRH/ID4/GRIN1/GNAI1/HIF1A/TRIM9/NFE2L2/CDKN1A/MAFF/SPP1/FOS/TOX/RARA/NPFFR1/RUNX1/PTPN11/PRKCZ/SLC1A2/LDHA/CEBPA/EIF4EBP1/EGR1/SLC2A1/JUNB/OSBPL3/HES1/PPARG/GRIN2B/LAMA2/ARRB1/HCRTR2/KLF10/GRIA1/LPL,41,4.361250177241145,3.090089050581574,6.1553252340433815
WP_GABA_RECEPTOR_SIGNALING,WP_GABA_RECEPTOR_SIGNALING,12/1002,31/7709,0.3870967741935484,2.978172686884296,4.265417581989646,2.856181131900385e-4,0.035940279243079847,0.032169619064562234,GABRB1/GABRG2/GABRD/GABRA2/GABRA3/GABRG1/SLC32A1/GABRA4/GABRG3/GAD2/GABRB3/GABRA1,12,7.535252076492178,3.85819487760477,14.716732994972414
WP_PLEURAL_MESOTHELIOMA,WP_PLEURAL_MESOTHELIOMA,78/1002,416/7709,0.1875,1.442552395209581,3.5867310687938305,3.9591208290902307e-4,0.037716820698676275,0.03375977537615917,PDK1/FGF20/PAK2/CDH19/CTNNA1/EFNA5/IL1B/VEGFA/FGFR3/STK3/WIF1/ITGB4/CXCL12/FZD5/FGF11/EFNA1/ATF3/MAP3K5/DEPTOR/MAP2K4/HIF1A/RASSF2/CD47/RASSF4/IGF1/ITGB3/CDKN1A/NDRG1/FGF14/PDGFRA/CDH18/FGFR2/CUL1/PDGFRB/VEGFD/SETD5/UHRF1/MCL1/BDNF/JUN/MAP2K3/ANGPT2/LAMA1/COL4A2/CDH10/PTK2/PDGFA/EIF4EBP1/PRKAG3/ROR2/ITGA4/WDR5/SLC2A1/CDH6/CDH4/BARD1/TEAD3/GRB2/MKNK2/CDK2/CSF1/CASP1/KDM6A/LAMA2/TEAD4/CDH8/MST1/WNT2B/PAK3/ITGA2/CDH24/WNT6/CCL2/STAT1/PRSS23/FGF12/EIF4G1/RPS6KA3,78,3.6498877245508985,2.8424400066513216,4.6867059183851
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS,WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS,14/1002,41/7709,0.34146341463414637,2.6270872888369605,4.037404745332683,4.1867297570748793e-4,0.037716820698676275,0.03375977537615917,EFNA5/GABRG2/DAB1/GRIN1/KCNMA1/PRKCZ/GRIN2B/GRIK2/KCNQ2/NCDN/CAMK2G/CHL1/MAP4/CADM3,14,6.6469500024341555,3.611541847868363,12.233540741314375
WP_ADIPOGENESIS,WP_ADIPOGENESIS,30/1002,124/7709,0.24193548387096775,1.8613579293026852,3.7372940255871234,4.496044851497834e-4,0.037716820698676275,0.03375977537615917,SPOCK1/STAT3/NAMPT/AHR/GADD45B/LMNA/KLF6/BMP1/HIF1A/IGF1/CDKN1A/KLF15/RARA/STAT5B/BSCL2/CEBPD/BMP2/NCOA1/PCK1/CEBPA/PPARD/SOCS3/RXRG/PRLR/PPARG/RORA/LPL/NR2F1/STAT5A/STAT1,30,4.709532547807611,3.1448800440314484,7.052636828216477
WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,7/1002,13/7709,0.5384615384615384,4.142714570858283,4.383132973984788,5.160942921171316e-4,0.038965119054843435,0.03487710900412616,SLC2A3/SLC16A7/SLC1A2/LDHA/SLC2A1/SLC4A4/HK1,7,10.481728849992322,4.172772399441605,26.329411040837872
