contrast,tf,activity_score,padj,analysis_type
OUD_vs_Control_Pooled,PPARGC1B,-3.773251788846462,0.03865118420282451,Transcription_Factor
OUD_vs_Control_Pooled,REL,3.819425885073989,0.03865118420282451,Transcription_Factor
OUD_vs_Control_Pooled,STAT5A,-4.101638087365113,0.029545565221300106,Transcription_Factor
OUD_vs_Control_Putamen,REL,4.271834671669698,0.013969970283698799,Transcription_Factor
OUD_vs_Control_Caudate,EBF3,-3.7504614919865014,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Caudate,ERG,-3.647195748617203,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Caudate,HMGA1,-3.5300854535985127,0.03319966390035102,Transcription_Factor
OUD_vs_Control_Caudate,MYB,-3.3971587532229113,0.04896230995139806,Transcription_Factor
OUD_vs_Control_Caudate,MYC,3.5881883694162786,0.029940824615552596,Transcription_Factor
OUD_vs_Control_Caudate,REL,3.6453565689871876,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Caudate,SIX1,-3.7108335587990404,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Caudate,SMAD6,-3.706990128101097,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Caudate,STAT5A,-3.7154074145614144,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Caudate,TBX1,-3.800422234788388,0.027442762034022263,Transcription_Factor
OUD_vs_Control_Male,AP1,-3.4191391878603854,0.014117021623070167,Transcription_Factor
OUD_vs_Control_Male,AR,-6.012715941805645,5.806090177135982e-07,Transcription_Factor
OUD_vs_Control_Male,ATF1,-3.719447483619306,0.005695021257364422,Transcription_Factor
OUD_vs_Control_Male,ATF6,-4.983754406445435,5.007430360666119e-05,Transcription_Factor
OUD_vs_Control_Male,CEBPB,-4.010667475040467,0.0022945191495162636,Transcription_Factor
OUD_vs_Control_Male,CREB1,-3.076945785008266,0.03131575349408691,Transcription_Factor
OUD_vs_Control_Male,CUX1,-3.0909291215635295,0.03051417053320752,Transcription_Factor
OUD_vs_Control_Male,DDIT3,-3.7117980571413125,0.005695021257364422,Transcription_Factor
OUD_vs_Control_Male,E2F3,-4.155569352563434,0.0013748769356772108,Transcription_Factor
OUD_vs_Control_Male,E2F4,-3.8061310489367037,0.004416791798308641,Transcription_Factor
OUD_vs_Control_Male,ELK1,-2.9959710407126736,0.03932246587255192,Transcription_Factor
OUD_vs_Control_Male,ESR1,-3.6094915898733033,0.007882118155654658,Transcription_Factor
OUD_vs_Control_Male,ETS1,-4.111884924527928,0.0015702707879060604,Transcription_Factor
OUD_vs_Control_Male,ETS2,-3.3126537929351993,0.0195428713025901,Transcription_Factor
OUD_vs_Control_Male,FOS,-3.191710622312025,0.02411788930078105,Transcription_Factor
OUD_vs_Control_Male,FOXO1,-3.244256560841709,0.02170717916168942,Transcription_Factor
OUD_vs_Control_Male,FOXO3,-3.9058943900795478,0.003378820357697406,Transcription_Factor
OUD_vs_Control_Male,GLIS3,-3.181888426971173,0.02411788930078105,Transcription_Factor
OUD_vs_Control_Male,GTF3A,-3.1515219743630096,0.025945076020191502,Transcription_Factor
OUD_vs_Control_Male,HIF1A,-4.457355676771339,0.0004602246184846425,Transcription_Factor
OUD_vs_Control_Male,HSF1,-5.673835758741801,1.4727861040410433e-06,Transcription_Factor
OUD_vs_Control_Male,JUN,-4.171427246533772,0.0013628134368085414,Transcription_Factor
