"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"MYC",-3.91344319142611,1.15796528838922,2.18492775043137,4.3435121564581,-1.19514332191969,3.02740364917917,3.22916372000379
"SMAD3",-0.088580612721214,1.5051441286517,-1.13181527450087,-0.484783458321087,-1.12425669006855,0.200401405487108,-0.950700657254535
"SMAD4",-0.29428506676988,-0.0981456180862095,0.0228130019020088,0.208376974946945,0.265026312999937,0.058790556299087,0.0672067853558196
"SP1",-0.936310698959796,0.41379765393955,1.48050798487937,1.14877144034281,-0.689967741219047,1.26143267513343,1.89856605293073
"TP53",-2.33572647300547,0.592503068611682,-0.28441833567356,1.30081278327143,-1.97108145031786,0.472494142909752,0.303071414926245
"RUNX1",0.879890563134883,0.372005549320436,-0.61884191999252,-0.999842452978332,0.083288287513589,-0.261916939737061,-0.494484493798226
"STAT1",-6.60013792548861,0.93492193304836,0.713654038817204,3.62375875063711,-5.51467295833214,1.78059772320905,1.86244855379694
"STAT3",-3.8864198055373,0.94272183518906,5.06857040930944,4.39970741404007,-0.896155826380409,5.11568757875133,5.96488041871041
"RELA",-1.31471575570376,0.37115468262233,-0.140243442978977,0.710337878385917,-1.74285267562906,-0.235062808166989,-0.195485571934244
"E2F1",-3.39826837887912,1.2977659591589,-1.47324334764784,1.21954502450131,-3.48865780500294,0.00024549160523634,-0.755946585519301
"E2F3",-0.771138949894755,-1.60771133073759,-0.0502934426326919,0.123831836192991,-0.938638965267986,-1.437548473579,-0.668616447303682
"YY1",-0.0521592854789,-0.371026068798112,0.20242833212579,0.334900345196454,0.21541251598725,-0.123000554353073,0.106243172959985
"STAT4",1.37295775217282,0.0499404911662823,-3.97822095370165,-2.80068106779724,-0.98535469116616,-2.74254299760809,-4.02090712352781
"WT1",-0.534651047858284,0.444293773416413,0.163091009322367,0.71996454549014,0.557079599510979,0.915480283571215,0.849218302981375
"IRF3",-0.874701020791252,0.486450019764275,-1.28557641812527,-0.407407201828848,-1.67860678275891,-0.69753761241905,-1.30875585904232
"HNF1A",2.08725905479528,0.0952945010163993,-0.454160887081142,-1.70780829952765,1.79616751152039,0.615598381722602,0.0736329929738544
"STAT5A",1.55379239494238,-0.625456343268383,-2.04764477931463,-2.40651359481577,-0.514466592484336,-3.14648543276503,-3.61249873242629
"ETS1",-3.73817173904328,2.07907586204951,-2.43144754242449,0.939592569247832,-4.56531760818704,-0.176966891614339,-1.18474736838422
