Gene,Effect_Size
FKBP5,0.1980057879417
CD9,0.188901305988655
CSMD2,0.186856056480048
CLIC4,0.18312092644676
SLAIN1,0.180723647600354
FTH1,0.179643716379761
AC092924.2,0.173761864206931
EVA1C,0.171134648291661
ARL17B,0.170584020885412
AC119673.2,0.170246957701285
STAT3,0.166426097329527
AC006059.1,0.164208012474735
SVEP1,0.163829955020308
TMEM165,0.152069766954123
KCNMB4,0.150560228607612
CLDN11,0.147958080886263
PRIMA1,0.144829216311921
NRXN3,0.144014742844744
ERC2,0.143219929981254
CDH19,0.141589200171592
MTSS1,-0.143449862401893
MTRNR2L8,-0.144316427563282
LINC01505,-0.144345219106862
PBX1,-0.144680345467547
WWOX,-0.145391513041555
NAV3,-0.149858572440818
ESRRG,-0.15089925790122
CDH20,-0.151451975276952
SFMBT2,-0.154032582818287
EPB41L2,-0.154427256815793
LIFR,-0.155810175126955
AL354809.1,-0.157944360643999
SORL1,-0.161278642380382
IGF1R,-0.161417947986043
ABTB2,-0.162198856963593
PWRN1,-0.165982574364909
GDAP1,-0.167760003178359
CALN1,-0.175462707546806
AL033523.1,-0.175615740275025
PREX2,-0.188011152235899
MAGI1,-0.194189851569323
DEPTOR,-0.196695703704055
ZDHHC20,-0.203581017366671
PDE1A,-0.204848266905281
AC012494.1,-0.208880787191931
BCAS3,-0.215048867378258
AC008571.2,-0.217912618646526
SGCD,-0.22897137467224
GRIA4,-0.237608636583435
DPP6,-0.237786961715226
