category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,3/16,144/9397,0.020833333333333332,12.235677083333332,5.611075873586179,0.0017048746586829156,0.14206720682263257,0.1264190011878011,6774/3480/3977,3
NA,NA,hsa03272,Virion - Hepatitis viruses,2/16,48/9397,0.041666666666666664,24.471354166666664,6.73260465294556,0.0029292207592295375,0.14206720682263257,0.1264190011878011,928/5010,2
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/16,80/9397,0.025,14.6828125,5.075621739785062,0.007949803629209742,0.2570436506777817,0.22873119213866622,6774/3480,2
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,2/16,110/9397,0.01818181818181818,10.67840909090909,4.216669108614645,0.014640819092281184,0.26726746876606394,0.23782889244511382,6774/3480,2
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,2/16,133/9397,0.015037593984962405,8.831766917293233,3.7565850736838398,0.020955613950287773,0.26726746876606394,0.23782889244511382,6774/3480,2
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,2/16,158/9397,0.012658227848101266,7.434335443037974,3.3684234775290203,0.028887859506677275,0.26726746876606394,0.23782889244511382,64798/3480,2
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,2/16,159/9397,0.012578616352201259,7.387578616352202,3.3546928954621853,0.02922701664509748,0.26726746876606394,0.23782889244511382,2495/6774,2
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,2/16,159/9397,0.012578616352201259,7.387578616352202,3.3546928954621853,0.02922701664509748,0.26726746876606394,0.23782889244511382,6774/5010,2
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,2/16,160/9397,0.0125,7.34140625,3.3410811429830787,0.02956780310890628,0.26726746876606394,0.23782889244511382,5010/9369,2
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,2/16,168/9397,0.011904761904761904,6.991815476190475,3.236254561963603,0.03235206037690469,0.26726746876606394,0.23782889244511382,6774/3977,2
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,2/16,169/9397,0.011834319526627219,6.950443786982248,3.2236348605740766,0.03270725248498995,0.26726746876606394,0.23782889244511382,64798/3480,2
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,2/16,170/9397,0.011764705882352941,6.909558823529411,3.2111174286015274,0.03306401675456461,0.26726746876606394,0.23782889244511382,9223/5010,2
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,2/16,201/9397,0.009950248756218905,5.843905472636815,2.866824677743445,0.04487320033280013,0.30694064264698423,0.2731322050683962,3480/5087,2
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,2/16,204/9397,0.00980392156862745,5.75796568627451,2.837361599170677,0.04608985048537749,0.30694064264698423,0.2731322050683962,6774/3480,2
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,2/16,212/9397,0.009433962264150943,5.540683962264151,2.761573159416883,0.049394670906684035,0.30694064264698423,0.2731322050683962,9223/3480,2
NA,NA,hsa04081,Hormone signaling,2/16,219/9397,0.0091324200913242,5.363584474885845,2.698350405155491,0.05235685298501106,0.30694064264698423,0.2731322050683962,6774/3480,2
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,1/16,41/9397,0.024390243902439025,14.32469512195122,3.5311082378841903,0.06762321816514827,0.30694064264698423,0.2731322050683962,2893,1
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,1/16,42/9397,0.023809523809523808,13.98363095238095,3.4826179912215904,0.06921770603489563,0.30694064264698423,0.2731322050683962,2495,1
