ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GOMF_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY,GOMF_POTASSIUM_CHANNEL_REGULATOR_ACTIVITY,2/19,48/4768,0.041666666666666664,10.456140350877192,4.164489970881629,0.015217639387815706,0.2612571414466294,0.2527096105031409,DPP6/KCNMB4,2
GOMF_LIGAND_ACTIVATED_TRANSCRIPTION_FACTOR_ACTIVITY,GOMF_LIGAND_ACTIVATED_TRANSCRIPTION_FACTOR_ACTIVITY,2/19,53/4768,0.03773584905660377,9.46971201588878,3.921606572458833,0.01837191428531804,0.2612571414466294,0.2527096105031409,STAT3/ESRRG,2
GOMF_VOLTAGE_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,GOMF_VOLTAGE_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,1/19,11/4768,0.09090909090909091,22.8133971291866,4.580905835938929,0.04301511405498459,0.2612571414466294,0.2527096105031409,KCNMB4,1
GOMF_CALCIUM_ACTIVATED_POTASSIUM_CHANNEL_ACTIVITY,GOMF_CALCIUM_ACTIVATED_POTASSIUM_CHANNEL_ACTIVITY,1/19,13/4768,0.07692307692307693,19.303643724696357,4.1795763294913515,0.05064526113919343,0.2612571414466294,0.2527096105031409,KCNMB4,1
GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING,GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING,1/19,13/4768,0.07692307692307693,19.303643724696357,4.1795763294913515,0.05064526113919343,0.2612571414466294,0.2527096105031409,IGF1R,1
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY,GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY,1/19,15/4768,0.06666666666666667,16.729824561403507,3.8590809877011463,0.05821774989796469,0.2612571414466294,0.2527096105031409,SORL1,1
GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY,GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY,1/19,16/4768,0.0625,15.68421052631579,3.721094242216825,0.06198250116073334,0.2612571414466294,0.2527096105031409,GRIA4,1
GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,1/19,16/4768,0.0625,15.68421052631579,3.721094242216825,0.06198250116073334,0.2612571414466294,0.2527096105031409,GRIA4,1
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY,GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY,1/19,18/4768,0.05555555555555555,13.941520467836256,3.479149115652273,0.06946927344847598,0.2612571414466294,0.2527096105031409,SORL1,1
GOMF_PROTEIN_HORMONE_RECEPTOR_ACTIVITY,GOMF_PROTEIN_HORMONE_RECEPTOR_ACTIVITY,1/19,21/4768,0.047619047619047616,11.949874686716791,3.180588410929384,0.08059336910900705,0.2612571414466294,0.2527096105031409,IGF1R,1
GOMF_INSULIN_RECEPTOR_BINDING,GOMF_INSULIN_RECEPTOR_BINDING,1/19,22/4768,0.045454545454545456,11.4066985645933,3.094273801719621,0.0842733198119624,0.2612571414466294,0.2527096105031409,IGF1R,1
GOMF_NUCLEAR_STEROID_RECEPTOR_ACTIVITY,GOMF_NUCLEAR_STEROID_RECEPTOR_ACTIVITY,1/19,25/4768,0.04,10.037894736842105,2.865556742008323,0.09522963078895053,0.2612571414466294,0.2527096105031409,ESRRG,1
GOMF_GLUTAMATE_RECEPTOR_ACTIVITY,GOMF_GLUTAMATE_RECEPTOR_ACTIVITY,1/19,26/4768,0.038461538461538464,9.651821862348179,2.7977683941037164,0.09885405352034626,0.2612571414466294,0.2527096105031409,GRIA4,1
GOMF_STRUCTURAL_CONSTITUENT_OF_SYNAPSE,GOMF_STRUCTURAL_CONSTITUENT_OF_SYNAPSE,1/19,26/4768,0.038461538461538464,9.651821862348179,2.7977683941037164,0.09885405352034626,0.2612571414466294,0.2527096105031409,ERC2,1
GOMF_MONOATOMIC_ION_GATED_CHANNEL_ACTIVITY,GOMF_MONOATOMIC_ION_GATED_CHANNEL_ACTIVITY,1/19,30/4768,0.03333333333333333,8.364912280701754,2.5593458050571707,0.1132146586775401,0.2792628247379323,0.2701262031604466,KCNMB4,1
GOMF_LIGAND_GATED_CHANNEL_ACTIVITY,GOMF_LIGAND_GATED_CHANNEL_ACTIVITY,2/19,187/4768,0.0106951871657754,2.683929074021953,1.4858081779079475,0.16955488461601545,0.3920956706745357,0.37926750506213985,GRIA4/KCNMB4,2
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,1/19,55/4768,0.01818181818181818,4.56267942583732,1.680767579345673,0.19817345719259727,0.43131870094859404,0.4172072783002048,GRIA4,1
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,1/19,62/4768,0.016129032258064516,4.047538200339559,1.5276270260670526,0.22054309791596793,0.44772982119935695,0.43308147712028844,IGF1R,1
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,1/19,70/4768,0.014285714285714285,3.5849624060150376,1.3779867346942805,0.24538424806599268,0.44772982119935695,0.43308147712028844,GRIA4,1
GOMF_CARGO_RECEPTOR_ACTIVITY,GOMF_CARGO_RECEPTOR_ACTIVITY,1/19,73/4768,0.0136986301369863,3.4376351838500354,1.3274269575475914,0.254504822893694,0.44772982119935695,0.43308147712028844,SORL1,1
GOMF_EXTRACELLULAR_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY,GOMF_EXTRACELLULAR_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY,1/19,73/4768,0.0136986301369863,3.4376351838500354,1.3274269575475914,0.254504822893694,0.44772982119935695,0.43308147712028844,GRIA4,1
GOMF_CHLORIDE_CHANNEL_ACTIVITY,GOMF_CHLORIDE_CHANNEL_ACTIVITY,1/19,81/4768,0.012345679012345678,3.098115659519168,1.2045442241889945,0.27831853750230295,0.44772982119935695,0.43308147712028844,CLIC4,1
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY,1/19,81/4768,0.012345679012345678,3.098115659519168,1.2045442241889945,0.27831853750230295,0.44772982119935695,0.43308147712028844,IGF1R,1
GOMF_CYTOKINE_RECEPTOR_ACTIVITY,GOMF_CYTOKINE_RECEPTOR_ACTIVITY,1/19,97/4768,0.010309278350515464,2.5870862723819856,0.998802821098965,0.3238010476869341,0.46470803099374075,0.4495042120565345,LIFR,1
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,1/19,97/4768,0.010309278350515464,2.5870862723819856,0.998802821098965,0.3238010476869341,0.46470803099374075,0.4495042120565345,GRIA4,1
GOMF_MONOATOMIC_ANION_CHANNEL_ACTIVITY,GOMF_MONOATOMIC_ANION_CHANNEL_ACTIVITY,1/19,98/4768,0.01020408163265306,2.5606874328678835,0.9873447529269237,0.32655158934695294,0.46470803099374075,0.4495042120565345,CLIC4,1
GOMF_GATED_CHANNEL_ACTIVITY,GOMF_GATED_CHANNEL_ACTIVITY,2/19,321/4768,0.006230529595015576,1.5635350057386457,0.6612080645795413,0.3693336697797067,0.4979683800647799,0.4816763846999294,GRIA4/KCNMB4,2
GOMF_SIGNALING_ADAPTOR_ACTIVITY,GOMF_SIGNALING_ADAPTOR_ACTIVITY,1/19,117/4768,0.008547008547008548,2.14484930274404,0.7929875643235423,0.37684093626523885,0.4979683800647799,0.4816763846999294,STAT3,1
GOMF_POTASSIUM_CHANNEL_ACTIVITY,GOMF_POTASSIUM_CHANNEL_ACTIVITY,1/19,125/4768,0.008,2.007578947368421,0.7219930898296979,0.39693257614969524,0.506431217846163,0.48986234443156595,KCNMB4,1
GOMF_NUCLEAR_RECEPTOR_BINDING,GOMF_NUCLEAR_RECEPTOR_BINDING,1/19,136/4768,0.007352941176470588,1.8452012383900926,0.6324753370892204,0.4235584757704467,0.5083596871899243,0.49172772018371064,BCAS3,1
GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,1/19,137/4768,0.0072992700729927005,1.8317326162120628,0.6247480615873453,0.42592298115912575,0.5083596871899243,0.49172772018371064,KCNMB4,1
GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1/19,144/4768,0.006944444444444444,1.742690058479532,0.5723718092951688,0.44221906709731995,0.5113157963312762,0.49458711451673953,TMEM165,1
GOMF_IMMUNE_RECEPTOR_ACTIVITY,GOMF_IMMUNE_RECEPTOR_ACTIVITY,1/19,152/4768,0.006578947368421052,1.6509695290858726,0.5158789959630616,0.46030639121154104,0.5161011052977884,0.49921586287695047,LIFR,1
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1/19,161/4768,0.006211180124223602,1.5586793069630598,0.4561048698807335,0.479990124814171,0.5223421946507155,0.5052527629622854,KCNMB4,1
GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY,GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY,1/19,174/4768,0.005747126436781609,1.442226255293406,0.375856394834416,0.5072250230848654,0.5362093101182863,0.5186661890191105,KCNMB4,1
GOMF_CYTOKINE_RECEPTOR_BINDING,GOMF_CYTOKINE_RECEPTOR_BINDING,1/19,273/4768,0.003663003663003663,0.9192211297474454,-0.08693857993736916,0.6745179526714165,0.6932545624678447,0.6705734032405897,LIFR,1
GOMF_MONOATOMIC_CATION_CHANNEL_ACTIVITY,GOMF_MONOATOMIC_CATION_CHANNEL_ACTIVITY,1/19,336/4768,0.002976190476190476,0.7468671679197995,-0.30438029427655067,0.7512159147825848,0.7512159147825848,0.726638438196526,KCNMB4,1
