"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","structural constituent of ribosome",60,0.801478733609354,3.0695485403522,1e-10,4.41413045561942e-08,4.16100278612986e-08,567,"tags=87%, list=16%, signal=74%","6144/6168/6233/6206/6133/6137/6222/23521/6189/6143/6232/6139/6194/6176/6228/6161/6130/6147/6208/6152/6154/6217/6142/6129/6203/6141/6202/6191/6223/6171/9045/6207/6122/6158/6230/6159/6224/6165/2197/6205/6164/9349/6132/11224/6231/6193/7311/6128/6209/6227/6181/6136"
"GO:0005198","structural molecule activity",172,0.485200622532932,2.15920264102839,1.64706360284307e-10,4.41413045561942e-08,4.16100278612986e-08,494,"tags=41%, list=14%, signal=37%","5010/51090/26059/4147/6695/3908/9053/6144/825/7846/6168/6233/4118/5354/6206/26052/6133/6137/6222/23521/6189/4052/288/567/6143/6232/1756/6139/6194/6176/10085/6228/1410/6161/6130/6147/10382/6208/6152/6154/6217/6142/6129/6203/6141/6202/6191/1287/25890/6223/26249/6171/9045/6207/6122/6158/6230/6159/6224/6165/2197/6205/6164/9349/6132/11224/6231/6193/2335/7311/6128"
"GO:0003723","RNA binding",203,0.408413403161568,1.84736927382469,9.61793773807148e-08,1.71840487586877e-05,1.61986319799099e-05,509,"tags=34%, list=15%, signal=31%","6774/283131/400506/105/6144/6168/6233/6470/1267/6206/6133/6137/6222/23521/6189/7178/580/6143/8871/6232/6139/6194/25939/6228/6161/6130/6147/6208/6152/6154/6217/6142/6129/6203/6141/6202/6191/7538/64506/6223/6171/9045/3428/9021/376940/6207/6122/7145/6158/6230/6159/6224/7978/6165/2197/6205/8531/6164/65244/29080/10656/9349/6132/11224/6231/26010/6193/6128/64778/6209"
"GO:0009055","electron transfer activity",28,-0.775335193222016,-2.24541008896852,2.17101130978937e-07,2.90915515511775e-05,2.74233007552341e-05,242,"tags=36%, list=7%, signal=33%","4535/4539/4536/4512/4540/4519/4537/4538/4514/4513"
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity",16,-0.851091514328507,-2.16565071812942,7.27864187979101e-07,7.80270409513596e-05,7.35525916273618e-05,242,"tags=62%, list=7%, signal=58%","4535/4539/4536/4512/4540/4519/4537/4538/4514/4513"
"GO:0015078","proton transmembrane transporter activity",29,-0.733225358845936,-2.12825911571846,2.13826672391963e-06,0.000191018494003487,0.000180064566224811,242,"tags=38%, list=7%, signal=36%","4535/4539/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"GO:0022853","active monoatomic ion transmembrane transporter activity",26,-0.738142328603025,-2.09346153129758,5.34143211736763e-06,0.00040900108784415,0.00038554697990022,269,"tags=42%, list=8%, signal=39%","477/4535/4539/4536/4512/4540/4519/4537/4538/4514/4513"
"GO:0003954","NADH dehydrogenase activity",11,-0.880415620777273,-2.02474730822401,6.40133147104707e-06,0.000428889208560154,0.000404294619224026,242,"tags=55%, list=7%, signal=51%","4535/4539/4536/4540/4537/4538"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",10,-0.884709103853216,-1.97234514201947,1.18992676614091e-05,0.000637800746651527,0.000601226155523828,242,"tags=60%, list=7%, signal=56%","4535/4539/4536/4540/4537/4538"
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",10,-0.884709103853216,-1.97234514201947,1.18992676614091e-05,0.000637800746651527,0.000601226155523828,242,"tags=60%, list=7%, signal=56%","4535/4539/4536/4540/4537/4538"
