"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",61,0.807146388916488,3.06048781618933,1e-10,1.23e-08,1.13157894736842e-08,567,"tags=85%, list=16%, signal=73%","6144/6168/6233/6206/6133/6137/6222/23521/6189/6143/6232/6139/6194/6176/6228/6161/6130/6147/6208/6152/6154/6217/6142/6129/6203/6141/6202/6191/6223/6171/9045/6207/6122/6158/6230/6159/6224/6165/2197/6205/6164/9349/6132/11224/6231/6193/7311/6128/6209/6227/6181/6136"
"hsa05171","Coronavirus disease - COVID-19",95,0.61882668560763,2.58040695505813,1e-10,1.23e-08,1.13157894736842e-08,575,"tags=62%, list=17%, signal=53%","6774/6144/6168/6233/6206/6133/6137/6222/23521/6189/3455/6143/6232/6139/6194/6176/6228/6161/6130/6147/6208/6152/6154/6217/6142/6129/6203/6141/6202/6191/2353/6223/6171/9045/6207/6122/6158/6230/6159/6224/6165/2197/6205/6164/9349/6132/11224/6231/6193/7311/6128/6209/7097/7450/6227/6181/3570/6136/3553"
"hsa05415","Diabetic cardiomyopathy",56,-0.67440165862013,-2.22923555462752,7.03717825698579e-09,5.77048617072835e-07,5.30874850965595e-07,272,"tags=30%, list=8%, signal=28%","9882/5290/4535/4539/5602/5599/23236/5578/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"hsa00190","Oxidative phosphorylation",27,-0.793845353467517,-2.30896322426327,3.28103093160124e-08,2.01783402293476e-06,1.85637276393228e-06,242,"tags=41%, list=7%, signal=38%","4535/4539/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",56,-0.648123818794957,-2.14237412110594,6.76511918182165e-08,3.32843863745625e-06,3.06210657703506e-06,282,"tags=30%, list=8%, signal=28%","5587/2309/5290/4535/4539/5602/4217/5599/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"hsa05016","Huntington disease",61,-0.625108354320755,-2.09007981958998,3.62265984338898e-07,1.48529053578948e-05,1.36644187075198e-05,242,"tags=31%, list=7%, signal=29%","4535/6506/7979/4539/5602/4217/5599/23236/6507/4536/4512/4540/4519/4508/2893/4537/4538/4514/4513"
"hsa05014","Amyotrophic lateral sclerosis",68,-0.606141859744139,-2.06636288550677,5.64901597034844e-07,1.98522561243674e-05,1.82637358439837e-05,242,"tags=35%, list=7%, signal=33%","2903/56171/1768/2890/5534/4509/2066/4535/6506/7979/4539/4217/10718/5530/4536/4512/4540/5071/4519/4508/4537/4538/4514/4513"
"hsa05010","Alzheimer disease",79,-0.56087328182945,-1.95351874209035,2.06315436476592e-06,6.34419967165521e-05,5.83655511085096e-05,291,"tags=24%, list=8%, signal=23%","6263/5290/4535/7979/4539/5602/4217/5599/23236/5530/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"hsa05022","Pathways of neurodegeneration - multiple diseases",102,-0.538025471767582,-1.93940566284864,3.71548833392019e-06,0.000101556681127152,9.34304083968235e-05,654,"tags=34%, list=19%, signal=29%","775/2915/6262/120892/2903/56171/1768/776/2890/5534/4509/3708/3092/6261/6263/4535/7979/4539/5602/4217/5599/23236/5530/5578/4536/4512/4540/5071/4519/4508/2893/4537/4538/4514/4513"
"hsa05020","Prion disease",66,-0.58101631312939,-1.96840746169521,1.0426415439678e-05,0.00025648981981608,0.000235966244161135,527,"tags=39%, list=15%, signal=34%","775/6262/2903/776/5534/4509/3708/6261/6263/3303/5290/4535/7979/4539/5602/5599/5530/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"hsa05012","Parkinson disease",63,-0.578197834068868,-1.94240431250563,1.75223851377194e-05,0.000391864249443542,0.000360508402354992,291,"tags=27%, list=8%, signal=25%","6263/4535/7979/4539/5602/4217/5599/4536/4512/4540/5071/4519/4508/4537/4538/4514/4513"
"hsa04714","Thermogenesis",56,-0.585143593315806,-1.93419290434581,1.93234281107744e-05,0.000396130276270875,0.000364433074018991,356,"tags=27%, list=10%, signal=24%","108/5592/11343/4535/4539/4217/4536/4512/4540/4519/4508/4537/4538/4514/4513"
"hsa04310","Wnt signaling pathway",50,-0.586489417126306,-1.91809131662015,6.56333121754733e-05,0.0012419842150128,0.00114260422005885,817,"tags=50%, list=24%, signal=39%","1488/818/5332/5579/147495/166336/4775/4088/27130/4163/85407/5534/9475/896/8549/55366/6934/23500/5602/5599/23236/7091/5530/5578/4919"
"hsa04723","Retrograde endocannabinoid signaling",56,-0.542706074894166,-1.79391563232776,0.000211722323557903,0.00372026368537458,0.00342257891465783,527,"tags=34%, list=15%, signal=29%","776/2890/3708/108/11343/22999/4535/4539/5602/5599/23236/773/5578/4536/2560/4540/2893/4537/4538"
"hsa04260","Cardiac muscle contraction",25,-0.660961077178294,-1.88737895821724,0.00027279618449185,0.00447385742566634,0.00411587225724546,346,"tags=48%, list=10%, signal=44%","775/6262/776/783/477/785/6546/6547/4512/4519/4514/4513"
"hsa04932","Non-alcoholic fatty liver disease",39,-0.58329631948859,-1.82525684927721,0.0010136482358417,0.0155848416260661,0.0143377875464451,104,"tags=21%, list=3%, signal=20%","5290/5602/4217/5599/4512/4519/4514/4513"
"hsa04919","Thyroid hormone signaling pathway",30,-0.591130567680773,-1.75116640055554,0.00126294007266758,0.018275485757425,0.0168131340943362,773,"tags=47%, list=22%, signal=37%","5332/1827/5579/51196/53919/10499/8202/9882/477/5290/7068/116931/23236/5578"
"hsa05017","Spinocerebellar ataxia",32,-0.595400623327573,-1.8006731757149,0.00153555858765038,0.0209859673645551,0.0193067307803995,591,"tags=50%, list=17%, signal=42%","2903/2890/3708/5649/6261/2259/6095/5290/7979/1600/5602/4217/5599/23236/773/5578"
"hsa04382","Cornified envelope formation",16,0.68890568339187,1.95691289147156,0.00174692127733158,0.0226180333801879,0.0208082035804039,389,"tags=44%, list=11%, signal=39%","5010/5523/23254/5046/1287/5521/3691"
