"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","5/20","138/9432",0.036231884057971,17.0869565217391,8.77536133770848,8.10132451240119e-06,0.000712916557091304,0.000588411990900718,"4508/4537/4538/4514/4513",5
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","6/20","311/9432",0.0192926045016077,9.0983922829582,6.6943850347458,3.21003972069637e-05,0.0014124174771064,0.00116575126698973,"4508/2893/4537/4538/4514/4513",6
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","5/20","205/9432",0.024390243902439,11.5024390243902,7.00792991682613,5.48863830349421e-05,0.00161000056902497,0.00132882822084597,"4508/4537/4538/4514/4513",5
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","5/20","227/9432",0.0220264317180617,10.3876651982379,6.59950763604014,8.91438485091262e-05,0.0018484611512641,0.00152564377317252,"4508/4537/4538/4514/4513",5
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","5/20","235/9432",0.0212765957446809,10.0340425531915,6.46466285956672,0.000105026201776369,0.0018484611512641,0.00152564377317252,"4508/4537/4538/4514/4513",5
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","5/20","271/9432",0.018450184501845,8.70110701107011,5.92951637927226,0.000205248670612585,0.00290643821257565,0.00239885450559474,"4508/4537/4538/4514/4513",5
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","5/20","278/9432",0.0179856115107914,8.48201438848921,5.83698253657963,0.000231193948727609,0.00290643821257565,0.00239885450559474,"4508/4537/4538/4514/4513",5
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","6/20","483/9432",0.0124223602484472,5.8583850931677,5.05278894255519,0.000366070922599216,0.00402678014859138,0.00332353863938762,"4508/2893/4537/4538/4514/4513",6
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","5/20","371/9432",0.0134770889487871,6.35579514824798,4.8514968988211,0.000871191845243175,0.00851832026459993,0.00703067103178702,"4508/4537/4538/4514/4513",5
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","5/20","391/9432",0.0127877237851662,6.0306905370844,4.68339359436472,0.0011040481007648,0.00971562328673024,0.00801887567923907,"4508/4537/4538/4514/4513",5
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","3/20","149/9432",0.0201342281879195,9.49530201342282,4.81815417654508,0.00361616835033349,0.0289293468026679,0.0238770924567474,"2893/4537/4538",3
NA,NA,"hsa03272","Virion - Hepatitis viruses","2/20","48/9432",0.0416666666666667,19.65,5.97115529541468,0.00454505649149028,0.0333304142709287,0.0275095524484938,"928/5010",2
