"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"FOXJ2_02","FOXJ2_02","5/41","243/27862",0.0205761316872428,13.9827361236575,7.80313826332788,2.80861383188523e-05,0.00552340669822604,0.00479271420471961,"53353/5087/3977/28316/2104",5
"NKX25_02","NKX25_02","5/41","267/27862",0.0187265917602996,12.7258609664748,7.39075970439267,4.39962132612771e-05,0.00552340669822604,0.00479271420471961,"53353/6134/4036/54443/2104",5
"GATA_C","GATA_C","5/41","268/27862",0.0186567164179104,12.6783764106298,7.37473546291311,4.47843786342652e-05,0.00552340669822604,0.00479271420471961,"2495/9369/3977/79953/2104",5
"GATA_Q6","GATA_Q6","4/41","201/27862",0.0199004975124378,13.5236015046718,6.84064795904422,0.000215999447753224,0.0162110200074411,0.0140664611728863,"2495/9369/79953/2104",4
"YNGTTNNNATT_UNKNOWN","YNGTTNNNATT_UNKNOWN","5/41","376/27862",0.0132978723404255,9.03671510119356,6.02310778106332,0.000219067837938393,0.0162110200074411,0.0140664611728863,"9369/5087/9223/2104/5136",5
"E4BP4_01","E4BP4_01","4/41","223/27862",0.0179372197309417,12.1894345400853,6.44025878783136,0.000320669411866008,0.0197746137317371,0.0171586264244092,"53353/79683/80243/2104",4
"PAX4_01","PAX4_01","4/41","268/27862",0.0149253731343284,10.1427011285038,5.77349109742874,0.000640712925059237,0.033866254610274,0.0293860815252733,"23500/4036/5087/9223",4
"IK1_01","IK1_01","4/41","282/27862",0.0141843971631206,9.63916277460647,5.5976145585726,0.000774769826774034,0.0358331044882991,0.0310927364692211,"4036/3977/80243/6444",4
"TGATTTRY_GFI1_01","TGATTTRY_GFI1_01","4/41","296/27862",0.0135135135135135,9.18325642715887,5.43361734104719,0.000927578195214232,0.0381337702476962,0.0330890467298644,"9369/4036/64798/2104",4
"PSMB5_TARGET_GENES","PSMB5_TARGET_GENES","4/41","310/27862",0.0129032258064516,8.76852871754524,5.28015860351403,0.00110052435172827,0.0407194010139461,0.0353326239239077,"2495/6134/2512/54443",4
