"gene","effect_size","pval","adj_pval","significant"
"DPP6",-0.237786961715226,9.11877422713705e-09,1.8707921825133e-05,TRUE
"GRIA4",-0.237608636583435,9.3539609125665e-09,1.8707921825133e-05,TRUE
"SGCD",-0.22897137467224,3.14229511047154e-08,4.18972681396205e-05,TRUE
"AC008571.2",-0.217912618646526,1.39373606788488e-07,0.000139373606788488,TRUE
"BCAS3",-0.215048867378258,2.0267559822642e-07,0.000162140478581136,TRUE
"AC012494.1",-0.208880787191931,4.46905632869401e-07,0.0002979370885796,TRUE
"PDE1A",-0.204848266905281,7.40766413724136e-07,0.000423295093556649,TRUE
"ZDHHC20",-0.203581017366671,8.66615292787985e-07,0.000433307646393992,TRUE
"FKBP5",0.1980057879417,1.70983956049548e-06,0.000759928693553545,TRUE
"DEPTOR",-0.196695703704055,2.00079002392071e-06,0.000800316009568285,TRUE
"MAGI1",-0.194189851569323,2.69506573993854e-06,0.000980023905432196,TRUE
"CD9",0.188901305988655,4.99529496521579e-06,0.0016650983217386,TRUE
"PREX2",-0.188011152235899,5.53346865106686e-06,0.0017026057387898,TRUE
"CSMD2",0.186856056480048,6.31497297829522e-06,0.00180427799379863,TRUE
"CLIC4",0.18312092644676,9.63098216934456e-06,0.00256826191182522,TRUE
"SLAIN1",0.180723647600354,1.25754991666945e-05,0.00314387479167363,TRUE
"FTH1",0.179643716379761,1.41663768586011e-05,0.00333326514320025,TRUE
"AL033523.1",-0.175615740275025,2.19642303155363e-05,0.00470089547269951,TRUE
"CALN1",-0.175462707546806,2.23292534953227e-05,0.00470089547269951,TRUE
"AC092924.2",0.173761864206931,2.67947454345254e-05,0.00535894908690508,TRUE
"EVA1C",0.171134648291661,3.5397207566714e-05,0.00674232525080266,TRUE
"ARL17B",0.170584020885412,3.75059245376497e-05,0.00675739780629232,TRUE
"AC119673.2",0.170246957701285,3.88550373861808e-05,0.00675739780629232,TRUE
"GDAP1",-0.167760003178359,5.03309299702971e-05,0.00838848832838286,TRUE
"STAT3",0.166426097329527,5.7742879542804e-05,0.00923886072684865,TRUE
"PWRN1",-0.165982574364909,6.04284085946786e-05,0.00929667824533517,TRUE
"AC006059.1",0.164208012474735,7.24030896995368e-05,0.0107263836591906,TRUE
"SVEP1",0.163829955020308,7.52291232725418e-05,0.0107470176103631,TRUE
"ABTB2",-0.162198856963593,8.86613288335955e-05,0.0122291488046339,TRUE
"SORL1",-0.161278642380382,9.72082796718595e-05,0.012543003828627,TRUE
"IGF1R",-0.161417947986043,9.58662460785223e-05,0.012543003828627,TRUE
"AL354809.1",-0.157944360643999,0.000135149692986327,0.0168937116232909,TRUE
"LIFR",-0.155810175126955,0.000166345490501526,0.0201630897577607,TRUE
"EPB41L2",-0.154427256815793,0.000190051479316101,0.0223589975666001,TRUE
"SFMBT2",-0.154032582818287,0.000197378450094423,0.0225575371536483,TRUE
"TMEM165",0.152069766954123,0.000237928623292445,0.0264365136991606,TRUE
"CDH20",-0.151451975276952,0.000252229572261531,0.0272680618661115,TRUE
"ESRRG",-0.15089925790122,0.000265703643467329,0.0279688045755084,TRUE
"KCNMB4",0.150560228607612,0.00027429928820262,0.0281332603284739,TRUE
"NAV3",-0.149858572440818,0.000292923239836068,0.0292923239836068,TRUE
"CLDN11",0.147958080886263,0.000349489610930107,0.0340965474078153,TRUE
"WWOX",-0.145391513041555,0.000442197078245328,0.042114007451936,TRUE
"LINC01505",-0.144345219106862,0.000486204675516907,0.042388827677382,TRUE
"PBX1",-0.144680345467547,0.000471683072423708,0.042388827677382,TRUE
"MTRNR2L8",-0.144316427563282,0.000487471518289893,0.042388827677382,TRUE
"PRIMA1",0.144829216311921,0.000465362916792796,0.042388827677382,TRUE
"NRXN3",0.144014742844744,0.000500932196420773,0.0426325273549594,TRUE
"MTSS1",-0.143449862401893,0.000527072795693896,0.0439227329744913,TRUE
"ERC2",0.143219929981254,0.000538072858151914,0.0439243149511766,TRUE
"CDH19",0.141589200171592,0.00062244253662983,0.0497954029303864,TRUE
"PALM2-AKAP2",0.139407972534542,0.000754605042630459,0.0591847092259184,FALSE
"SLC4A5",0.137679106323133,0.000877389517707683,0.0674915013621294,FALSE
"ROR1",-0.137107157018283,0.000921925114572323,0.0695792539299867,FALSE
"BCL6",0.136205665028929,0.000996392358370111,0.073806841360749,FALSE
"ZDHHC14",-0.135420893472401,0.00106571220977475,0.0775063425290726,FALSE
"AL078590.2",0.134863226122868,0.00111765452058971,0.0798324657564081,FALSE
"FMN1",0.134110672985403,0.00119146337810429,0.0821698881451233,FALSE
"FOXP1",-0.134188838423763,0.00118359262107305,0.0821698881451233,FALSE
"AC092691.1",-0.133657012373871,0.00123810688539825,0.0839394498575084,FALSE
