Gene	Mock_1	Mock_2	Mock_3	Morphine_1	Morphine_2	Morphine_3
0610005C13Rik	22	23	24	24	20	21
0610007N19Rik	17	7	20	10	6	17
0610007P14Rik	1568	964	1349	896	924	1227
0610008F07Rik	2	1	1	1	0	1
0610009B14Rik	0	0	0	0	2	2
0610009B22Rik	205	120	188	187	164	192
0610009D07Rik	224	139	254	175	208	224
0610009E02Rik	7	5	8	5	4	3
0610009L18Rik	15	19	9	18	29	21
0610009O20Rik	305	234	284	265	258	334
0610010F05Rik	402	262	308	338	287	429
0610010K14Rik	19	10	16	27	24	39
0610011F06Rik	172	108	163	113	135	203
0610012D04Rik	9	2	2	0	1	6
0610012H03Rik	3	9	5	0	2	12
0610025J13Rik	1	5	2	1	1	1
0610030E20Rik	644	404	526	584	526	651
0610031J06Rik	408	309	336	332	361	439
0610037L13Rik	1528	1043	1312	1095	1068	1304
0610038L08Rik	40	52	38	36	24	58
0610038P03Rik	7	11	23	11	11	7
0610039K10Rik	1	13	4	4	12	22
0610040B09Rik	0	0	1	1	3	0
0610040B10Rik	55	32	59	65	78	82
0610040F04Rik	3	10	7	1	0	4
0610040J01Rik	25	19	16	24	9	26
0610043K17Rik	11	10	20	11	11	16
1010001B22Rik	2	3	9	7	12	6
1010001N08Rik	4	8	9	10	5	17
1100001G20Rik	0	4	2	0	0	0
1110001A16Rik	21	11	34	22	21	31
1110001J03Rik	239	158	253	189	215	280
1110002E22Rik	24	37	31	29	17	33
1110002J07Rik	1	12	14	0	2	4
1110002L01Rik	59	62	63	88	78	80
1110004E09Rik	51	41	57	69	78	67
1110004F10Rik	882	551	844	895	849	954
1110006G14Rik	1	2	3	3	1	1
1110007C09Rik	381	218	298	289	284	364
1110008E08Rik	2	3	1	0	0	2
1110008F13Rik	113	55	66	90	69	100
1110008J03Rik	82	63	80	49	49	70
1110008L16Rik	195	129	171	167	174	213
1110008P14Rik	76	48	60	61	54	74
1110012L19Rik	57	27	33	35	48	32
1110017D15Rik	15	15	10	15	7	15
1110018N20Rik	2	3	2	0	0	1
1110019D14Rik	26	21	17	24	11	32
1110020A21Rik	8	8	5	4	7	11
1110025L11Rik	3	6	3	0	1	7
1110028F11Rik	30	26	37	23	16	26
1110032A03Rik	488	317	469	460	494	522
1110032F04Rik	0	3	4	3	2	5
1110034G24Rik	140	69	101	67	110	127
1110035M17Rik	3	1	4	1	1	4
1110036E04Rik	2	0	1	1	1	0
1110037F02Rik	842	629	713	680	762	998
1110038B12Rik	97	60	109	87	107	119
1110038F14Rik	246	174	247	200	206	232
1110046J04Rik	59	46	69	48	40	58
1110051M20Rik	869	538	841	832	860	1092
1110054M08Rik	6	18	4	18	19	31
1110057K04Rik	791	512	651	681	718	838
1110057P08Rik	7	4	1	1	2	0
1110058L19Rik	33	26	38	40	39	45
1110059E24Rik	301	178	279	223	240	265
1110059G10Rik	147	98	112	123	129	152
1110059M19Rik	23	15	21	5	15	13
1110065P20Rik	22	11	15	24	14	25
1190002N15Rik	645	376	570	594	540	607
1190003K10Rik	5	5	1	2	0	1
1190005I06Rik	56	42	40	24	20	30
1190007I07Rik	31	14	37	26	20	46
1200007C13Rik	1	2	3	2	1	0
1200014J11Rik	400	268	377	368	354	454
1300002E11Rik	436	290	419	364	358	443
1300002K09Rik	22	36	24	21	19	26
1300015D01Rik	13	29	25	6	12	21
1300017J02Rik	31	25	23	12	16	32
1500002C15Rik	33	38	20	27	25	42
1500002O10Rik	4	6	1	7	5	0
1500009C09Rik	31	19	24	23	15	30
1500009L16Rik	5	6	2	1	5	7
1500011B03Rik	538	358	499	440	434	557
1500011K16Rik	274	185	274	236	264	323
1500012F01Rik	174	91	163	290	351	364
1500012K07Rik	14	21	18	11	5	10
1500015L24Rik	81	67	55	85	85	110
1500015O10Rik	63	29	28	24	53	41
1500016L03Rik	3	4	0	1	4	11
1500017E21Rik	11	4	5	5	6	6
1500026H17Rik	20	7	13	9	14	10
1500035N22Rik	0	3	0	1	2	2
1520401A03Rik	9	8	5	7	6	7
1600002D24Rik	3	7	11	2	3	0
1600002H07Rik	32	18	27	30	40	42
1600002K03Rik	5	6	22	12	11	22
1600010F14Rik	1	1	2	0	0	0
1600012H06Rik	324	178	265	246	289	358
1600012P17Rik	3	16	11	6	8	20
1600014C10Rik	85	64	86	114	135	142
1600014C23Rik	0	0	3	0	0	2
1600014K23Rik	0	0	0	0	1	0
1600015I10Rik	6	12	1	3	2	8
1600016N20Rik	5	4	4	5	1	0
1600020E01Rik	126	85	89	80	107	160
1600025M17Rik	1	4	3	3	4	12
1600029D21Rik	8	12	21	3	13	10
1600029I14Rik	3	7	9	5	4	6
1700001C02Rik	4	3	1	9	7	6
1700001C19Rik	0	1	0	3	6	0
1700001F09Rik	0	1	0	0	0	0
1700001G01Rik	8	8	10	7	5	14
1700001G11Rik	14	10	24	7	7	18
1700001G17Rik	4	12	9	7	6	3
1700001J03Rik	2	4	1	7	3	7
1700001J04Rik	0	6	7	3	3	10
1700001K19Rik	6	9	9	12	10	13
1700001L05Rik	2	6	4	10	3	2
1700001L19Rik	7	4	6	2	2	3
1700001O22Rik	7	4	2	2	3	10
1700001P01Rik	8	12	14	10	9	6
1700003D09Rik	5	8	7	10	14	12
1700003E16Rik	4	5	3	13	6	6
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	1	0	4	2	2	1
1700003F17Rik	0	0	0	0	0	1
1700003G13Rik	0	0	4	0	0	2
1700003G18Rik	6	1	6	5	6	3
1700003H04Rik	5	2	4	0	3	0
1700003M02Rik	11	25	18	14	9	25
1700003M07Rik	9	1	14	10	0	3
1700006A11Rik	9	5	1	2	1	5
1700006D18Rik	13	5	10	8	6	11
1700006E09Rik	8	6	1	3	1	3
1700006J14Rik	4	13	1	8	3	6
1700006P19Rik	62	45	83	68	43	85
1700007B14Rik	1	3	4	0	6	6
1700007G11Rik	10	8	0	4	6	3
1700007J10Rik	34	30	41	37	23	50
1700007K09Rik	0	0	3	0	1	2
1700007K13Rik	11	6	9	10	3	4
1700007L15Rik	11	11	22	7	19	27
1700007M16Rik	1	2	0	1	1	0
1700007P06Rik	1	6	1	3	5	5
1700008A04Rik	0	7	5	8	7	9
1700008F21Rik	14	9	7	23	9	14
1700008I05Rik	2	2	1	0	3	7
1700008O03Rik	26	26	36	32	39	55
1700008P02Rik	2	3	0	1	3	8
1700009J07Rik	0	0	0	0	0	1
