"","GSM3351254","GSM3351255","GSM3351256","GSM3351257","GSM3351258","GSM3351259","GSM3351260","GSM3351261"
"0610007N19Rik",3.2598278957838,3.35666574390745,3.15959676084781,2.15372596506819,3.1201148367276,2.83625262327629,2.99700319381835,2.1298182828697
"0610009B22Rik",6.30382255668117,6.03097161896575,5.95450794626244,6.19792237428315,6.43474662921933,6.3128214233361,6.17779133811266,5.96208319584525
"0610009E02Rik",3.09045163238182,3.33380978797741,3.15959676084781,3.04979277784681,2.5171817243747,2.70110809663336,3.31792840540798,3.35767468591763
"0610009L18Rik",4.49918001208094,4.43797625784839,4.4092288296974,4.09067567133631,4.29163044600495,4.36571946173441,4.55063849760726,4.19243145549032
"0610009O20Rik",4.46987426411486,4.5562350412524,4.3231128603611,4.09530263150148,4.4826103460263,4.47746890795825,4.20061075599503,4.03253156281441
"0610010F05Rik",5.62329991954841,5.85152266995078,6.1366439513946,6.31362278622955,6.08102969467861,6.06565356021838,5.90323568691064,6.32665093561117
"0610010K14Rik",0.886051461963296,0.0925776971501578,1.61045836024934,0.0791958624271715,1.23798629438812,0.605799321846811,1.55317104792709,0.525567216390228
"0610011F06Rik",6.04034093986756,5.78988117073048,6.32812405780683,6.06977858367146,6.48024972058842,6.20330337455101,5.82363030067764,5.91269590072556
"0610030E20Rik",4.26901830452673,4.39997197247844,4.72497399901997,4.57105918282623,4.21679502787587,4.26868103794036,4.3809269266847,4.75031467759202
"0610031J06Rik",5.42887430219056,5.62787087716182,5.70875949181852,5.5454167181707,5.48316728705316,5.46327538943324,5.87718557941459,5.44751902913268
"0610037L13Rik",6.20945633114906,5.75804378544952,5.98598701387548,5.76459266154403,6.03385235967067,5.89501139783496,5.94682700747821,5.70790375622217
"0610040B10Rik",3.70763798134962,3.6154516019908,3.45782645399199,3.15104237977358,4.10504189248074,3.21923270343871,3.44496855136068,3.17824383701862
"0610040J01Rik",2.86888192696185,2.27797034336503,2.60004199231143,1.06785848350528,1.23798629438812,1.93388705859571,2.00200717963449,1.46373135988137
"0610043K17Rik",0.478579765900005,1.07917180291289,1.54433228828394,1.34151208112055,1.74358909522709,2.21755056016456,1.30779813477215,1.94003581589882
"1010001B22Rik",1.98922255820309,1.92729056698352,1.47502911556338,0.866048611485416,2.04985972527875,1.61093418130657,2.65545971761207,0.747829623270168
"1110001J03Rik",7.33097982782368,7.02452299797289,6.84147748637324,6.71035282268983,7.45781924817259,7.00609799014737,7.01124114286912,6.54333475902078
"1110002E22Rik",1.61388540571404,0.295465832144445,0.497651492792109,0.350896966052601,1.65566131003917,-0.531941649314285,0.490241306357301,1.18819690481369
"1110002L01Rik",4.25763085407854,4.52125829874737,4.53373672010455,4.87271351481106,4.29163044600495,4.66709682756274,4.66815635466587,4.98685959408336
"1110004E09Rik",6.80600345846056,6.80943372324633,6.62661487551824,7.22914944493946,7.16918356013755,6.76395959856095,6.72028182994635,7.07156106830837
"1110007C09Rik",4.96599733489468,5.32880465364379,5.3984083465982,4.24855145684153,5.5084880596114,4.96132319338624,5.43202067311575,4.44358031231193
