"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003341","cilium movement",132,0.65697139381319,2.48981902349129,1.80561046376707e-15,9.67265525440021e-12,8.92731826138309e-12,1167,"tags=36%, list=10%, signal=33%","110083/237625/67747/74362/71227/211482/75563/73301/320277/75172/71840/27356/244653/71233/330355/78801/13411/11441/74052/21689/66611/227058/110082/232286/207607/21336/381917/433700/22092/16977/69387/70882/66722/237806/214704/100037282/212892/21338/232943/17427/171567/68339/69707/192195/68270/101100/24084/16578"
"GO:0007018","microtubule-based movement",283,0.519349451507812,2.17743634516688,4.7862234431326e-14,1.28198994924307e-10,1.18320481644178e-10,1460,"tags=25%, list=13%, signal=22%","110083/237625/67747/74362/71227/211482/75563/73301/320277/75465/75172/71840/27356/244653/71233/330355/78801/13411/14533/11441/74052/21689/66611/229841/227058/110082/232286/207607/21336/381917/433700/22092/16977/69387/21648/70882/66722/237806/214704/100037282/212892/67694/21338/67203/232943/17755/17427/171567/16709/18040/68339/12121/16580/73804/286942/69707/192195/17152/68270/101100/24084/16578/11735/83984/327954/252967/18039/11774/16564/214585"
"GO:0060294","cilium movement involved in cell motility",107,0.668539344844369,2.46327481179881,1.6373066296828e-13,2.92368387173692e-10,2.69839622442811e-10,1369,"tags=41%, list=12%, signal=37%","110083/237625/67747/211482/75563/320277/75172/71840/27356/71233/330355/13411/11441/74052/21689/66611/227058/110082/232286/207607/21336/381917/433700/22092/16977/69387/70882/66722/237806/214704/100037282/212892/21338/232943/17427/171567/69707/192195/101100/24084/16578/83984/327954/252967"
"GO:0001539","cilium or flagellum-dependent cell motility",110,0.661805068112089,2.44771005564919,4.9159203589106e-13,5.26691707253681e-10,4.86106903701117e-10,1369,"tags=40%, list=12%, signal=36%","110083/237625/67747/211482/75563/320277/75172/71840/27356/71233/330355/13411/11441/74052/21689/66611/227058/110082/232286/207607/21336/381917/433700/22092/16977/69387/70882/66722/237806/214704/100037282/212892/21338/232943/17427/171567/69707/192195/101100/24084/16578/83984/327954/252967"
"GO:0060285","cilium-dependent cell motility",110,0.661805068112089,2.44771005564919,4.9159203589106e-13,5.26691707253681e-10,4.86106903701117e-10,1369,"tags=40%, list=12%, signal=36%","110083/237625/67747/211482/75563/320277/75172/71840/27356/71233/330355/13411/11441/74052/21689/66611/227058/110082/232286/207607/21336/381917/433700/22092/16977/69387/70882/66722/237806/214704/100037282/212892/21338/232943/17427/171567/69707/192195/101100/24084/16578/83984/327954/252967"
"GO:0097722","sperm motility",100,0.665134475333783,2.41138195396369,3.23501206549112e-12,2.88832660580599e-09,2.66576345115997e-09,1167,"tags=37%, list=10%, signal=34%","237625/67747/329977/211482/75563/320277/75172/71840/27356/71233/13411/11441/74052/21689/66611/110082/232286/207607/21336/433700/22092/16977/69387/70882/66722/214704/100037282/21338/232943/17427/171567/69707/192195/78174/101100/24084/16578"
"GO:0030317","flagellated sperm motility",95,0.665676031431955,2.39755063162907,9.07283302918911e-12,6.94330950533801e-09,6.40828522377462e-09,1167,"tags=37%, list=10%, signal=33%","237625/67747/211482/75563/320277/75172/71840/27356/71233/13411/11441/74052/21689/66611/110082/232286/207607/21336/433700/22092/16977/69387/70882/66722/214704/100037282/21338/232943/17427/171567/69707/192195/101100/24084/16578"
"GO:0019882","antigen processing and presentation",74,-0.659923494975473,-2.56012062560646,2.92405871458255e-11,1.95802281675234e-08,1.80714523452556e-08,521,"tags=30%, list=5%, signal=29%","12317/16913/14130/66824/73149/16912/22376/16019/14999/14190/21354/13040/14127/14129/54445/18173/26888/83433/17476/14961/14969/16149"
"GO:0032103","positive regulation of response to external stimulus",410,-0.386670301879286,-1.88189309645117,7.5664686034312e-11,4.503730256509e-08,4.1566904129025e-08,1344,"tags=24%, list=12%, signal=22%","22038/11876/18792/66513/16170/21803/70572/12368/142980/242202/20128/22370/19376/13057/20947/14824/54651/20563/170743/14165/71956/71586/80903/15587/233046/16859/12362/217303/24088/17087/215243/13982/319197/80859/27419/56496/18038/100040462/16145/105855/64685/217826/20877/18654/105450/23871/65221/140792/12475/18186/216869/11690/102626/18596/317757/12317/30955/17874/232944/101540/13482/66824/58185/20315/11754/14469/100340/16172/14082/69146/216799/12267/21926/17096/16542/12978/16176/13040/14127/22177/55932/20375/14129/54445/11542/106512/380713/279572/19354/17084/11629/83433/16768/13051/70839/16149/17079/12774"
"GO:0031347","regulation of defense response",492,-0.363463790643496,-1.80046645020766,1.00382515129376e-10,5.37749133548068e-08,4.96312287960715e-08,1469,"tags=25%, list=13%, signal=23%","57738/104709/15511/11540/67866/12367/16952/67070/22038/56335/66513/16170/21803/70572/12368/142980/21938/109934/242202/20128/19376/13057/12918/12562/14824/54651/12370/19015/170743/71956/71586/15587/233046/16859/12362/217303/24088/17087/215243/13982/319197/80859/27419/15937/56496/238205/100038882/18038/100040462/16145/64685/11806/217826/20877/105450/100182/23871/65221/140792/12475/17171/69769/216869/11690/102626/19645/66222/12628/16678/317757/547253/56744/93694/30955/17874/14130/12258/232944/13489/12426/15234/13482/66824/58185/17916/16168/22695/12702/16183/11754/14469/100340/16172/14082/69146/216799/14829/67547/16154/14190/574402/21926/17096/21354/12978/16176/13040/14127/12493/22177/55932/20375/14129/54445/11542/106512/279572/83433/15170/12424/16768/13051/17472/16149/12774"
