"","Dependent","Naive","Withdrawal"
"0",3774,3729,2471
"1",3766,3359,2830
"2",3295,4175,969
"3",3360,2945,1510
"4",1906,2353,3086
"5",2365,2287,1595
"6",1370,1429,917
"7",1384,1055,965
"8",894,1127,856
"9",828,686,983
"10",464,544,1054
"11",427,508,1078
"12",595,610,599
"13",633,526,497
"14",393,626,415
"15",421,526,294
"16",273,284,419
"17",150,183,422
"18",190,262,231
"19",225,268,120
"20",214,195,136
"21",153,196,131
"22",174,136,158
"23",158,171,135
"24",163,158,100
"25",129,139,150
"26",120,106,64
"27",78,82,47
"28",55,65,47
"29",8,4,146
"30",38,50,19
"31",36,46,22
"32",44,37,23
"33",15,18,5
