"","D1","D2","D3","N1","N2","N3","W1","W2","W3"
"0",1364,769,1641,1296,1020,1413,788,745,938
"1",1289,1431,1046,1015,1337,1007,657,1300,873
"2",81,1101,2113,216,2094,1865,186,781,2
"3",822,681,1857,820,977,1148,688,503,319
"4",319,1254,333,382,1027,944,604,2475,7
"5",833,625,907,617,760,910,365,458,772
"6",446,461,463,348,591,490,177,386,354
"7",431,689,264,457,359,239,278,519,168
"8",268,370,256,369,489,269,249,294,313
"9",114,141,573,241,169,276,251,224,508
"10",112,124,228,184,216,144,66,116,872
"11",225,165,37,264,100,144,121,388,569
"12",135,226,234,204,260,146,124,250,225
"13",156,276,201,175,201,150,90,233,174
"14",107,184,102,139,376,111,41,99,275
"15",94,107,220,85,209,232,36,131,127
"16",46,112,115,92,137,55,22,65,332
"17",24,56,70,63,49,71,12,41,369
"18",68,78,44,85,100,77,32,83,116
"19",84,69,72,84,105,79,18,43,59
"20",48,44,122,42,87,66,12,48,76
"21",72,42,39,58,84,54,23,50,58
"22",96,53,25,75,26,35,22,42,94
"23",33,53,72,47,70,54,20,38,77
"24",56,35,72,50,59,49,34,39,27
"25",34,44,51,24,69,46,18,67,65
"26",45,22,53,34,44,28,5,17,42
"27",25,27,26,15,50,17,6,10,31
"28",11,31,13,24,17,24,16,15,16
"29",0,1,7,1,2,1,0,0,146
"30",13,10,15,14,28,8,2,6,11
"31",16,12,8,21,15,10,2,11,9
"32",2,10,32,4,17,16,9,7,7
"33",2,2,11,2,5,11,1,1,3
