"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
0,7.09058403169652,0.85,0.018,0,"7","Alas2",TRUE
0,6.77000296038704,0.992,0.299,0,"7","Hbb-bt",TRUE
0,6.95789595466044,0.998,0.42,0,"7","Hba-a2",TRUE
0,5.61950201170989,0.601,0.038,0,"7","Ube2l6",TRUE
0,6.95642769546393,0.998,0.495,0,"7","Hba-a1",TRUE
0,3.87769338350918,0.601,0.117,0,"7","Tent5c",TRUE
0,5.87795191776697,0.454,0.02,0,"7","Isg20",TRUE
0,1.96924644385179,0.699,0.278,0,"7","Snca",TRUE
0,3.30058164289374,0.49,0.13,0,"7","Slc25a37",TRUE
0,2.81006662389145,0.536,0.186,0,"7","Epb41",TRUE
0,2.98651718337296,0.59,0.28,0,"7","Bpgm",TRUE
0,2.87671725922726,0.561,0.281,0,"7","Mkrn1",TRUE
0,2.38002069142491,0.441,0.175,0,"7","Fech",TRUE
0,6.84577879150573,1,0.847,0,"7","Hbb-bs",TRUE
3.18533907209013e-300,2.06077139518284,0.327,0.125,7.79579884503339e-296,"7","Isca1",TRUE
2.67835507013735e-208,0.967713906283931,0.713,0.6,6.55500619865414e-204,"7","Sec61g",TRUE
1.80238160872776e-166,1.40727062440485,0.383,0.223,4.41114874920032e-162,"7","Slc25a39",TRUE
8.03939758403416e-147,1.44910288070469,0.283,0.139,1.96756216471652e-142,"7","Ube2o",TRUE
7.23897143190541e-137,1.04849338452188,0.578,0.476,1.77166586824453e-132,"7","Bnip3l",TRUE
5.79302811760553e-113,0.58121022565745,0.291,0.149,1.41778570150278e-108,"7","Gda",TRUE
3.6571672315936e-108,1.23206324271536,0.325,0.199,8.95055108260217e-104,"7","Ccndbp1",TRUE
4.20664737458963e-107,1.28312284092456,0.372,0.252,1.02953487845706e-102,"7","March2",TRUE
9.79227524643287e-41,0.306218111344659,0.741,0.728,2.39656144381198e-36,"7","Oaz1",TRUE
2.76010359276642e-21,0.852759728716244,0.319,0.281,6.75507753293653e-17,"7","Ncoa4",TRUE
8.30089226986784e-06,0.623868698378515,0.281,0.273,0.203156037412746,"7","Riok3",FALSE
1.36260292312213e-05,0.444791736603611,0.272,0.265,0.333483439404911,"7","1810058I24Rik",FALSE
0,1.85425615400503,0.839,0.293,0,"8","Csf1r",TRUE
0,1.53035060364635,0.883,0.352,0,"8","C1qc",TRUE
0,1.53127256233892,0.922,0.409,0,"8","C1qa",TRUE
0,1.44082728795412,0.773,0.27,0,"8","Cx3cr1",TRUE
0,1.59926977001401,0.929,0.435,0,"8","C1qb",TRUE
0,1.64135477645383,0.827,0.361,0,"8","Ctss",TRUE
0,1.58419354660476,0.72,0.263,0,"8","Fcrls",TRUE
0,1.57686134811238,0.681,0.237,0,"8","Selplg",TRUE
0,1.56739567798601,0.688,0.255,0,"8","Laptm5",TRUE
0,1.51588167484138,0.909,0.487,0,"8","Hexb",TRUE
0,1.8157871190355,0.633,0.212,0,"8","Tmem119",TRUE
0,1.67924037128455,0.672,0.256,0,"8","Trem2",TRUE
0,1.81281797066462,0.597,0.222,0,"8","Ly86",TRUE
0,1.18890028937828,0.639,0.266,0,"8","P2ry12",TRUE
0,1.45369005885683,0.573,0.214,0,"8","Siglech",TRUE
0,2.32017203161337,0.647,0.291,0,"8","Mafb",TRUE
0,1.52346644438818,0.643,0.304,0,"8","Tyrobp",TRUE
0,1.37415476428014,0.601,0.267,0,"8","Fcer1g",TRUE
0,1.52842615192749,0.555,0.222,0,"8","Gpr34",TRUE
0,1.45479408497238,0.655,0.326,0,"8","Rgs10",TRUE
0,1.71909790549706,0.648,0.327,0,"8","Kctd12",TRUE
0,1.39372575195849,0.735,0.416,0,"8","Lgmn",TRUE
0,1.54183463919825,0.52,0.207,0,"8","Olfml3",TRUE
0,2.13519709390967,0.511,0.212,0,"8","Hpgds",TRUE
0,1.72169030154012,0.532,0.24,0,"8","Vsir",TRUE
0,1.80576324141013,0.464,0.19,0,"8","Itgam",TRUE
0,1.85035626342935,0.527,0.255,0,"8","Tgfbr1",TRUE
0,1.63789885450407,0.934,0.662,0,"8","Ctsd",TRUE
0,2.73130107804504,0.506,0.24,0,"8","Pycard",TRUE
0,1.7171285135007,0.58,0.324,0,"8","Itgb5",TRUE
0,2.92913460682722,0.421,0.167,0,"8","Hk2",TRUE
0,1.19024719764986,0.999,0.993,0,"8","Cst3",TRUE
